"Historical Data"
"From 2021-11-08 to 2023-11-07"
SGXZ33675836
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
02/11/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
01/11/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
31/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
30/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
27/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
26/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
25/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
23/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
20/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
19/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
17/10/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
16/10/2023;2,50;2,50;2,50;2,50;2,50;310;1;775;2,5000
13/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
12/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
10/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
06/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
05/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
29/09/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
28/09/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
26/09/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
25/09/2023;2,50;2,60;2,50;2,60;2,60;1320;2;3400;2,5758
22/09/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
21/09/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
20/09/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
18/09/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
15/09/2023;0,00;0,00;0,00;0,00;2,50;0;0;0;0,0000
14/09/2023;2,50;2,50;2,50;2,50;2,50;310;1;775;2,5000
13/09/2023;0,00;0,00;0,00;0,00;3,50;0;0;0;0,0000
