"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003021909
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,40;5,45;5,35;5,37;5,37;162184;100;876746;5,4059
03/11/2023;5,39;5,40;5,25;5,38;5,38;228341;96;1218609;5,3368
02/11/2023;5,15;5,39;5,13;5,34;5,34;432666;100;2278192;5,2655
01/11/2023;5,10;5,18;5,09;5,18;5,18;159665;101;819916;5,1352
31/10/2023;5,06;5,15;5,06;5,06;5,06;116035;80;592896;5,1096
30/10/2023;5,14;5,14;5,06;5,06;5,06;441840;128;2248927;5,0899
27/10/2023;5,03;5,15;5,03;5,13;5,13;129964;84;662756;5,0995
26/10/2023;5,07;5,12;5,04;5,04;5,04;195647;81;990835;5,0644
25/10/2023;5,13;5,15;5,04;5,04;5,04;200502;104;1023752;5,1059
24/10/2023;5,10;5,15;5,04;5,09;5,09;197241;71;1006148;5,1011
23/10/2023;5,13;5,19;5,04;5,09;5,09;256009;91;1298479;5,0720
20/10/2023;5,14;5,14;5,05;5,13;5,13;229223;102;1169773;5,1032
19/10/2023;5,07;5,12;5,05;5,10;5,10;263626;98;1336247;5,0687
18/10/2023;5,07;5,14;5,07;5,07;5,07;77957;63;396515;5,0863
17/10/2023;5,20;5,20;5,10;5,14;5,14;242558;122;1242686;5,1233
16/10/2023;5,14;5,20;5,07;5,20;5,20;152374;89;780063;5,1194
13/10/2023;5,18;5,29;5,10;5,14;5,14;1070987;204;3544848;3,3099
12/10/2023;5,06;5,15;5,06;5,15;5,15;86661;60;443564;5,1184
11/10/2023;5,12;5,12;5,05;5,08;5,08;79848;66;405838;5,0826
10/10/2023;5,22;5,22;5,11;5,16;5,16;37254;55;191269;5,1342
09/10/2023;5,07;5,16;5,05;5,13;5,13;172635;88;882062;5,1094
06/10/2023;5,09;5,09;5,02;5,02;5,02;99529;80;501899;5,0427
05/10/2023;5,00;5,06;5,00;5,01;5,01;168267;89;843614;5,0135
04/10/2023;5,14;5,14;5,02;5,04;5,04;76744;66;386584;5,0373
03/10/2023;5,21;5,21;5,08;5,09;5,09;88262;84;452959;5,1320
02/10/2023;5,20;5,25;5,11;5,20;5,20;393425;99;1935493;4,9196
29/09/2023;5,11;5,21;5,11;5,15;5,15;280155;75;1449415;5,1736
28/09/2023;5,08;5,11;5,02;5,11;5,11;317651;140;1607333;5,0601
27/09/2023;5,06;5,07;5,04;5,05;5,05;144200;71;727571;5,0456
26/09/2023;5,03;5,07;5,00;5,07;5,07;194181;71;972921;5,0104
