"Historical Data"
"From 2021-11-08 to 2023-11-07"
CY0108052115
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,15;2,15;2,15;2,15;2,15;14132;1;30384;2,1500
03/11/2023;2,00;2,15;2,00;2,15;2,15;47614;4;95303;2,0016
02/11/2023;2,01;2,15;2,01;2,09;2,09;3192;3;6571;2,0587
01/11/2023;2,01;2,07;2,01;2,07;2,07;2767;2;5566;2,0115
31/10/2023;2,10;2,10;2,10;2,10;2,10;2886;1;6061;2,1000
30/10/2023;2,07;2,14;2,07;2,10;2,10;2325;4;4864;2,0918
27/10/2023;2,01;2,07;2,00;2,07;2,07;10859;3;22414;2,0641
26/10/2023;2,08;2,08;2,08;2,08;2,08;192;1;399;2,0800
25/10/2023;2,12;2,12;2,10;2,10;2,10;450;2;951;2,1133
24/10/2023;2,15;2,15;2,13;2,13;2,13;1146;3;2452;2,1395
23/10/2023;0,00;0,00;0,00;0,00;2,01;0;0;0;0,0000
20/10/2023;2,10;2,15;2,01;2,01;2,01;3300;3;6734;2,0407
19/10/2023;2,06;2,06;2,06;2,06;2,06;5000;1;10300;2,0600
18/10/2023;2,05;2,05;2,05;2,05;2,05;32485;6;66594;2,0500
17/10/2023;2,05;2,15;2,05;2,12;2,12;6566;6;13814;2,1039
16/10/2023;2,00;2,10;2,00;2,10;2,10;12750;5;26095;2,0467
13/10/2023;2,10;2,10;2,10;2,10;2,10;196;1;412;2,1000
12/10/2023;1,995;2,15;1,995;2,01;2,01;3254;3;6650;2,0436
11/10/2023;2,00;2,10;2,00;2,10;2,10;4946;4;10287;2,0798
10/10/2023;2,16;2,16;1,985;2,12;2,12;13559;4;27260;2,0105
09/10/2023;1,91;2,15;1,91;2,15;2,15;4300;3;8933;2,0774
06/10/2023;2,01;2,15;2,01;2,15;2,15;7806;4;15970;2,0459
05/10/2023;2,03;2,04;2,00;2,00;2,00;75000;7;150462;2,0062
04/10/2023;2,02;2,16;2,02;2,04;2,04;46158;9;94356;2,0442
03/10/2023;2,18;2,18;2,02;2,17;2,17;2419;5;5233;2,1632
02/10/2023;2,00;2,17;2,00;2,15;2,15;6380;9;13242;2,0755
29/09/2023;2,00;2,13;2,00;2,09;2,09;7066;4;14587;2,0644
28/09/2023;0,00;0,00;0,00;0,00;2,13;0;0;0;0,0000
