"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012958539
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,641;1,7298;1,641;1,6522;1,6522;6986;8;11621;1,6634
03/11/2023;1,75;1,84;1,6444;1,80;1,80;60748;24;109415;1,8011
02/11/2023;1,652;1,7998;1,641;1,778;1,778;10013;9;16583;1,6562
01/11/2023;1,641;1,75;1,641;1,652;1,652;5856;6;9714;1,6588
31/10/2023;1,641;1,80;1,641;1,70;1,70;3255;15;5434;1,6693
30/10/2023;1,6502;1,73;1,6502;1,70;1,70;9683;6;16706;1,7253
27/10/2023;1,6412;1,799;1,6412;1,66;1,66;20621;12;35434;1,7184
26/10/2023;1,6418;1,65;1,641;1,641;1,641;11260;8;18529;1,6455
25/10/2023;1,6412;1,65;1,6412;1,6418;1,6418;29322;15;48359;1,6492
24/10/2023;0,00;0,00;0,00;0,00;1,78;0;0;0;0,0000
23/10/2023;1,6412;1,78;1,6412;1,78;1,78;22555;9;38996;1,7289
20/10/2023;1,72;1,8398;1,72;1,8398;1,8398;2731;5;4703;1,7222
19/10/2023;1,90;1,90;1,6412;1,7502;1,7502;48785;24;86061;1,7641
18/10/2023;1,85;1,90;1,70;1,90;1,90;68953;26;123951;1,7976
17/10/2023;1,80;1,835;1,69;1,83;1,83;79693;34;139306;1,7480
16/10/2023;1,78;1,78;1,7002;1,7102;1,7102;10283;16;17649;1,7163
13/10/2023;1,72;1,7998;1,72;1,7998;1,7998;14017;10;24594;1,7546
12/10/2023;1,784;1,80;1,76;1,80;1,80;16642;9;29902;1,7968
11/10/2023;1,7998;1,7998;1,7004;1,7798;1,7798;19551;5;34721;1,7759
10/10/2023;1,7004;1,80;1,7004;1,72;1,72;81532;23;143428;1,7592
09/10/2023;1,78;1,80;1,7002;1,80;1,80;30491;15;54242;1,7789
06/10/2023;1,9998;1,9998;1,7804;1,8898;1,8898;1164;8;2294;1,9710
05/10/2023;1,80;1,9998;1,78;1,8998;1,8998;78061;29;143785;1,8420
04/10/2023;1,85;1,955;1,8002;1,915;1,915;33485;14;64428;1,9241
03/10/2023;1,81;1,895;1,81;1,85;1,85;20484;9;37914;1,8509
02/10/2023;2,00;2,00;1,7004;1,805;1,805;62362;24;113868;1,8259
29/09/2023;1,8102;1,959;1,8102;1,9198;1,9198;39082;27;75116;1,9220
28/09/2023;1,8002;2,00;1,80;1,8102;1,8102;17254;34;31082;1,8014
27/09/2023;1,7002;1,90;1,7002;1,83;1,83;25803;14;46937;1,8190
26/09/2023;1,85;1,935;1,82;1,935;1,935;45933;13;86585;1,8850
25/09/2023;1,98;1,98;1,8506;1,8702;1,8702;18122;11;35376;1,9521
22/09/2023;1,85;1,88;1,85;1,8504;1,8504;10095;9;18792;1,8616
21/09/2023;1,8002;1,9798;1,8002;1,9152;1,9152;57717;30;110348;1,9119
20/09/2023;2,00;2,00;1,85;1,9798;1,9798;8070;8;15119;1,8735
19/09/2023;1,94;2,00;1,80;1,99;1,99;94589;38;179690;1,8997
18/09/2023;1,953;1,98;1,945;1,945;1,945;31191;18;60951;1,9541
15/09/2023;2,02;2,02;2,02;2,02;2,02;1950;1;3939;2,0200
14/09/2023;1,953;2,05;1,953;2,05;2,05;3663;5;7218;1,9706
13/09/2023;2,12;2,12;1,9532;1,9602;1,9602;588;4;1159;1,9719
12/09/2023;1,9602;2,0985;1,9602;2,05;2,05;9436;8;19084;2,0224
11/09/2023;2,05;2,05;1,90;1,951;1,951;37351;12;72355;1,9372
08/09/2023;2,02;2,05;2,02;2,05;2,05;7556;4;15320;2,0275
07/09/2023;2,06;2,10;2,05;2,10;2,10;6755;3;13852;2,0506
06/09/2023;2,06;2,15;2,06;2,06;2,06;1744;3;3638;2,0858
05/09/2023;2,05;2,05;2,05;2,05;2,05;9716;7;19918;2,0500
04/09/2023;2,05;2,10;2,05;2,10;2,10;6318;6;12989;2,0559
01/09/2023;2,1505;2,1505;2,03;2,04;2,04;16446;10;33717;2,0502
31/08/2023;2,04;2,10;2,04;2,08;2,08;10646;9;22253;2,0903
30/08/2023;2,02;2,25;2,02;2,15;2,15;31203;34;65449;2,0975
29/08/2023;2,04;2,25;2,03;2,03;2,03;23217;8;49665;2,1392
28/08/2023;2,0205;2,03;2,0205;2,03;2,03;7672;4;15572;2,0298
25/08/2023;2,023;2,05;2,023;2,0265;2,0265;8840;12;18088;2,0462
24/08/2023;0,00;0,00;0,00;0,00;2,0995;0;0;0;0,0000
23/08/2023;2,012;2,10;2,012;2,0995;2,0995;10934;7;22315;2,0408
22/08/2023;2,012;2,02;2,012;2,02;2,02;2046;8;4123;2,0153
21/08/2023;2,30;2,30;2,0005;2,03;2,03;989;9;2162;2,1863
18/08/2023;2,10;2,20;2,01;2,19;2,19;4479;10;9285;2,0731
17/08/2023;2,14;2,14;2,14;2,14;2,14;1154;3;2470;2,1400
16/08/2023;2,275;2,275;2,10;2,18;2,18;43914;12;95291;2,1699
15/08/2023;2,00;2,2995;2,00;2,275;2,275;16174;8;36625;2,2644
14/08/2023;2,275;2,30;2,125;2,26;2,26;12733;11;28201;2,2148
11/08/2023;2,12;2,13;2,112;2,13;2,13;9886;6;21028;2,1270
10/08/2023;2,112;2,28;2,112;2,121;2,121;9594;6;20363;2,1225
09/08/2023;2,112;2,29;2,112;2,22;2,22;7374;9;16384;2,2218
08/08/2023;2,162;2,162;2,162;2,162;2,162;2533;2;5476;2,1620
07/08/2023;2,25;2,29;2,112;2,162;2,162;5790;10;12901;2,2282
04/08/2023;2,125;2,40;2,112;2,112;2,112;14321;11;32595;2,2761
03/08/2023;2,1995;2,20;2,13;2,13;2,13;11612;8;25526;2,1983
02/08/2023;2,1205;2,28;2,1205;2,13;2,13;32172;11;70543;2,1927
01/08/2023;2,12;2,28;2,12;2,28;2,28;317;2;696;2,1957
31/07/2023;2,30;2,35;2,103;2,2895;2,2895;25217;33;55065;2,1836
28/07/2023;2,2995;2,30;2,2995;2,2995;2,2995;5835;6;13418;2,2996
27/07/2023;2,37;2,41;2,10;2,30;2,30;15671;12;33625;2,1457
26/07/2023;2,27;2,27;2,27;2,27;2,27;1;1;2;2,2700
25/07/2023;2,4185;2,439;2,20;2,30;2,30;39894;24;94478;2,3682
24/07/2023;2,10;2,148;2,10;2,11;2,11;31182;12;66236;2,1242
21/07/2023;2,08;2,148;1,98;2,06;2,06;32989;28;68745;2,0839
20/07/2023;1,9002;1,9202;1,9002;1,9202;1,9202;26301;8;49991;1,9007
19/07/2023;1,979;1,979;1,941;1,9548;1,9548;14493;15;28464;1,9640
18/07/2023;1,99;1,99;1,98;1,98;1,98;34989;18;69518;1,9869
17/07/2023;2,069;2,069;1,98;2,058;2,058;33086;12;67632;2,0441
14/07/2023;2,04;2,09;2,00;2,08;2,08;14952;11;30325;2,0282
13/07/2023;2,09;2,12;2,06;2,06;2,06;4379;7;9042;2,0648
12/07/2023;2,14;2,14;2,0505;2,0505;2,0505;15841;10;32704;2,0645
11/07/2023;2,14;2,144;2,07;2,138;2,138;27855;14;59300;2,1289
10/07/2023;2,06;2,146;2,06;2,146;2,146;8288;10;17554;2,1180
07/07/2023;2,172;2,172;2,05;2,1495;2,1495;28028;21;59239;2,1136
06/07/2023;2,244;2,376;2,172;2,172;2,172;30699;23;69233;2,2552
05/07/2023;2,244;2,40;2,22;2,364;2,364;17689;18;41082;2,3224
04/07/2023;2,25;2,25;2,232;2,238;2,238;1971;7;4411;2,2377
03/07/2023;2,25;2,256;2,25;2,25;2,25;1583;6;3570;2,2546
30/06/2023;2,388;2,40;2,274;2,274;2,274;6480;8;14842;2,2903
29/06/2023;2,364;2,364;2,232;2,232;2,232;1564;5;3578;2,2874
28/06/2023;2,292;2,334;2,232;2,31;2,31;11864;9;27316;2,3024
27/06/2023;2,25;2,262;2,25;2,262;2,262;31791;5;71541;2,2503
26/06/2023;2,25;2,286;2,25;2,25;2,25;5429;12;12287;2,2633
23/06/2023;2,436;2,436;2,25;2,25;2,25;10191;10;23176;2,2740
22/06/2023;2,454;2,454;2,28;2,292;2,292;27369;19;63710;2,3278
21/06/2023;2,25;2,484;2,25;2,454;2,454;23340;10;54565;2,3378
20/06/2023;2,394;2,394;2,298;2,298;2,298;29220;13;67337;2,3045
19/06/2023;2,28;2,49;2,28;2,394;2,394;16964;15;39091;2,3043
16/06/2023;2,256;2,454;2,256;2,388;2,388;13374;14;32551;2,4339
15/06/2023;2,508;2,508;2,28;2,28;2,28;3200;9;7692;2,4035
14/06/2023;2,544;2,544;2,256;2,40;2,40;38024;18;91744;2,4128
13/06/2023;2,538;2,538;2,40;2,46;2,46;14503;16;36170;2,4939
12/06/2023;2,226;2,376;2,226;2,37;2,37;6816;7;15603;2,2890
09/06/2023;2,394;2,394;2,28;2,364;2,364;37332;16;88226;2,3633
08/06/2023;2,34;2,37;2,28;2,364;2,364;63215;28;149194;2,3601
07/06/2023;2,22;2,37;2,22;2,256;2,256;56186;19;130813;2,3282
06/06/2023;2,19;2,328;2,16;2,166;2,166;28630;14;62573;2,1856
05/06/2023;2,142;2,334;2,142;2,334;2,334;7571;11;17293;2,2840
02/06/2023;2,334;2,334;2,166;2,25;2,25;3826;5;8472;2,2144
01/06/2023;2,28;2,34;2,166;2,214;2,214;14930;11;34241;2,2933
31/05/2023;2,364;2,364;2,25;2,28;2,28;80654;20;185741;2,3029
30/05/2023;2,10;2,34;2,10;2,31;2,31;75945;32;168670;2,2209
29/05/2023;0,00;0,00;0,00;0,00;2,334;0;0;0;0,0000
26/05/2023;2,304;2,352;2,13;2,334;2,334;51868;26;115257;2,2221
25/05/2023;2,304;2,304;2,16;2,22;2,22;15497;14;34737;2,2414
24/05/2023;2,13;2,298;2,13;2,16;2,16;49733;25;112260;2,2572
23/05/2023;2,28;2,28;2,13;2,19;2,19;22925;16;51754;2,2575
22/05/2023;2,304;2,304;2,136;2,136;2,136;4656;7;10234;2,1977
19/05/2023;2,214;2,214;2,10;2,16;2,16;12831;10;27731;2,1612
18/05/2023;0,00;0,00;0,00;0,00;2,214;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;2,214;0;0;0;0,0000
16/05/2023;2,10;2,22;2,094;2,214;2,214;8856;9;18613;2,1016
15/05/2023;2,112;2,22;2,082;2,112;2,112;19130;13;40477;2,1158
12/05/2023;2,07;2,112;2,07;2,094;2,094;12600;7;26437;2,0981
11/05/2023;2,07;2,16;2,07;2,07;2,07;5423;7;11363;2,0952
10/05/2023;2,106;2,196;2,07;2,07;2,07;27100;11;57046;2,1050
09/05/2023;2,19;2,22;2,106;2,106;2,106;21676;13;46071;2,1254
08/05/2023;2,07;2,214;2,07;2,106;2,106;11676;9;25156;2,1544
05/05/2023;2,22;2,22;2,07;2,07;2,07;9445;15;20234;2,1423
04/05/2023;2,07;2,07;2,07;2,07;2,07;4684;2;9697;2,0700
03/05/2023;2,094;2,10;2,046;2,10;2,10;7467;8;15532;2,0801
02/05/2023;2,082;2,34;2,082;2,10;2,10;42967;18;90417;2,1043
28/04/2023;2,13;2,274;2,076;2,076;2,076;28946;31;62005;2,1421
27/04/2023;2,10;2,118;2,10;2,118;2,118;23913;13;50451;2,1097
26/04/2023;2,10;2,10;2,10;2,10;2,10;921;3;1934;2,1000
25/04/2023;2,148;2,148;2,046;2,10;2,10;29107;19;60607;2,0822
24/04/2023;2,022;2,232;2,022;2,148;2,148;6594;7;13969;2,1184
21/04/2023;2,25;2,25;2,13;2,244;2,244;7789;4;17478;2,2438
20/04/2023;2,244;2,244;2,16;2,244;2,244;46721;11;101160;2,1652
19/04/2023;2,214;2,244;2,19;2,244;2,244;17583;9;38987;2,2173
18/04/2023;2,13;2,244;2,10;2,244;2,244;50655;18;111327;2,1978
17/04/2023;2,214;2,214;2,112;2,16;2,16;47263;13;100520;2,1268
14/04/2023;2,094;2,202;2,094;2,202;2,202;17865;7;37801;2,1159
13/04/2023;2,10;2,178;2,064;2,106;2,106;21219;11;45324;2,1360
12/04/2023;2,04;2,172;2,04;2,106;2,106;103777;28;220703;2,1267
11/04/2023;2,10;2,19;2,016;2,16;2,16;30943;15;66059;2,1349
06/04/2023;0,00;0,00;0,00;0,00;2,10;0;0;0;0,0000
05/04/2023;2,25;2,25;2,10;2,10;2,10;28914;11;61060;2,1118
04/04/2023;2,13;2,13;2,124;2,13;2,13;8321;11;17714;2,1288
03/04/2023;2,01;2,19;2,01;2,10;2,10;33992;15;71850;2,1137
31/03/2023;2,10;2,10;1,98;2,037;2,037;8408;10;17124;2,0366
30/03/2023;2,01;2,01;1,95;1,98;1,98;44538;25;88166;1,9795
29/03/2023;2,01;2,01;1,938;2,01;2,01;14643;14;29184;1,9930
28/03/2023;1,983;1,983;1,965;1,98;1,98;34320;9;67967;1,9804
27/03/2023;1,986;1,986;1,971;1,986;1,986;44206;9;87444;1,9781
24/03/2023;2,013;2,037;1,923;1,986;1,986;25770;15;51526;1,9994
23/03/2023;2,154;2,154;1,923;2,034;2,034;30173;19;60880;2,0177
22/03/2023;2,043;2,055;2,022;2,055;2,055;34778;11;70874;2,0379
21/03/2023;2,037;2,097;2,022;2,022;2,022;92407;28;189705;2,0529
20/03/2023;2,052;2,10;1,92;2,055;2,055;146544;53;294315;2,0084
17/03/2023;2,247;2,277;2,088;2,10;2,10;79252;25;168356;2,1243
16/03/2023;2,31;2,331;2,097;2,274;2,274;23480;17;51867;2,2089
15/03/2023;2,304;2,31;2,097;2,10;2,10;117359;36;254463;2,1682
14/03/2023;2,304;2,307;2,148;2,307;2,307;10095;10;22609;2,2395
13/03/2023;2,28;2,337;2,055;2,307;2,307;107190;36;236017;2,2018
10/03/2023;2,31;2,394;2,256;2,283;2,283;87114;19;199842;2,2940
09/03/2023;2,31;2,40;2,259;2,286;2,286;36068;20;83245;2,3080
08/03/2023;2,31;2,31;2,28;2,295;2,295;50669;15;116790;2,3050
07/03/2023;2,37;2,37;2,25;2,25;2,25;57652;15;131438;2,2798
06/03/2023;2,37;2,37;2,253;2,292;2,292;98954;30;226361;2,2875
03/03/2023;2,385;2,385;2,34;2,34;2,34;31245;21;73736;2,3599
02/03/2023;2,40;2,511;2,40;2,40;2,40;53520;24;129270;2,4153
01/03/2023;2,415;2,55;2,415;2,55;2,55;16314;16;40852;2,5040
28/02/2023;2,55;2,67;2,316;2,49;2,49;236565;87;575958;2,4347
27/02/2023;2,304;2,55;2,304;2,55;2,55;195909;34;478637;2,4432
24/02/2023;2,397;2,397;2,292;2,334;2,334;82987;21;191903;2,3124
23/02/2023;2,40;2,454;2,31;2,373;2,373;42765;19;100901;2,3594
22/02/2023;2,451;2,451;2,25;2,37;2,37;398182;70;925332;2,3239
21/02/2023;2,40;2,46;2,31;2,46;2,46;24517;12;57106;2,3292
20/02/2023;2,517;2,517;2,28;2,403;2,403;105020;35;252371;2,4031
17/02/2023;2,412;2,475;2,412;2,451;2,451;50282;21;122266;2,4316
16/02/2023;2,46;2,577;2,43;2,52;2,52;94926;36;233674;2,4616
15/02/2023;2,514;2,55;2,49;2,547;2,547;72116;16;181331;2,5144
14/02/2023;2,595;2,595;2,406;2,514;2,514;53067;25;133520;2,5160
