"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010895568
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,62;2,88;2,62;2,75;2,75;82553;27;228445;2,7672
03/11/2023;2,725;2,88;2,72;2,88;2,88;295264;37;824992;2,7941
02/11/2023;2,65;2,70;2,62;2,62;2,62;181235;52;481830;2,6586
01/11/2023;2,70;2,885;2,575;2,795;2,795;86627;24;235063;2,7135
31/10/2023;2,56;2,70;2,56;2,70;2,70;115170;37;304855;2,6470
30/10/2023;2,73;2,875;2,555;2,70;2,70;134936;43;359861;2,6669
27/10/2023;2,85;2,975;2,65;2,82;2,82;195464;49;543963;2,7829
26/10/2023;2,95;2,98;2,945;2,945;2,945;44135;15;130728;2,9620
25/10/2023;2,96;2,99;2,94;2,94;2,94;35375;12;104694;2,9595
24/10/2023;2,995;2,995;2,855;2,99;2,99;37461;11;111917;2,9875
23/10/2023;2,85;2,965;2,85;2,935;2,935;95403;33;275947;2,8924
20/10/2023;2,97;3,06;2,875;2,875;2,875;38304;14;113227;2,9560
19/10/2023;3,08;3,08;2,875;2,98;2,98;136207;28;405838;2,9796
18/10/2023;3,00;3,08;3,00;3,08;3,08;11935;10;36019;3,0179
17/10/2023;3,01;3,01;2,85;2,955;2,955;188370;26;549171;2,9154
16/10/2023;2,96;3,065;2,95;3,025;3,025;357878;49;1068538;2,9858
13/10/2023;3,095;3,095;2,965;3,02;3,02;663;5;2025;3,0545
12/10/2023;3,03;3,095;3,00;3,015;3,015;69551;19;211762;3,0447
11/10/2023;3,02;3,095;3,02;3,03;3,03;88991;21;272479;3,0619
10/10/2023;3,00;3,065;3,00;3,02;3,02;78410;14;235975;3,0095
09/10/2023;2,99;3,095;2,905;3,00;3,00;165977;29;499164;3,0074
06/10/2023;3,01;3,01;2,905;2,99;2,99;45256;14;134072;2,9625
05/10/2023;3,09;3,095;2,945;3,005;3,005;72768;23;223201;3,0673
04/10/2023;2,955;3,045;2,92;3,045;3,045;24882;9;74169;2,9808
03/10/2023;3,05;3,05;2,865;2,93;2,93;167037;29;491395;2,9418
02/10/2023;3,00;3,095;3,00;3,025;3,025;51084;14;156413;3,0619
29/09/2023;3,00;3,095;3,00;3,00;3,00;331691;47;1011256;3,0488
28/09/2023;3,00;3,05;2,97;3,00;3,00;155892;30;471065;3,0217
27/09/2023;2,90;3,08;2,86;2,98;2,98;292421;48;870296;2,9762
26/09/2023;2,88;2,935;2,86;2,86;2,86;59097;21;170593;2,8867
25/09/2023;2,86;2,99;2,84;2,95;2,95;148251;27;438893;2,9605
22/09/2023;2,97;2,985;2,855;2,945;2,945;28373;16;83425;2,9403
21/09/2023;2,91;2,93;2,875;2,925;2,925;31982;18;92660;2,8972
20/09/2023;2,94;2,98;2,88;2,96;2,96;54031;19;157897;2,9223
19/09/2023;2,90;2,97;2,86;2,94;2,94;324880;60;941856;2,8991
18/09/2023;3,085;3,085;2,95;2,955;2,955;416765;40;1245721;2,9890
15/09/2023;3,085;3,085;2,98;3,035;3,035;77930;20;235660;3,0240
14/09/2023;3,095;3,095;2,95;3,095;3,095;68925;24;206103;2,9903
13/09/2023;3,01;3,035;2,97;3,03;3,03;86747;16;260650;3,0047
12/09/2023;2,935;3,11;2,935;3,03;3,03;89963;12;268342;2,9828
11/09/2023;3,115;3,14;2,91;3,02;3,02;48693;17;147710;3,0335
08/09/2023;3,00;3,115;2,95;3,115;3,115;36811;13;110658;3,0061
07/09/2023;2,905;3,01;2,905;2,98;2,98;15944;12;46978;2,9465
06/09/2023;2,905;3,04;2,905;2,975;2,975;27448;15;82177;2,9939
05/09/2023;3,00;3,035;2,95;3,03;3,03;6606;8;19888;3,0106
04/09/2023;3,00;3,145;2,96;3,03;3,03;38548;24;117891;3,0583
01/09/2023;3,10;3,12;3,05;3,11;3,11;83000;13;257343;3,1005
31/08/2023;2,91;3,14;2,91;3,12;3,12;362277;37;1111804;3,0689
30/08/2023;2,90;3,08;2,90;3,05;3,05;122549;26;370219;3,0210
29/08/2023;2,89;3,05;2,805;2,94;2,94;305623;38;898569;2,9401
28/08/2023;2,95;2,965;2,86;2,90;2,90;476635;43;1390812;2,9180
25/08/2023;3,00;3,085;2,95;2,95;2,95;162298;40;486182;2,9956
24/08/2023;3,01;3,03;2,955;2,99;2,99;128374;32;382669;2,9809
23/08/2023;3,145;3,145;2,99;3,01;3,01;92998;24;281194;3,0237
22/08/2023;3,025;3,155;3,025;3,155;3,155;2245721;24;6855525;3,0527
21/08/2023;3,10;3,275;2,95;3,025;3,025;185996;76;566217;3,0442
18/08/2023;3,025;3,15;3,025;3,025;3,025;226936;64;696064;3,0672
17/08/2023;3,10;3,175;3,025;3,025;3,025;46461;31;141745;3,0508
16/08/2023;3,17;3,17;3,055;3,17;3,17;49678;23;154652;3,1131
15/08/2023;3,095;3,18;3,035;3,18;3,18;62772;22;193424;3,0814
14/08/2023;3,25;3,25;3,02;3,185;3,185;75580;23;233596;3,0907
11/08/2023;3,15;3,16;3,015;3,155;3,155;86582;26;264841;3,0588
10/08/2023;3,005;3,16;3,005;3,16;3,16;97999;32;299400;3,0551
09/08/2023;3,20;3,27;2,97;3,235;3,235;22158;17;68308;3,0828
08/08/2023;3,13;3,20;3,105;3,195;3,195;42305;15;132538;3,1329
07/08/2023;3,37;3,37;3,125;3,26;3,26;55318;23;178227;3,2219
04/08/2023;3,215;3,35;3,17;3,285;3,285;155920;37;501770;3,2181
03/08/2023;3,20;3,38;3,20;3,215;3,215;256344;43;842153;3,2852
02/08/2023;3,34;3,38;3,105;3,20;3,20;226735;42;746427;3,2921
01/08/2023;3,35;3,35;3,20;3,34;3,34;15569;12;50248;3,2274
31/07/2023;3,355;3,40;3,22;3,345;3,345;66392;28;222173;3,3464
28/07/2023;3,35;3,35;3,155;3,30;3,30;174459;30;574833;3,2949
27/07/2023;3,345;3,345;3,155;3,285;3,285;72312;23;236521;3,2708
26/07/2023;3,20;3,30;3,185;3,30;3,30;53386;28;171210;3,2070
25/07/2023;3,24;3,46;3,15;3,30;3,30;213454;69;702415;3,2907
24/07/2023;3,30;3,30;3,19;3,24;3,24;110772;34;358568;3,2370
21/07/2023;3,20;3,29;3,16;3,19;3,19;144865;38;464104;3,2037
20/07/2023;3,30;3,30;3,15;3,20;3,20;81136;29;260939;3,2161
19/07/2023;3,175;3,295;3,00;3,26;3,26;868450;108;2708041;3,1182
18/07/2023;3,23;3,23;2,99;3,15;3,15;581428;89;1771144;3,0462
17/07/2023;3,10;3,295;2,905;3,06;3,06;268827;78;817221;3,0400
14/07/2023;2,585;3,10;2,58;2,995;2,995;1349015;119;3867436;2,8669
13/07/2023;2,60;2,65;2,55;2,55;2,55;161718;29;420703;2,6015
12/07/2023;2,51;2,57;2,495;2,565;2,565;90839;31;231666;2,5503
11/07/2023;2,40;2,695;2,40;2,51;2,51;238533;36;598393;2,5086
10/07/2023;2,40;2,505;2,40;2,505;2,505;1125;4;2703;2,4023
07/07/2023;2,485;2,52;2,48;2,52;2,52;67659;21;167967;2,4826
06/07/2023;2,40;2,495;2,40;2,485;2,485;2011;3;4989;2,4808
05/07/2023;2,45;2,50;2,40;2,50;2,50;36927;21;91343;2,4736
04/07/2023;2,28;2,45;2,28;2,445;2,445;108525;29;253890;2,3395
03/07/2023;2,31;2,365;2,25;2,36;2,36;178154;30;411054;2,3073
30/06/2023;2,45;2,45;2,285;2,305;2,305;286772;36;664772;2,3181
29/06/2023;2,41;2,50;2,375;2,375;2,375;213792;28;516787;2,4172
28/06/2023;2,42;2,42;2,40;2,41;2,41;64459;9;155896;2,4185
27/06/2023;2,425;2,435;2,38;2,42;2,42;113809;33;273540;2,4035
26/06/2023;2,46;2,48;2,44;2,45;2,45;47320;8;116491;2,4618
23/06/2023;2,50;2,52;2,46;2,47;2,47;41352;16;102795;2,4859
22/06/2023;2,38;2,475;2,38;2,465;2,465;111971;25;271612;2,4257
