"Historical Data"
"From 2021-11-12 to 2023-11-11"
NO0010215684
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;10,06;10,32;10,06;10,30;10,30;51732;62;529176;10,2292
09/11/2023;10,10;10,20;10,08;10,14;10,14;51987;57;525585;10,1099
08/11/2023;10,12;10,24;10,12;10,16;10,16;69869;74;710252;10,1655
07/11/2023;10,34;10,36;10,12;10,26;10,26;114975;90;1173121;10,2033
06/11/2023;10,42;10,44;10,22;10,38;10,38;18921;46;195513;10,3331
03/11/2023;10,10;10,64;10,10;10,44;10,44;237587;157;2462309;10,3638
02/11/2023;10,10;10,90;10,10;10,38;10,38;139043;104;1475453;10,6115
01/11/2023;10,38;10,52;10,38;10,46;10,46;68371;78;714838;10,4553
31/10/2023;10,42;10,60;10,42;10,50;10,50;39372;49;414335;10,5236
30/10/2023;10,20;10,64;10,20;10,50;10,50;73793;91;774542;10,4962
27/10/2023;10,50;10,76;10,02;10,20;10,20;417032;168;4232178;10,1483
26/10/2023;10,66;10,80;10,14;10,52;10,52;494381;227;5167801;10,4531
25/10/2023;10,76;10,76;10,60;10,66;10,66;110737;114;1182934;10,6824
24/10/2023;10,68;10,98;10,60;10,80;10,80;124180;112;1341457;10,8025
23/10/2023;10,72;11,06;10,72;10,94;10,94;111030;109;1218891;10,9780
20/10/2023;11,34;11,34;11,00;11,02;11,02;177692;182;1977864;11,1309
19/10/2023;11,26;11,50;11,20;11,34;11,34;139263;131;1579222;11,3399
18/10/2023;11,16;11,40;11,12;11,32;11,32;87228;69;981406;11,2510
17/10/2023;11,12;11,24;11,10;11,16;11,16;68835;85;769199;11,1745
16/10/2023;11,44;11,44;11,14;11,28;11,28;149004;139;1676331;11,2502
13/10/2023;11,04;11,60;11,04;11,44;11,44;141691;136;1630832;11,5098
12/10/2023;11,34;11,34;10,98;11,16;11,16;340797;216;3778072;11,0860
11/10/2023;11,16;11,26;11,08;11,14;11,14;92538;77;1032311;11,1555
10/10/2023;10,86;11,30;10,86;11,14;11,14;38055;89;425170;11,1725
09/10/2023;11,02;11,32;11,00;11,06;11,06;125845;118;1403269;11,1508
06/10/2023;11,00;11,12;10,90;10,98;10,98;93842;79;1033859;11,0170
05/10/2023;11,46;11,46;10,86;11,00;11,00;100255;107;1102024;10,9922
04/10/2023;11,32;11,40;11,08;11,08;11,08;115394;94;1301671;11,2802
03/10/2023;11,60;11,72;11,36;11,36;11,36;138168;150;1584260;11,4662
02/10/2023;11,92;12,14;11,62;11,62;11,62;450459;189;5386238;11,9572
29/09/2023;11,90;11,92;11,84;11,86;11,86;51974;55;618023;11,8910
28/09/2023;12,20;12,20;11,88;11,90;11,90;72771;70;872261;11,9864
27/09/2023;11,60;12,16;11,60;12,16;12,16;203945;134;2440711;11,9675
26/09/2023;11,92;11,92;11,64;11,68;11,68;104344;102;1229811;11,7861
25/09/2023;12,00;12,00;11,82;11,82;11,82;131189;89;1558242;11,8778
22/09/2023;12,06;12,06;11,72;11,84;11,84;102444;80;1210351;11,8148
21/09/2023;12,00;12,02;11,84;11,98;11,98;338906;105;4037612;11,9137
20/09/2023;11,72;12,00;11,64;11,94;11,94;156371;109;1850513;11,8341
19/09/2023;11,60;11,70;11,52;11,58;11,58;314298;89;3645242;11,5980
18/09/2023;11,48;11,54;11,20;11,54;11,54;139153;70;1590061;11,4267
15/09/2023;11,28;11,48;11,14;11,48;11,48;72597;61;820637;11,3040
14/09/2023;11,04;11,18;11,00;11,08;11,08;69837;77;773963;11,0824
13/09/2023;11,20;11,24;11,04;11,04;11,04;79996;77;890057;11,1263
12/09/2023;11,10;11,20;11,04;11,20;11,20;39494;57;439886;11,1381
11/09/2023;11,00;11,44;11,00;11,16;11,16;224214;136;2533519;11,2996
08/09/2023;10,90;11,18;10,90;11,14;11,14;162922;132;1802744;11,0651
07/09/2023;10,90;11,00;10,74;11,00;11,00;579732;110;6313863;10,8910
06/09/2023;10,86;11,06;10,86;11,00;11,00;33077;34;363799;10,9986
05/09/2023;10,80;11,10;10,80;11,06;11,06;79970;68;876117;10,9556
04/09/2023;10,64;10,96;10,64;10,94;10,94;33182;40;359893;10,8460
01/09/2023;10,60;10,94;10,60;10,78;10,78;50312;49;541116;10,7552
31/08/2023;10,78;10,80;10,66;10,70;10,70;20784;44;223229;10,7404
30/08/2023;10,60;10,80;10,58;10,78;10,78;45169;66;483337;10,7006
29/08/2023;10,70;10,82;10,58;10,58;10,58;41762;72;446210;10,6846
28/08/2023;10,66;10,94;10,66;10,76;10,76;58027;75;626519;10,7970
25/08/2023;10,88;11,00;10,74;11,00;11,00;26949;39;291623;10,8213
