"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010886625
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;41,50;42,85;37,40;42,30;42,30;129121;83;5421972;41,9914
03/11/2023;37,45;41,15;37,45;41,15;41,15;36572;105;1477402;40,3971
02/11/2023;39,00;39,20;38,45;39,20;39,20;149020;126;5773723;38,7446
01/11/2023;38,90;39,25;37,05;39,25;39,25;17010;86;651943;38,3271
31/10/2023;37,00;37,50;36,60;37,00;37,00;7531;28;278817;37,0225
30/10/2023;37,00;39,80;36,20;37,00;37,00;23649;90;874328;36,9710
27/10/2023;38,60;38,60;37,00;37,00;37,00;21392;52;796443;37,2309
26/10/2023;39,80;40,00;38,15;38,25;38,25;36421;91;1423221;39,0769
25/10/2023;39,00;39,25;38,50;38,90;38,90;6264;35;243636;38,8947
24/10/2023;37,50;39,05;37,50;39,00;39,00;2936;27;113830;38,7705
23/10/2023;39,00;39,20;38,00;38,90;38,90;18183;82;700261;38,5119
20/10/2023;37,00;39,60;37,00;39,05;39,05;33161;73;1289597;38,8890
19/10/2023;38,55;38,55;38,00;38,15;38,15;8505;40;325265;38,2440
18/10/2023;39,50;39,50;38,55;38,55;38,55;9496;44;372840;39,2629
17/10/2023;39,90;39,90;38,55;39,15;39,15;8059;31;314247;38,9933
16/10/2023;40,00;40,00;37,95;39,50;39,50;27145;75;1063234;39,1687
13/10/2023;40,00;40,00;38,75;38,95;38,95;15432;36;601614;38,9848
12/10/2023;40,00;41,00;39,10;39,10;39,10;35566;84;1432469;40,2763
11/10/2023;38,00;40,20;38,00;40,20;40,20;29809;66;1167042;39,1506
10/10/2023;37,00;37,45;36,60;37,20;37,20;156043;83;5753083;36,8686
09/10/2023;37,00;38,50;36,80;37,00;37,00;38488;121;1426510;37,0638
06/10/2023;38,50;38,80;37,40;38,00;38,00;30119;73;1142981;37,9488
05/10/2023;37,00;38,45;37,00;38,00;38,00;26175;58;993994;37,9749
04/10/2023;37,70;39,60;37,65;38,00;38,00;9780;88;377258;38,5744
03/10/2023;38,75;39,40;38,55;38,55;38,55;4016;28;156522;38,9747
02/10/2023;40,30;40,30;39,10;39,65;39,65;11750;46;467125;39,7553
29/09/2023;38,00;40,10;38,00;39,30;39,30;17092;69;677948;39,6647
28/09/2023;39,70;39,85;39,40;39,70;39,70;5842;36;231142;39,5655
27/09/2023;39,50;40,90;39,50;39,70;39,70;32689;115;1310125;40,0785
26/09/2023;39,25;40,90;39,10;40,00;40,00;74363;109;2978130;40,0486
25/09/2023;40,50;40,70;39,05;39,85;39,85;21947;76;874309;39,8373
22/09/2023;38,50;40,55;38,50;39,45;39,45;40829;125;1615596;39,5698
21/09/2023;38,20;39,95;38,00;38,55;38,55;565368;84;21775802;38,5162
20/09/2023;40,00;40,75;38,40;38,40;38,40;160571;62;6387433;39,7795
19/09/2023;41,50;41,50;39,70;40,00;40,00;42572;82;1715558;40,2978
18/09/2023;42,50;42,50;40,95;41,90;41,90;7027;47;291395;41,4679
15/09/2023;42,50;43,55;41,70;42,75;42,75;40678;73;1742204;42,8291
14/09/2023;43,00;43,45;42,10;42,85;42,85;124551;30;5344932;42,9136
13/09/2023;44,00;44,00;42,55;42,70;42,70;4392;54;188996;43,0319
12/09/2023;42,05;44,25;41,85;44,00;44,00;11129;46;470279;42,2571
11/09/2023;43,40;43,40;41,95;42,10;42,10;4326;41;183480;42,4134
08/09/2023;44,00;44,00;42,05;42,70;42,70;297976;152;12540813;42,0867
07/09/2023;45,00;45,00;43,05;44,05;44,05;18967;78;841213;44,3514
06/09/2023;44,25;46,00;42,95;46,00;46,00;44315;100;2017283;45,5214
05/09/2023;44,75;44,75;44,25;44,25;44,25;23985;33;1067566;44,5098
