"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010890304
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;11,80;12,31;11,80;12,06;12,06;474945;429;5755744;12,1188
03/11/2023;11,45;12,07;11,32;11,77;11,77;800451;659;9418740;11,7668
02/11/2023;10,80;11,47;10,78;11,45;11,45;767341;650;8687825;11,3220
01/11/2023;10,62;10,80;10,52;10,68;10,68;347685;371;3696928;10,6330
31/10/2023;10,58;10,85;10,50;10,58;10,58;456622;336;4867310;10,6594
30/10/2023;10,18;10,65;10,18;10,45;10,45;659848;554;6891704;10,4444
27/10/2023;10,40;10,44;9,80;10,14;10,14;889744;630;9102015;10,2299
26/10/2023;9,89;10,06;9,465;9,75;9,75;932834;1085;9106574;9,7623
25/10/2023;10,36;10,59;10,20;10,27;10,27;628258;631;6498424;10,3436
24/10/2023;10,40;10,89;10,40;10,56;10,56;498610;471;5309757;10,6491
23/10/2023;10,60;10,60;10,18;10,45;10,45;538051;492;5591393;10,3919
20/10/2023;10,72;10,80;10,05;10,68;10,68;1475980;1277;15444684;10,4640
19/10/2023;10,50;11,30;10,07;10,77;10,77;2601997;1392;27699095;10,6453
18/10/2023;10,27;10,72;10,21;10,43;10,43;852343;714;8946569;10,4964
17/10/2023;10,40;10,57;10,14;10,28;10,28;569548;404;5879144;10,3225
16/10/2023;10,12;10,60;10,10;10,41;10,41;716268;596;7393753;10,3226
13/10/2023;9,90;10,25;9,745;10,01;10,01;759960;722;7616881;10,0227
12/10/2023;10,50;10,50;9,685;9,82;9,82;1350921;893;13354532;9,8855
11/10/2023;10,00;10,69;9,81;10,09;10,09;1289078;927;13091709;10,1559
10/10/2023;9,06;9,74;9,06;9,64;9,64;783271;537;7495732;9,5698
09/10/2023;9,34;9,34;9,00;9,06;9,06;669156;517;6112670;9,1349
06/10/2023;9,395;9,88;9,115;9,35;9,35;866364;688;8148712;9,4056
05/10/2023;9,22;9,50;9,08;9,225;9,225;978124;811;9055828;9,2584
04/10/2023;9,53;9,56;9,10;9,105;9,105;1515080;1040;14011176;9,2478
03/10/2023;10,20;10,37;9,525;9,665;9,665;2142674;1594;21224371;9,9056
02/10/2023;11,30;11,72;10,64;10,71;10,71;460955;487;5060486;10,9783
29/09/2023;10,82;11,58;10,82;11,33;11,33;378172;414;4287797;11,3382
28/09/2023;10,84;11,13;10,76;10,82;10,82;249133;250;2715711;10,9006
27/09/2023;10,86;11,25;10,68;11,17;11,17;376758;372;4172875;11,0757
26/09/2023;11,24;11,26;10,62;10,76;10,76;442138;492;4798293;10,8525
25/09/2023;11,05;11,14;10,77;11,07;11,07;345538;407;3784355;10,9521
22/09/2023;11,00;11,19;10,95;11,06;11,06;220334;294;2440198;11,0750
21/09/2023;11,22;11,27;10,90;11,11;11,11;406085;467;4504556;11,0926
20/09/2023;11,05;11,56;11,05;11,32;11,32;332446;308;3779924;11,3700
19/09/2023;11,17;11,30;11,03;11,16;11,16;211360;254;2358422;11,1583
18/09/2023;11,30;11,45;11,01;11,17;11,17;278065;368;3119707;11,2193
15/09/2023;11,55;11,72;11,25;11,32;11,32;321214;269;3665062;11,4100
14/09/2023;11,15;11,71;11,15;11,55;11,55;394107;433;4533279;11,5027
13/09/2023;11,30;11,42;10,99;11,22;11,22;346211;363;3858001;11,1435
12/09/2023;11,48;11,52;11,20;11,36;11,36;475043;478;5392253;11,3511
11/09/2023;11,26;11,42;11,02;11,24;11,24;628508;517;7050991;11,2186
08/09/2023;11,50;11,96;11,22;11,27;11,27;714652;646;8178662;11,4443
07/09/2023;11,75;11,94;11,48;11,75;11,75;336685;405;3940670;11,7043
06/09/2023;11,82;11,98;11,76;11,82;11,82;328428;300;3889873;11,8439
05/09/2023;11,93;12,04;11,80;11,94;11,94;281971;252;3367083;11,9412
04/09/2023;11,75;12,07;11,70;11,88;11,88;352500;315;4196412;11,9047
01/09/2023;12,55;12,55;11,70;11,78;11,78;812603;511;9672222;11,9028
31/08/2023;11,88;12,39;11,85;12,32;12,32;466546;342;5720795;12,2620
30/08/2023;11,82;12,20;11,71;12,05;12,05;252226;367;3032433;12,0227
29/08/2023;11,92;12,05;11,75;11,81;11,81;351346;370;4161946;11,8457
28/08/2023;12,00;12,13;11,62;11,92;11,92;380002;343;4505862;11,8575
25/08/2023;11,81;11,88;11,50;11,83;11,83;537546;579;6284926;11,6919
24/08/2023;12,38;12,55;11,78;11,78;11,78;526976;441;6362684;12,0740
23/08/2023;12,39;12,63;12,29;12,37;12,37;320823;418;3979619;12,4044
22/08/2023;12,85;13,15;12,30;12,39;12,39;525876;643;6651245;12,6479
21/08/2023;12,40;13,07;12,18;12,87;12,87;504476;537;6443394;12,7725
18/08/2023;13,14;13,14;12,17;12,44;12,44;789092;832;9874285;12,5135
17/08/2023;13,01;13,48;12,89;13,12;13,12;490015;488;6442858;13,1483
16/08/2023;13,10;13,32;12,93;13,12;13,12;299689;404;3940952;13,1501
15/08/2023;13,30;13,39;13,01;13,14;13,14;377255;366;4978192;13,1958
14/08/2023;13,56;13,69;13,13;13,30;13,30;310474;325;4146425;13,3551
11/08/2023;14,28;14,29;13,56;13,72;13,72;464750;507;6414299;13,8016
10/08/2023;14,17;14,30;14,05;14,28;14,28;199666;274;2838402;14,2157
09/08/2023;14,18;14,44;14,07;14,07;14,07;259432;354;3691068;14,2275
08/08/2023;14,03;14,28;13,89;14,15;14,15;298029;405;4202810;14,1020
07/08/2023;14,48;14,48;13,90;14,03;14,03;282579;425;3981897;14,0913
04/08/2023;14,62;14,86;14,22;14,43;14,43;665158;694;9622380;14,4663
03/08/2023;15,26;15,30;14,62;14,62;14,62;420856;412;6247826;14,8455
02/08/2023;15,03;15,29;14,60;15,19;15,19;610914;537;9164874;15,0019
01/08/2023;15,20;15,80;15,10;15,23;15,23;473355;549;7282156;15,3841
31/07/2023;15,45;15,65;15,21;15,41;15,41;401438;422;6192178;15,4250
28/07/2023;15,70;15,70;15,16;15,60;15,60;573687;569;8875112;15,4703
27/07/2023;15,90;15,90;15,27;15,57;15,57;499545;558;7770938;15,5560
26/07/2023;15,10;15,92;15,10;15,58;15,58;641969;675;10011814;15,5955
25/07/2023;14,90;15,50;14,76;15,40;15,40;655025;721;10036776;15,3227
24/07/2023;14,95;15,10;14,63;14,95;14,95;331524;454;4930332;14,8717
21/07/2023;14,30;15,05;14,17;14,95;14,95;568172;594;8367801;14,7276
20/07/2023;14,45;14,64;14,18;14,48;14,48;436328;498;6290679;14,4173
19/07/2023;14,30;14,85;14,30;14,65;14,65;367583;428;5381599;14,6405
18/07/2023;14,33;14,65;14,11;14,32;14,32;432705;513;6181685;14,2861
17/07/2023;14,59;14,80;14,21;14,32;14,32;422753;434;6085158;14,3941
14/07/2023;15,50;15,65;14,14;14,96;14,96;959391;982;14233680;14,8362
13/07/2023;13,40;15,29;13,15;15,29;15,29;1767455;1349;26342633;14,9043
12/07/2023;13,04;13,50;13,00;13,47;13,47;807590;990;10761027;13,3249
11/07/2023;13,20;13,57;12,60;13,06;13,06;1215785;813;15884531;13,0652
10/07/2023;13,10;13,37;12,87;13,28;13,28;454973;440;6019218;13,2298
07/07/2023;13,02;13,27;12,82;13,17;13,17;364905;410;4781889;13,1045
06/07/2023;13,17;13,35;13,01;13,12;13,12;267851;317;3519820;13,1410
05/07/2023;13,42;13,59;13,18;13,36;13,36;447781;332;5985762;13,3676
04/07/2023;14,10;14,18;13,60;13,62;13,62;331636;421;4570062;13,7804
03/07/2023;14,06;14,25;13,62;14,15;14,15;515283;515;7211580;13,9954
30/06/2023;13,68;14,25;13,62;14,04;14,04;1042191;574;14603781;14,0126
29/06/2023;12,95;13,73;12,95;13,60;13,60;965351;518;13037126;13,5051
28/06/2023;13,11;13,24;12,71;12,95;12,95;373556;365;4843910;12,9670
27/06/2023;13,50;13,56;12,90;13,09;13,09;383127;404;5027331;13,1218
26/06/2023;13,84;14,23;13,26;13,46;13,46;1090660;850;14811263;13,5801
23/06/2023;13,55;13,80;13,05;13,20;13,20;417946;507;5545941;13,2695
22/06/2023;13,70;14,10;13,61;13,93;13,93;684703;492;9503207;13,8793
21/06/2023;14,60;14,60;13,81;13,99;13,99;652481;812;9182608;14,0734
20/06/2023;15,65;15,75;14,76;14,76;14,76;1519777;1090;23059884;15,1732
19/06/2023;15,98;15,99;15,40;15,75;15,75;352523;472;5515449;15,6456
16/06/2023;15,70;16,69;15,44;16,05;16,05;1140537;930;18390560;16,1245
15/06/2023;15,36;15,65;14,40;15,35;15,35;1375543;962;20830705;15,1436
14/06/2023;15,00;15,63;14,83;15,30;15,30;797381;700;12235974;15,3452
13/06/2023;15,46;15,60;14,36;14,97;14,97;1118509;979;16553457;14,7996
12/06/2023;14,30;15,47;14,22;15,30;15,30;2254371;1352;33961128;15,0646
09/06/2023;13,55;14,24;13,41;14,17;14,17;1186035;855;16634669;14,0254
08/06/2023;13,59;13,72;13,27;13,57;13,57;755538;675;10220759;13,5278
07/06/2023;12,60;13,61;12,60;13,51;13,51;750861;618;10033244;13,3623
06/06/2023;13,00;13,19;12,62;12,82;12,82;753576;516;9658587;12,8170
05/06/2023;13,23;13,32;12,93;13,10;13,10;482097;419;6311509;13,0918
02/06/2023;12,84;13,31;12,70;13,13;13,13;880744;656;11538592;13,1010
01/06/2023;12,53;12,79;12,23;12,63;12,63;729275;568;9117384;12,5020
31/05/2023;12,00;12,64;11,91;12,44;12,44;1462908;709;18155853;12,4108
30/05/2023;12,00;12,20;11,85;12,05;12,05;1104886;623;13293422;12,0315
29/05/2023;0,00;0,00;0,00;0,00;11,99;0;0;0;0,0000
26/05/2023;12,10;12,28;11,94;11,99;11,99;832358;658;10058240;12,0840
25/05/2023;12,34;12,34;11,89;12,01;12,01;770613;664;9292014;12,0580
24/05/2023;12,50;12,50;12,19;12,39;12,39;395266;409;4877390;12,3395
23/05/2023;12,90;13,13;12,54;12,60;12,60;530912;474;6769594;12,7509
22/05/2023;12,17;12,89;12,11;12,89;12,89;861558;725;10909664;12,6627
19/05/2023;12,61;12,75;12,15;12,29;12,29;1135348;853;14046876;12,3723
18/05/2023;0,00;0,00;0,00;0,00;11,95;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;11,95;0;0;0;0,0000
16/05/2023;12,50;13,37;11,92;11,95;11,95;1832250;1314;22642285;12,3576
15/05/2023;10,70;13,22;10,51;12,68;12,68;3977731;2549;48891241;12,2912
12/05/2023;10,46;10,74;10,46;10,71;10,71;555008;466;5896443;10,6241
11/05/2023;10,10;10,63;10,04;10,34;10,34;932039;675;9665179;10,3699
10/05/2023;10,40;10,44;9,925;10,08;10,08;905557;733;9132578;10,0850
09/05/2023;10,46;10,67;10,21;10,33;10,33;470080;457;4878299;10,3776
08/05/2023;10,61;10,87;10,20;10,60;10,60;1113014;763;11774938;10,5793
05/05/2023;10,33;10,65;10,16;10,54;10,54;761723;598;7959355;10,4491
04/05/2023;10,40;10,50;10,30;10,35;10,35;515866;457;5358775;10,3879
03/05/2023;10,62;10,74;10,22;10,42;10,42;776183;607;8119659;10,4610
02/05/2023;10,87;11,15;10,44;10,44;10,44;959576;816;10188414;10,6176
28/04/2023;10,60;10,95;10,40;10,89;10,89;823122;714;8851125;10,7531
27/04/2023;9,945;10,51;9,26;10,40;10,40;2610479;1979;26047987;9,9782
26/04/2023;11,28;11,38;9,855;9,945;9,945;2785970;2123;28597817;10,2649
25/04/2023;11,30;11,46;11,15;11,26;11,26;789014;707;8898248;11,2777
24/04/2023;11,49;11,96;11,40;11,56;11,56;865672;615;9988107;11,5380
21/04/2023;12,02;12,02;11,44;11,63;11,63;1167640;912;13684444;11,7197
20/04/2023;12,30;12,35;11,68;11,98;11,98;827009;682;9895305;11,9652
19/04/2023;12,44;12,49;12,04;12,36;12,36;881647;704;10849261;12,3057
18/04/2023;13,06;13,06;12,50;12,62;12,62;1079050;801;13744362;12,7375
17/04/2023;13,40;13,46;12,93;13,03;13,03;701899;584;9181995;13,0816
14/04/2023;13,50;13,70;13,43;13,49;13,49;310751;415;4211980;13,5542
13/04/2023;13,70;13,70;13,29;13,44;13,44;401338;423;5407902;13,4747
12/04/2023;13,60;14,06;13,57;13,70;13,70;483625;644;6651166;13,7527
11/04/2023;13,83;14,07;13,64;13,85;13,85;556418;874;7726936;13,8869
06/04/2023;0,00;0,00;0,00;0,00;13,63;0;0;0;0,0000
05/04/2023;13,70;14,25;13,61;13,63;13,63;225870;277;3114034;13,7868
04/04/2023;14,54;14,63;13,87;13,87;13,87;631921;472;8899172;14,0827
03/04/2023;14,79;14,91;14,28;14,33;14,33;714984;644;10408562;14,5578
