"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010716582
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;43,48;44,52;42,88;44,00;44,00;830426;1297;36564935;44,0315
03/11/2023;43,80;43,98;42,84;42,84;42,84;551076;931;23819961;43,2245
02/11/2023;43,00;43,72;42,80;43,52;43,52;584725;1042;25301106;43,2701
01/11/2023;44,36;44,48;42,52;43,06;43,06;1158404;1842;49946691;43,1168
31/10/2023;46,00;46,00;43,64;44,52;44,52;2054734;2870;91804901;44,6797
30/10/2023;44,38;47,04;43,50;46,18;46,18;2780351;3861;127839463;45,9796
27/10/2023;42,00;43,24;41,94;42,42;42,42;859222;1073;36678356;42,6879
26/10/2023;41,90;42,02;41,16;41,66;41,66;505768;799;21035636;41,5915
25/10/2023;41,64;41,94;41,32;41,62;41,62;300394;611;12500048;41,6122
24/10/2023;41,00;41,92;40,92;41,52;41,52;326692;586;13569914;41,5373
23/10/2023;41,22;41,42;40,54;41,02;41,02;449482;781;18475631;41,1043
20/10/2023;42,00;42,50;41,62;41,62;41,62;443466;646;18559609;41,8513
19/10/2023;42,90;43,02;41,58;42,12;42,12;433083;863;18200467;42,0254
18/10/2023;43,68;43,88;42,82;42,96;42,96;506639;759;21907932;43,2417
17/10/2023;43,60;44,10;43,30;43,94;43,94;645332;877;28248442;43,7735
16/10/2023;43,52;43,90;43,24;43,90;43,90;771032;877;33736087;43,7545
13/10/2023;43,10;43,98;43,10;43,60;43,60;472189;667;20578193;43,5804
12/10/2023;41,52;43,56;41,52;43,36;43,36;1048292;1319;45242166;43,1580
11/10/2023;43,00;43,12;41,10;41,68;41,68;636829;869;26747438;42,0010
10/10/2023;41,00;43,12;40,48;42,84;42,84;1046610;1603;44179109;42,2116
09/10/2023;40,54;41,46;40,38;41,12;41,12;517755;759;21199362;40,9448
06/10/2023;40,50;40,64;39,92;39,92;39,92;625019;904;25085045;40,1349
05/10/2023;40,02;40,86;39,70;40,70;40,70;810992;1219;32728935;40,3567
04/10/2023;41,60;41,60;40,08;40,20;40,20;668355;1005;27292206;40,8349
03/10/2023;42,52;42,74;41,72;41,72;41,72;971707;1305;40857573;42,0472
02/10/2023;43,20;43,86;42,70;43,06;43,06;706211;1119;30562917;43,2773
29/09/2023;44,30;44,30;43,20;43,20;43,20;1019746;1381;44464273;43,6033
28/09/2023;45,00;45,94;44,32;44,32;44,32;385724;818;17351018;44,9830
27/09/2023;44,30;45,16;44,26;45,10;45,10;498726;659;22405780;44,9260
26/09/2023;44,80;45,12;44,04;44,32;44,32;302301;599;13464105;44,5387
25/09/2023;45,02;45,70;44,66;44,72;44,72;376795;632;16930297;44,9324
22/09/2023;46,00;46,50;45,40;45,84;45,84;370278;601;16929758;45,7217
21/09/2023;47,00;47,00;45,94;46,48;46,48;326224;709;15145366;46,4263
20/09/2023;47,00;47,10;45,86;46,96;46,96;476444;757;22254222;46,7090
19/09/2023;47,00;47,28;46,36;47,00;47,00;446035;724;20934579;46,9348
18/09/2023;46,00;46,60;45,90;46,60;46,60;351091;677;16285485;46,3854
15/09/2023;46,00;46,78;45,88;45,88;45,88;1169903;1273;53581999;45,8004
14/09/2023;45,22;45,94;45,20;45,80;45,80;279118;515;12745290;45,6627
13/09/2023;46,20;46,20;45,18;45,22;45,22;339395;633;15431509;45,4677
12/09/2023;46,02;46,18;45,48;45,90;45,90;345911;605;15846817;45,8118
