"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010234552
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;698,00;709,00;697,00;702,00;702,00;39650;689;27870001;702,9004
03/11/2023;670,00;708,00;670,00;698,00;698,00;122244;1694;84427355;690,6462
02/11/2023;655,00;661,50;652,00;660,00;660,00;33963;564;22347164;657,9856
01/11/2023;666,00;666,00;647,00;652,00;652,00;51031;670;33409129;654,6830
31/10/2023;660,00;670,00;653,50;670,00;670,00;65420;565;43601663;666,4883
30/10/2023;640,00;662,00;639,00;659,00;659,00;51583;702;33886366;656,9289
27/10/2023;645,00;647,50;635,50;638,50;638,50;15642;361;10034599;641,5163
26/10/2023;644,00;646,50;631,50;637,00;637,00;24434;473;15574197;637,3986
25/10/2023;650,50;654,50;645,50;646,00;646,00;20702;388;13420706;648,2806
24/10/2023;645,50;657,00;644,00;656,00;656,00;14995;285;9800731;653,5999
23/10/2023;647,00;654,00;645,50;650,00;650,00;32850;494;21329950;649,3135
20/10/2023;660,50;669,00;657,50;657,50;657,50;26684;385;17647895;661,3662
19/10/2023;672,00;672,00;661,00;668,00;668,00;23103;477;15402190;666,6749
18/10/2023;675,00;679,50;672,00;672,50;672,50;23676;381;15962150;674,1911
17/10/2023;665,00;675,50;665,00;673,50;673,50;24465;512;16451635;672,4559
16/10/2023;670,00;676,50;666,50;671,50;671,50;21864;371;14703380;672,4927
13/10/2023;665,00;675,00;662,00;670,00;670,00;32898;386;22046602;670,1502
12/10/2023;656,00;666,50;652,50;665,00;665,00;36412;529;24073491;661,1417
11/10/2023;649,50;659,00;648,50;653,50;653,50;111118;725;72616754;653,5103
10/10/2023;641,00;652,00;640,00;652,00;652,00;33418;516;21661450;648,1971
09/10/2023;629,00;644,00;628,50;641,00;641,00;32300;626;20625913;638,5731
06/10/2023;625,00;630,00;620,00;622,00;622,00;23127;500;14440571;624,4031
05/10/2023;631,50;631,50;620,00;626,50;626,50;21386;386;13379645;625,6263
04/10/2023;619,00;640,00;619,00;632,50;632,50;25443;451;16098959;632,7461
03/10/2023;652,00;652,00;642,00;642,00;642,00;19965;397;12871188;644,6876
02/10/2023;661,00;667,50;650,50;654,00;654,00;28063;512;18471353;658,2102
29/09/2023;657,00;667,50;657,00;659,50;659,50;34208;436;22671108;662,7429
28/09/2023;658,00;664,50;655,00;655,00;655,00;33227;482;21879073;658,4727
27/09/2023;645,50;661,00;645,50;658,00;658,00;12020;316;7885174;656,0045
26/09/2023;652,50;655,50;641,50;653,00;653,00;20569;437;13333340;648,2250
25/09/2023;659,00;659,00;648,50;652,50;652,50;15980;389;10425870;652,4324
22/09/2023;661,00;661,00;651,50;659,00;659,00;17342;284;11394149;657,0262
21/09/2023;681,50;681,50;663,00;666,50;666,50;30643;483;20534843;670,1316
20/09/2023;675,00;686,00;675,00;682,50;682,50;18918;305;12912737;682,5635
19/09/2023;682,50;686,50;673,00;683,00;683,00;15872;316;10824212;681,9690
18/09/2023;686,00;686,00;679,50;681,50;681,50;14882;346;10150999;682,0991
15/09/2023;690,50;692,00;681,00;686,50;686,50;39580;557;27151718;685,9959
14/09/2023;678,00;690,50;677,50;687,00;687,00;33125;442;22718047;685,8278
13/09/2023;670,00;677,50;668,50;675,50;675,50;30536;420;20602441;674,6935
12/09/2023;666,50;670,00;662,00;670,00;670,00;24371;356;16266121;667,4375
11/09/2023;668,00;671,50;663,00;666,50;666,50;20193;351;13477428;667,4307
08/09/2023;674,00;674,00;663,00;666,00;666,00;25644;362;17129561;667,9754
07/09/2023;670,00;674,00;658,00;673,00;673,00;26361;499;17623752;668,5540
06/09/2023;664,50;670,00;659,50;670,00;670,00;20490;422;13631332;665,2675
05/09/2023;660,00;673,00;653,50;664,50;664,50;24711;416;16479049;666,8710
04/09/2023;659,00;663,50;655,00;661,00;661,00;20308;353;13403539;660,0128
01/09/2023;659,00;662,50;654,50;659,00;659,00;17429;315;11482942;658,8411
31/08/2023;657,00;658,50;652,00;656,00;656,00;15674;217;10277566;655,7079
30/08/2023;644,00;658,50;644,00;653,00;653,00;40046;424;26180197;653,7531
29/08/2023;645,00;649,50;640,50;642,00;642,00;18982;328;12199246;642,6744
28/08/2023;642,50;647,00;638,50;644,00;644,00;21528;444;13821297;642,0149
25/08/2023;640,50;648,50;640,50;642,00;642,00;15487;408;9955427;642,8247
24/08/2023;646,00;650,00;638,50;644,00;644,00;18249;365;11751529;643,9547
23/08/2023;643,00;651,50;640,50;645,50;645,50;63618;348;41078306;645,7026
22/08/2023;649,50;653,50;648,00;651,50;651,50;21860;390;14233459;651,1189
21/08/2023;646,00;656,00;646,00;652,50;652,50;25211;471;16450987;652,5321
18/08/2023;655,00;657,00;639,00;645,00;645,00;23119;394;14917550;645,2506
17/08/2023;657,00;661,00;654,50;660,00;660,00;22554;383;14871378;659,3676
16/08/2023;653,50;659,50;651,50;658,50;658,50;9464;262;6214693;656,6666
15/08/2023;652,00;657,00;647,50;652,50;652,50;25635;364;16728912;652,5809
14/08/2023;655,00;660,00;647,50;657,00;657,00;23327;450;15290483;655,4843
11/08/2023;649,00;668,00;649,00;665,00;665,00;36729;613;24294992;661,4662
10/08/2023;648,50;657,00;643,00;656,50;656,50;25297;508;16488053;651,7790
09/08/2023;627,50;650,00;627,50;648,50;648,50;24942;406;16054218;643,6620
08/08/2023;634,00;636,00;621,00;626,00;626,00;13701;313;8590612;627,0062
07/08/2023;649,00;649,00;636,00;638,00;638,00;16762;347;10764680;642,2073
04/08/2023;649,00;649,50;640,00;646,50;646,50;15882;348;10244102;645,0133
03/08/2023;645,00;645,00;631,50;635,00;635,00;19014;491;12084257;635,5452
02/08/2023;650,00;650,50;636,00;643,00;643,00;27827;378;17942712;644,7950
01/08/2023;652,50;652,50;642,00;648,00;648,00;16401;299;10608648;646,8293
31/07/2023;644,50;650,50;640,50;644,00;644,00;35283;334;22767324;645,2774
28/07/2023;646,50;646,50;634,50;640,50;640,50;18572;310;11865632;638,8990
27/07/2023;649,00;649,00;637,50;645,00;645,00;22223;313;14309537;643,9066
26/07/2023;640,50;648,50;638,50;642,00;642,00;15220;289;9786834;643,0245
25/07/2023;647,00;648,00;640,50;641,00;641,00;10365;349;6669584;643,4716
24/07/2023;646,50;646,50;637,00;643,00;643,00;18613;402;11955808;642,3364
21/07/2023;635,00;641,50;635,00;641,00;641,00;11284;277;7222638;640,0778
20/07/2023;644,50;647,00;635,50;640,00;640,00;22203;514;14216776;640,3088
19/07/2023;629,00;640,00;625,00;640,00;640,00;24101;404;15303665;634,9805
18/07/2023;609,00;631,00;600,50;629,50;629,50;22080;457;13678710;619,5068
17/07/2023;618,00;620,50;609,00;611,00;611,00;21868;426;13413830;613,3999
14/07/2023;637,00;637,00;617,00;618,50;618,50;14136;321;8767078;620,1951
13/07/2023;626,50;638,50;624,00;632,00;632,00;57566;844;36296307;630,5164
12/07/2023;603,00;618,50;602,00;617,00;617,00;26235;443;16079920;612,9186
11/07/2023;603,00;603,00;595,50;600,50;600,50;20882;408;12522394;599,6740
10/07/2023;604,00;604,00;595,50;600,00;600,00;23225;445;13938898;600,1678
07/07/2023;598,00;604,50;593,00;604,00;604,00;16800;331;10079050;599,9435
06/07/2023;609,00;610,50;591,00;591,00;591,00;21642;412;12943493;598,0728
05/07/2023;610,00;618,50;609,50;611,50;611,50;31449;500;19287195;613,2848
04/07/2023;613,50;619,00;613,00;614,00;614,00;23726;300;14595362;615,1632
03/07/2023;606,00;618,00;606,00;613,00;613,00;16187;269;9938633;613,9885
30/06/2023;610,00;616,00;606,50;608,50;608,50;25403;337;15483522;609,5155
29/06/2023;594,50;609,50;594,50;607,50;607,50;18234;321;11016661;604,1823
28/06/2023;595,00;600,00;587,50;600,00;600,00;32619;439;19444618;596,1132
27/06/2023;589,00;596,00;585,00;594,50;594,50;59544;739;35177786;590,7864
26/06/2023;580,00;595,00;575,00;589,00;589,00;59279;640;34621953;584,0509
23/06/2023;585,50;588,00;579,00;581,00;581,00;22121;515;12891144;582,7559
22/06/2023;595,50;597,50;586,50;589,00;589,00;43482;674;25678496;590,5546
21/06/2023;616,00;616,00;597,50;600,00;600,00;41877;661;25178061;601,2384
20/06/2023;610,00;616,50;610,00;611,50;611,50;25121;396;15383771;612,3869
19/06/2023;625,00;625,00;613,50;617,00;617,00;21843;352;13470599;616,7009
16/06/2023;633,00;635,50;626,00;627,00;627,00;37134;501;23318606;627,9584
15/06/2023;617,50;625,00;617,50;622,00;622,00;33672;423;20941091;621,9141
14/06/2023;628,00;633,00;621,50;628,00;628,00;53691;864;33736119;628,3384
13/06/2023;628,00;634,00;623,00;634,00;634,00;38671;613;24340459;629,4241
12/06/2023;618,00;626,50;610,00;624,50;624,50;62958;1034;39178164;622,2905
09/06/2023;613,50;621,50;607,50;621,50;621,50;36630;515;22654695;618,4738
08/06/2023;622,00;624,00;611,50;613,50;613,50;34335;584;21175696;616,7379
