"Historical Data"
"From 2021-11-08 to 2023-11-07"
SE0015193412
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,32;5,98;5,32;5,98;5,98;1770;4;9650;5,4518
03/11/2023;5,80;5,88;5,80;5,88;5,88;4862;2;28440;5,8494
02/11/2023;5,64;6,18;5,50;5,90;5,90;10568;9;60526;5,7273
01/11/2023;5,42;5,70;5,42;5,64;5,64;13688;6;75110;5,4873
31/10/2023;5,70;5,70;5,50;5,70;5,70;5302;7;29526;5,5688
30/10/2023;5,70;5,80;5,70;5,80;5,80;6108;3;34816;5,7001
27/10/2023;0,00;0,00;0,00;0,00;5,70;0;0;0;0,0000
26/10/2023;5,70;5,70;5,70;5,70;5,70;350;1;1995;5,7000
25/10/2023;0,00;0,00;0,00;0,00;5,80;0;0;0;0,0000
24/10/2023;5,80;5,80;5,80;5,80;5,80;28;1;162;5,8000
23/10/2023;5,82;5,82;5,82;5,82;5,82;2500;4;14550;5,8200
20/10/2023;5,90;5,90;5,52;5,82;5,82;4186;4;24191;5,7791
19/10/2023;5,92;5,92;5,90;5,90;5,90;958;2;5669;5,9179
18/10/2023;5,70;5,92;5,52;5,92;5,92;6482;8;36987;5,7060
17/10/2023;5,76;5,80;5,52;5,80;5,80;2508;5;14481;5,7739
16/10/2023;5,68;5,80;5,46;5,80;5,80;3737;5;21379;5,7210
13/10/2023;5,80;5,94;5,16;5,94;5,94;6517;11;37533;5,7592
12/10/2023;6,00;6,00;5,98;5,98;5,98;1009;3;6034;5,9800
11/10/2023;5,70;6,00;5,70;6,00;6,00;150;2;870;5,8000
10/10/2023;6,12;6,12;5,90;6,10;6,10;5092;4;30071;5,9056
09/10/2023;5,60;6,06;5,60;5,96;5,96;1060;3;6319;5,9613
06/10/2023;5,60;6,08;5,60;6,08;6,08;5059;4;29354;5,8023
05/10/2023;6,18;6,18;6,10;6,10;6,10;1165;3;7110;6,1031
04/10/2023;5,54;6,00;5,50;6,00;6,00;13021;9;74946;5,7557
03/10/2023;5,70;5,98;5,60;5,80;5,80;14621;10;83722;5,7262
02/10/2023;5,90;5,90;5,90;5,90;5,90;2100;2;12390;5,9000
29/09/2023;5,98;5,98;5,68;5,90;5,90;75289;20;439006;5,8309
28/09/2023;5,42;5,96;5,42;5,82;5,82;5124;7;29406;5,7389
27/09/2023;5,76;5,98;5,70;5,98;5,98;12148;7;69923;5,7559
26/09/2023;5,50;5,98;5,36;5,78;5,78;14964;9;83674;5,5917
25/09/2023;5,54;5,66;5,36;5,50;5,50;38097;20;209830;5,5078
22/09/2023;5,60;5,86;5,50;5,86;5,86;22533;14;127181;5,6442
21/09/2023;0,00;0,00;0,00;0,00;6,08;0;0;0;0,0000
20/09/2023;5,86;6,08;5,86;6,08;6,08;630;3;3736;5,9302
19/09/2023;5,50;6,18;5,50;5,90;5,90;21355;8;119243;5,5838
18/09/2023;6,00;6,00;5,56;5,96;5,96;7943;9;45599;5,7408
15/09/2023;5,70;5,88;5,64;5,82;5,82;14606;12;83386;5,7090
14/09/2023;5,52;5,98;5,50;5,98;5,98;21165;11;119922;5,6661
13/09/2023;6,46;6,46;5,70;5,80;5,80;45950;35;267724;5,8264
12/09/2023;6,48;6,48;6,18;6,18;6,18;556;2;3438;6,1832
11/09/2023;6,00;6,00;5,84;5,94;5,94;22110;18;131724;5,9577
08/09/2023;6,08;6,30;6,08;6,30;6,30;3503;4;21309;6,0831
07/09/2023;6,00;6,02;6,00;6,02;6,02;3000;2;18040;6,0133
06/09/2023;5,50;6,90;5,50;6,40;6,40;16172;16;97629;6,0369
05/09/2023;6,38;6,38;5,80;5,90;5,90;4400;5;26188;5,9518
04/09/2023;6,38;6,38;6,08;6,08;6,08;340;2;2076;6,1065
01/09/2023;5,76;6,08;5,76;6,02;6,02;48682;22;290276;5,9627
31/08/2023;5,04;6,24;5,04;6,24;6,24;25653;21;149755;5,8377
30/08/2023;6,54;6,54;5,72;6,16;6,16;26572;15;157147;5,9140
29/08/2023;6,58;6,58;5,72;6,28;6,28;25747;24;153619;5,9665
28/08/2023;6,08;6,58;6,08;6,58;6,58;23136;11;144185;6,2321
25/08/2023;6,08;6,08;5,72;6,08;6,08;2020;4;12278;6,0782
24/08/2023;5,70;6,08;5,70;6,00;6,00;3295;9;19300;5,8572
23/08/2023;6,00;6,10;5,80;6,10;6,10;8085;7;48340;5,9790
22/08/2023;6,00;6,18;5,98;6,18;6,18;16082;6;96697;6,0128
21/08/2023;6,10;6,30;6,00;6,14;6,14;4610;5;28226;6,1228
18/08/2023;6,28;6,30;6,08;6,08;6,08;8209;6;51297;6,2488
17/08/2023;5,96;6,00;5,70;6,00;6,00;1402;4;8102;5,7789
16/08/2023;5,72;6,14;5,72;6,00;6,00;4032;5;23856;5,9167
15/08/2023;6,20;6,20;5,86;6,20;6,20;152;3;942;6,1978
14/08/2023;6,00;6,24;5,76;6,10;6,10;24637;14;144023;5,8458
11/08/2023;6,00;6,28;6,00;6,28;6,28;92;2;555;6,0304
10/08/2023;0,00;0,00;0,00;0,00;6,48;0;0;0;0,0000
09/08/2023;6,54;6,60;6,48;6,48;6,48;10975;8;72136;6,5727
08/08/2023;0,00;0,00;0,00;0,00;6,66;0;0;0;0,0000
07/08/2023;0,00;0,00;0,00;0,00;6,66;0;0;0;0,0000
04/08/2023;6,12;6,66;6,12;6,66;6,66;14832;18;92951;6,2669
03/08/2023;0,00;0,00;0,00;0,00;6,68;0;0;0;0,0000
02/08/2023;6,68;6,68;6,22;6,68;6,68;1386;5;8637;6,2319
01/08/2023;6,50;6,50;6,50;6,50;6,50;50;1;325;6,5000
31/07/2023;6,68;6,68;6,20;6,48;6,48;1860;5;12091;6,5008
28/07/2023;6,74;6,74;6,12;6,54;6,54;2107;4;12978;6,1596
27/07/2023;6,76;6,76;6,48;6,48;6,48;10233;5;66341;6,4831
26/07/2023;6,06;6,76;6,06;6,76;6,76;2004;3;12147;6,0613
25/07/2023;5,94;5,94;5,94;5,94;5,94;2;1;12;5,9400
24/07/2023;5,90;6,12;5,90;6,12;6,12;2118;4;12555;5,9276
21/07/2023;6,12;6,12;6,04;6,04;6,04;256;3;1561;6,0963
20/07/2023;5,90;6,06;5,90;5,98;5,98;4900;6;29057;5,9300
19/07/2023;6,14;6,14;5,50;6,06;6,06;3021;12;18195;6,0229
18/07/2023;6,00;6,16;5,76;6,16;6,16;5531;10;32148;5,8123
17/07/2023;5,50;6,04;5,50;6,04;6,04;12591;8;72019;5,7199
14/07/2023;6,12;6,20;5,72;6,20;6,20;720;3;4260;5,9167
13/07/2023;6,08;6,08;6,08;6,08;6,08;1822;2;11078;6,0800
12/07/2023;5,52;6,00;5,52;5,72;5,72;5471;10;30848;5,6385
11/07/2023;5,98;5,98;5,98;5,98;5,98;200;1;1196;5,9800
10/07/2023;6,16;6,16;6,16;6,16;6,16;10;1;62;6,1600
07/07/2023;6,14;6,14;5,70;6,00;6,00;13574;8;81205;5,9824
06/07/2023;6,00;6,00;5,90;5,90;5,90;1600;2;9590;5,9938
05/07/2023;6,00;6,00;5,98;5,98;5,98;1530;2;9150;5,9804
04/07/2023;6,18;6,18;5,70;6,08;6,08;2001;5;12172;6,0828
03/07/2023;5,80;6,00;5,54;5,88;5,88;17204;16;99091;5,7597
30/06/2023;5,94;6,10;5,82;6,10;6,10;47131;16;280281;5,9468
29/06/2023;5,94;5,94;5,94;5,94;5,94;835;2;4960;5,9400
28/06/2023;0,00;0,00;0,00;0,00;5,94;0;0;0;0,0000
27/06/2023;6,00;6,12;5,82;5,94;5,94;31410;8;185867;5,9175
26/06/2023;6,12;6,12;6,00;6,00;6,00;558;2;3355;6,0125
23/06/2023;6,02;6,06;6,00;6,06;6,06;19207;3;115610;6,0192
22/06/2023;6,16;6,16;6,00;6,16;6,16;13632;7;82347;6,0407
21/06/2023;6,12;6,16;6,12;6,16;6,16;1002;2;6172;6,1599
20/06/2023;6,00;6,16;6,00;6,16;6,16;9580;7;57613;6,0139
19/06/2023;6,14;6,14;6,02;6,14;6,14;6892;3;41621;6,0390
16/06/2023;6,16;6,18;6,16;6,18;6,18;5910;6;36441;6,1660
15/06/2023;6,10;6,22;6,10;6,18;6,18;10882;7;66510;6,1119
14/06/2023;5,96;6,24;5,96;6,14;6,14;21208;6;129780;6,1194
13/06/2023;5,98;6,14;5,98;6,14;6,14;22123;9;134482;6,0788
12/06/2023;5,98;6,08;5,70;6,00;6,00;74551;22;440688;5,9112
09/06/2023;6,04;6,22;5,92;6,08;6,08;18547;9;111519;6,0128
08/06/2023;6,20;6,28;6,00;6,18;6,18;66502;22;408269;6,1392
07/06/2023;6,44;6,50;6,44;6,50;6,50;7400;3;47800;6,4595
06/06/2023;6,44;6,62;6,44;6,48;6,48;4895;4;31734;6,4829
05/06/2023;6,58;6,62;6,58;6,62;6,62;3432;3;22640;6,5967
02/06/2023;6,58;6,58;6,40;6,58;6,58;2799;5;17970;6,4203
01/06/2023;6,38;6,58;6,38;6,58;6,58;20762;10;134801;6,4927
31/05/2023;6,68;6,68;6,40;6,40;6,40;18149;12;117719;6,4862
30/05/2023;6,54;6,68;6,48;6,48;6,48;9881;11;64610;6,5388
29/05/2023;0,00;0,00;0,00;0,00;6,68;0;0;0;0,0000
26/05/2023;6,62;6,68;6,62;6,68;6,68;14955;10;99364;6,6442
25/05/2023;6,64;6,82;6,64;6,82;6,82;220;2;1468;6,6727
24/05/2023;6,80;6,82;6,60;6,64;6,64;14247;10;94535;6,6354
23/05/2023;6,50;6,80;6,48;6,80;6,80;31394;11;210651;6,7099
22/05/2023;6,50;6,58;6,40;6,46;6,46;25083;13;162072;6,4614
19/05/2023;6,60;6,70;6,56;6,70;6,70;9759;10;64623;6,6219
18/05/2023;0,00;0,00;0,00;0,00;6,76;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;6,76;0;0;0;0,0000
16/05/2023;6,60;6,76;6,60;6,76;6,76;3268;6;21628;6,6181
15/05/2023;6,58;6,74;6,40;6,74;6,74;25661;10;167553;6,5295
12/05/2023;6,58;6,70;6,58;6,62;6,62;18564;9;123616;6,6589
11/05/2023;6,82;6,82;6,58;6,70;6,70;25337;18;169187;6,6775
10/05/2023;6,90;7,04;6,62;6,80;6,80;56408;21;386546;6,8527
09/05/2023;7,06;7,26;6,90;7,12;7,12;9341;11;65770;7,0410
08/05/2023;7,30;7,32;7,10;7,18;7,18;4808;12;34540;7,1838
05/05/2023;6,96;7,32;6,96;7,32;7,32;20196;12;145344;7,1966
04/05/2023;7,16;7,16;6,98;7,10;7,10;13189;9;92978;7,0497
03/05/2023;7,38;7,38;6,92;7,18;7,18;109917;38;784115;7,1337
