"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003097503
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;75,80;76,80;75,60;76,00;76,00;3750;7;287779;76,7411
03/11/2023;75,40;76,00;75,40;75,40;75,40;342;12;25832;75,5316
02/11/2023;78,20;78,20;75,00;75,40;75,40;897;7;68044;75,8571
01/11/2023;79,00;79,80;76,80;78,80;78,80;584;14;46080;78,9038
31/10/2023;75,00;80,00;75,00;80,00;80,00;9677;16;766232;79,1807
30/10/2023;76,00;76,00;75,00;75,00;75,00;583;6;43825;75,1715
27/10/2023;75,00;75,00;74,80;75,00;75,00;1604;5;120263;74,9767
26/10/2023;74,00;74,00;74,00;74,00;74,00;13;2;962;74,0000
25/10/2023;73,00;74,00;73,00;74,00;74,00;81;2;5914;73,0123
24/10/2023;72,60;73,40;72,60;73,40;73,40;805;8;58911;73,1816
23/10/2023;75,40;75,60;72,80;73,00;73,00;505;9;37158;73,5798
20/10/2023;72,20;74,00;72,20;74,00;74,00;53;4;3832;72,3019
19/10/2023;74,60;74,60;72,00;72,40;72,40;11770;33;851193;72,3188
18/10/2023;73,00;74,60;72,20;74,60;74,60;12392;24;918925;74,1547
17/10/2023;73,80;74,60;73,80;74,60;74,60;755;8;56008;74,1823
16/10/2023;73,20;76,20;73,20;76,20;76,20;121;5;9159;75,6942
13/10/2023;76,00;76,00;75,00;75,60;75,60;912;12;68477;75,0840
12/10/2023;81,00;81,00;73,60;76,00;76,00;4181;15;315232;75,3963
11/10/2023;81,60;81,60;78,20;78,40;78,40;8595;26;699983;81,4407
10/10/2023;76,20;78,60;76,20;78,60;78,60;96;4;7331;76,3667
09/10/2023;81,60;81,60;78,20;78,80;78,80;473;7;38522;81,4419
06/10/2023;75,20;80,00;75,20;79,20;79,20;1576;9;123888;78,6093
05/10/2023;72,20;76,20;72,20;76,20;76,20;724;8;54350;75,0691
04/10/2023;85,00;85,00;75,20;75,20;75,20;3061;26;250088;81,7015
03/10/2023;81,40;85,00;80,20;85,00;85,00;1896;17;154997;81,7494
02/10/2023;78,80;81,00;78,80;80,40;80,40;7301;36;584265;80,0253
29/09/2023;75,00;82,00;75,00;78,80;78,80;4348;29;335723;77,2133
28/09/2023;76,00;76,00;75,00;75,00;75,00;418;12;31499;75,3574
27/09/2023;73,00;76,00;73,00;75,80;75,80;1396;10;104430;74,8064
26/09/2023;73,00;73,60;71,20;73,60;73,60;2116;18;154617;73,0702
25/09/2023;73,20;73,20;70,40;73,00;73,00;901;8;65303;72,4788
22/09/2023;72,00;76,80;71,80;73,20;73,20;7721;32;571072;73,9635
21/09/2023;70,00;73,80;69,60;73,80;73,80;11732;22;842051;71,7739
20/09/2023;68,40;73,20;68,00;70,20;70,20;12574;21;874300;69,5324
19/09/2023;64,80;68,80;64,40;68,80;68,80;4033;17;269838;66,9075
18/09/2023;65,00;66,00;64,60;66,00;66,00;7814;266;506944;64,8763
15/09/2023;65,20;65,20;65,00;65,00;65,00;743;3;48296;65,0013
14/09/2023;65,60;67,20;65,00;66,40;66,40;10833;14;718654;66,3393
13/09/2023;67,80;68,80;64,80;65,40;65,40;12545;27;822529;65,5663
12/09/2023;65,40;67,00;65,20;67,00;67,00;2353;20;156988;66,7181
11/09/2023;64,20;67,00;62,20;67,00;67,00;4988;17;326910;65,5393
08/09/2023;62,40;64,40;62,40;64,40;64,40;541;6;33760;62,4037
07/09/2023;62,00;64,00;62,00;62,00;62,00;157;10;10014;63,7834
06/09/2023;65,00;65,00;62,00;62,00;62,00;1121;5;72103;64,3203
05/09/2023;66,40;66,40;65,00;65,00;65,00;209;6;13731;65,6986
04/09/2023;63,00;69,00;63,00;66,40;66,40;2518;20;164694;65,4068
01/09/2023;65,00;65,00;64,00;64,00;64,00;1312;6;84551;64,4445
31/08/2023;64,20;67,00;63,00;67,00;67,00;3417;12;224709;65,7621
30/08/2023;65,00;65,80;64,40;65,80;65,80;907;9;59030;65,0825
29/08/2023;66,00;67,00;60,60;67,00;67,00;5449;29;350134;64,2566
28/08/2023;65,60;70,00;65,00;66,20;66,20;19289;29;1280623;66,3914
25/08/2023;65,80;66,00;65,80;66,00;66,00;2065;7;136254;65,9826
24/08/2023;65,80;66,00;65,40;66,00;66,00;25;3;1642;65,6960
23/08/2023;65,40;65,40;65,00;65,40;65,40;355;9;23176;65,2839
22/08/2023;65,80;65,80;65,80;65,80;65,80;2;1;132;65,8000
21/08/2023;64,00;65,80;63,60;65,80;65,80;313;8;20137;64,3361
18/08/2023;65,00;65,00;63,60;64,80;64,80;229;4;14584;63,6838
17/08/2023;64,20;65,00;64,20;65,00;65,00;323;2;20835;64,5046
16/08/2023;61,40;64,00;59,80;64,00;64,00;9047;42;566864;62,6576
15/08/2023;62,00;63,00;62,00;63,00;63,00;1625;9;101231;62,2959
14/08/2023;63,40;63,40;62,20;62,20;62,20;197;3;12370;62,7909
11/08/2023;62,00;64,20;62,00;63,20;63,20;501;8;31553;62,9804
10/08/2023;58,20;59,80;58,20;59,80;59,80;700;3;41858;59,7977
09/08/2023;58,20;58,20;58,20;58,20;58,20;565;1;32883;58,2000
08/08/2023;59,80;59,80;58,20;59,80;59,80;85;3;4963;58,3882
07/08/2023;59,60;59,80;59,60;59,80;59,80;476;8;28370;59,6004
04/08/2023;59,60;59,60;59,60;59,60;59,60;252;2;15019;59,6000
03/08/2023;59,40;61,00;59,40;61,00;61,00;75;6;4479;59,7147
02/08/2023;61,40;61,40;61,40;61,40;61,40;1;1;61;61,4000
01/08/2023;59,40;61,80;59,40;60,00;60,00;3744;16;226576;60,5171
31/07/2023;60,20;60,40;57,00;57,00;57,00;2947;28;174562;59,2339
28/07/2023;62,00;62,00;62,00;62,00;62,00;1;1;62;62,0000
27/07/2023;60,20;61,60;60,00;61,60;61,60;236;5;14196;60,1508
26/07/2023;59,60;61,80;59,60;61,80;61,80;221;5;13196;59,7095
25/07/2023;59,40;59,40;59,40;59,40;59,40;980;2;58212;59,4000
24/07/2023;58,00;58,80;57,40;58,80;58,80;1524;9;88555;58,1071
21/07/2023;60,20;61,80;58,00;59,40;59,40;2604;17;154772;59,4361
20/07/2023;61,80;61,80;61,80;61,80;61,80;33;2;2039;61,8000
19/07/2023;62,40;62,40;61,00;61,00;61,00;1236;8;76329;61,7547
