"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010272065
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;27,75;27,95;25,80;25,80;25,80;675146;662;17882701;26,4872
03/11/2023;27,00;28,15;26,95;27,55;27,55;486682;572;13440120;27,6158
02/11/2023;26,80;27,45;26,20;26,60;26,60;1245855;874;33358454;26,7756
01/11/2023;25,50;26,85;25,50;26,65;26,65;930257;1033;24575264;26,4177
31/10/2023;25,00;25,30;24,25;24,90;24,90;529793;648;13180763;24,8791
30/10/2023;22,80;24,75;22,35;24,55;24,55;961799;922;22878129;23,7868
27/10/2023;21,75;22,75;21,75;22,60;22,60;894591;767;19968692;22,3216
26/10/2023;23,40;23,40;21,40;21,75;21,75;970250;1043;21595830;22,2580
25/10/2023;23,10;23,60;22,30;23,60;23,60;762403;849;17481555;22,9295
24/10/2023;22,35;24,50;21,70;23,00;23,00;1799646;1669;41270209;22,9324
23/10/2023;48,20;49,60;46,90;48,00;48,00;1946629;2229;93619276;48,0930
20/10/2023;45,25;45,70;45,10;45,35;45,35;306203;737;13896864;45,3845
19/10/2023;45,30;45,45;44,70;44,90;44,90;74372;236;3352012;45,0709
18/10/2023;44,55;45,50;44,55;45,10;45,10;52183;154;2359836;45,2223
17/10/2023;44,95;45,45;44,70;45,25;45,25;94857;206;4280609;45,1270
16/10/2023;45,25;46,00;44,95;45,10;45,10;114874;301;5213145;45,3814
13/10/2023;44,80;45,15;44,20;44,80;44,80;102991;226;4609764;44,7589
12/10/2023;43,55;45,00;43,55;44,70;44,70;239500;365;10653880;44,4838
11/10/2023;42,00;43,45;42,00;43,10;43,10;64745;163;2796378;43,1906
10/10/2023;43,70;43,70;42,40;43,00;43,00;77947;186;3339644;42,8451
09/10/2023;42,85;46,00;41,95;43,00;43,00;426275;504;18281952;42,8877
06/10/2023;42,00;42,70;41,80;42,70;42,70;55153;160;2326342;42,1798
05/10/2023;42,60;42,60;41,55;42,00;42,00;33759;149;1413820;41,8798
04/10/2023;41,55;42,20;41,20;41,90;41,90;77879;268;3249683;41,7273
03/10/2023;41,25;41,60;40,85;41,20;41,20;71287;186;2939265;41,2314
02/10/2023;42,50;42,50;41,20;41,25;41,25;100342;276;4206626;41,9229
