"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010829765
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;28,00;28,00;27,10;27,80;27,80;47569;102;1308743;27,5125
03/11/2023;27,60;27,80;27,30;27,80;27,80;19247;47;530316;27,5532
02/11/2023;28,10;28,20;27,90;28,00;28,00;4350;14;121853;28,0122
01/11/2023;28,20;28,20;27,70;28,10;28,10;25975;38;725984;27,9493
31/10/2023;28,10;28,10;27,50;27,90;27,90;7629;20;212151;27,8085
30/10/2023;27,70;28,00;27,70;28,00;28,00;1804;14;50330;27,8992
27/10/2023;28,20;28,20;27,60;28,00;28,00;7549;17;209973;27,8147
26/10/2023;27,90;28,20;27,90;28,00;28,00;13081;14;365357;27,9304
25/10/2023;28,00;28,00;27,50;27,70;27,70;1918;13;53046;27,6567
24/10/2023;28,50;28,50;27,70;27,80;27,80;7616;12;211797;27,8095
23/10/2023;28,50;28,50;27,80;28,00;28,00;216949;31;6075590;28,0047
20/10/2023;28,00;28,40;28,00;28,00;28,00;19281;31;543127;28,1690
19/10/2023;29,20;29,20;27,80;28,00;28,00;15807;32;449411;28,4312
18/10/2023;28,90;29,00;27,50;29,00;29,00;24932;66;706412;28,3336
17/10/2023;29,20;29,20;28,60;29,00;29,00;79451;27;2303533;28,9931
16/10/2023;28,50;29,00;27,90;29,00;29,00;33659;40;951459;28,2676
13/10/2023;29,20;29,20;28,00;29,00;29,00;36576;50;1042016;28,4891
12/10/2023;29,10;29,20;28,90;28,90;28,90;8500;29;247244;29,0876
11/10/2023;28,00;29,80;28,00;29,10;29,10;19406;31;568103;29,2746
10/10/2023;29,40;29,40;27,80;28,80;28,80;29988;52;859538;28,6627
09/10/2023;29,90;29,90;29,00;29,30;29,30;20446;43;596761;29,1872
06/10/2023;29,80;29,80;29,50;29,80;29,80;3446;13;102041;29,6115
05/10/2023;30,00;30,00;29,70;29,80;29,80;3917;17;117255;29,9348
04/10/2023;29,90;30,10;29,70;29,70;29,70;3551;13;106417;29,9683
03/10/2023;30,10;30,20;29,80;30,00;30,00;3169;15;95157;30,0275
02/10/2023;30,30;30,30;29,80;29,80;29,80;8832;22;264901;29,9933
29/09/2023;30,00;30,30;30,00;30,00;30,00;3682;9;110523;30,0171
28/09/2023;29,80;30,00;29,80;30,00;30,00;7131;14;213505;29,9404
27/09/2023;30,00;30,50;30,00;30,10;30,10;8036;20;242430;30,1680
26/09/2023;29,10;30,30;28,50;30,00;30,00;196325;43;5771638;29,3984
25/09/2023;29,40;29,70;29,20;29,40;29,40;20683;33;606969;29,3463
22/09/2023;30,30;30,30;29,50;29,80;29,80;18650;34;556083;29,8168
21/09/2023;30,00;30,00;29,50;30,00;30,00;16697;33;499585;29,9206
20/09/2023;31,00;31,00;29,70;30,20;30,20;36566;58;1099337;30,0645
19/09/2023;31,00;31,00;30,80;31,00;31,00;7528;13;233268;30,9867
18/09/2023;31,80;31,80;30,40;31,00;31,00;37115;65;1152627;31,0556
15/09/2023;32,00;32,10;31,70;31,80;31,80;17708;55;565562;31,9382
14/09/2023;32,50;32,50;31,80;31,80;31,80;206811;42;7960434;38,4913
13/09/2023;32,90;32,90;31,80;32,50;32,50;21663;35;696759;32,1635
12/09/2023;33,00;33,00;32,50;32,90;32,90;6529;16;214309;32,8241
11/09/2023;32,20;33,10;32,20;33,10;33,10;7539;29;246326;32,6735
08/09/2023;32,20;32,50;32,00;32,50;32,50;258457;16;8297309;32,1032
