"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010917719
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;79,50;80,00;79,50;80,00;80,00;287;3;22873;79,6951
03/11/2023;80,00;80,00;80,00;80,00;80,00;1;1;80;80,0000
02/11/2023;80,00;83,50;80,00;83,50;83,50;1121;7;92139;82,1936
01/11/2023;84,00;84,00;84,00;84,00;84,00;19;2;1596;84,0000
31/10/2023;85,00;85,00;80,00;84,00;84,00;468;4;39014;83,3632
30/10/2023;0,00;0,00;0,00;0,00;85,00;0;0;0;0,0000
27/10/2023;85,00;85,00;85,00;85,00;85,00;200;1;17000;85,0000
26/10/2023;77,00;87,00;77,00;87,00;87,00;1520;3;132040;86,8684
25/10/2023;0,00;0,00;0,00;0,00;88,50;0;0;0;0,0000
24/10/2023;82,50;88,50;82,50;88,50;88,50;1677;9;146857;87,5713
23/10/2023;0,00;0,00;0,00;0,00;87,50;0;0;0;0,0000
20/10/2023;87,50;87,50;87,50;87,50;87,50;8;1;700;87,5000
19/10/2023;83,00;87,50;82,00;87,50;87,50;432;6;35509;82,1968
18/10/2023;82,50;84,50;77,50;82,00;82,00;91;6;7488;82,2802
17/10/2023;82,00;88,00;80,00;86,00;86,00;7957;14;653795;82,1660
16/10/2023;89,00;89,00;89,00;89,00;89,00;12;1;1068;89,0000
13/10/2023;89,00;89,00;89,00;89,00;89,00;7;1;623;89,0000
12/10/2023;81,00;89,00;81,00;89,00;89,00;151;5;13342;88,3543
11/10/2023;85,00;85,00;85,00;85,00;85,00;350;2;29750;85,0000
10/10/2023;0,00;0,00;0,00;0,00;88,00;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;88,00;0;0;0;0,0000
06/10/2023;86,00;88,00;86,00;88,00;88,00;1600;4;138717;86,6981
05/10/2023;88,00;88,00;88,00;88,00;88,00;72;1;6336;88,0000
04/10/2023;0,00;0,00;0,00;0,00;89,50;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;89,50;0;0;0;0,0000
02/10/2023;89,50;89,50;89,50;89,50;89,50;250;2;22375;89,5000
29/09/2023;88,00;91,50;88,00;91,50;91,50;42;2;3745;89,1667
28/09/2023;0,00;0,00;0,00;0,00;89,50;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;89,50;0;0;0;0,0000
26/09/2023;89,50;89,50;89,50;89,50;89,50;100;1;8950;89,5000
25/09/2023;90,50;91,00;90,00;90,00;90,00;6166;5;555537;90,0968
22/09/2023;82,50;94,00;82,50;88,00;88,00;1182;8;108863;92,1003
21/09/2023;90,00;94,00;86,00;86,00;86,00;445;5;40704;91,4697
20/09/2023;0,00;0,00;0,00;0,00;94,00;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;94,00;0;0;0;0,0000
18/09/2023;99,50;99,50;94,00;94,00;94,00;162;3;15245;94,1019
15/09/2023;90,50;99,50;90,50;99,50;99,50;48;4;4506;93,8750
14/09/2023;100,00;100,00;94,00;94,00;94,00;5;2;476;95,2000
13/09/2023;0,00;0,00;0,00;0,00;94,00;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;94,00;0;0;0;0,0000
11/09/2023;94,00;94,00;94,00;94,00;94,00;32;1;3008;94,0000
08/09/2023;0,00;0,00;0,00;0,00;95,00;0;0;0;0,0000
07/09/2023;94,50;95,50;94,50;95,00;95,00;5927;4;562581;94,9183
06/09/2023;0,00;0,00;0,00;0,00;94,00;0;0;0;0,0000
05/09/2023;91,00;94,00;90,50;94,00;94,00;1443;5;131617;91,2103
04/09/2023;0,00;0,00;0,00;0,00;91,00;0;0;0;0,0000
01/09/2023;94,50;94,50;91,00;91,00;91,00;187;3;17129;91,5989
31/08/2023;94,50;94,50;91,00;94,50;94,50;5900;3;542343;91,9225
30/08/2023;92,50;100,00;92,00;100,00;100,00;1208;4;111681;92,4507
29/08/2023;0,00;0,00;0,00;0,00;92,00;0;0;0;0,0000
28/08/2023;90,00;92,00;90,00;92,00;92,00;26;2;2342;90,0769
25/08/2023;90,50;95,00;90,50;95,00;95,00;363;4;32935;90,7300
24/08/2023;94,50;94,50;94,50;94,50;94,50;1;1;95;94,5000
23/08/2023;95,00;95,00;95,00;95,00;95,00;25;3;2375;95,0000
