"Historical Data"
"From 2021-11-08 to 2023-11-07"
DK0060477263
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;6,74;6,82;6,46;6,46;6,46;141673;66;938083;6,6215
03/11/2023;6,86;7,18;6,76;6,84;6,84;128860;76;885753;6,8738
02/11/2023;7,08;7,78;6,80;6,80;6,80;340042;168;2487378;7,3149
01/11/2023;7,24;7,24;6,88;7,06;7,06;75202;57;532744;7,0842
31/10/2023;7,14;7,48;7,02;7,12;7,12;59824;54;432581;7,2309
30/10/2023;6,62;7,22;6,62;7,14;7,14;81134;51;574490;7,0808
27/10/2023;6,80;6,82;6,76;6,76;6,76;25150;15;170925;6,7962
26/10/2023;6,62;7,02;6,62;6,84;6,84;112933;55;770433;6,8220
25/10/2023;6,74;7,00;6,72;6,72;6,72;168397;82;1153427;6,8495
24/10/2023;6,38;6,98;6,38;6,68;6,68;295074;111;1965180;6,6600
23/10/2023;6,58;6,66;6,30;6,38;6,38;338875;136;2169420;6,4018
20/10/2023;6,88;6,92;6,62;6,70;6,70;253574;99;1715115;6,7638
19/10/2023;6,98;7,30;6,92;6,92;6,92;35914;34;254434;7,0845
18/10/2023;6,98;7,30;6,94;7,00;7,00;80224;42;572133;7,1317
17/10/2023;6,82;7,02;6,82;6,96;6,96;28863;20;200534;6,9478
16/10/2023;7,10;7,12;6,78;6,96;6,96;87232;53;604273;6,9272
13/10/2023;7,10;7,30;7,00;7,12;7,12;63487;38;449713;7,0835
12/10/2023;7,24;7,52;7,22;7,22;7,22;132890;58;974266;7,3314
11/10/2023;7,04;7,32;7,04;7,24;7,24;69034;41;498305;7,2182
10/10/2023;6,94;7,22;6,94;7,14;7,14;81805;51;578476;7,0714
09/10/2023;7,08;7,16;6,94;6,96;6,96;69706;47;491038;7,0444
06/10/2023;7,26;7,44;7,04;7,04;7,04;78451;41;566158;7,2167
05/10/2023;7,04;7,58;7,04;7,30;7,30;132793;85;973423;7,3304
04/10/2023;7,20;7,30;6,74;7,08;7,08;330516;136;2327312;7,0415
03/10/2023;7,54;7,56;7,38;7,38;7,38;172152;92;1281932;7,4465
02/10/2023;7,64;7,78;7,56;7,56;7,56;157012;74;1206117;7,6817
29/09/2023;7,80;7,88;7,64;7,66;7,66;144071;68;1116047;7,7465
28/09/2023;7,62;7,98;7,62;7,68;7,68;90616;61;699172;7,7158
27/09/2023;7,70;7,82;7,60;7,72;7,72;108972;74;838672;7,6962
26/09/2023;7,74;7,90;7,60;7,60;7,60;148184;77;1152792;7,7795
25/09/2023;7,94;7,96;7,68;7,68;7,68;93432;61;728657;7,7988
22/09/2023;8,08;8,08;7,92;7,92;7,92;63553;47;509371;8,0149
21/09/2023;8,08;8,18;7,96;8,08;8,08;169566;93;1368768;8,0722
20/09/2023;8,18;8,30;7,98;8,08;8,08;219923;140;1797875;8,1750
19/09/2023;7,62;8,42;7,62;8,20;8,20;557566;214;4566179;8,1895
18/09/2023;7,80;7,82;7,56;7,72;7,72;195738;101;1506987;7,6990
15/09/2023;8,30;8,30;7,78;7,80;7,80;312129;166;2497176;8,0005
14/09/2023;8,38;8,44;8,14;8,26;8,26;175636;90;1459144;8,3078
13/09/2023;8,60;8,60;8,14;8,26;8,26;159467;78;1317672;8,2630
12/09/2023;8,60;8,60;8,34;8,36;8,36;21815;53;183794;8,4251
11/09/2023;8,46;8,54;8,30;8,32;8,32;215737;135;1817628;8,4252
08/09/2023;8,76;8,76;8,44;8,46;8,46;61697;63;527443;8,5489
07/09/2023;8,70;8,70;8,46;8,50;8,50;144403;91;1239782;8,5856
06/09/2023;8,96;8,96;8,56;8,62;8,62;277967;177;2414105;8,6849
05/09/2023;9,80;9,80;8,78;8,80;8,80;562030;308;5057044;8,9978
04/09/2023;9,30;9,88;8,98;9,30;9,30;1149729;677;10730549;9,3331
01/09/2023;8,50;8,80;8,50;8,76;8,76;217847;163;1892564;8,6876
31/08/2023;8,64;8,78;8,46;8,78;8,78;189287;163;1637801;8,6525
