"Historical Data"
"From 2021-11-08 to 2023-11-07"
CH1122548808
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,995;1,995;1,70;1,70;1,70;29671;7;57629;1,9423
03/11/2023;1,79;2,00;1,705;1,995;1,995;18831;12;33459;1,7768
02/11/2023;1,855;1,86;1,69;1,69;1,69;55937;27;96643;1,7277
01/11/2023;1,995;1,995;1,715;1,76;1,76;4527;9;8166;1,8038
31/10/2023;2,08;2,08;1,695;2,03;2,03;8909;11;16914;1,8985
30/10/2023;2,15;2,15;1,825;1,95;1,95;24291;17;47177;1,9421
27/10/2023;2,00;2,00;1,90;1,995;1,995;24071;12;46370;1,9264
26/10/2023;2,29;2,30;2,00;2,29;2,29;52135;25;106827;2,0491
25/10/2023;2,30;2,30;2,02;2,28;2,28;29637;17;63027;2,1266
24/10/2023;2,08;2,28;2,08;2,28;2,28;55325;16;115960;2,0960
23/10/2023;2,13;2,13;2,02;2,10;2,10;14475;9;30522;2,1086
20/10/2023;2,40;2,40;2,10;2,10;2,10;93352;54;203795;2,1831
19/10/2023;2,61;2,61;2,30;2,30;2,30;171441;73;405327;2,3642
18/10/2023;2,49;2,71;2,27;2,70;2,70;43840;48;110065;2,5106
17/10/2023;2,78;2,99;2,50;2,76;2,76;19478;32;53228;2,7327
16/10/2023;2,99;2,99;2,76;2,79;2,79;45125;19;129722;2,8747
13/10/2023;3,00;3,10;2,80;3,06;3,06;20964;18;61745;2,9453
12/10/2023;3,00;3,00;2,90;2,99;2,99;1502;7;4504;2,9983
11/10/2023;2,85;2,85;2,80;2,83;2,83;38236;15;107809;2,8196
10/10/2023;3,05;3,40;2,90;3,05;3,05;7126;12;21747;3,0518
09/10/2023;3,09;3,09;3,09;3,09;3,09;150;3;464;3,0900
06/10/2023;3,10;3,11;2,80;3,10;3,10;4309;8;13258;3,0769
05/10/2023;2,91;2,91;2,80;2,80;2,80;57008;15;162906;2,8576
04/10/2023;2,91;2,91;2,91;2,91;2,91;301;2;876;2,9100
03/10/2023;3,10;3,10;2,92;2,92;2,92;4444;4;12977;2,9200
02/10/2023;3,00;3,10;2,90;2,90;2,90;20300;8;60890;2,9995
29/09/2023;2,70;3,00;2,70;3,00;3,00;9926;12;29172;2,9390
28/09/2023;3,20;3,20;2,90;2,90;2,90;6768;5;19671;2,9065
27/09/2023;2,90;3,24;2,90;3,24;3,24;13187;16;38835;2,9449
26/09/2023;3,20;3,25;3,00;3,25;3,25;8680;8;26371;3,0381
25/09/2023;3,08;3,33;3,00;3,30;3,30;32012;16;99448;3,1066
22/09/2023;3,00;3,42;3,00;3,04;3,04;22338;14;69620;3,1166
21/09/2023;3,48;3,48;3,20;3,20;3,20;16410;10;54135;3,2989
20/09/2023;3,48;3,48;3,30;3,30;3,30;2535;7;8370;3,3018
19/09/2023;3,10;3,38;2,90;3,20;3,20;9136;14;27482;3,0081
18/09/2023;3,39;3,50;2,91;3,09;3,09;97811;22;336202;3,4373
15/09/2023;3,40;3,40;2,90;3,08;3,08;18184;11;54948;3,0218
14/09/2023;3,40;3,40;2,80;3,20;3,20;12946;19;39499;3,0510
13/09/2023;3,31;3,32;3,02;3,19;3,19;17862;12;55814;3,1247
12/09/2023;3,40;3,40;3,11;3,40;3,40;8223;10;25929;3,1532
11/09/2023;3,40;3,40;3,38;3,38;3,38;45;4;153;3,3978
08/09/2023;3,45;3,45;3,40;3,40;3,40;1850;4;6363;3,4395
07/09/2023;3,30;3,30;3,00;3,20;3,20;19233;16;58970;3,0661
06/09/2023;3,49;3,49;3,29;3,29;3,29;2070;5;6822;3,2958
05/09/2023;3,58;3,58;3,05;3,42;3,42;17850;16;57348;3,2128
04/09/2023;3,32;3,43;3,32;3,43;3,43;1034;4;3439;3,3260
01/09/2023;3,55;3,55;3,35;3,53;3,53;4764;13;16282;3,4178
31/08/2023;3,62;3,62;3,27;3,54;3,54;5046;11;17421;3,4524
30/08/2023;3,59;3,60;3,40;3,60;3,60;2985;5;10550;3,5343
29/08/2023;3,50;3,80;3,24;3,78;3,78;44460;23;150946;3,3951
28/08/2023;3,50;3,50;3,30;3,40;3,40;11683;9;38569;3,3013
25/08/2023;3,50;3,50;3,10;3,35;3,35;15254;20;49784;3,2637
24/08/2023;3,45;3,45;3,10;3,40;3,40;5676;10;18144;3,1966
23/08/2023;3,37;3,37;3,10;3,23;3,23;9324;13;30658;3,2881
22/08/2023;3,50;3,50;3,15;3,37;3,37;12710;12;40863;3,2151
21/08/2023;3,10;3,60;3,10;3,23;3,23;32398;18;104912;3,2382
18/08/2023;3,25;3,71;3,25;3,48;3,48;20380;24;70951;3,4814
17/08/2023;3,65;3,69;3,49;3,49;3,49;5900;9;21410;3,6288
16/08/2023;3,40;3,70;3,25;3,40;3,40;51233;39;177844;3,4713
15/08/2023;3,48;3,48;3,17;3,35;3,35;2860;8;9567;3,3450
14/08/2023;3,15;3,35;3,15;3,30;3,30;19628;18;63206;3,2202
11/08/2023;3,10;3,50;3,10;3,48;3,48;242;6;804;3,3233
10/08/2023;3,38;3,46;3,20;3,44;3,44;26192;14;88424;3,3760
09/08/2023;3,25;3,52;3,20;3,38;3,38;24669;25;80258;3,2534
08/08/2023;3,32;3,50;3,32;3,50;3,50;3260;8;10855;3,3298
07/08/2023;3,48;3,48;3,25;3,25;3,25;52185;22;173788;3,3302
04/08/2023;3,45;3,45;3,05;3,34;3,34;40662;21;135456;3,3313
03/08/2023;3,70;3,70;3,15;3,33;3,33;71497;44;232005;3,2450
02/08/2023;3,80;3,80;3,30;3,55;3,55;37452;29;128401;3,4284
01/08/2023;3,80;3,99;3,50;3,60;3,60;35982;32;129541;3,6002
31/07/2023;3,80;3,80;3,31;3,58;3,58;232374;94;848654;3,6521
28/07/2023;3,99;3,99;3,51;3,80;3,80;49664;38;180781;3,6401
27/07/2023;3,87;4,13;3,50;4,00;4,00;115046;70;430989;3,7462
26/07/2023;4,30;4,45;4,00;4,00;4,00;132066;58;551061;4,1726
25/07/2023;4,60;5,20;4,10;4,50;4,50;431486;263;1960452;4,5435
24/07/2023;2,76;5,30;2,76;4,60;4,60;1016306;392;4518757;4,4463
21/07/2023;2,30;2,75;2,30;2,75;2,75;1954;3;4562;2,3345
20/07/2023;2,37;2,37;2,30;2,30;2,30;22072;7;51546;2,3354
19/07/2023;2,50;2,60;2,30;2,30;2,30;24042;13;60713;2,5253
18/07/2023;2,50;2,50;2,50;2,50;2,50;18;2;45;2,5000
17/07/2023;2,76;2,76;2,50;2,50;2,50;4056;6;11191;2,7592
14/07/2023;2,40;2,76;2,40;2,76;2,76;4000;5;9974;2,4934
13/07/2023;2,50;2,55;2,35;2,50;2,50;28405;17;71231;2,5077
12/07/2023;2,78;2,78;2,50;2,50;2,50;18082;14;47033;2,6011
11/07/2023;2,50;2,87;2,50;2,80;2,80;120981;50;315884;2,6110
10/07/2023;2,57;2,57;2,37;2,37;2,37;26134;13;62610;2,3957
07/07/2023;2,38;2,38;2,26;2,37;2,37;14410;10;33167;2,3017
06/07/2023;2,40;2,40;2,26;2,26;2,26;22846;11;53709;2,3509
05/07/2023;2,57;2,57;2,07;2,25;2,25;184761;56;410084;2,2195
04/07/2023;2,57;2,57;2,33;2,40;2,40;43016;17;104937;2,4395
03/07/2023;2,82;2,82;2,40;2,55;2,55;155626;74;405275;2,6042
30/06/2023;3,09;3,09;2,82;2,86;2,86;35810;38;104660;2,9227
29/06/2023;2,98;3,09;2,90;3,09;3,09;20710;28;62166;3,0017
28/06/2023;3,08;3,08;2,81;2,81;2,81;33274;17;97697;2,9361
27/06/2023;2,89;3,09;2,81;2,99;2,99;180810;82;534908;2,9584
26/06/2023;2,94;3,19;2,90;2,90;2,90;67767;32;201750;2,9771
23/06/2023;2,99;2,99;2,71;2,89;2,89;20820;17;57129;2,7439
22/06/2023;3,00;3,10;2,76;2,76;2,76;127120;35;371247;2,9204
21/06/2023;2,91;3,25;2,65;3,08;3,08;372611;161;1090280;2,9261
20/06/2023;3,00;3,29;2,63;2,88;2,88;335586;157;963491;2,8711
19/06/2023;2,03;3,20;1,99;3,00;3,00;380758;159;1034848;2,7179
16/06/2023;2,10;2,35;2,10;2,10;2,10;101395;38;220660;2,1762
15/06/2023;2,11;2,40;2,11;2,30;2,30;51054;35;116577;2,2834
14/06/2023;2,30;2,40;2,00;2,30;2,30;297213;82;633321;2,1309
13/06/2023;2,56;2,67;2,30;2,30;2,30;175580;100;417038;2,3752
12/06/2023;2,78;2,97;2,60;2,60;2,60;243842;78;647639;2,6560
09/06/2023;2,73;3,00;2,60;2,84;2,84;176610;70;481530;2,7265
08/06/2023;2,65;2,87;2,40;2,50;2,50;219739;99;552309;2,5135
07/06/2023;2,75;2,87;2,45;2,59;2,59;306722;124;798895;2,6046
06/06/2023;3,05;3,10;2,70;2,89;2,89;120198;57;347821;2,8937
05/06/2023;3,37;3,37;3,00;3,10;3,10;116190;43;362149;3,1169
02/06/2023;3,40;3,73;3,35;3,37;3,37;52392;32;183323;3,4991
01/06/2023;3,55;3,80;3,47;3,47;3,47;78714;63;279671;3,5530
31/05/2023;3,72;3,81;3,31;3,60;3,60;117147;59;420841;3,5924
30/05/2023;3,89;4,02;3,42;3,87;3,87;205859;81;771801;3,7492
29/05/2023;0,00;0,00;0,00;0,00;3,98;0;0;0;0,0000
26/05/2023;4,05;5,34;3,98;3,98;3,98;230566;191;1083389;4,6988
25/05/2023;3,09;4,50;3,02;4,30;4,30;235236;145;947088;4,0261
24/05/2023;3,10;3,32;2,99;3,19;3,19;93161;49;290351;3,1167
23/05/2023;3,32;3,32;2,85;3,28;3,28;262355;97;785361;2,9935
22/05/2023;3,60;3,60;3,38;3,55;3,55;38042;26;131697;3,4619
19/05/2023;3,70;3,70;3,32;3,64;3,64;114276;50;398160;3,4842
18/05/2023;0,00;0,00;0,00;0,00;3,69;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;3,69;0;0;0;0,0000
16/05/2023;3,70;3,79;3,52;3,69;3,69;82521;34;302497;3,6657
15/05/2023;3,90;3,90;3,70;3,73;3,73;87429;35;333525;3,8148
12/05/2023;4,08;4,08;3,90;3,98;3,98;27847;9;110532;3,9693
11/05/2023;3,84;4,10;3,84;4,10;4,10;28206;31;113793;4,0344
10/05/2023;4,00;4,00;3,75;4,00;4,00;70657;34;273311;3,8681
09/05/2023;4,51;4,70;4,00;4,10;4,10;162198;148;684817;4,2221
08/05/2023;4,64;5,00;4,52;4,70;4,70;21237;30;101887;4,7976
05/05/2023;5,40;5,40;4,80;4,80;4,80;105837;61;546267;5,1614
04/05/2023;5,76;5,76;5,46;5,48;5,48;7106;19;39367;5,5399
03/05/2023;5,60;5,60;5,44;5,60;5,60;76371;52;419996;5,4994
02/05/2023;5,98;5,98;5,30;5,78;5,78;32274;34;178005;5,5154
28/04/2023;6,24;6,24;5,50;5,60;5,60;27365;20;157917;5,7708
27/04/2023;6,14;6,36;6,10;6,18;6,18;27871;34;171663;6,1592
26/04/2023;6,48;6,98;6,14;6,68;6,68;78398;39;498378;6,3570
25/04/2023;6,30;6,52;5,70;6,52;6,52;56681;48;345059;6,0877
24/04/2023;6,38;6,58;6,06;6,58;6,58;4915;9;31258;6,3598
21/04/2023;6,58;6,58;6,22;6,28;6,28;15570;15;97723;6,2764
20/04/2023;6,50;6,68;6,50;6,62;6,62;23940;16;158669;6,6278
19/04/2023;6,66;6,88;6,52;6,80;6,80;19901;14;132942;6,6802
