"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0004822503
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;124,80;124,80;120,20;120,80;120,80;49333;312;5998087;121,5837
03/11/2023;118,60;121,40;117,40;120,60;120,60;66132;369;7926996;119,8663
02/11/2023;117,60;120,20;117,40;119,60;119,60;35663;293;4245995;119,0588
01/11/2023;115,60;117,40;115,40;117,20;117,20;39941;285;4660433;116,6829
31/10/2023;115,40;117,00;114,00;116,20;116,20;56501;306;6530712;115,5858
30/10/2023;114,80;116,80;113,60;115,20;115,20;41494;311;4787229;115,3716
27/10/2023;113,00;113,20;111,60;112,00;112,00;61375;327;6879446;112,0887
26/10/2023;111,20;114,40;111,00;113,60;113,60;85492;249;9664904;113,0504
25/10/2023;118,80;118,80;111,20;111,20;111,20;63482;401;7126284;112,2568
24/10/2023;116,40;117,00;113,40;114,00;114,00;98356;504;11227768;114,1544
23/10/2023;120,60;120,60;115,00;116,00;116,00;105686;533;12297201;116,3560
20/10/2023;124,20;124,20;118,00;121,00;121,00;214329;1563;25742230;120,1061
19/10/2023;125,60;127,00;117,60;125,00;125,00;189579;1083;23455528;123,7243
18/10/2023;134,60;135,20;132,20;132,20;132,20;69791;335;9318588;133,5213
17/10/2023;135,00;135,40;134,00;134,80;134,80;37994;321;5111939;134,5460
16/10/2023;136,00;136,00;134,00;134,60;134,60;53026;195;7177712;135,3621
13/10/2023;137,20;137,60;136,00;137,40;137,40;42272;219;5788068;136,9244
12/10/2023;138,80;138,80;136,00;137,20;137,20;21104;230;2898329;137,3355
11/10/2023;135,20;139,00;134,80;139,00;139,00;34269;351;4712950;137,5281
10/10/2023;138,00;138,00;134,20;136,00;136,00;19106;209;2598937;136,0273
09/10/2023;128,80;138,80;128,80;138,00;138,00;66748;450;9100197;136,3366
06/10/2023;130,00;130,40;127,60;128,40;128,40;29799;231;3836749;128,7543
05/10/2023;126,40;128,80;126,20;128,20;128,20;12778;136;1635133;127,9647
04/10/2023;128,20;128,80;126,40;127,00;127,00;22909;407;2918923;127,4138
03/10/2023;128,20;130,80;128,20;129,60;129,60;12597;165;1630291;129,4190
