"Historical Data"
"From 2021-11-15 to 2023-11-13"
NO0010768500
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/11/2023;1,38;1,38;1,25;1,258;1,258;1636201;302;2087763;1,2760
10/11/2023;1,38;1,40;1,302;1,32;1,32;1206739;204;1625086;1,3467
09/11/2023;1,38;1,40;1,328;1,38;1,38;920892;159;1253813;1,3615
08/11/2023;1,352;1,486;1,352;1,39;1,39;258651;77;355339;1,3738
07/11/2023;1,44;1,44;1,352;1,362;1,362;660121;132;911889;1,3814
06/11/2023;1,45;1,538;1,44;1,44;1,44;1002842;183;1465184;1,4610
03/11/2023;1,40;1,672;1,40;1,442;1,442;6579620;644;10205649;1,5511
02/11/2023;1,38;1,428;1,34;1,398;1,398;1653288;172;2308836;1,3965
01/11/2023;1,38;1,45;1,324;1,38;1,38;1251428;242;1745225;1,3946
31/10/2023;1,198;1,38;1,198;1,274;1,274;3052942;269;3794465;1,2429
30/10/2023;1,29;1,29;1,188;1,194;1,194;2350243;320;2913488;1,2397
27/10/2023;1,314;1,35;1,23;1,23;1,23;1882196;288;2405441;1,2780
26/10/2023;1,342;1,40;1,312;1,312;1,312;1734859;200;2329621;1,3428
25/10/2023;1,366;1,40;1,344;1,352;1,352;1324027;178;1814001;1,3701
24/10/2023;1,40;1,448;1,362;1,362;1,362;2086205;255;2878021;1,3795
23/10/2023;1,402;1,416;1,33;1,39;1,39;1163714;162;1613253;1,3863
20/10/2023;1,406;1,448;1,396;1,416;1,416;1924999;292;2714660;1,4102
19/10/2023;1,60;1,60;1,42;1,45;1,45;4278705;382;6360956;1,4867
18/10/2023;1,65;1,684;1,552;1,612;1,612;377276;93;609297;1,6150
17/10/2023;1,648;1,696;1,62;1,62;1,62;467471;129;771644;1,6507
16/10/2023;1,80;1,80;1,61;1,61;1,61;1071322;203;1789819;1,6707
13/10/2023;1,60;1,79;1,55;1,766;1,766;1966519;307;3284954;1,6704
12/10/2023;1,474;1,656;1,474;1,588;1,588;2609893;320;4178335;1,6010
11/10/2023;1,474;1,474;1,434;1,46;1,46;342584;46;499705;1,4586
10/10/2023;1,43;1,51;1,43;1,458;1,458;393633;93;579566;1,4724
09/10/2023;1,48;1,48;1,42;1,444;1,444;319517;100;459832;1,4391
06/10/2023;1,47;1,47;1,422;1,43;1,43;309136;85;445120;1,4399
05/10/2023;1,50;1,50;1,424;1,424;1,424;408312;104;588627;1,4416
04/10/2023;1,52;1,52;1,426;1,45;1,45;536677;131;789073;1,4703
03/10/2023;1,55;1,55;1,51;1,514;1,514;276038;100;422380;1,5302
02/10/2023;1,57;1,57;1,50;1,546;1,546;492481;132;756095;1,5353
29/09/2023;1,53;1,576;1,512;1,564;1,564;742884;130;1144224;1,5402
28/09/2023;1,52;1,59;1,52;1,528;1,528;1304198;113;2019673;1,5486
27/09/2023;1,58;1,608;1,52;1,52;1,52;679329;149;1059329;1,5594
26/09/2023;1,616;1,684;1,55;1,552;1,552;2328891;280;3698594;1,5881
25/09/2023;1,764;1,794;1,54;1,568;1,568;1718777;313;2751456;1,6008
22/09/2023;1,71;1,78;1,684;1,716;1,716;1229892;243;2130840;1,7325
21/09/2023;1,67;1,692;1,532;1,68;1,68;2996552;495;4887130;1,6309
20/09/2023;1,662;1,90;1,57;1,60;1,60;5949788;840;10040230;1,6875
19/09/2023;2,10;2,18;1,73;1,744;1,744;2961043;1230;5550552;1,8745
18/09/2023;1,68;2,19;1,60;2,00;2,00;2654645;804;5349132;2,0150
15/09/2023;1,49;1,75;1,49;1,652;1,652;1599518;433;2552578;1,5958
14/09/2023;1,596;1,596;1,468;1,484;1,484;928451;244;1406054;1,5144
13/09/2023;1,436;1,73;1,40;1,50;1,50;1860084;539;2895729;1,5568
12/09/2023;1,53;1,60;1,402;1,402;1,402;1191236;346;1752208;1,4709
11/09/2023;1,596;1,678;1,45;1,522;1,522;1094271;242;1699201;1,5528
08/09/2023;1,80;1,80;1,54;1,56;1,56;2654975;419;4280158;1,6121
07/09/2023;1,80;1,888;1,70;1,722;1,722;1362594;404;2406461;1,7661
06/09/2023;2,20;2,20;1,78;1,806;1,806;1991740;784;3767820;1,8917
05/09/2023;2,46;2,46;2,10;2,10;2,10;899277;188;2012059;2,2374
04/09/2023;2,40;2,495;2,40;2,42;2,42;199046;79;482165;2,4224
01/09/2023;2,38;2,56;2,35;2,40;2,40;443348;144;1068574;2,4102
