"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011032310
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;76,50;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;76,50;0;0;0;0,0000
02/11/2023;0,00;0,00;0,00;0,00;76,50;0;0;0;0,0000
01/11/2023;0,00;0,00;0,00;0,00;76,50;0;0;0;0,0000
31/10/2023;75,00;76,50;70,00;76,50;76,50;8305;4;584723;70,4061
30/10/2023;0,00;0,00;0,00;0,00;75,50;0;0;0;0,0000
27/10/2023;0,00;0,00;0,00;0,00;75,50;0;0;0;0,0000
26/10/2023;70,00;75,50;70,00;75,50;75,50;1711;5;125569;73,3890
25/10/2023;0,00;0,00;0,00;0,00;75,00;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;75,00;0;0;0;0,0000
23/10/2023;0,00;0,00;0,00;0,00;75,00;0;0;0;0,0000
20/10/2023;0,00;0,00;0,00;0,00;75,00;0;0;0;0,0000
19/10/2023;70,00;75,00;69,00;75,00;75,00;548;3;37930;69,2153
18/10/2023;0,00;0,00;0,00;0,00;77,00;0;0;0;0,0000
17/10/2023;70,00;77,00;70,00;77,00;77,00;205;2;14385;70,1707
16/10/2023;67,50;70,50;67,50;70,00;70,00;542;3;37917;69,9566
13/10/2023;79,00;79,00;79,00;79,00;79,00;500;3;39500;79,0000
12/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
10/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
09/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
06/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
05/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;79,50;0;0;0;0,0000
29/09/2023;79,50;79,50;79,50;79,50;79,50;300;3;23850;79,5000
28/09/2023;0,00;0,00;0,00;0,00;71,00;0;0;0;0,0000
27/09/2023;71,00;71,00;71,00;71,00;71,00;4972;5;353012;71,0000
26/09/2023;72,50;72,50;72,50;72,50;72,50;240;1;17400;72,5000
25/09/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
22/09/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
21/09/2023;75,50;75,50;70,00;70,00;70,00;227;2;17128;75,4515
20/09/2023;0,00;0,00;0,00;0,00;72,00;0;0;0;0,0000
19/09/2023;74,50;74,50;72,00;72,00;72,00;1001;2;72075;72,0025
18/09/2023;74,50;75,00;74,50;75,00;75,00;1027;5;76689;74,6723
15/09/2023;0,00;0,00;0,00;0,00;74,50;0;0;0;0,0000
14/09/2023;74,50;74,50;74,50;74,50;74,50;30;1;2235;74,5000
13/09/2023;0,00;0,00;0,00;0,00;69,00;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;69,00;0;0;0;0,0000
11/09/2023;0,00;0,00;0,00;0,00;69,00;0;0;0;0,0000
08/09/2023;0,00;0,00;0,00;0,00;69,00;0;0;0;0,0000
07/09/2023;0,00;0,00;0,00;0,00;69,00;0;0;0;0,0000
06/09/2023;69,00;69,00;69,00;69,00;69,00;45;1;3105;69,0000
05/09/2023;0,00;0,00;0,00;0,00;70,50;0;0;0;0,0000
04/09/2023;70,00;70,50;69,50;70,50;70,50;4570;9;319167;69,8396
01/09/2023;70,00;73,00;70,00;73,00;73,00;23;6;1640;71,3043
31/08/2023;69,00;69,00;69,00;69,00;69,00;3;2;207;69,0000
30/08/2023;66,50;73,00;66,50;69,00;69,00;920;4;64407;70,0076
29/08/2023;70,00;70,00;70,00;70,00;70,00;407;2;28490;70,0000
28/08/2023;70,00;70,00;66,00;66,00;66,00;407;2;28462;69,9312
25/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
24/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
23/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
22/08/2023;70,00;70,00;70,00;70,00;70,00;7;2;490;70,0000
21/08/2023;70,00;75,50;70,00;70,00;70,00;900;4;65746;73,0506
18/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
17/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
16/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
15/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
14/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
11/08/2023;70,00;70,00;70,00;70,00;70,00;2;2;140;70,0000
10/08/2023;70,00;70,00;70,00;70,00;70,00;12;2;840;70,0000
09/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
08/08/2023;70,50;70,50;70,00;70,00;70,00;1079;5;76030;70,4634
07/08/2023;0,00;0,00;0,00;0,00;70,50;0;0;0;0,0000
04/08/2023;0,00;0,00;0,00;0,00;70,50;0;0;0;0,0000
03/08/2023;75,00;75,00;70,50;70,50;70,50;508;2;38064;74,9291
02/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
01/08/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
31/07/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
28/07/2023;70,00;70,00;70,00;70,00;70,00;4;1;280;70,0000
27/07/2023;0,00;0,00;0,00;0,00;70,00;0;0;0;0,0000
26/07/2023;70,00;70,00;70,00;70,00;70,00;72;2;5040;70,0000
25/07/2023;79,00;79,00;79,00;79,00;79,00;5;1;395;79,0000
24/07/2023;72,50;72,50;72,50;72,50;72,50;75;1;5438;72,5000
21/07/2023;75,00;82,00;75,00;82,00;82,00;67;3;5039;75,2090
20/07/2023;80,00;80,00;80,00;80,00;80,00;100;1;8000;80,0000
19/07/2023;0,00;0,00;0,00;0,00;77,00;0;0;0;0,0000
18/07/2023;0,00;0,00;0,00;0,00;77,00;0;0;0;0,0000
17/07/2023;76,00;77,00;76,00;77,00;77,00;170;3;13060;76,8235
14/07/2023;0,00;0,00;0,00;0,00;76,00;0;0;0;0,0000
13/07/2023;76,00;76,00;76,00;76,00;76,00;2149;3;163324;76,0000
12/07/2023;0,00;0,00;0,00;0,00;77,50;0;0;0;0,0000
11/07/2023;0,00;0,00;0,00;0,00;77,50;0;0;0;0,0000
10/07/2023;0,00;0,00;0,00;0,00;77,50;0;0;0;0,0000
07/07/2023;75,00;77,50;75,00;77,50;77,50;110;5;8500;77,2727
06/07/2023;72,50;72,50;72,50;72,50;72,50;147;1;10658;72,5000
05/07/2023;0,00;0,00;0,00;0,00;73,00;0;0;0;0,0000
04/07/2023;70,00;75,00;70,00;73,00;73,00;2120;7;149980;70,7453
03/07/2023;74,00;74,00;74,00;74,00;74,00;3641;5;269434;74,0000
30/06/2023;73,50;73,50;67,00;70,00;70,00;5851;18;403619;68,9829
29/06/2023;71,50;73,50;71,50;73,50;73,50;1033;3;73874;71,5136
28/06/2023;71,00;71,50;68,50;70,00;70,00;8790;8;612668;69,7006
27/06/2023;0,00;0,00;0,00;0,00;74,00;0;0;0;0,0000
26/06/2023;72,00;74,00;69,00;74,00;74,00;1035;5;74112;71,6058
23/06/2023;72,50;72,50;72,50;72,50;72,50;1134;1;82215;72,5000
22/06/2023;78,00;78,00;70,00;70,00;70,00;20942;30;1526617;72,8974
21/06/2023;0,00;0,00;0,00;0,00;79,00;0;0;0;0,0000
20/06/2023;0,00;0,00;0,00;0,00;79,00;0;0;0;0,0000
19/06/2023;0,00;0,00;0,00;0,00;79,00;0;0;0;0,0000
16/06/2023;79,00;79,00;79,00;79,00;79,00;380;1;30020;79,0000
15/06/2023;84,00;84,00;84,00;84,00;84,00;30;1;2520;84,0000
14/06/2023;84,00;84,00;84,00;84,00;84,00;1;1;84;84,0000
13/06/2023;80,00;80,00;80,00;80,00;80,00;788;3;63040;80,0000
