"Historical Data"
"From 2021-11-15 to 2023-11-13"
NO0010073489
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/11/2023;78,25;78,55;77,10;77,30;77,30;145864;450;11340478;77,7469
10/11/2023;79,80;79,80;77,70;77,90;77,90;165323;557;12942465;78,2859
09/11/2023;77,00;79,75;76,80;79,20;79,20;368265;841;29017303;78,7946
08/11/2023;73,50;76,95;73,35;76,20;76,20;298585;720;22703280;76,0362
07/11/2023;75,00;75,00;72,90;73,80;73,80;464701;1234;34265815;73,7373
06/11/2023;76,85;77,15;75,60;75,60;75,60;156423;555;11925875;76,2412
03/11/2023;77,50;77,50;76,05;76,90;76,90;137120;470;10544831;76,9022
02/11/2023;76,20;77,05;75,90;76,75;76,75;151894;458;11606119;76,4093
01/11/2023;76,40;76,40;75,20;76,05;76,05;136426;514;10351084;75,8732
31/10/2023;76,00;76,85;75,70;76,30;76,30;272989;600;20814469;76,2465
30/10/2023;75,80;75,95;74,85;75,40;75,40;149318;527;11252401;75,3586
27/10/2023;73,50;76,10;73,25;75,35;75,35;301999;953;22719018;75,2288
26/10/2023;72,30;73,30;72,00;72,75;72,75;190845;704;13883749;72,7488
25/10/2023;73,00;73,15;72,05;72,10;72,10;124902;435;9042551;72,3972
24/10/2023;71,00;73,10;69,80;72,70;72,70;230367;796;16493209;71,5954
23/10/2023;72,00;72,15;70,40;71,15;71,15;203362;752;14486739;71,2362
20/10/2023;73,10;73,45;72,10;72,10;72,10;113731;404;8254303;72,5774
19/10/2023;74,60;74,60;73,10;73,45;73,45;113770;387;8363756;73,5146
18/10/2023;75,15;75,25;74,40;74,50;74,50;167195;546;12503084;74,7814
17/10/2023;75,10;75,85;73,85;75,15;75,15;180614;581;13477387;74,6198
16/10/2023;74,20;75,30;74,05;75,30;75,30;137820;431;10320817;74,8862
13/10/2023;75,20;75,85;74,60;75,00;75,00;115013;352;8629860;75,0338
12/10/2023;76,30;76,60;75,65;75,70;75,70;168524;521;12811813;76,0237
11/10/2023;75,55;76,40;74,80;75,70;75,70;140953;481;10687487;75,8231
10/10/2023;73,50;75,50;73,50;75,40;75,40;180798;523;13500687;74,6728
09/10/2023;73,75;74,00;72,65;73,50;73,50;141719;457;10391269;73,3231
06/10/2023;74,25;74,45;73,30;73,45;73,45;168783;538;12444618;73,7315
05/10/2023;73,40;74,60;73,30;74,20;74,20;216871;628;16060738;74,0566
04/10/2023;72,50;73,55;72,25;72,95;72,95;181722;568;13275019;73,0512
03/10/2023;74,40;74,45;72,25;72,70;72,70;198643;753;14506613;73,0286
02/10/2023;75,50;75,80;74,30;74,35;74,35;134945;519;10088247;74,7582
29/09/2023;74,70;75,35;74,40;75,25;75,25;204491;558;15334967;74,9909
28/09/2023;75,50;75,50;73,90;74,00;74,00;302715;920;22538608;74,4549
27/09/2023;74,50;75,95;73,90;75,90;75,90;203273;560;15281781;75,1786
26/09/2023;74,45;74,75;73,50;74,45;74,45;227182;637;16823591;74,0534
25/09/2023;76,50;76,65;74,15;74,70;74,70;407233;698;30488524;74,8675
22/09/2023;77,75;77,85;76,35;76,70;76,70;138740;481;10661465;76,8449
