"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG0670A1099
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;13,50;14,06;13,345;13,465;13,465;726156;573;9906779;13,6428
03/11/2023;13,135;13,735;13,10;13,515;13,515;1211572;818;16384458;13,5233
02/11/2023;13,24;13,59;12,88;13,59;13,59;1755924;932;23559395;13,4171
01/11/2023;12,31;12,745;12,00;12,745;12,745;1146502;512;14463504;12,6153
31/10/2023;11,90;12,58;11,29;12,32;12,32;2836988;812;34545474;12,1768
30/10/2023;11,70;12,28;11,70;12,075;12,075;1299009;888;15611232;12,0178
27/10/2023;12,58;12,58;11,50;11,65;11,65;2550774;1070;30060153;11,7847
26/10/2023;12,735;12,805;12,38;12,485;12,485;829691;658;10415301;12,5532
25/10/2023;13,18;13,18;12,65;12,80;12,80;999593;617;12800598;12,8058
24/10/2023;13,63;13,645;13,09;13,18;13,18;598488;496;7956332;13,2941
23/10/2023;13,695;13,695;13,25;13,625;13,625;781345;439;10608960;13,5778
20/10/2023;13,465;13,81;13,465;13,685;13,685;662140;495;9051179;13,6696
19/10/2023;13,645;14,27;13,305;13,87;13,87;1181197;846;16428701;13,9085
18/10/2023;13,50;13,91;13,435;13,615;13,615;994107;772;13589277;13,6698
17/10/2023;13,00;13,71;12,96;13,53;13,53;2162348;1115;28841548;13,3381
16/10/2023;13,10;13,53;12,75;12,885;12,885;1304945;778;16879131;12,9347
13/10/2023;13,70;13,765;13,085;13,085;13,085;3929494;1445;52870423;13,4548
12/10/2023;13,00;13,885;12,95;13,625;13,625;1962951;1460;26698311;13,6011
11/10/2023;13,15;13,44;12,915;13,28;13,28;1641764;696;21739746;13,2417
10/10/2023;13,40;13,79;12,945;13,18;13,18;2242953;1584;29849624;13,3082
09/10/2023;13,50;13,94;13,095;13,30;13,30;1259365;903;16804831;13,3439
06/10/2023;14,52;14,52;13,345;13,455;13,455;1931921;1166;26213344;13,5685
05/10/2023;14,36;14,73;14,285;14,525;14,525;1052447;801;15270805;14,5098
04/10/2023;14,375;14,68;14,055;14,325;14,325;746814;796;10740701;14,3820
03/10/2023;14,705;15,035;14,40;14,50;14,50;998051;780;14559334;14,5878
02/10/2023;15,50;15,50;14,805;14,90;14,90;582522;683;8723957;14,9762
29/09/2023;15,075;15,365;15,055;15,135;15,135;957395;737;14526492;15,1729
28/09/2023;14,615;14,985;14,535;14,87;14,87;1596248;938;23696725;14,8453
