"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG067231032
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;155,60;165,00;152,60;158,20;158,20;261533;1154;41955955;160,4232
03/11/2023;168,00;173,40;158,00;158,60;158,60;332498;1776;54551344;164,0652
02/11/2023;162,40;170,00;162,20;168,00;168,00;285464;1318;47518613;166,4610
01/11/2023;150,20;163,00;150,20;162,20;162,20;379325;1476;60023424;158,2375
31/10/2023;143,80;148,60;143,60;148,60;148,60;168540;648;24685420;146,4662
30/10/2023;141,40;145,00;141,00;143,00;143,00;123481;584;17709490;143,4187
27/10/2023;138,20;142,40;137,60;139,80;139,80;143907;608;20156411;140,0655
26/10/2023;137,60;141,20;135,80;137,40;137,40;184241;771;25586388;138,8746
25/10/2023;136,20;138,80;135,00;136,80;136,80;134403;581;18410696;136,9813
24/10/2023;131,80;135,60;129,60;135,60;135,60;184433;666;24771905;134,3138
23/10/2023;131,00;135,00;126,80;128,80;128,80;91789;455;11968604;130,3926
20/10/2023;131,00;132,20;128,40;130,80;130,80;117511;505;15387959;130,9491
19/10/2023;128,80;131,00;127,80;131,00;131,00;127026;613;16489792;129,8143
18/10/2023;128,00;130,00;123,60;129,80;129,80;186319;670;23822586;127,8591
17/10/2023;123,00;126,60;122,00;126,40;126,40;157751;671;19739032;125,1278
16/10/2023;119,20;123,60;119,20;123,40;123,40;176602;679;21555613;122,0576
13/10/2023;118,40;119,60;116,40;119,00;119,00;87204;438;10316183;118,2994
12/10/2023;117,00;120,00;115,60;119,20;119,20;91155;449;10822416;118,7254
11/10/2023;119,00;121,20;115,80;116,40;116,40;107397;546;12704654;118,2962
10/10/2023;116,00;118,00;114,60;118,00;118,00;90476;460;10554321;116,6533
09/10/2023;114,60;115,80;112,80;115,80;115,80;76630;333;8800153;114,8395
06/10/2023;112,00;115,00;111,20;113,60;113,60;118774;569;13468646;113,3973
05/10/2023;105,60;113,00;105,00;112,00;112,00;154452;653;17008787;110,1234
04/10/2023;106,00;109,60;104,00;105,00;105,00;233687;952;24708158;105,7318
03/10/2023;112,80;113,60;110,00;110,40;110,40;156448;670;17385448;111,1260
02/10/2023;114,60;116,60;114,60;115,60;115,60;68824;378;7962929;115,6999
29/09/2023;112,20;117,00;111,40;115,00;115,00;112894;516;12979836;114,9737
28/09/2023;110,40;112,80;107,60;112,20;112,20;158205;611;17419689;110,1083
27/09/2023;115,40;116,00;110,80;112,00;112,00;159679;693;18053433;113,0608
26/09/2023;116,60;116,60;113,40;115,40;115,40;102605;559;11781376;114,8226
25/09/2023;119,20;119,40;114,40;117,20;117,20;166477;691;19463119;116,9118
22/09/2023;121,60;122,80;118,60;119,20;119,20;126463;517;15211422;120,2836
21/09/2023;117,80;122,40;116,60;121,60;121,60;136836;546;16471037;120,3706
20/09/2023;119,80;119,80;116,20;118,00;118,00;88790;431;10442176;117,6053
19/09/2023;116,80;120,00;116,00;119,40;119,40;159809;551;18979479;118,7635
18/09/2023;117,00;118,00;115,40;116,80;116,80;109047;496;12788198;117,2723
15/09/2023;114,60;117,00;113,20;114,60;114,60;182720;691;21086639;115,4041
14/09/2023;110,40;113,80;110,40;113,00;113,00;190806;641;21390016;112,1035
13/09/2023;110,00;110,80;106,20;109,20;109,20;287820;893;31013065;107,7516
12/09/2023;115,60;116,20;109,60;110,60;110,60;149912;545;16784652;111,9634
11/09/2023;114,60;117,20;114,20;116,00;116,00;171396;651;19849114;115,8085
08/09/2023;124,20;124,20;112,80;115,00;115,00;399329;1445;46496950;116,4377
07/09/2023;118,00;122,20;117,40;122,20;122,20;255899;842;30563934;119,4375
06/09/2023;119,40;124,00;118,40;121,00;121,00;366788;1354;44418708;121,1019
05/09/2023;114,20;118,80;112,60;117,80;117,80;268857;971;31333945;116,5450
04/09/2023;111,00;112,80;108,60;112,80;112,80;406029;1249;45255266;111,4582
01/09/2023;106,60;109,40;105,40;107,00;107,00;199345;620;21454100;107,6230
31/08/2023;106,60;107,80;103,80;106,40;106,40;143324;541;15196289;106,0275
30/08/2023;108,00;111,00;105,40;106,40;106,40;158600;584;17080143;107,6932
29/08/2023;105,40;107,00;104,20;105,20;105,20;97849;344;10380540;106,0873
28/08/2023;106,00;106,60;102,80;105,40;105,40;75575;347;7943865;105,1123
25/08/2023;105,00;107,20;102,80;106,40;106,40;91519;336;9641275;105,3473
24/08/2023;103,40;106,00;102,60;105,80;105,80;99427;331;10392028;104,5192
23/08/2023;104,60;104,60;100,80;101,40;101,40;106306;410;10915260;102,6777
22/08/2023;99,80;102,20;99,60;102,00;102,00;87071;341;8780392;100,8417
21/08/2023;96,30;99,90;96,30;99,80;99,80;107234;458;10557917;98,4568
18/08/2023;96,20;97,40;93,00;93,80;93,80;106628;463;10140966;95,1060
17/08/2023;98,00;98,20;96,60;96,60;96,60;38117;235;3712082;97,3865
16/08/2023;97,00;99,60;97,00;98,40;98,40;37664;221;3705129;98,3732
15/08/2023;100,00;100,80;97,20;98,00;98,00;83147;377;8213627;98,7844
14/08/2023;100,80;100,80;99,10;100,20;100,20;61949;305;6192200;99,9564
11/08/2023;100,00;100,80;98,70;100,80;100,80;75348;312;7527286;99,9003
10/08/2023;99,00;99,70;97,80;99,40;99,40;84868;351;8394566;98,9132
09/08/2023;94,80;99,20;93,00;98,60;98,60;193112;669;18788013;97,2908
08/08/2023;92,70;94,60;92,40;93,90;93,90;142266;468;13315975;93,5991
07/08/2023;92,70;92,90;90,00;92,50;92,50;110449;388;10187658;92,2386
04/08/2023;89,00;92,00;89,00;90,90;90,90;126452;522;11540322;91,2625
03/08/2023;88,50;88,70;87,20;88,40;88,40;40577;215;3582588;88,2911
02/08/2023;86,00;88,50;85,80;88,20;88,20;61575;280;5391437;87,5589
01/08/2023;86,00;87,70;85,70;86,00;86,00;47794;230;4142595;86,6760
31/07/2023;84,60;87,10;84,60;86,60;86,60;69709;337;5992137;85,9593
28/07/2023;84,60;85,40;83,80;84,60;84,60;36766;247;3113588;84,6866
27/07/2023;84,00;85,60;84,00;84,50;84,50;28582;179;2420544;84,6877
26/07/2023;85,20;86,60;84,80;85,00;85,00;74610;389;6385116;85,5799
25/07/2023;84,00;85,30;83,50;85,20;85,20;36795;225;3105817;84,4087
24/07/2023;84,80;84,80;82,80;84,00;84,00;24925;165;2081863;83,5251
21/07/2023;84,50;84,50;82,60;82,60;82,60;48300;223;4014977;83,1258
20/07/2023;85,10;85,10;83,30;83,30;83,30;25888;165;2170185;83,8298
19/07/2023;83,50;84,70;83,40;83,70;83,70;43844;271;3675334;83,8275
18/07/2023;83,90;84,30;82,30;84,10;84,10;75704;315;6329742;83,6117
17/07/2023;82,00;83,90;80,90;81,80;81,80;73815;392;6099257;82,6290
14/07/2023;84,20;84,20;80,30;81,50;81,50;136889;487;11264466;82,2891
13/07/2023;85,00;86,30;83,00;84,20;84,20;84836;400;7136834;84,1251
12/07/2023;87,30;87,50;84,60;84,80;84,80;126339;586;10779887;85,3251
11/07/2023;90,00;90,10;87,20;87,30;87,30;60316;343;5304993;87,9533
10/07/2023;87,00;89,60;86,40;89,30;89,30;61031;334;5390759;88,3282
07/07/2023;89,90;90,00;88,00;88,80;88,80;93890;369;8341041;88,8384
06/07/2023;92,00;92,00;89,60;89,80;89,80;67112;358;6080683;90,6050
05/07/2023;94,30;94,30;90,00;90,00;90,00;54526;295;4987005;91,4610
04/07/2023;93,00;94,30;92,00;93,40;93,40;93125;371;8668971;93,0896
03/07/2023;91,00;93,00;91,00;91,60;91,60;76655;356;7056869;92,0601
30/06/2023;87,60;90,90;87,60;90,60;90,60;52945;243;4767587;90,0479
29/06/2023;87,50;87,50;85,50;87,10;87,10;83283;260;7204707;86,5087
28/06/2023;85,60;87,50;85,30;85,50;85,50;40258;195;3468102;86,1469
27/06/2023;86,70;88,40;85,00;85,70;85,70;71189;277;6112037;85,8565
26/06/2023;90,30;90,30;84,20;86,30;86,30;129116;424;11162291;86,4517
23/06/2023;90,00;90,50;87,50;90,30;90,30;99616;332;8857852;88,9200
22/06/2023;94,10;94,80;90,20;90,50;90,50;65771;287;6069200;92,2777
21/06/2023;91,10;93,90;91,10;93,00;93,00;61613;274;5727355;92,9569
20/06/2023;95,00;96,00;90,00;91,00;91,00;189888;815;17549739;92,4215
19/06/2023;93,50;94,70;91,90;94,40;94,40;100608;435;9436034;93,7901
16/06/2023;91,80;93,50;90,20;91,30;91,30;130706;512;11989823;91,7312
15/06/2023;85,80;89,90;85,80;88,90;88,90;64235;336;5681872;88,4545
14/06/2023;86,90;88,80;85,50;85,80;85,80;112304;446;9803454;87,2939
13/06/2023;85,00;87,30;84,60;86,40;86,40;54014;278;4663328;86,3355
12/06/2023;83,80;85,70;83,00;85,00;85,00;70372;344;5981946;85,0046
09/06/2023;88,80;88,80;83,30;84,10;84,10;148381;602;12537349;84,4943
08/06/2023;88,30;91,10;88,30;88,80;88,80;75857;389;6799270;89,6327
07/06/2023;93,10;93,20;86,10;88,10;88,10;201100;766;18081626;89,9136
06/06/2023;100,20;103,20;96,20;96,70;96,70;172331;749;16938020;98,2877
05/06/2023;99,00;103,20;98,20;101,80;101,80;294147;844;29838698;101,4414
02/06/2023;95,70;98,40;95,70;98,10;98,10;156214;658;15109802;96,7250
01/06/2023;91,90;95,10;91,60;94,20;94,20;125959;555;11813270;93,7866
31/05/2023;89,80;92,80;89,00;91,50;91,50;255450;864;23317467;91,2800
30/05/2023;87,10;90,10;87,10;88,40;88,40;251167;915;22316268;88,8503
29/05/2023;0,00;0,00;0,00;0,00;85,30;0;0;0;0,0000
26/05/2023;82,00;86,20;81,90;85,30;85,30;165508;568;14056054;84,9267
25/05/2023;82,00;82,00;80,40;81,30;81,30;104423;402;8498422;81,3846
24/05/2023;80,40;82,00;78,90;82,00;82,00;124553;338;10008974;80,3592
23/05/2023;77,00;81,90;77,00;81,00;81,00;178762;597;14343647;80,2388
22/05/2023;74,10;76,80;74,00;75,60;75,60;138425;505;10445229;75,4577
19/05/2023;72,50;74,70;72,50;73,40;73,40;70813;303;5223259;73,7613
18/05/2023;0,00;0,00;0,00;0,00;71,90;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;71,90;0;0;0;0,0000
16/05/2023;73,00;73,30;71,90;71,90;71,90;47630;222;3446689;72,3638
15/05/2023;71,50;73,20;70,00;73,00;73,00;45088;226;3251693;72,1188
12/05/2023;72,50;72,50;69,40;70,90;70,90;38831;226;2728080;70,2552
11/05/2023;70,80;70,80;69,40;70,20;70,20;42467;214;2979169;70,1526
10/05/2023;69,80;71,00;68,70;70,40;70,40;43799;197;3072032;70,1393
09/05/2023;67,90;69,50;67,40;68,80;68,80;51396;239;3528827;68,6596
08/05/2023;69,80;69,80;67,80;68,40;68,40;74057;224;5098867;68,8506
05/05/2023;68,80;70,00;68,20;69,20;69,20;36312;196;2504493;68,9715
04/05/2023;69,10;69,90;67,60;67,60;67,60;56235;259;3867421;68,7725
03/05/2023;69,80;69,80;68,30;68,30;68,30;39202;215;2698179;68,8276
02/05/2023;71,90;72,10;70,00;70,10;70,10;58993;264;4158984;70,4996
28/04/2023;69,90;72,00;68,10;72,00;72,00;45428;185;3178133;69,9598
27/04/2023;72,00;72,00;67,70;69,50;69,50;86338;310;5945265;68,8603
26/04/2023;70,30;72,20;69,90;71,00;71,00;59633;242;4234560;71,0103
25/04/2023;72,00;74,70;70,70;70,70;70,70;101103;363;7271317;71,9199
24/04/2023;70,80;71,70;69,20;71,20;71,20;84090;334;5939673;70,6347
21/04/2023;72,00;72,00;69,60;70,20;70,20;58022;259;4106231;70,7702
20/04/2023;72,20;73,10;71,10;71,60;71,60;47957;288;3450816;71,9565
19/04/2023;76,00;76,00;72,10;72,10;72,10;67541;331;5017837;74,2932
18/04/2023;75,80;76,70;74,50;75,20;75,20;75345;340;5678985;75,3731
17/04/2023;71,60;74,80;71,60;74,40;74,40;98867;331;7307198;73,9094
14/04/2023;72,50;72,50;70,50;71,30;71,30;50552;245;3615324;71,5169
13/04/2023;72,20;72,50;69,70;71,60;71,60;88383;431;6276649;71,0165
12/04/2023;69,00;70,40;68,30;69,50;69,50;78441;302;5473870;69,7833
11/04/2023;67,50;68,10;65,40;68,00;68,00;126731;396;8499870;67,0702
06/04/2023;0,00;0,00;0,00;0,00;66,60;0;0;0;0,0000
05/04/2023;65,00;67,10;65,00;66,60;66,60;34340;181;2279557;66,3820
04/04/2023;68,00;68,00;65,00;65,00;65,00;101766;350;6710979;65,9452
03/04/2023;67,80;69,00;64,60;67,80;67,80;129268;570;8617331;66,6625
31/03/2023;68,05;69,00;67,40;68,35;68,35;88722;368;6056680;68,2658
30/03/2023;69,20;70,00;67,75;69,20;69,20;119834;470;8274772;69,0520
29/03/2023;70,40;70,95;69,40;70,55;70,55;61432;290;4315530;70,2489
28/03/2023;70,45;71,35;69,20;70,40;70,40;78899;405;5539107;70,2050
27/03/2023;70,40;71,90;68,65;71,40;71,40;68491;370;4835098;70,5947
24/03/2023;74,00;74,00;69,70;70,45;70,45;88005;419;6230383;70,7958
23/03/2023;74,30;74,60;73,50;73,60;73,60;31825;162;2359973;74,1547
22/03/2023;74,90;74,90;73,30;74,45;74,45;44285;292;3287001;74,2238
