"Historical Data"
"From 2021-11-15 to 2023-11-12"
NO0010607971
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;8,30;8,70;8,30;8,64;8,64;134983;93;1160192;8,5951
09/11/2023;8,35;8,50;8,23;8,50;8,50;304603;161;2559039;8,4012
08/11/2023;8,35;8,60;8,33;8,60;8,60;735562;204;6260076;8,5106
07/11/2023;8,43;8,43;8,30;8,42;8,42;145851;83;1216204;8,3387
06/11/2023;8,39;8,46;8,17;8,43;8,43;250939;149;2085758;8,3118
03/11/2023;8,47;8,47;8,30;8,40;8,40;87449;87;731594;8,3660
02/11/2023;8,49;8,49;8,35;8,47;8,47;122996;98;1034787;8,4132
01/11/2023;8,14;8,48;8,14;8,47;8,47;96365;92;810944;8,4153
31/10/2023;8,22;8,44;8,06;8,44;8,44;502886;256;4152967;8,2583
30/10/2023;8,00;8,20;8,00;8,20;8,20;379537;111;3077550;8,1087
27/10/2023;8,06;8,15;7,99;8,10;8,10;432295;183;3493459;8,0812
26/10/2023;8,03;8,10;8,03;8,09;8,09;110724;68;892816;8,0634
25/10/2023;8,24;8,24;7,96;8,10;8,10;334509;159;2692707;8,0497
24/10/2023;8,12;8,16;8,06;8,10;8,10;438421;110;3553997;8,1064
23/10/2023;8,30;8,30;8,13;8,22;8,22;158263;78;1295145;8,1835
20/10/2023;8,33;8,33;8,14;8,30;8,30;245286;96;2018656;8,2298
19/10/2023;8,19;8,33;8,15;8,33;8,33;96980;70;801157;8,2611
18/10/2023;8,29;8,30;8,17;8,26;8,26;115232;89;947888;8,2259
17/10/2023;8,32;8,38;8,23;8,25;8,25;80208;91;663746;8,2753
16/10/2023;8,48;8,48;8,25;8,32;8,32;66924;66;557929;8,3368
13/10/2023;8,21;8,49;8,21;8,31;8,31;63128;67;530566;8,4046
12/10/2023;8,53;8,53;8,30;8,47;8,47;186101;118;1562846;8,3978
11/10/2023;8,32;8,46;8,32;8,44;8,44;66157;71;555534;8,3972
10/10/2023;8,17;8,37;8,14;8,32;8,32;136397;99;1127196;8,2641
09/10/2023;8,30;8,30;8,16;8,21;8,21;77144;70;632760;8,2023
06/10/2023;8,30;8,38;8,12;8,38;8,38;157041;92;1296602;8,2565
05/10/2023;8,20;8,39;8,20;8,29;8,29;74331;76;616309;8,2914
04/10/2023;8,50;8,54;8,24;8,42;8,42;284766;181;2395951;8,4138
03/10/2023;8,60;8,60;8,50;8,54;8,54;59384;64;507781;8,5508
02/10/2023;8,85;8,87;8,60;8,60;8,60;96277;63;836255;8,6859
29/09/2023;8,87;8,87;8,69;8,85;8,85;85869;47;753902;8,7797
28/09/2023;8,68;8,80;8,57;8,78;8,78;151744;83;1322225;8,7135
27/09/2023;8,62;8,75;8,59;8,68;8,68;99482;61;861634;8,6612
26/09/2023;8,80;8,95;8,51;8,60;8,60;324327;146;2852102;8,7939
25/09/2023;8,55;8,66;8,42;8,60;8,60;189620;136;1612540;8,5041
22/09/2023;8,61;8,65;8,50;8,55;8,55;145851;121;1248479;8,5600
21/09/2023;8,82;8,82;8,60;8,64;8,64;22887;40;198514;8,6737
20/09/2023;8,80;8,80;8,60;8,75;8,75;46517;59;405966;8,7273
19/09/2023;8,70;8,74;8,52;8,74;8,74;339163;147;2930906;8,6416
18/09/2023;8,71;8,71;8,55;8,59;8,59;77519;61;666746;8,6011
15/09/2023;8,71;8,71;8,50;8,56;8,56;87347;97;749293;8,5783
14/09/2023;8,46;8,62;8,46;8,58;8,58;76975;69;659966;8,5738
13/09/2023;8,60;8,64;8,48;8,48;8,48;96314;63;823796;8,5532
12/09/2023;8,60;8,63;8,50;8,55;8,55;92789;75;795463;8,5728
11/09/2023;8,48;8,65;8,45;8,53;8,53;143602;109;1229473;8,5617
08/09/2023;8,55;8,58;8,45;8,56;8,56;107190;88;909739;8,4872
07/09/2023;8,60;8,61;8,41;8,46;8,46;136951;138;1163496;8,4957
06/09/2023;8,56;8,62;8,50;8,50;8,50;87265;71;744730;8,5341
05/09/2023;8,51;8,77;8,51;8,56;8,56;109483;97;946745;8,6474
04/09/2023;8,79;8,79;8,48;8,63;8,63;168506;112;1448793;8,5979
01/09/2023;8,87;8,87;8,50;8,59;8,59;189145;119;1629981;8,6176
31/08/2023;8,36;8,66;8,30;8,66;8,66;528686;191;4501584;8,5147
30/08/2023;8,50;8,56;8,36;8,45;8,45;214310;181;1812595;8,4578
29/08/2023;9,00;9,00;8,62;8,72;8,72;250199;170;2186588;8,7394
28/08/2023;8,79;8,82;8,55;8,80;8,80;332176;201;2879933;8,6699
25/08/2023;9,14;9,14;8,62;8,69;8,69;154537;105;1350940;8,7419
24/08/2023;9,01;9,01;8,50;8,77;8,77;475868;445;4140161;8,7002
23/08/2023;9,30;9,30;8,87;8,88;8,88;449066;219;4087882;9,1031
22/08/2023;9,35;9,55;9,29;9,36;9,36;215145;146;2031584;9,4429
21/08/2023;9,01;9,43;9,00;9,43;9,43;462789;224;4257865;9,2004
18/08/2023;8,88;9,17;8,87;9,09;9,09;395750;178;3566289;9,0115
17/08/2023;8,80;9,01;8,80;8,84;8,84;636178;195;5694966;8,9518
16/08/2023;8,95;8,95;8,81;8,84;8,84;58559;67;519366;8,8691
15/08/2023;8,93;8,95;8,84;8,90;8,90;76761;65;682491;8,8911
14/08/2023;8,87;8,93;8,79;8,90;8,90;245521;117;2177183;8,8676
11/08/2023;8,73;8,88;8,73;8,83;8,83;63357;74;559713;8,8343
10/08/2023;8,93;8,93;8,80;8,84;8,84;45732;52;404279;8,8402
09/08/2023;8,73;8,89;8,73;8,88;8,88;123934;77;1098299;8,8620
08/08/2023;8,75;8,86;8,66;8,86;8,86;55306;76;481882;8,7130
07/08/2023;8,80;8,92;8,66;8,79;8,79;136028;94;1190414;8,7512
04/08/2023;8,84;8,90;8,71;8,90;8,90;83492;64;734326;8,7952
03/08/2023;8,79;8,87;8,73;8,77;8,77;75665;57;666127;8,8036
02/08/2023;8,86;8,86;8,62;8,75;8,75;115323;72;1008265;8,7430
01/08/2023;8,95;8,95;8,86;8,86;8,86;68041;68;606678;8,9164
31/07/2023;8,99;9,00;8,86;8,95;8,95;211815;134;1892820;8,9362
28/07/2023;8,82;9,00;8,82;9,00;9,00;149992;100;1336716;8,9119
27/07/2023;8,82;8,96;8,82;8,96;8,96;38917;40;345850;8,8869
26/07/2023;9,00;9,00;8,81;8,82;8,82;40136;42;356429;8,8805
25/07/2023;8,80;8,95;8,79;8,95;8,95;126613;90;1120749;8,8518
24/07/2023;8,82;8,85;8,70;8,85;8,85;97930;72;859122;8,7728
21/07/2023;8,78;8,91;8,78;8,82;8,82;65577;77;578441;8,8208
20/07/2023;8,60;8,82;8,60;8,78;8,78;170162;111;1485008;8,7270
19/07/2023;8,41;8,60;8,41;8,60;8,60;72128;53;618865;8,5801
18/07/2023;8,40;8,60;8,39;8,60;8,60;71912;68;609821;8,4801
17/07/2023;8,75;8,75;8,37;8,52;8,52;315411;188;2671743;8,4707
14/07/2023;8,51;8,82;8,51;8,68;8,68;322292;162;2811229;8,7226
13/07/2023;8,65;8,78;8,42;8,78;8,78;322269;173;2782938;8,6355
12/07/2023;8,67;8,71;8,52;8,65;8,65;230397;149;1979067;8,5898
11/07/2023;8,82;8,82;8,68;8,77;8,77;186268;107;1626424;8,7316
10/07/2023;8,96;8,96;8,65;8,82;8,82;249911;135;2190787;8,7663
07/07/2023;9,10;9,10;8,88;9,00;9,00;181237;142;1626665;8,9753
06/07/2023;9,30;9,30;9,12;9,16;9,16;69334;73;636060;9,1739
05/07/2023;9,30;9,30;9,13;9,22;9,22;100510;89;925982;9,2128
04/07/2023;9,29;9,30;9,22;9,27;9,27;187321;128;1737072;9,2732
03/07/2023;9,24;9,37;9,16;9,30;9,30;410289;231;3803756;9,2709
30/06/2023;9,00;9,20;9,00;9,20;9,20;1025397;329;9364840;9,1329
29/06/2023;8,92;9,10;8,91;9,10;9,10;513583;128;4618653;8,9930
28/06/2023;8,99;9,03;8,88;8,99;8,99;879677;170;7903610;8,9847
27/06/2023;8,99;8,99;8,75;8,99;8,99;336144;152;3000880;8,9274
26/06/2023;8,83;8,99;8,70;8,92;8,92;535312;255;4771640;8,9138
23/06/2023;9,07;9,20;8,91;8,98;8,98;494731;230;4463845;9,0228
22/06/2023;9,19;9,19;8,90;9,00;9,00;168568;139;1515638;8,9913
21/06/2023;9,10;9,15;9,07;9,14;9,14;49864;61;453998;9,1047
20/06/2023;9,19;9,19;9,10;9,10;9,10;128257;91;1173476;9,1494
19/06/2023;9,15;9,21;9,11;9,16;9,16;193938;121;1776625;9,1608
16/06/2023;9,00;9,14;8,89;9,11;9,11;615455;186;5545060;9,0097
