"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010840515
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;5,30;5,30;5,10;5,17;5,17;261006;73;1344436;5,1510
03/11/2023;5,20;5,25;5,13;5,25;5,25;246699;85;1278399;5,1820
02/11/2023;5,35;5,38;5,15;5,16;5,16;482918;166;2510947;5,1995
01/11/2023;5,22;5,35;5,22;5,34;5,34;260620;88;1573608;6,0379
31/10/2023;5,25;5,28;5,20;5,28;5,28;225597;60;1182413;5,2413
30/10/2023;5,20;5,33;5,20;5,25;5,25;130258;43;683445;5,2469
27/10/2023;5,26;5,31;5,20;5,26;5,26;229038;88;1207452;5,2718
26/10/2023;5,07;5,31;5,07;5,17;5,17;106240;67;556391;5,2371
25/10/2023;5,10;5,25;5,10;5,18;5,18;43144;45;223055;5,1700
24/10/2023;5,12;5,23;5,10;5,23;5,23;74221;50;381881;5,1452
23/10/2023;5,22;5,24;5,13;5,18;5,18;146043;354;757047;5,1837
20/10/2023;5,21;5,30;5,20;5,26;5,26;117985;75;617742;5,2358
19/10/2023;5,33;5,33;5,18;5,31;5,31;286255;124;1495426;5,2241
18/10/2023;5,25;5,33;5,25;5,30;5,30;79574;60;421191;5,2931
17/10/2023;5,31;5,34;5,25;5,32;5,32;144114;55;766478;5,3186
16/10/2023;5,28;5,31;5,18;5,28;5,28;173759;96;910127;5,2379
13/10/2023;5,26;5,33;5,20;5,25;5,25;388851;145;2043602;5,2555
12/10/2023;5,26;5,38;5,26;5,26;5,26;47256;49;250735;5,3059
11/10/2023;5,26;5,32;5,26;5,26;5,26;39233;38;207219;5,2817
10/10/2023;5,25;5,34;5,24;5,27;5,27;153797;78;811405;5,2758
09/10/2023;5,30;5,35;5,22;5,27;5,27;169324;60;895323;5,2876
06/10/2023;5,48;5,48;5,30;5,34;5,34;43348;30;232152;5,3556
05/10/2023;5,37;5,37;5,25;5,33;5,33;81629;60;431896;5,2910
04/10/2023;5,33;5,38;5,29;5,31;5,31;125224;52;667885;5,3335
03/10/2023;5,58;5,58;5,34;5,34;5,34;77526;53;418690;5,4006
02/10/2023;5,40;5,58;5,36;5,39;5,39;156415;56;850374;5,4367
29/09/2023;5,43;5,55;5,42;5,48;5,48;386095;91;2121865;5,4957
28/09/2023;5,54;5,56;5,32;5,40;5,40;529576;164;2879353;5,4371
27/09/2023;5,33;5,54;5,33;5,52;5,52;589627;158;3221917;5,4643
26/09/2023;5,33;5,36;5,23;5,33;5,33;208561;76;1102230;5,2849
25/09/2023;5,46;5,46;5,26;5,33;5,33;614968;146;3291705;5,3526
22/09/2023;5,50;5,50;5,40;5,48;5,48;111603;33;605994;5,4299
21/09/2023;5,51;5,51;5,45;5,45;5,45;131837;56;720244;5,4631
20/09/2023;5,55;5,55;5,47;5,53;5,53;183863;62;1012448;5,5065
19/09/2023;5,49;5,55;5,46;5,55;5,55;348930;111;1916457;5,4924
18/09/2023;5,36;5,50;5,33;5,44;5,44;1271124;178;6871614;5,4059
15/09/2023;5,35;5,35;5,26;5,30;5,30;237065;90;1259210;5,3117
14/09/2023;5,37;5,37;5,26;5,31;5,31;176045;59;933083;5,3003
13/09/2023;5,34;5,38;5,30;5,31;5,31;213446;87;1139167;5,3370
12/09/2023;5,31;5,31;5,22;5,25;5,25;8067275;63;42279466;5,2409
11/09/2023;5,27;5,36;5,21;5,22;5,22;275731;76;1455300;5,2780
08/09/2023;5,25;5,37;5,25;5,33;5,33;161290;83;856595;5,3109
07/09/2023;5,25;5,36;5,25;5,25;5,25;144299;88;762254;5,2825
06/09/2023;5,25;5,30;5,25;5,26;5,26;119009;64;627168;5,2699
05/09/2023;5,30;5,31;5,27;5,27;5,27;241159;73;1273492;5,2807
04/09/2023;5,40;5,43;5,28;5,34;5,34;214777;90;1143404;5,3237
01/09/2023;5,50;5,50;5,31;5,40;5,40;552221;112;2960149;5,3604
31/08/2023;5,45;5,56;5,38;5,47;5,47;277589;78;1521075;5,4796
30/08/2023;5,40;5,50;5,28;5,50;5,50;216531;81;1169677;5,4019
29/08/2023;5,50;5,50;5,29;5,43;5,43;270655;114;1447880;5,3495
28/08/2023;5,46;5,46;5,39;5,41;5,41;98724;51;533088;5,3998
25/08/2023;5,50;5,50;5,34;5,46;5,46;115023;66;621523;5,4035
24/08/2023;5,45;5,52;5,37;5,45;5,45;289824;93;1572356;5,4252
23/08/2023;5,59;5,59;5,44;5,51;5,51;182615;96;1001685;5,4852
22/08/2023;5,60;5,65;5,48;5,53;5,53;211471;84;1178210;5,5715
21/08/2023;5,48;5,68;5,48;5,60;5,60;291308;135;1625269;5,5792
18/08/2023;5,60;5,60;5,26;5,38;5,38;537805;200;2885429;5,3652
17/08/2023;5,70;5,70;5,45;5,57;5,57;243092;105;1341836;5,5199
16/08/2023;5,63;5,76;5,55;5,62;5,62;191536;94;1075773;5,6166
15/08/2023;5,62;5,62;5,56;5,56;5,56;113842;49;635886;5,5857
14/08/2023;5,50;5,60;5,50;5,50;5,50;130992;67;726986;5,5498
11/08/2023;5,52;5,55;5,49;5,51;5,51;106827;65;589341;5,5168
10/08/2023;5,42;5,59;5,42;5,54;5,54;43983;50;242832;5,5211
09/08/2023;5,42;5,64;5,42;5,50;5,50;77485;67;426432;5,5034
08/08/2023;5,59;5,63;5,47;5,52;5,52;96556;60;535387;5,5448
07/08/2023;5,60;5,68;5,55;5,58;5,58;45122;52;252929;5,6054
04/08/2023;5,55;5,66;5,55;5,57;5,57;68522;79;384108;5,6056
03/08/2023;5,55;5,59;5,44;5,50;5,50;65753;73;362306;5,5101
02/08/2023;5,50;5,58;5,48;5,48;5,48;90934;70;502870;5,5301
01/08/2023;5,52;5,64;5,52;5,58;5,58;32315;47;181093;5,6040
31/07/2023;5,52;5,65;5,52;5,57;5,57;93592;64;522780;5,5857
28/07/2023;5,65;5,66;5,56;5,57;5,57;128718;69;720908;5,6007
27/07/2023;5,74;5,74;5,64;5,69;5,69;90924;46;516560;5,6812
26/07/2023;5,77;5,77;5,60;5,68;5,68;72075;60;410468;5,6950
25/07/2023;5,56;5,77;5,56;5,73;5,73;86880;60;496921;5,7196
24/07/2023;5,55;5,77;5,50;5,66;5,66;228262;105;1293174;5,6653
21/07/2023;5,40;5,77;5,36;5,60;5,60;295763;115;1655301;5,5967
20/07/2023;5,35;5,50;5,33;5,40;5,40;150685;73;820913;5,4479
19/07/2023;5,45;5,45;5,34;5,39;5,39;57790;38;311435;5,3891
18/07/2023;5,47;5,47;5,29;5,33;5,33;97762;35;525170;5,3719
17/07/2023;5,31;5,39;5,26;5,26;5,26;154667;62;821684;5,3126
14/07/2023;5,30;5,41;5,30;5,34;5,34;90701;49;485252;5,3500
13/07/2023;5,42;5,46;5,32;5,32;5,32;137760;48;746075;5,4158
12/07/2023;5,41;5,49;5,26;5,30;5,30;256038;133;1375832;5,3735
11/07/2023;5,40;5,47;5,34;5,41;5,41;87319;41;469537;5,3773
10/07/2023;5,55;5,62;5,38;5,41;5,41;164419;59;903480;5,4950
07/07/2023;5,58;5,68;5,46;5,67;5,67;179366;72;1001919;5,5859
06/07/2023;5,50;5,51;5,40;5,49;5,49;91993;67;500216;5,4375
05/07/2023;5,50;5,55;5,35;5,49;5,49;133838;50;735238;5,4935
04/07/2023;5,15;5,50;5,15;5,47;5,47;252749;90;1360757;5,3838
03/07/2023;5,10;5,35;5,05;5,25;5,25;191990;79;1000652;5,2120
30/06/2023;5,10;5,11;5,05;5,09;5,09;181778;99;925990;5,0941
29/06/2023;5,20;5,20;5,10;5,18;5,18;63280;50;324558;5,1289
28/06/2023;5,10;5,37;5,10;5,15;5,15;71793;59;371187;5,1702
27/06/2023;5,13;5,20;5,01;5,13;5,13;81675;69;417529;5,1121
26/06/2023;5,15;5,20;5,05;5,16;5,16;98910;70;504696;5,1026
23/06/2023;5,15;5,25;5,10;5,10;5,10;152126;88;780254;5,1290
22/06/2023;5,24;5,28;4,99;5,18;5,18;216508;145;1119633;5,1713
21/06/2023;5,27;5,40;5,26;5,26;5,26;146516;88;774879;5,2887
20/06/2023;5,29;5,33;5,27;5,27;5,27;102155;69;540084;5,2869
19/06/2023;5,38;5,38;5,28;5,29;5,29;132152;93;702879;5,3187
16/06/2023;5,55;5,55;5,37;5,39;5,39;254657;110;1381415;5,4246
15/06/2023;5,60;5,67;5,45;5,48;5,48;264260;105;1470732;5,5655
14/06/2023;5,50;5,54;5,47;5,49;5,49;145948;77;804170;5,5100
13/06/2023;5,52;5,62;5,45;5,55;5,55;91085;51;502503;5,5169
12/06/2023;5,52;5,67;5,48;5,52;5,52;473739;227;2638455;5,5694
09/06/2023;5,40;5,55;5,36;5,55;5,55;266802;120;1454150;5,4503
08/06/2023;5,28;5,38;5,28;5,37;5,37;217942;95;1161071;5,3274
07/06/2023;5,33;5,43;5,32;5,41;5,41;288056;79;1544928;5,3633
06/06/2023;5,38;5,39;5,32;5,39;5,39;135707;74;727732;5,3625
05/06/2023;5,45;5,51;5,38;5,39;5,39;174661;84;951298;5,4465
02/06/2023;5,32;5,48;5,30;5,38;5,38;189410;79;1016806;5,3683
01/06/2023;5,40;5,45;5,36;5,36;5,36;233092;101;1254199;5,3807
31/05/2023;5,50;5,52;5,40;5,41;5,41;207880;95;1130856;5,4399
30/05/2023;5,52;5,54;5,42;5,50;5,50;112388;68;614157;5,4646
29/05/2023;0,00;0,00;0,00;0,00;5,51;0;0;0;0,0000
