"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012861683
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;7,004;7,346;7,004;7,101;7,101;9461;19;68035;7,1911
03/11/2023;7,20;7,799;6,702;7,11;7,11;174301;69;1212177;6,9545
02/11/2023;7,80;7,80;7,15;7,40;7,40;10609;11;77097;7,2671
01/11/2023;7,799;7,799;6,923;7,30;7,30;17948;13;125459;6,9901
31/10/2023;7,003;7,996;7,003;7,166;7,166;71968;48;510395;7,0920
30/10/2023;7,19;7,19;6,922;7,146;7,146;26845;25;190054;7,0797
27/10/2023;7,397;7,40;6,999;7,295;7,295;151640;59;1068386;7,0455
26/10/2023;7,399;7,399;7,03;7,20;7,20;95401;74;685370;7,1841
25/10/2023;7,431;7,431;7,229;7,395;7,395;26231;31;193166;7,3640
24/10/2023;8,496;8,496;7,433;7,89;7,89;8039;16;62199;7,7371
23/10/2023;7,59;7,998;7,40;7,649;7,649;16374;26;122233;7,4651
20/10/2023;8,701;8,701;7,43;7,50;7,50;185792;75;1401762;7,5448
19/10/2023;8,4388248;8,8882297;7,4920785;8,119248;8,119248;309094;154;2476213;8,0112
18/10/2023;8,9781106;8,9781106;7,3902134;8,4887587;8,4887587;144343;100;1158284;8,0245
17/10/2023;7,7896844;8,1891554;7,7397506;7,9894199;7,9894199;6718;8;52338;7,7896
16/10/2023;7,4910799;8,9861001;7,4910799;8,9861001;8,9861001;2853;5;21602;7,5698
13/10/2023;0,00;0,00;0,00;0,00;8,9870987;0;0;0;0,0000
12/10/2023;8,9870987;8,9870987;8,9870987;8,9870987;8,9870987;1938;2;17422;8,9871
11/10/2023;8,6884942;8,977112;8,6884942;8,977112;8,977112;901;4;7859;8,7206
10/10/2023;0,00;0,00;0,00;0,00;8,9880974;0;0;0;0,0000
09/10/2023;8,3189835;8,9880974;8,3189835;8,9880974;8,9880974;25033;6;222512;8,8887
06/10/2023;0,00;0,00;0,00;0,00;8,5786396;0;0;0;0,0000
05/10/2023;8,5686529;8,5786396;8,5686529;8,5786396;8,5786396;2345;3;20099;8,5705
04/10/2023;8,2890232;8,5686529;7,5410137;8,5686529;8,5686529;8541;8;70914;8,3025
03/10/2023;7,9894199;8,3069994;7,7906831;8,3069994;8,3069994;11958;11;97273;8,1340
02/10/2023;7,9784345;8,1252401;7,9784345;7,9894199;7,9894199;10130;11;80925;7,9883
29/09/2023;0,00;0,00;0,00;0,00;8,305002;0;0;0;0,0000
28/09/2023;0,00;0,00;0,00;0,00;8,305002;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;8,305002;0;0;0;0,0000
26/09/2023;0,00;0,00;0,00;0,00;8,305002;0;0;0;0,0000
25/09/2023;7,992416;8,307998;7,7926805;8,305002;8,305002;12529;19;100078;7,9874
22/09/2023;8,9880974;8,9880974;8,0093935;8,3089967;8,3089967;24325;28;199451;8,1994
21/09/2023;8,4987455;9,2667284;8,4987455;9,2667284;9,2667284;1054;8;9339;8,8575
20/09/2023;8,5406899;9,3875684;8,5406899;9,3855711;9,3855711;12473;11;115292;9,2430
19/09/2023;8,1891554;9,4874362;8,0493406;8,7763778;8,7763778;7063;17;60220;8,5256
18/09/2023;9,4874362;9,4874362;8,4887587;9,1369004;9,1369004;18826;31;164738;8,7501
15/09/2023;8,7883619;9,7860407;7,9894199;9,3875684;9,3875684;106566;74;973390;9,1341
14/09/2023;6,6911392;10,983455;6,6571842;9,0180577;9,0180577;190185;163;1753252;9,2186
13/09/2023;6,6571842;7,289347;6,6571842;6,9907424;6,9907424;4877;5;33664;6,9019
12/09/2023;6,9907424;7,5400151;6,9907424;7,5400151;7,5400151;6608;5;48982;7,4117
11/09/2023;7,4900812;7,9694464;7,4900812;7,5899489;7,5899489;5265;5;39962;7,5886
08/09/2023;6,9378125;7,4900812;6,9378125;7,4900812;7,4900812;45059;18;319385;7,0881
07/09/2023;6,9408086;7,0406763;6,9268271;6,9408086;6,9408086;13319;12;92484;6,9434
06/09/2023;6,8709011;7,0896115;6,8709011;7,0896115;7,0896115;5034;3;35217;6,9949
05/09/2023;0,00;0,00;0,00;0,00;7,1405441;0;0;0;0,0000
04/09/2023;5,9131694;7,1405441;5,9131694;7,1405441;7,1405441;6736;8;45152;6,7022
01/09/2023;5,9121707;7,1695057;5,9121707;7,1695057;7,1695057;248;5;1720;6,9262
31/08/2023;5,9131694;7,1705044;5,9131694;6,9907424;6,9907424;36562;20;244141;6,6774
30/08/2023;6,8908747;7,1705044;6,1129049;7,0906102;7,0906102;55102;36;382617;6,9437
29/08/2023;6,4115095;7,0896115;6,4115095;7,0896115;7,0896115;3023;3;19397;6,4143
28/08/2023;6,7910069;6,7910069;6,7910069;6,7910069;6,7910069;2002;1;13600;6,7910
25/08/2023;7,1385467;7,1385467;7,1355507;7,1355507;7,1355507;379;2;2708;7,1364
24/08/2023;6,4204976;6,7890096;5,8422633;5,9920649;5,9920649;5533;10;33289;6,0161
23/08/2023;6,7890096;6,7890096;6,4214963;6,4214963;6,4214963;9327;6;60266;6,4612
22/08/2023;6,8409408;6,8409408;6,152852;6,4894063;6,4894063;12520;8;77209;6,1666
21/08/2023;5,4937249;6,1918004;5,4937249;5,9910663;5,9910663;9060;25;52204;5,7614
18/08/2023;5,9920649;6,2896708;5,4927262;6,2896708;6,2896708;13646;25;79277;5,8095
17/08/2023;6,9108482;7,1385467;5,8921972;6,2906695;6,2906695;61286;57;377515;6,1599
16/08/2023;7,1904779;7,1904779;6,9408086;7,1395454;7,1395454;6663;14;46689;7,0063
15/08/2023;7,1904779;7,5270323;6,9108482;7,289347;7,289347;15417;23;110721;7,1816
14/08/2023;7,1125811;7,688818;7,041675;7,5290296;7,5290296;7191;19;52614;7,3162
11/08/2023;8,3779055;8,3779055;7,1904779;7,688818;7,688818;9093;32;68706;7,5559
10/08/2023;8,3789042;8,3789042;7,351265;7,9884213;7,9884213;3684;8;28775;7,8089
09/08/2023;7,4880838;7,6878193;7,0906102;7,4890825;7,4890825;1948;10;14441;7,4112
08/08/2023;8,3779055;8,3779055;7,1415427;7,4880838;7,4880838;51311;44;376927;7,3458
07/08/2023;7,9894199;7,9894199;7,7886858;7,7896844;7,7896844;72325;38;572403;7,9142
04/08/2023;0,00;0,00;0,00;0,00;8,7873632;0;0;0;0,0000
03/08/2023;7,9914173;8,7873632;7,9914173;8,7873632;8,7873632;518;3;4552;8,7751
02/08/2023;8,887231;8,887231;8,887231;8,887231;8,887231;5006;1;44495;8,8872
01/08/2023;0,00;0,00;0,00;0,00;8,9371649;0;0;0;0,0000
31/07/2023;0,00;0,00;0,00;0,00;8,9371649;0;0;0;0,0000
28/07/2023;8,9371649;8,9371649;8,9371649;8,9371649;8,9371649;50;1;447;8,9372
27/07/2023;8,9870987;8,9870987;8,9870987;8,9870987;8,9870987;1304;3;11726;8,9871
26/07/2023;8,9671252;8,9671252;8,4897574;8,490756;8,490756;12900;5;109595;8,4957
25/07/2023;8,9870987;8,9870987;8,0892877;8,5886264;8,5886264;4280;8;35344;8,2568
24/07/2023;0,00;0,00;0,00;0,00;8,5386926;0;0;0;0,0000
21/07/2023;8,4887587;8,9880974;8,4887587;8,5386926;8,5386926;53133;18;475313;8,9457
20/07/2023;8,4887587;8,4887587;8,4887587;8,4887587;8,4887587;13063;4;110891;8,4888
