"Historical Data"
"From 2021-11-15 to 2023-11-13"
FO0000000179
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
13/11/2023;516,00;522,00;513,50;517,00;517,00;46326;407;23937616;516,7210
10/11/2023;529,50;534,50;519,00;520,50;520,50;73865;773;38575562;522,2441
09/11/2023;533,50;543,00;532,50;535,50;535,50;65926;703;35370784;536,5225
08/11/2023;509,50;541,00;507,00;536,50;536,50;124436;1331;66020987;530,5618
07/11/2023;480,00;511,00;480,00;501,00;501,00;156129;1848;78080577;500,1030
06/11/2023;521,50;527,00;518,50;520,00;520,00;132405;962;69203054;522,6619
03/11/2023;511,00;526,50;506,50;521,50;521,50;72951;768;37879602;519,2472
02/11/2023;513,00;519,00;507,50;511,00;511,00;123964;1157;63710180;513,9410
01/11/2023;505,00;513,00;499,40;509,50;509,50;74725;772;37930339;507,5991
31/10/2023;499,00;510,50;498,60;503,50;503,50;118053;1081;59573644;504,6347
30/10/2023;488,00;490,40;473,60;487,40;487,40;71959;920;34838496;484,1437
27/10/2023;485,80;497,80;483,20;486,60;486,60;73806;858;36099512;489,1135
26/10/2023;468,40;485,00;468,40;485,00;485,00;82376;739;39743201;482,4609
25/10/2023;469,80;478,60;462,00;474,80;474,80;71107;941;33646863;473,1864
24/10/2023;466,00;474,20;464,80;473,20;473,20;67405;824;31745217;470,9623
23/10/2023;470,00;472,00;461,00;463,40;463,40;82712;920;38437405;464,7138
20/10/2023;489,40;489,40;470,80;470,80;470,80;106959;1214;50736849;474,3579
19/10/2023;486,60;495,00;486,20;491,00;491,00;79471;812;39035857;491,1963
18/10/2023;504,50;505,00;492,40;492,80;492,80;71476;844;35429151;495,6790
17/10/2023;506,00;513,00;501,50;505,50;505,50;64128;609;32450060;506,0201
16/10/2023;513,50;524,50;501,50;506,50;506,50;64583;730;32772366;507,4457
13/10/2023;520,00;523,00;508,00;513,50;513,50;53215;752;27368643;514,3032
12/10/2023;533,50;537,50;524,00;524,00;524,00;64638;471;34167591;528,5991
11/10/2023;530,50;536,50;525,00;529,50;529,50;99420;454;52743406;530,5110
10/10/2023;554,00;556,00;530,00;532,50;532,50;113417;1104;60885343;536,8273
09/10/2023;512,50;524,00;511,00;523,00;523,00;73815;779;38280366;518,5987
06/10/2023;515,50;518,50;507,50;509,00;509,00;62582;758;31971037;510,8663
05/10/2023;513,50;520,50;500,00;516,00;516,00;98014;1234;50204743;512,2201
04/10/2023;512,00;527,00;510,00;524,00;524,00;65842;957;34274654;520,5591
03/10/2023;546,00;546,00;517,50;525,50;525,50;136077;1656;71731850;527,1416
02/10/2023;544,50;558,00;544,50;550,50;550,50;45090;688;24897981;552,1841
29/09/2023;538,50;550,50;538,50;547,50;547,50;97368;851;53255609;546,9519
28/09/2023;560,00;561,00;533,00;534,00;534,00;61612;723;33316463;540,7463
27/09/2023;536,50;549,00;533,00;548,00;548,00;62468;868;34099756;545,8756
26/09/2023;539,50;543,50;535,50;535,50;535,50;46887;645;25189711;537,2430
25/09/2023;559,00;559,00;541,00;543,50;543,50;43569;695;23818440;546,6832
22/09/2023;569,00;570,50;560,50;562,00;562,00;21162;348;11943443;564,3816
21/09/2023;578,00;582,00;567,50;572,00;572,00;59747;736;34193078;572,2978
20/09/2023;569,00;588,00;567,00;582,50;582,50;137450;1088;79869715;581,0820
