"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0013017574
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;16,042;16,20;16,00;16,00;16,00;181306;52;2904347;16,0190
03/11/2023;16,03;16,10;15,702;16,038;16,038;646747;49;10407777;16,0925
02/11/2023;16,50;16,60;16,00;16,10;16,10;1404118;105;22757169;16,2074
01/11/2023;16,40;16,988;16,40;16,70;16,70;456146;23;7543140;16,5367
31/10/2023;16,798;16,798;16,40;16,564;16,564;184537;58;3049034;16,5226
30/10/2023;17,18;17,18;16,304;16,794;16,794;11896;8;199786;16,7944
27/10/2023;17,20;17,20;16,502;16,70;16,70;67120;29;1122889;16,7296
26/10/2023;16,502;16,988;16,30;16,588;16,588;125760;49;2077222;16,5174
25/10/2023;17,20;17,20;16,798;16,832;16,832;210717;49;3554692;16,8695
24/10/2023;17,496;17,496;16,616;17,096;17,096;58580;30;1003088;17,1234
23/10/2023;16,82;17,15;16,76;16,984;16,984;121624;53;2055942;16,9041
20/10/2023;17,15;17,20;16,90;17,00;17,00;68908;38;1172382;17,0137
19/10/2023;17,338;17,338;17,022;17,15;17,15;64994;19;1111554;17,1024
18/10/2023;17,45;17,45;17,10;17,338;17,338;186722;63;3221921;17,2552
17/10/2023;17,60;17,694;17,302;17,466;17,466;109310;74;1905836;17,4351
16/10/2023;17,898;17,898;17,40;17,498;17,498;211222;97;3709455;17,5619
13/10/2023;17,898;17,898;17,602;17,75;17,75;131220;101;2332058;17,7721
12/10/2023;17,88;17,90;17,70;17,844;17,844;141570;62;2516363;17,7747
11/10/2023;17,602;17,778;17,60;17,778;17,778;243463;51;4299304;17,6590
10/10/2023;17,70;17,70;17,404;17,60;17,60;165574;90;2908601;17,5668
09/10/2023;17,90;17,90;17,10;17,498;17,498;231280;133;4011630;17,3453
06/10/2023;17,596;17,596;17,022;17,20;17,20;345381;199;5979357;17,3124
05/10/2023;17,69;17,70;16,60;17,396;17,396;3671028;1119;64220292;17,4938
04/10/2023;0,00;0,00;0,00;0,00;0,01;0;0;0;0,0000
