"Historical Data"
"From 2021-11-15 to 2023-11-12"
NO0003094104
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;18,10;18,14;17,72;17,82;17,82;460754;453;8261356;17,9301
09/11/2023;17,20;18,06;17,00;18,04;18,04;881867;787;15581808;17,6691
08/11/2023;17,30;17,48;17,06;17,28;17,28;436862;279;7548226;17,2783
07/11/2023;17,80;17,80;17,22;17,24;17,24;275690;315;4795138;17,3932
06/11/2023;17,84;18,00;17,58;17,70;17,70;262901;281;4672114;17,7714
03/11/2023;18,04;18,10;17,68;17,88;17,88;288287;322;5162893;17,9089
02/11/2023;17,54;18,10;17,54;18,02;18,02;293309;286;5233693;17,8436
01/11/2023;17,54;17,68;17,22;17,54;17,54;397966;367;6971039;17,5167
31/10/2023;17,46;17,52;17,14;17,50;17,50;262325;264;4549252;17,3420
30/10/2023;17,40;17,46;17,04;17,28;17,28;262064;290;4515318;17,2298
27/10/2023;17,30;17,46;17,10;17,34;17,34;174103;208;3012887;17,3052
26/10/2023;17,22;17,48;17,08;17,10;17,10;176875;184;3037959;17,1757
25/10/2023;17,80;17,80;17,28;17,50;17,50;232827;259;4067095;17,4683
24/10/2023;17,38;17,84;17,24;17,76;17,76;152554;248;2693020;17,6529
23/10/2023;17,72;17,74;17,30;17,46;17,46;278650;342;4880781;17,5158
20/10/2023;18,10;18,10;17,62;17,74;17,74;387304;255;6898444;17,8114
19/10/2023;18,20;18,28;17,84;17,92;17,92;389640;352;7011566;17,9950
18/10/2023;18,14;18,42;17,96;18,26;18,26;986647;512;17907082;18,1494
17/10/2023;18,00;18,16;17,70;18,06;18,06;243254;279;4354862;17,9025
16/10/2023;18,22;18,22;17,84;18,00;18,00;247333;264;4441063;17,9558
13/10/2023;18,10;18,22;17,92;18,20;18,20;298800;303;5389989;18,0388
12/10/2023;17,80;18,24;17,68;18,04;18,04;332152;419;5990914;18,0367
11/10/2023;17,90;17,92;17,52;17,68;17,68;259819;273;4606445;17,7294
10/10/2023;17,78;17,94;17,60;17,94;17,94;269999;339;4797622;17,7690
09/10/2023;17,76;17,88;17,54;17,70;17,70;289188;312;5105013;17,6529
06/10/2023;17,50;17,82;17,50;17,60;17,60;296856;283;5249317;17,6830
05/10/2023;17,10;17,52;17,10;17,50;17,50;329929;397;5734364;17,3806
04/10/2023;17,50;17,60;17,04;17,04;17,04;331480;321;5726451;17,2754
03/10/2023;17,90;17,98;17,66;17,68;17,68;211927;321;3767497;17,7773
02/10/2023;18,00;18,20;17,90;17,94;17,94;308391;355;5549659;17,9955
29/09/2023;18,28;18,30;18,02;18,04;18,04;163508;217;2970437;18,1669
28/09/2023;18,38;18,46;17,86;18,10;18,10;478108;388;8633198;18,0570
27/09/2023;18,26;18,42;18,10;18,40;18,40;232928;293;4270553;18,3342
26/09/2023;17,84;18,24;17,76;18,18;18,18;204151;273;3692141;18,0853
25/09/2023;18,50;18,50;17,92;17,92;17,92;299476;339;5431430;18,1364
22/09/2023;18,20;18,54;18,00;18,54;18,54;533352;409;9773343;18,3244
21/09/2023;18,00;18,22;17,84;18,20;18,20;272254;359;4919285;18,0687
20/09/2023;18,28;18,28;18,02;18,08;18,08;258873;286;4687723;18,1082
19/09/2023;17,80;18,22;17,74;18,14;18,14;452025;398;8148881;18,0275
18/09/2023;17,72;17,84;17,32;17,84;17,84;475151;420;8392656;17,6631
15/09/2023;17,86;18,00;17,60;17,74;17,74;261878;368;4666431;17,8191
14/09/2023;17,40;17,74;16,96;17,66;17,66;901766;592;15572495;17,2689
13/09/2023;16,96;17,40;16,74;17,40;17,40;794646;656;13654931;17,1837
12/09/2023;16,86;16,98;16,62;16,78;16,78;322533;386;5412897;16,7825
11/09/2023;16,90;16,90;16,52;16,64;16,64;236852;205;3965342;16,7419
08/09/2023;16,64;16,78;16,36;16,46;16,46;334638;255;5511837;16,4710
07/09/2023;16,80;16,80;16,56;16,64;16,64;172551;218;2871274;16,6401
06/09/2023;16,70;16,82;16,50;16,72;16,72;223632;318;3727849;16,6696
05/09/2023;16,90;17,00;16,58;16,66;16,66;633931;446;10657775;16,8122
04/09/2023;15,76;16,82;15,76;16,82;16,82;692959;437;11458734;16,5359
01/09/2023;16,04;16,06;15,84;15,94;15,94;309033;308;4929111;15,9501
31/08/2023;15,84;16,04;15,74;16,04;16,04;400702;339;6397742;15,9663
30/08/2023;15,82;15,90;15,60;15,82;15,82;305541;360;4814499;15,7573
29/08/2023;15,78;16,06;15,64;15,80;15,80;423802;423;6709399;15,8314
28/08/2023;15,70;16,00;15,44;15,66;15,66;592056;474;9299681;15,7074
25/08/2023;15,80;15,80;15,40;15,60;15,60;772964;661;12056179;15,5973
24/08/2023;16,80;16,96;15,80;15,80;15,80;907049;842;14565917;16,0586
23/08/2023;17,40;17,40;17,00;17,32;17,32;405780;432;6973050;17,1843
22/08/2023;16,98;17,50;16,70;17,40;17,40;592618;680;10221544;17,2481
21/08/2023;16,90;16,98;16,36;16,66;16,66;1344255;1049;22376723;16,6462
18/08/2023;17,38;17,46;17,16;17,22;17,22;228574;266;3946758;17,2669
17/08/2023;17,50;17,50;17,26;17,42;17,42;287390;335;4993695;17,3760
