"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010650013
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,2125;0,2135;0,1704;0,1816;0,1816;146460536;2001;27650878;0,1888
03/11/2023;0,21;0,2165;0,198;0,2015;0,2015;44686822;715;9205107;0,2060
02/11/2023;0,20;0,208;0,181;0,2055;0,2055;96475385;1404;18834267;0,1952
01/11/2023;0,216;0,217;0,195;0,1974;0,1974;94484062;1452;19069292;0,2018
31/10/2023;0,209;0,223;0,205;0,2135;0,2135;95725298;1297;20237401;0,2114
30/10/2023;0,182;0,2195;0,179;0,206;0,206;150808720;1896;31001299;0,2056
27/10/2023;0,2075;0,217;0,182;0,1898;0,1898;234453828;2956;46511707;0,1984
26/10/2023;0,144;0,1958;0,1392;0,1948;0,1948;325488540;3861;54925592;0,1687
25/10/2023;0,17;0,1702;0,139;0,1392;0,1392;192642012;1973;28938494;0,1502
24/10/2023;0,1936;0,197;0,1666;0,171;0,171;180164456;2322;31777556;0,1764
23/10/2023;0,24;0,266;0,1822;0,1926;0,1926;307200592;4057;66756967;0,2173
20/10/2023;0,26;0,293;0,195;0,219;0,219;722537628;9690;181525206;0,2512
19/10/2023;0,185;0,249;0,176;0,2275;0,2275;421340651;6208;90658118;0,2152
18/10/2023;0,1548;0,184;0,1508;0,18;0,18;230484569;2586;40101602;0,1740
17/10/2023;0,1434;0,155;0,1406;0,1532;0,1532;127354561;1442;19210503;0,1508
16/10/2023;0,128;0,1484;0,126;0,1416;0,1416;131769104;1464;18347437;0,1392
13/10/2023;0,1288;0,1334;0,122;0,123;0,123;26173133;419;3316544;0,1267
12/10/2023;0,14;0,14;0,128;0,128;0,128;56772519;694;7430563;0,1309
11/10/2023;0,1236;0,1448;0,1232;0,1368;0,1368;77984851;918;10300078;0,1321
10/10/2023;0,1166;0,123;0,116;0,123;0,123;24108759;321;2867778;0,1190
09/10/2023;0,1134;0,1174;0,1134;0,1144;0,1144;10244666;168;1178328;0,1150
06/10/2023;0,119;0,12;0,1156;0,1174;0,1174;16610478;225;1945533;0,1171
05/10/2023;0,1212;0,1212;0,115;0,1186;0,1186;15154870;223;1791190;0,1182
