"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010890965
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;23,05;23,05;21,00;22,15;22,15;92032;219;2069466;22,4864
03/11/2023;23,85;23,85;22,60;22,60;22,60;106645;188;2464337;23,1079
02/11/2023;21,00;22,90;21,00;22,35;22,35;436338;191;9618319;22,0433
01/11/2023;20,85;21,45;20,65;21,40;21,40;43305;94;918197;21,2030
31/10/2023;22,00;22,00;20,55;20,80;20,80;148968;155;3114780;20,9091
30/10/2023;20,75;21,85;20,75;20,80;20,80;120905;176;2555251;21,1344
27/10/2023;21,40;21,90;20,20;20,95;20,95;222239;356;4686956;21,0897
26/10/2023;23,25;23,25;21,00;21,80;21,80;185383;281;3982326;21,4816
25/10/2023;22,45;22,60;22,10;22,30;22,30;54916;164;1226881;22,3410
24/10/2023;22,40;23,50;22,00;22,25;22,25;88525;134;1975269;22,3131
23/10/2023;25,45;25,45;22,05;22,35;22,35;86348;181;1956858;22,6625
20/10/2023;23,60;23,60;22,50;23,30;23,30;96656;225;2245055;23,2273
19/10/2023;24,90;24,90;23,45;23,85;23,85;40228;107;968016;24,0632
18/10/2023;25,70;25,90;24,85;24,85;24,85;28601;116;723445;25,2944
17/10/2023;27,50;27,50;25,80;25,80;25,80;14604;58;378146;25,8933
16/10/2023;26,55;26,85;25,70;25,95;25,95;40879;106;1063147;26,0072
13/10/2023;27,50;27,70;26,50;26,50;26,50;39002;106;1057225;27,1069
12/10/2023;27,70;28,25;27,35;27,50;27,50;40923;86;1134901;27,7326
11/10/2023;27,95;28,00;27,70;27,80;27,80;9388;41;261569;27,8620
10/10/2023;29,00;29,00;27,75;27,95;27,95;71614;150;2003632;27,9782
09/10/2023;29,20;29,20;27,45;27,55;27,55;28817;75;796977;27,6565
06/10/2023;28,30;28,95;28,00;28,35;28,35;12640;68;359787;28,4642
05/10/2023;28,50;28,60;28,40;28,40;28,40;9454;62;268893;28,4422
