"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012706763
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;88,00;88,00;88,00;88,00;88,00;100;1;8800;88,0000
03/11/2023;86,40;87,00;86,40;87,00;87,00;1423;4;123411;86,7259
02/11/2023;0,00;0,00;0,00;0,00;86,40;0;0;0;0,0000
01/11/2023;86,40;86,40;86,40;86,40;86,40;66;1;5702;86,4000
31/10/2023;0,00;0,00;0,00;0,00;85,60;0;0;0;0,0000
30/10/2023;86,80;86,80;85,60;85,60;85,60;427;4;36947;86,5274
27/10/2023;0,00;0,00;0,00;0,00;87,20;0;0;0;0,0000
26/10/2023;86,00;87,20;86,00;87,20;87,20;167;3;14530;87,0060
25/10/2023;0,00;0,00;0,00;0,00;86,00;0;0;0;0,0000
24/10/2023;85,20;86,00;85,20;86,00;86,00;431;5;36861;85,5248
23/10/2023;0,00;0,00;0,00;0,00;86,00;0;0;0;0,0000
20/10/2023;85,80;86,00;85,80;86,00;86,00;1796;4;154315;85,9215
19/10/2023;87,20;87,20;82,00;82,00;82,00;1088;5;93564;85,9963
18/10/2023;0,00;0,00;0,00;0,00;87,00;0;0;0;0,0000
17/10/2023;0,00;0,00;0,00;0,00;87,00;0;0;0;0,0000
16/10/2023;87,00;87,00;87,00;87,00;87,00;47;1;4089;87,0000
13/10/2023;87,80;87,80;87,60;87,60;87,60;210;2;18418;87,7048
12/10/2023;0,00;0,00;0,00;0,00;88,00;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;88,00;0;0;0;0,0000
10/10/2023;88,40;88,40;88,00;88,00;88,00;120;2;10579;88,1600
09/10/2023;88,40;88,40;88,40;88,40;88,40;5;1;442;88,4000
06/10/2023;0,00;0,00;0,00;0,00;86,80;0;0;0;0,0000
05/10/2023;86,80;86,80;86,80;86,80;86,80;10;1;868;86,8000
04/10/2023;88,00;88,00;88,00;88,00;88,00;75010;4;6525880;87,0001
03/10/2023;0,00;0,00;0,00;0,00;87,00;0;0;0;0,0000
02/10/2023;87,60;87,60;87,00;87,00;87,00;617;7;53794;87,1857
29/09/2023;89,00;89,00;87,20;87,20;87,20;402;6;35776;88,9950
28/09/2023;0,00;0,00;0,00;0,00;87,40;0;0;0;0,0000
27/09/2023;0,00;0,00;0,00;0,00;87,40;0;0;0;0,0000
26/09/2023;87,40;87,40;87,40;87,40;87,40;9;1;787;87,4000
25/09/2023;0,00;0,00;0,00;0,00;88,60;0;0;0;0,0000
22/09/2023;88,00;88,60;87,00;88,60;88,60;21;3;1830;87,1238
21/09/2023;0,00;0,00;0,00;0,00;89,00;0;0;0;0,0000
20/09/2023;0,00;0,00;0,00;0,00;89,00;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;89,00;0;0;0;0,0000
18/09/2023;89,00;89,00;89,00;89,00;89,00;60;2;5340;89,0000
15/09/2023;0,00;0,00;0,00;0,00;89,00;0;0;0;0,0000
14/09/2023;89,00;89,00;89,00;89,00;89,00;50;2;4450;89,0000
13/09/2023;0,00;0,00;0,00;0,00;87,20;113700;1;9778200;86,0000
12/09/2023;87,20;87,20;87,20;87,20;87,20;72;1;6278;87,2000
11/09/2023;0,00;0,00;0,00;0,00;88,40;0;0;0;0,0000
08/09/2023;0,00;0,00;0,00;0,00;88,40;0;0;0;0,0000
07/09/2023;0,00;0,00;0,00;0,00;88,40;0;0;0;0,0000
06/09/2023;87,40;88,40;87,20;88,40;88,40;104;3;9088;87,3885
05/09/2023;0,00;0,00;0,00;0,00;87,00;0;0;0;0,0000
04/09/2023;87,00;87,00;87,00;87,00;87,00;20;1;1740;87,0000
01/09/2023;87,20;89,00;87,20;89,00;89,00;105;4;9165;87,2857
31/08/2023;88,00;88,00;88,00;88,00;88,00;116;3;10208;88,0000
30/08/2023;87,00;87,20;87,00;87,20;87,20;645;5;56131;87,0248
29/08/2023;88,00;88,00;88,00;88,00;88,00;124;2;10912;88,0000
28/08/2023;88,60;88,60;87,00;87,00;87,00;211;5;18517;87,7583
25/08/2023;87,00;88,60;87,00;88,60;88,60;1012;7;88651;87,6000
24/08/2023;87,00;87,00;86,20;86,20;86,20;450;3;38870;86,3778
23/08/2023;87,00;87,00;87,00;87,00;87,00;228;2;19836;87,0000
22/08/2023;0,00;0,00;0,00;0,00;87,00;0;0;0;0,0000
21/08/2023;0,00;0,00;0,00;0,00;87,00;0;0;0;0,0000
18/08/2023;87,00;87,00;87,00;87,00;87,00;300;4;26100;87,0000
17/08/2023;87,00;87,00;87,00;87,00;87,00;5101;2;464091;90,9804
16/08/2023;87,60;87,60;87,40;87,40;87,40;224;3;19622;87,5991
15/08/2023;0,00;0,00;0,00;0,00;88,60;0;0;0;0,0000
14/08/2023;86,60;88,60;86,60;88,60;88,60;610;4;53816;88,2230
11/08/2023;86,00;86,00;86,00;86,00;86,00;45;1;3870;86,0000
10/08/2023;85,80;85,80;85,80;85,80;85,80;100;1;8580;85,8000
09/08/2023;0,00;0,00;0,00;0,00;86,60;0;0;0;0,0000
08/08/2023;0,00;0,00;0,00;0,00;86,60;0;0;0;0,0000
07/08/2023;86,60;86,60;86,60;86,60;86,60;500;2;43300;86,6000
04/08/2023;0,00;0,00;0,00;0,00;86,20;0;0;0;0,0000
03/08/2023;0,00;0,00;0,00;0,00;86,20;0;0;0;0,0000
02/08/2023;85,20;86,20;85,20;86,20;86,20;435;5;37345;85,8506
01/08/2023;0,00;0,00;0,00;0,00;85,20;0;0;0;0,0000
31/07/2023;86,00;86,00;84,40;85,20;85,20;1502;6;128455;85,5224
28/07/2023;0,00;0,00;0,00;0,00;85,80;0;0;0;0,0000
27/07/2023;85,80;85,80;85,80;85,80;85,80;80;1;6864;85,8000
