"Historical Data"
"From 2021-11-12 to 2023-11-11"
NO0010379266
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;551,00;559,00;551,00;554,00;554,00;3249;126;1800854;554,2795
09/11/2023;550,00;558,00;541,00;558,00;558,00;7529;183;4147748;550,9029
08/11/2023;547,00;555,00;547,00;554,00;554,00;7048;194;3880137;550,5302
07/11/2023;570,00;570,00;550,00;552,00;552,00;8146;198;4513424;554,0663
06/11/2023;565,00;575,00;564,00;565,00;565,00;10114;170;5742012;567,7291
03/11/2023;579,00;587,00;563,00;569,00;569,00;26427;339;15118512;572,0858
02/11/2023;586,00;591,00;578,00;582,00;582,00;14723;269;8565237;581,7589
01/11/2023;595,00;597,00;586,00;591,00;591,00;21990;300;12968442;589,7427
31/10/2023;585,00;593,00;576,00;593,00;593,00;27810;410;16342435;587,6460
30/10/2023;573,00;585,00;569,00;582,00;582,00;22075;312;12780014;578,9361
27/10/2023;553,00;574,00;553,00;572,00;572,00;19951;483;11379451;570,3700
26/10/2023;560,00;572,00;555,00;558,00;558,00;17265;352;9725718;563,3199
25/10/2023;543,00;559,00;542,00;558,00;558,00;15332;274;8502762;554,5762
24/10/2023;544,00;555,00;536,00;547,00;547,00;27044;492;14892051;550,6601
23/10/2023;553,00;553,00;545,00;549,00;549,00;11854;249;6494380;547,8640
20/10/2023;562,00;568,00;553,00;553,00;553,00;27879;431;15590266;559,2118
19/10/2023;549,00;556,00;538,00;555,00;555,00;19269;369;10534506;546,7075
18/10/2023;564,00;566,00;535,00;548,00;548,00;28024;497;15281077;545,2854
17/10/2023;533,00;560,00;530,00;559,00;559,00;22370;424;12326339;551,0210
16/10/2023;532,00;540,00;527,00;537,00;537,00;33464;414;17931303;535,8386
13/10/2023;530,00;532,00;526,00;532,00;532,00;26854;323;14252223;530,7300
12/10/2023;518,00;530,00;516,00;530,00;530,00;24856;360;13089115;526,5978
11/10/2023;522,00;526,00;516,00;517,00;517,00;18099;297;9453181;522,3041
10/10/2023;526,00;526,00;511,00;518,00;518,00;51647;509;26729528;517,5427
09/10/2023;485,00;521,00;485,00;519,00;519,00;31481;491;16067331;510,3818
06/10/2023;491,00;498,50;489,50;489,50;489,50;59173;393;29123605;492,1773
05/10/2023;505,00;505,00;482,50;496,00;496,00;14786;259;7249237;490,2771
04/10/2023;509,00;514,00;500,00;500,00;500,00;19008;231;9633804;506,8289
03/10/2023;512,00;516,00;506,00;512,00;512,00;27939;258;14300462;511,8459
02/10/2023;522,00;526,00;506,00;511,00;511,00;14742;251;7656424;519,3613
29/09/2023;516,00;523,00;516,00;519,00;519,00;10872;252;5643705;519,1046
28/09/2023;523,00;530,00;518,00;518,00;518,00;11085;277;5784657;521,8455
