"Historical Data"
"From 2021-11-12 to 2023-11-11"
BMG1466R1732
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;67,75;67,75;66,40;67,00;67,00;384040;840;25690882;66,8964
09/11/2023;67,00;68,20;66,05;67,90;67,90;516647;1007;34776306;67,3115
08/11/2023;66,00;67,40;65,45;66,65;66,65;392749;948;26100900;66,4569
07/11/2023;70,20;70,20;66,25;66,90;66,90;385650;797;26036063;67,5122
06/11/2023;69,85;71,55;69,85;70,45;70,45;249870;497;17698810;70,8321
03/11/2023;71,60;72,35;69,80;70,20;70,20;387820;696;27459803;70,8055
02/11/2023;70,00;71,75;69,70;71,55;71,55;370312;801;26225502;70,8200
01/11/2023;68,70;70,40;67,85;70,35;70,35;458722;911;31840048;69,4103
31/10/2023;69,00;69,90;67,35;69,40;69,40;469130;1008;32341595;68,9395
30/10/2023;68,00;70,10;67,80;67,95;67,95;426572;757;29355873;68,8181
27/10/2023;68,50;70,00;66,90;67,75;67,75;1561095;1510;111044023;71,1321
26/10/2023;71,80;71,80;68,55;69,50;69,50;735667;1436;51227455;69,6340
25/10/2023;75,50;75,50;71,05;71,50;71,50;1656291;1753;120181970;72,5609
24/10/2023;74,60;76,00;73,50;75,05;75,05;2118814;1642;158108895;74,6214
23/10/2023;76,30;76,30;74,30;74,60;74,60;214363;571;16086150;75,0416
20/10/2023;76,85;77,60;74,95;74,95;74,95;279468;667;21260283;76,0741
19/10/2023;78,00;78,80;75,60;76,85;76,85;586705;935;45161057;76,9740
18/10/2023;80,60;81,95;78,85;79,20;79,20;801720;1611;64558046;80,5244
17/10/2023;77,00;81,70;76,90;81,00;81,00;525421;1040;41710238;79,3844
16/10/2023;79,00;80,40;77,30;77,30;77,30;396282;745;31241987;78,8378
13/10/2023;78,00;79,80;78,00;79,00;79,00;418846;853;33061763;78,9354
12/10/2023;74,50;78,30;74,50;77,50;77,50;543105;1150;42005401;77,3431
11/10/2023;76,50;76,50;74,20;75,00;75,00;427127;741;32060989;75,0620
10/10/2023;77,20;77,35;75,55;76,15;76,15;315234;766;24092856;76,4285
09/10/2023;74,90;77,65;74,50;77,20;77,20;718676;1116;54939687;76,4457
06/10/2023;74,00;75,30;73,00;73,00;73,00;299948;710;22250678;74,1818
05/10/2023;72,75;74,55;71,80;74,10;74,10;570488;1131;41753700;73,1894
04/10/2023;74,50;75,60;73,35;73,65;73,65;684529;1165;50768014;74,1649
