"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG0702P1086
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;29,90;29,90;28,70;29,30;29,30;555741;556;16435329;29,5737
03/11/2023;28,05;28,55;27,95;28,30;28,30;334018;438;9430665;28,2340
02/11/2023;27,90;28,00;27,70;27,95;27,95;174076;226;4857376;27,9038
01/11/2023;27,60;28,05;27,55;27,90;27,90;278066;271;7757312;27,8974
31/10/2023;27,20;28,05;27,20;27,90;27,90;269507;238;7518223;27,8962
30/10/2023;27,00;27,90;27,00;27,85;27,85;223044;322;6187349;27,7405
27/10/2023;26,90;27,40;26,85;27,35;27,35;164003;241;4467416;27,2398
26/10/2023;26,30;27,10;26,30;26,95;26,95;167654;310;4489927;26,7809
25/10/2023;27,05;27,70;26,75;26,75;26,75;189213;266;5154109;27,2397
24/10/2023;27,30;27,65;27,25;27,60;27,60;122240;174;3356565;27,4588
23/10/2023;27,00;27,85;27,00;27,45;27,45;159438;285;4385169;27,5039
20/10/2023;27,60;28,00;27,20;27,80;27,80;225153;254;6235079;27,6926
19/10/2023;27,10;27,70;27,05;27,30;27,30;71771;158;1950685;27,1793
18/10/2023;27,15;27,95;27,10;27,75;27,75;169410;323;4695044;27,7141
17/10/2023;27,20;27,60;27,00;27,20;27,20;274955;275;7499891;27,2768
16/10/2023;26,60;27,15;26,55;26,85;26,85;148540;203;3988183;26,8492
13/10/2023;26,00;26,75;26,00;26,45;26,45;85816;141;2279413;26,5616
12/10/2023;26,35;26,85;26,05;26,40;26,40;108670;176;2876382;26,4690
11/10/2023;26,50;26,95;26,25;26,30;26,30;149094;194;3946014;26,4666
10/10/2023;27,40;27,40;26,80;26,80;26,80;105575;157;2859139;27,0816
09/10/2023;25,90;27,30;25,90;27,15;27,15;214369;334;5747855;26,8129
06/10/2023;26,30;26,55;25,95;26,05;26,05;185543;284;4860293;26,1950
05/10/2023;26,95;26,95;25,55;26,00;26,00;191827;299;4967275;25,8946
04/10/2023;27,00;27,00;25,85;25,95;25,95;293153;325;7680249;26,1988
03/10/2023;26,85;27,40;26,45;26,70;26,70;279433;406;7527797;26,9395
02/10/2023;27,85;27,90;27,00;27,05;27,05;109981;204;3023088;27,4874
29/09/2023;27,15;28,00;27,15;27,35;27,35;201738;334;5573935;27,6296
28/09/2023;27,25;27,75;27,25;27,30;27,30;177549;331;4884004;27,5079
27/09/2023;27,10;27,35;26,95;27,20;27,20;226924;227;6161928;27,1541
26/09/2023;27,00;27,25;26,75;27,20;27,20;180472;169;4887735;27,0831
25/09/2023;26,90;27,30;26,70;27,25;27,25;374344;387;10139282;27,0855
22/09/2023;26,70;27,10;26,40;26,85;26,85;295351;263;7916652;26,8042
21/09/2023;26,90;27,10;26,45;26,75;26,75;218904;314;5856418;26,7534
20/09/2023;26,70;27,15;26,60;27,10;27,10;270552;304;7298094;26,9748
19/09/2023;26,40;27,00;26,25;26,70;26,70;144022;266;3850229;26,7336
18/09/2023;27,00;27,00;26,20;26,30;26,30;248080;434;6549188;26,3995
15/09/2023;27,00;27,15;26,65;26,65;26,65;365920;285;9790033;26,7546
14/09/2023;27,00;27,15;26,80;27,10;27,10;109175;202;2955694;27,0730
13/09/2023;27,00;27,30;26,75;26,95;26,95;212664;257;5742697;27,0036
12/09/2023;26,85;27,30;26,80;27,05;27,05;158340;175;4284235;27,0572
11/09/2023;27,00;27,30;26,95;27,00;27,00;117482;214;3183407;27,0970
08/09/2023;26,95;27,40;26,75;27,05;27,05;222953;314;6029962;27,0459
07/09/2023;26,90;27,20;26,70;27,00;27,00;92447;180;2492318;26,9594
06/09/2023;27,50;27,50;26,65;27,20;27,20;193615;233;5228060;27,0024
05/09/2023;26,95;27,40;26,95;27,20;27,20;205585;266;5599953;27,2391
04/09/2023;26,80;27,40;26,80;27,15;27,15;229095;347;6219677;27,1489
01/09/2023;26,40;26,95;26,10;26,70;26,70;466737;530;12406417;26,5812
31/08/2023;25,00;25,85;24,75;25,65;25,65;679295;762;17300626;25,4685
30/08/2023;26,85;26,95;24,95;24,95;24,95;2120371;1804;54202950;25,5630
29/08/2023;27,30;28,30;27,30;27,50;27,50;407882;394;11330934;27,7799
28/08/2023;27,20;27,35;26,85;27,10;27,10;143786;222;3891840;27,0669
25/08/2023;27,00;27,65;26,75;27,35;27,35;231017;302;6306708;27,2998
24/08/2023;27,40;27,50;26,90;27,20;27,20;143246;288;3879567;27,0832
23/08/2023;28,10;28,45;26,85;27,25;27,25;405556;535;11175768;27,5567
22/08/2023;30,50;30,50;28,20;28,65;28,65;85446;172;2440224;28,5587
21/08/2023;28,55;29,05;28,20;28,75;28,75;154254;248;4432965;28,7381
18/08/2023;28,65;29,00;28,20;28,55;28,55;262318;343;7501294;28,5962
17/08/2023;29,20;29,30;28,90;29,05;29,05;144921;339;4210283;29,0523
16/08/2023;29,65;29,65;29,05;29,20;29,20;187014;335;5468585;29,2416
15/08/2023;29,85;30,35;29,40;29,40;29,40;175535;402;5231841;29,8051
14/08/2023;30,05;30,50;29,90;30,25;30,25;123751;272;3743046;30,2466
11/08/2023;30,50;30,70;30,35;30,60;30,60;162601;348;4968033;30,5535
10/08/2023;30,40;30,95;30,40;30,75;30,75;183312;502;5634288;30,7361
09/08/2023;29,30;31,05;29,30;30,70;30,70;225927;510;6933599;30,6896
08/08/2023;30,10;30,15;29,20;29,80;29,80;204346;374;6064816;29,6792
07/08/2023;30,40;31,00;30,20;30,55;30,55;210516;379;6426406;30,5269
04/08/2023;30,10;30,50;30,10;30,45;30,45;99265;203;3014218;30,3654
03/08/2023;29,55;30,15;29,15;29,85;29,85;196203;401;5814944;29,6374
02/08/2023;29,95;30,00;29,60;29,80;29,80;149265;359;4453799;29,8382
01/08/2023;30,00;30,20;29,65;29,65;29,65;70584;208;2111271;29,9115
31/07/2023;29,55;30,10;29,35;30,00;30,00;276473;395;8264425;29,8923
28/07/2023;29,50;29,55;28,95;29,50;29,50;156007;271;4563748;29,2535
27/07/2023;29,10;30,00;28,80;29,55;29,55;419944;493;12407962;29,5467
26/07/2023;28,50;29,00;28,50;28,60;28,60;92453;212;2657880;28,7484
25/07/2023;28,95;29,10;28,65;28,90;28,90;104233;235;3004741;28,8272
24/07/2023;28,00;28,95;27,95;28,90;28,90;133236;265;3797775;28,5041
21/07/2023;28,00;28,40;27,90;28,05;28,05;182689;339;5142988;28,1516
20/07/2023;27,90;28,20;27,35;27,90;27,90;160251;303;4480428;27,9588
19/07/2023;26,55;27,30;26,55;27,20;27,20;83550;206;2261128;27,0632
18/07/2023;26,80;27,30;26,65;27,30;27,30;96090;300;2589144;26,9450
17/07/2023;26,80;26,85;26,20;26,65;26,65;66030;156;1750677;26,5134
14/07/2023;27,05;27,40;26,70;26,70;26,70;70239;260;1894332;26,9698
13/07/2023;27,05;28,10;27,05;27,60;27,60;110551;225;3070597;27,7754
12/07/2023;27,90;28,05;27,65;27,95;27,95;205464;433;5739159;27,9327
11/07/2023;27,00;27,75;27,00;27,75;27,75;150099;336;4129202;27,5099
10/07/2023;27,10;27,25;26,65;26,95;26,95;131777;245;3543987;26,8938
07/07/2023;26,15;27,40;26,15;27,10;27,10;57949;179;1566813;27,0378
06/07/2023;27,25;27,30;26,45;26,55;26,55;127944;319;3451319;26,9752
05/07/2023;28,00;28,00;27,15;27,15;27,15;100122;263;2743296;27,3995
04/07/2023;27,80;28,15;27,00;27,80;27,80;182130;376;5024238;27,5860
03/07/2023;26,35;27,70;26,35;27,40;27,40;170705;418;4640589;27,1848
30/06/2023;25,05;25,95;25,05;25,80;25,80;133848;257;3444593;25,7351
29/06/2023;25,20;25,80;25,20;25,45;25,45;136215;343;3467482;25,4559
28/06/2023;26,00;26,15;25,60;25,65;25,65;127758;238;3289508;25,7480
27/06/2023;26,60;26,60;25,55;25,85;25,85;122191;329;3174245;25,9777
26/06/2023;26,35;26,80;26,10;26,30;26,30;114520;242;3017543;26,3495
23/06/2023;26,60;27,10;26,50;26,55;26,55;85234;219;2279715;26,7465
22/06/2023;27,30;27,55;27,00;27,00;27,00;166855;327;4550537;27,2724
21/06/2023;26,50;27,35;26,50;27,15;27,15;60492;199;1630116;26,9476
20/06/2023;27,30;27,35;26,75;26,95;26,95;58772;152;1591110;27,0726
19/06/2023;26,85;27,15;26,45;27,10;27,10;53344;141;1436833;26,9352
16/06/2023;26,90;27,30;26,65;26,80;26,80;91510;191;2462090;26,9051
15/06/2023;26,50;27,15;26,20;26,75;26,75;111503;320;2993302;26,8450
14/06/2023;27,00;27,20;26,30;26,35;26,35;234674;324;6268346;26,7109
13/06/2023;27,00;27,30;26,65;27,00;27,00;101056;208;2722768;26,9432
12/06/2023;27,40;27,95;26,80;26,80;26,80;100650;251;2743197;27,2548
09/06/2023;27,90;28,45;27,70;28,00;28,00;348306;203;9810069;28,1651
08/06/2023;27,45;28,65;27,45;28,10;28,10;269685;290;7614958;28,2365
07/06/2023;26,60;27,95;26,60;27,90;27,90;99062;259;2718398;27,4414
06/06/2023;27,45;27,45;26,85;27,05;27,05;82934;151;2246649;27,0896
05/06/2023;27,80;28,00;27,25;27,75;27,75;68257;164;1894218;27,7513
02/06/2023;27,25;28,05;27,25;27,70;27,70;56506;162;1563893;27,6766
01/06/2023;27,05;27,45;26,70;26,80;26,80;48220;112;1297460;26,9071
31/05/2023;26,95;27,35;26,55;27,25;27,25;211612;267;5718319;27,0227
30/05/2023;26,25;27,45;26,25;27,00;27,00;157483;325;4240435;26,9263
29/05/2023;0,00;0,00;0,00;0,00;26,15;0;0;0;0,0000
26/05/2023;26,60;26,85;26,05;26,15;26,15;143741;312;3782549;26,3150
25/05/2023;28,00;28,25;26,15;26,50;26,50;182964;348;4963344;27,1274
24/05/2023;28,10;28,90;27,75;28,00;28,00;229065;371;6452836;28,1703
23/05/2023;29,00;29,10;27,95;29,10;29,10;140570;243;4047976;28,7969
22/05/2023;27,80;29,00;27,80;28,40;28,40;73598;152;2089716;28,3937
19/05/2023;28,00;29,05;27,65;29,00;29,00;155389;312;4459776;28,7007
18/05/2023;0,00;0,00;0,00;0,00;28,15;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;28,15;0;0;0;0,0000
16/05/2023;27,40;28,25;27,40;28,15;28,15;79130;131;2207376;27,8956
15/05/2023;27,00;27,85;27,00;27,55;27,55;37767;124;1039715;27,5297
12/05/2023;27,00;27,85;26,65;27,75;27,75;127189;141;3471783;27,2963
11/05/2023;28,50;28,50;27,25;27,30;27,30;72811;204;2016350;27,6929
10/05/2023;28,00;28,45;27,75;27,75;27,75;68701;99;1925391;28,0257
09/05/2023;27,90;28,05;27,50;27,85;27,85;45499;135;1263112;27,7613
08/05/2023;27,60;28,40;27,60;28,40;28,40;191772;319;5407029;28,1951
05/05/2023;27,00;27,50;26,60;27,45;27,45;258394;344;6955862;26,9196
04/05/2023;26,35;27,25;26,35;27,00;27,00;164201;227;4431643;26,9891
03/05/2023;27,05;27,30;26,30;27,25;27,25;237076;359;6372147;26,8781
02/05/2023;27,50;27,95;27,15;27,95;27,95;326076;517;9027708;27,6859
28/04/2023;28,60;28,70;27,80;28,60;28,60;48190;129;1368069;28,3891
27/04/2023;27,90;28,60;27,50;28,40;28,40;65658;161;1836678;27,9734
26/04/2023;28,00;28,15;27,55;27,90;27,90;109278;200;3046830;27,8815
25/04/2023;27,70;28,80;27,70;27,90;27,90;64792;132;1837941;28,3668
24/04/2023;27,80;28,80;27,75;28,70;28,70;84200;201;2378523;28,2485
21/04/2023;27,60;28,35;27,60;28,25;28,25;125401;203;3514279;28,0243
20/04/2023;28,80;28,80;27,65;27,90;27,90;156214;362;4362213;27,9246
19/04/2023;28,85;29,00;28,05;28,40;28,40;82469;236;2355598;28,5634
18/04/2023;29,50;29,60;28,85;29,20;29,20;95756;280;2791268;29,1498
17/04/2023;29,55;29,75;29,15;29,50;29,50;115047;291;3387238;29,4422
14/04/2023;29,50;29,85;29,05;29,45;29,45;179481;319;5259297;29,3028
13/04/2023;29,20;30,05;29,20;29,80;29,80;98779;191;2942776;29,7915
12/04/2023;29,90;30,35;29,55;29,90;29,90;202802;461;6077581;29,9681
11/04/2023;28,85;29,75;28,85;29,75;29,75;388104;544;11443357;29,4853
06/04/2023;0,00;0,00;0,00;0,00;28,30;0;0;0;0,0000
05/04/2023;28,85;28,85;28,00;28,30;28,30;150246;189;4249984;28,2868
04/04/2023;28,70;29,10;28,55;28,85;28,85;136463;264;3936628;28,8476
03/04/2023;27,65;28,90;27,65;28,90;28,90;389069;551;11059001;28,4243
31/03/2023;26,98;26,98;26,46;26,92;26,92;138100;224;3696493;26,7668
30/03/2023;25,42;26,86;25,42;26,84;26,84;305325;293;8135386;26,6450
29/03/2023;26,88;26,88;25,84;26,24;26,24;107987;216;2822395;26,1364
28/03/2023;25,76;26,36;25,64;26,10;26,10;152105;251;3944606;25,9334
27/03/2023;25,22;25,60;24,62;25,12;25,12;287286;455;7183551;25,0049
24/03/2023;27,40;27,40;24,86;24,86;24,86;365318;1003;9252568;25,3274
23/03/2023;26,26;27,18;25,74;26,82;26,82;237174;492;6282984;26,4910
22/03/2023;26,50;26,50;25,90;26,04;26,04;100139;282;2615420;26,1179
21/03/2023;25,88;26,70;25,36;26,50;26,50;268945;536;7065128;26,2698
20/03/2023;24,50;25,40;24,02;25,20;25,20;236092;566;5854382;24,7970
17/03/2023;24,96;26,18;24,96;25,24;25,24;387514;611;9937281;25,6437
16/03/2023;26,00;26,00;23,72;24,00;24,00;289879;506;7020132;24,2175
15/03/2023;26,00;26,34;24,56;24,56;24,56;349726;661;8835790;25,2649
14/03/2023;25,96;26,50;25,38;26,36;26,36;214625;387;5580254;26,0000
13/03/2023;26,72;26,72;24,84;25,36;25,36;232792;477;5933302;25,4876
10/03/2023;26,40;26,76;25,96;26,42;26,42;224547;396;5913014;26,3331
09/03/2023;27,00;27,22;26,54;26,62;26,62;266357;424;7159934;26,8810
08/03/2023;26,36;27,22;26,30;27,18;27,18;338924;443;9071179;26,7646
07/03/2023;26,94;27,18;26,62;26,72;26,72;208274;429;5595857;26,8678
06/03/2023;27,10;27,48;26,74;26,96;26,96;199767;469;5400510;27,0340
03/03/2023;28,06;28,36;26,94;26,94;26,94;481123;911;13113020;27,2550
02/03/2023;29,20;29,52;27,50;27,70;27,70;777615;701;21824153;28,0655
01/03/2023;29,20;30,20;29,04;29,10;29,10;429737;627;12604568;29,3309
28/02/2023;30,00;30,64;28,64;29,24;29,24;421684;838;12336995;29,2565
27/02/2023;30,76;31,30;30,60;31,14;31,14;106533;368;3316118;31,1276
24/02/2023;30,38;30,96;30,30;30,60;30,60;104649;261;3210137;30,6753
23/02/2023;29,78;30,78;29,68;30,38;30,38;104795;326;3177550;30,3216
22/02/2023;30,96;30,96;29,22;29,54;29,54;104315;240;3090058;29,6224
21/02/2023;30,86;30,94;30,32;30,60;30,60;45676;182;1401345;30,6801
20/02/2023;30,20;30,96;30,20;30,62;30,62;112065;293;3428714;30,5958
17/02/2023;30,90;30,90;30,16;30,40;30,40;104944;241;3196210;30,4563
16/02/2023;31,10;31,44;30,60;30,90;30,90;131230;299;4067148;30,9925
15/02/2023;30,82;31,36;30,40;31,04;31,04;63557;169;1967694;30,9595
14/02/2023;30,38;31,58;30,38;31,44;31,44;243253;464;7556794;31,0656
13/02/2023;29,86;30,70;29,58;30,66;30,66;128136;295;3889546;30,3548
10/02/2023;29,46;30,08;29,00;29,82;29,82;271117;642;8045176;29,6742
09/02/2023;29,52;29,90;29,34;29,52;29,52;121796;299;3605951;29,6065
08/02/2023;29,06;29,54;29,00;29,26;29,26;128582;294;3766295;29,2910
07/02/2023;28,64;29,10;28,40;28,48;28,48;113750;273;3254487;28,6109
06/02/2023;28,60;29,14;28,32;28,40;28,40;157499;407;4513900;28,6599
03/02/2023;28,40;29,40;28,32;29,40;29,40;99033;252;2867147;28,9514
02/02/2023;28,52;29,08;28,02;28,72;28,72;194848;422;5578930;28,6322
01/02/2023;28,20;29,18;28,20;28,50;28,50;197491;465;5699368;28,8589
31/01/2023;28,30;28,34;27,70;27,90;27,90;138501;313;3875564;27,9822
30/01/2023;28,38;28,94;28,28;28,42;28,42;93074;231;2653341;28,5079
27/01/2023;28,98;28,98;28,10;28,64;28,64;78291;202;2233535;28,5286
26/01/2023;29,30;29,30;28,00;28,38;28,38;97658;249;2768430;28,3482
25/01/2023;28,80;29,80;28,02;28,20;28,20;178723;484;5186328;29,0188
24/01/2023;29,24;29,76;28,92;29,42;29,42;267331;470;7879118;29,4733
23/01/2023;28,78;29,40;28,78;29,24;29,24;117160;304;3409890;29,1046
20/01/2023;28,40;29,06;28,40;28,78;28,78;103728;319;2984411;28,7715
19/01/2023;27,50;28,40;27,30;28,38;28,38;168617;407;4694791;27,8429
18/01/2023;27,88;28,48;27,34;28,00;28,00;238701;458;6644692;27,8369
17/01/2023;27,90;28,98;27,90;28,88;28,88;248301;441;7096509;28,5803
16/01/2023;27,92;27,92;27,62;27,88;27,88;79355;196;2208101;27,8256
13/01/2023;27,44;28,00;27,36;27,84;27,84;149204;322;4147041;27,7944
12/01/2023;27,22;27,48;26,86;27,20;27,20;110279;290;3000191;27,2055
11/01/2023;26,16;27,28;26,16;27,14;27,14;89588;228;2423188;27,0481
10/01/2023;26,06;26,96;25,84;26,74;26,74;100551;229;2688946;26,7421
09/01/2023;26,20;26,68;26,18;26,30;26,30;172373;386;4544468;26,3642
06/01/2023;26,14;26,14;25,52;25,84;25,84;108957;295;2820799;25,8891
05/01/2023;25,30;26,48;25,30;26,14;26,14;184827;462;4820429;26,0808
04/01/2023;25,50;26,00;24,82;25,24;25,24;256351;477;6496219;25,3411
03/01/2023;26,20;26,96;26,20;26,44;26,44;204374;462;5424270;26,5409
02/01/2023;25,34;26,50;25,18;26,36;26,36;81974;174;2133030;26,0208
30/12/2022;24,10;25,40;24,10;25,14;25,14;189769;336;4740499;24,9804
29/12/2022;24,98;24,98;24,10;24,54;24,54;93624;235;2285619;24,4127
28/12/2022;24,90;24,90;24,00;24,24;24,24;120159;279;2920479;24,3051
27/12/2022;24,42;24,98;24,26;24,36;24,36;100915;162;2481401;24,5890
23/12/2022;24,96;24,96;23,78;23,94;23,94;111418;256;2685741;24,1051
22/12/2022;24,12;24,96;24,00;24,02;24,02;252049;383;6198473;24,5923
21/12/2022;24,56;24,74;24,12;24,12;24,12;152671;338;3715579;24,3372
20/12/2022;24,00;24,48;23,62;24,28;24,28;100205;233;2410896;24,0596
19/12/2022;25,00;25,04;24,12;24,26;24,26;330207;247;8026821;24,3085
16/12/2022;24,04;24,96;23,68;24,00;24,00;257848;300;6194544;24,0240
15/12/2022;25,00;25,14;24,36;24,50;24,50;124178;376;3077240;24,7809
14/12/2022;25,64;26,00;25,00;25,18;25,18;98947;193;2518741;25,4555
13/12/2022;26,24;26,28;25,48;25,64;25,64;249958;498;6437382;25,7539
12/12/2022;25,68;26,02;25,38;25,82;25,82;123645;274;3181559;25,7314
09/12/2022;25,20;25,86;25,08;25,78;25,78;174146;352;4433153;25,4565
08/12/2022;25,40;26,24;25,40;25,94;25,94;151679;336;3924171;25,8716
07/12/2022;25,66;26,16;25,30;25,58;25,58;178656;429;4582001;25,6471
06/12/2022;25,68;26,48;25,66;26,18;26,18;173042;691;4502181;26,0179
05/12/2022;26,82;27,00;26,22;26,22;26,22;131287;437;3491431;26,5939
02/12/2022;26,60;26,82;26,08;26,28;26,28;111838;364;2949488;26,3729
01/12/2022;28,00;28,00;26,78;26,86;26,86;152654;385;4120716;26,9938
30/11/2022;26,72;27,28;26,72;27,06;27,06;163381;297;4415840;27,0279
29/11/2022;26,86;27,20;26,22;27,18;27,18;75769;193;2036174;26,8734
28/11/2022;26,66;26,80;26,08;26,70;26,70;131193;284;3467158;26,4279
25/11/2022;26,62;26,98;26,36;26,80;26,80;594840;220;15963949;26,8374
24/11/2022;26,80;26,80;25,52;26,56;26,56;102578;249;2683957;26,1650
23/11/2022;26,20;26,42;25,72;25,74;25,74;172912;415;4479532;25,9064
22/11/2022;26,28;26,90;26,28;26,44;26,44;111441;245;2960444;26,5651
21/11/2022;26,80;26,86;26,12;26,12;26,12;200475;371;5291007;26,3924
18/11/2022;28,20;28,66;26,14;26,80;26,80;550983;819;14930387;27,0977
17/11/2022;27,00;28,20;26,42;28,02;28,02;657947;1106;18133720;27,5611
16/11/2022;26,70;26,96;26,22;26,40;26,40;172886;358;4583651;26,5126
15/11/2022;27,10;27,10;26,40;26,54;26,54;158489;303;4222315;26,6411
14/11/2022;28,00;28,00;26,98;27,12;27,12;102669;269;2821130;27,4779
