"Historical Data"
"From 2021-11-08 to 2023-11-07"
SGXZ80461361
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;24,00;24,00;23,80;23,80;23,80;10522;3;250424;23,8001
03/11/2023;0,00;0,00;0,00;0,00;23,80;0;0;0;0,0000
02/11/2023;23,80;23,80;23,80;23,80;23,80;2030;2;48314;23,8000
01/11/2023;23,80;24,00;23,80;24,00;24,00;1747;6;41628;23,8283
31/10/2023;24,00;24,00;23,80;24,00;24,00;153;8;3651;23,8654
30/10/2023;23,80;23,80;23,60;23,80;23,80;111954;14;2653870;23,7050
27/10/2023;23,80;23,80;23,80;23,80;23,80;2;1;48;23,8000
26/10/2023;23,60;23,80;23,60;23,60;23,60;98;3;2314;23,6163
25/10/2023;23,60;23,80;23,60;23,60;23,60;9501;6;224226;23,6002
24/10/2023;23,80;23,80;23,60;23,60;23,60;2080;8;49292;23,6980
23/10/2023;23,60;23,60;23,60;23,60;23,60;1868;5;44085;23,6000
20/10/2023;23,80;23,80;23,60;23,60;23,60;2543;2;60035;23,6079
19/10/2023;23,80;23,80;23,80;23,80;23,80;200;1;4760;23,8000
18/10/2023;0,00;0,00;0,00;0,00;23,60;0;0;0;0,0000
17/10/2023;23,60;23,60;23,60;23,60;23,60;1941;5;45808;23,6000
16/10/2023;23,60;23,80;23,60;23,60;23,60;2116;5;49998;23,6285
13/10/2023;24,00;24,00;23,60;23,60;23,60;11604;12;273903;23,6042
12/10/2023;23,80;23,80;23,80;23,80;23,80;252;3;5998;23,8000
11/10/2023;23,80;23,80;23,80;23,80;23,80;87;3;2071;23,8000
10/10/2023;23,60;24,00;23,60;24,00;24,00;34061;12;807508;23,7077
09/10/2023;23,80;24,00;23,60;23,60;23,60;268966;37;6348888;23,6048
06/10/2023;21,20;21,20;21,00;21,20;21,20;10294;11;216623;21,0437
05/10/2023;21,20;21,20;21,00;21,20;21,20;5140;7;108570;21,1226
04/10/2023;21,40;21,40;21,00;21,00;21,00;9276;9;198407;21,3893
03/10/2023;21,20;21,20;21,20;21,20;21,20;1256;2;26627;21,2000
02/10/2023;21,80;22,00;21,40;21,60;21,60;2621;8;57037;21,7617
29/09/2023;21,20;21,60;21,20;21,60;21,60;915;4;19630;21,4540
28/09/2023;21,40;21,40;21,40;21,40;21,40;260;1;5564;21,4000
27/09/2023;21,60;21,60;21,40;21,60;21,60;41;4;885;21,5951
26/09/2023;22,00;22,00;21,20;21,60;21,60;261;8;5670;21,7226
25/09/2023;21,60;21,80;21,00;21,80;21,80;4082;9;87883;21,5293
22/09/2023;21,60;21,60;21,60;21,60;21,60;11400;5;246240;21,6000
21/09/2023;21,20;21,20;21,20;21,20;21,20;15;1;318;21,2000
20/09/2023;21,60;21,60;21,40;21,60;21,60;10987;20;236386;21,5150
19/09/2023;21,80;21,80;21,00;21,00;21,00;1787;7;38718;21,6666
18/09/2023;21,20;21,60;21,20;21,60;21,60;388;2;8261;21,2907
15/09/2023;21,40;21,60;21,40;21,60;21,60;2105;4;45049;21,4010
14/09/2023;21,40;21,40;21,40;21,40;21,40;5006;5;107128;21,4000
13/09/2023;0,00;0,00;0,00;0,00;21,60;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;21,60;0;0;0;0,0000
11/09/2023;21,20;21,60;20,80;21,60;21,60;15525;12;324940;20,9301
08/09/2023;20,80;21,80;20,20;21,20;21,20;7897;13;167125;21,1631
07/09/2023;21,40;21,40;20,40;20,80;20,80;2104;8;43034;20,4532
06/09/2023;22,20;22,20;20,40;21,00;21,00;8334;15;173181;20,7801
05/09/2023;0,00;0,00;0,00;0,00;22,00;0;0;0;0,0000
