"Historical Data"
"From 2021-11-15 to 2023-11-12"
BMG173841013
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;160,90;164,70;160,90;164,70;164,70;339068;1159;55540783;163,8043
09/11/2023;159,00;160,50;153,40;160,50;160,50;623358;2290;98773546;158,4540
08/11/2023;165,00;165,00;158,30;160,60;160,60;577243;2205;93327937;161,6788
07/11/2023;168,70;169,10;162,30;165,30;165,30;464320;1658;76864300;165,5417
06/11/2023;164,50;169,60;161,00;167,40;167,40;418936;1741;70116665;167,3684
03/11/2023;172,50;174,90;163,30;165,10;165,10;721126;2795;121045202;167,8558
02/11/2023;169,50;172,80;165,90;172,10;172,10;593049;2090;100497211;169,4585
01/11/2023;160,10;168,50;160,00;168,20;168,20;749191;2603;123443886;164,7696
31/10/2023;151,10;158,80;149,00;158,00;158,00;955210;2482;148554287;155,5200
30/10/2023;147,80;151,80;146,70;149,50;149,50;384521;1268;57592269;149,7767
27/10/2023;144,00;147,90;144,00;147,30;147,30;518326;1293;76056703;146,7353
26/10/2023;145,00;148,70;142,70;142,70;142,70;665225;2044;96457337;144,9996
25/10/2023;139,70;145,60;139,30;144,50;144,50;544335;1376;77903530;143,1169
24/10/2023;132,50;139,00;131,80;139,00;139,00;509201;1300;70195828;137,8549
23/10/2023;133,10;134,60;130,00;131,90;131,90;281995;1043;37255903;132,1155
20/10/2023;134,10;134,90;132,30;133,80;133,80;289257;904;38639369;133,5814
19/10/2023;132,50;134,50;131,30;134,50;134,50;336771;1170;44884177;133,2780
18/10/2023;131,40;132,70;128,10;132,50;132,50;437386;1525;57316591;131,0435
17/10/2023;129,10;133,50;129,10;131,40;131,40;431502;1421;56776379;131,5785
16/10/2023;128,10;130,10;127,70;128,40;128,40;502703;1424;64848339;128,9993
13/10/2023;126,00;127,40;124,20;126,60;126,60;312160;1114;39314094;125,9421
12/10/2023;125,30;128,00;125,30;127,90;127,90;340214;1019;43338576;127,3862
11/10/2023;126,30;129,00;124,40;125,70;125,70;383673;1122;48299967;125,8884
10/10/2023;121,80;125,50;121,80;125,50;125,50;701130;1816;86736493;123,7096
09/10/2023;119,60;122,40;119,30;121,50;121,50;426779;1197;51776547;121,3193
06/10/2023;119,90;121,00;118,00;118,70;118,70;476832;1416;56885334;119,2985
05/10/2023;115,30;119,60;115,30;117,70;117,70;711024;2396;83864204;117,9485
04/10/2023;117,00;118,30;113,60;115,10;115,10;10146412;5385;1210847934;119,3375
03/10/2023;134,00;134,00;130,80;132,20;132,20;428702;1540;56777155;132,4397
02/10/2023;136,40;137,30;133,70;137,30;137,30;130128;633;17719726;136,1715
29/09/2023;136,00;138,00;134,70;134,70;134,70;229886;803;31206076;135,7459
28/09/2023;134,20;136,10;130,10;135,40;135,40;340547;1284;45401590;133,3196
27/09/2023;138,50;138,90;133,80;135,50;135,50;264277;1275;35904756;135,8603
26/09/2023;138,00;139,00;136,40;138,30;138,30;226951;1048;31291305;137,8769
25/09/2023;140,00;142,00;138,80;139,80;139,80;258582;1041;36292544;140,3522
22/09/2023;140,40;140,70;137,20;139,20;139,20;229539;874;31836064;138,6957
21/09/2023;137,40;140,40;137,00;139,70;139,70;279325;1172;38848681;139,0806
20/09/2023;138,90;138,90;135,30;137,20;137,20;174664;755;23860619;136,6087
19/09/2023;136,90;138,70;136,00;138,30;138,30;194939;801;26901629;138,0002
18/09/2023;136,20;138,50;135,40;137,70;137,70;236449;1006;32496871;137,4371
15/09/2023;137,50;138,10;134,30;134,50;134,50;307285;1134;41623114;135,4544
14/09/2023;135,20;138,20;135,00;136,70;136,70;153654;703;21027893;136,8522
13/09/2023;134,70;135,60;131,40;134,60;134,60;214153;836;28565672;133,3891
12/09/2023;135,60;137,40;133,20;134,70;134,70;226206;924;30493679;134,8049
11/09/2023;132,60;138,60;131,00;136,80;136,80;282982;1123;38595877;136,3899
08/09/2023;138,00;138,00;131,50;132,60;132,60;355878;1206;47792611;134,2949
07/09/2023;134,00;139,00;132,80;137,20;137,20;355831;1174;48590997;136,5564
06/09/2023;132,20;135,00;131,50;133,90;133,90;249170;958;33307025;133,6719
05/09/2023;131,50;132,90;129,10;131,80;131,80;231405;1097;30480097;131,7175
04/09/2023;131,00;132,90;127,90;132,20;132,20;511699;1657;67163217;131,2553
01/09/2023;126,40;127,50;122,60;126,80;126,80;464048;1873;58097441;125,1971
31/08/2023;129,00;131,20;127,50;129,00;129,00;551764;1943;71420305;129,4400
30/08/2023;128,00;128,70;121,50;125,80;125,80;509971;2037;63812117;125,1289
29/08/2023;119,70;129,70;116,00;127,40;127,40;552196;1904;69766895;126,3444
28/08/2023;126,00;126,50;123,40;126,10;126,10;190203;774;23782481;125,0374
25/08/2023;121,70;125,20;120,10;125,20;125,20;225281;951;27862745;123,6800
24/08/2023;118,50;121,70;118,20;121,60;121,60;111188;552;13419045;120,6879
23/08/2023;121,70;121,80;117,40;118,20;118,20;237177;993;28282340;119,2457
22/08/2023;122,50;122,50;119,60;122,00;122,00;133086;541;16130739;121,2054
21/08/2023;120,00;122,40;119,70;122,10;122,10;185408;787;22501363;121,3613
18/08/2023;120,00;120,80;117,40;118,70;118,70;162653;731;19272310;118,4873
17/08/2023;120,70;121,00;118,60;121,00;121,00;156125;570;18773498;120,2466
16/08/2023;119,00;121,70;117,70;120,70;120,70;159079;825;19123205;120,2120
15/08/2023;119,00;120,10;117,50;118,50;118,50;116120;609;13795404;118,8030
14/08/2023;117,90;119,80;117,60;118,30;118,30;128283;640;15203902;118,5184
11/08/2023;115,30;118,70;114,50;117,80;117,80;175416;858;20555494;117,1814
10/08/2023;117,20;117,20;114,30;115,30;115,30;220171;897;25449890;115,5915
09/08/2023;115,00;117,80;113,30;116,90;116,90;253012;1055;29323576;115,8980
08/08/2023;110,10;114,40;109,40;114,00;114,00;290959;909;32786532;112,6844
07/08/2023;110,90;111,90;109,10;109,50;109,50;102465;513;11305887;110,3390
04/08/2023;110,00;112,40;109,40;110,40;110,40;199991;1013;22158210;110,7960
03/08/2023;109,50;109,90;108,20;109,60;109,60;176137;553;19276661;109,4413
02/08/2023;109,30;112,20;108,80;109,90;109,90;297087;706;32743775;110,2161
01/08/2023;108,10;109,30;105,80;109,30;109,30;160572;702;17364016;108,1385
31/07/2023;106,80;109,90;106,10;108,50;108,50;162159;611;17627541;108,7053
28/07/2023;105,60;106,00;104,50;106,00;106,00;124688;567;13131990;105,3188
27/07/2023;105,00;105,80;104,00;105,10;105,10;170898;647;17958150;105,0811
26/07/2023;105,40;105,50;103,80;104,20;104,20;121982;497;12723449;104,3060
25/07/2023;104,00;105,80;103,00;105,40;105,40;100525;375;10491910;104,3712
24/07/2023;103,70;104,40;100,70;103,90;103,90;106925;515;10974766;102,6399
21/07/2023;103,90;104,80;102,90;103,30;103,30;151566;608;15717377;103,6999
20/07/2023;101,80;104,00;101,80;103,60;103,60;150896;664;15516588;102,8297
19/07/2023;104,50;104,50;101,50;102,40;102,40;147715;638;15107070;102,2717
18/07/2023;101,60;104,40;100,20;104,00;104,00;183096;807;18869023;103,0554
17/07/2023;98,80;101,70;98,30;100,70;100,70;149197;611;14989900;100,4705
14/07/2023;99,90;101,00;98,65;98,80;98,80;112208;569;11168671;99,5354
13/07/2023;101,50;102,30;99,60;101,30;101,30;139322;575;14085454;101,1000
12/07/2023;105,60;105,60;101,80;102,40;102,40;136498;600;14015883;102,6820
11/07/2023;104,70;105,60;102,90;105,30;105,30;122035;556;12790307;104,8085
10/07/2023;102,60;104,80;100,80;104,30;104,30;129133;533;13331849;103,2412
07/07/2023;98,40;103,80;96,95;102,60;102,60;262861;924;26680840;101,5017
06/07/2023;103,30;103,30;100,00;101,30;101,30;245693;1135;24966743;101,6176
05/07/2023;107,00;107,30;105,20;105,60;105,60;92097;428;9767679;106,0586
04/07/2023;107,20;108,40;105,60;106,90;106,90;119663;527;12805877;107,0162
03/07/2023;108,20;110,00;107,40;107,40;107,40;116876;605;12696815;108,6349
30/06/2023;109,20;110,60;106,50;107,20;107,20;209721;830;22687722;108,1805
29/06/2023;107,00;108,60;106,00;108,40;108,40;109671;500;11818242;107,7609
28/06/2023;105,50;107,40;105,40;106,50;106,50;116981;471;12439424;106,3371
27/06/2023;109,00;109,40;104,60;105,40;105,40;143058;640;15185604;106,1500
26/06/2023;108,50;108,50;103,80;107,70;107,70;171335;787;18311487;106,8753
23/06/2023;105,80;109,10;104,60;108,40;108,40;139778;580;14996627;107,2889
22/06/2023;110,90;112,10;105,70;106,50;106,50;165303;778;17981187;108,7771
21/06/2023;109,80;112,80;109,80;111,60;111,60;341508;1013;38020806;111,3321
20/06/2023;108,10;110,50;108,00;109,40;109,40;159330;588;17470379;109,6490
19/06/2023;109,00;110,00;107,40;108,10;108,10;238923;828;25926940;108,5159
16/06/2023;105,50;107,80;105,10;107,80;107,80;268259;785;28761859;107,2168
15/06/2023;105,80;107,00;104,00;105,30;105,30;1200631;967;129028140;107,4669
14/06/2023;103,80;107,20;103,00;105,50;105,50;365620;1129;38488364;105,2688
13/06/2023;102,50;104,70;101,80;103,70;103,70;237749;910;24624849;103,5750
12/06/2023;99,90;102,20;99,35;101,40;101,40;268206;935;27059946;100,8924
09/06/2023;99,00;99,00;96,10;98,00;98,00;221432;850;21538101;97,2673
08/06/2023;98,65;101,20;98,65;100,10;100,10;124476;579;12464635;100,1369
07/06/2023;98,15;100,60;97,60;98,55;98,55;170161;728;16784327;98,6379
06/06/2023;103,90;104,50;97,55;98,35;98,35;189268;781;18799552;99,3277
05/06/2023;102,80;104,80;101,40;103,90;103,90;167176;620;17296721;103,4641
02/06/2023;99,20;101,70;98,40;101,70;101,70;196799;883;19708099;100,1433
01/06/2023;94,75;98,90;93,70;98,00;98,00;200540;856;19420159;96,8393
31/05/2023;97,10;98,30;93,15;94,80;94,80;545403;1265;51891201;95,1429
