"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG1738J1247
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;24,00;24,30;23,72;23,94;23,94;349417;340;8367279;23,9464
03/11/2023;24,00;24,14;23,56;23,56;23,56;194628;334;4646940;23,8760
02/11/2023;23,80;23,82;23,54;23,70;23,70;115293;247;2732668;23,7019
01/11/2023;23,74;23,76;23,14;23,52;23,52;154127;244;3606518;23,3997
31/10/2023;24,00;24,00;23,02;23,32;23,32;164133;265;3808505;23,2038
30/10/2023;23,00;23,56;23,00;23,28;23,28;156023;283;3648972;23,3874
27/10/2023;23,20;23,28;22,80;23,18;23,18;155795;260;3604484;23,1361
26/10/2023;23,00;23,20;22,82;23,02;23,02;139739;234;3213854;22,9990
25/10/2023;23,66;23,66;23,12;23,18;23,18;125775;203;2931470;23,3073
24/10/2023;23,32;23,64;23,20;23,64;23,64;188714;225;4430809;23,4790
23/10/2023;23,32;23,40;22,80;23,16;23,16;111837;203;2596705;23,2187
20/10/2023;23,56;23,56;23,20;23,38;23,38;163498;198;3818728;23,3564
19/10/2023;23,80;23,80;23,28;23,56;23,56;92307;153;2170312;23,5119
18/10/2023;24,00;24,32;23,82;23,90;23,90;370724;393;8904733;24,0198
17/10/2023;24,50;24,50;23,68;23,76;23,76;200686;283;4780419;23,8204
16/10/2023;25,20;25,20;23,70;23,90;23,90;129304;254;3109555;24,0484
13/10/2023;24,06;24,20;23,88;23,92;23,92;93487;243;2245339;24,0177
12/10/2023;23,80;24,28;23,58;24,04;24,04;118325;206;2851982;24,1030
11/10/2023;24,14;24,20;23,82;23,90;23,90;114609;179;2749327;23,9888
10/10/2023;23,80;24,10;23,52;23,90;23,90;148686;261;3551408;23,8853
09/10/2023;23,02;23,90;23,02;23,80;23,80;186706;276;4407516;23,6067
06/10/2023;23,58;23,58;22,98;22,98;22,98;150596;212;3488328;23,1635
05/10/2023;23,06;23,64;22,80;23,14;23,14;269519;402;6213074;23,0525
04/10/2023;23,60;23,76;23,34;23,34;23,34;189629;316;4462894;23,5349
03/10/2023;24,80;24,80;23,78;23,78;23,78;234672;417;5625052;23,9698
02/10/2023;24,98;25,18;24,24;24,24;24,24;317993;468;7826552;24,6123
29/09/2023;25,50;25,50;24,52;24,60;24,60;1050030;370;25854324;24,6225
28/09/2023;25,60;25,80;24,66;24,66;24,66;250202;417;6244579;24,9581
27/09/2023;24,98;25,10;24,58;25,00;25,00;228085;296;5687775;24,9371
26/09/2023;24,64;24,76;24,40;24,66;24,66;177876;266;4374254;24,5916
25/09/2023;25,90;25,90;24,66;24,66;24,66;209131;311;5204559;24,8866
22/09/2023;25,22;25,58;25,02;25,12;25,12;113980;205;2865070;25,1366
21/09/2023;25,48;25,80;25,20;25,50;25,50;140436;278;3576082;25,4641
20/09/2023;26,26;26,26;25,42;25,62;25,62;182822;316;4686264;25,6329
19/09/2023;25,80;26,14;25,56;25,96;25,96;509250;518;13205032;25,9304
18/09/2023;25,00;25,70;25,00;25,30;25,30;188434;341;4790384;25,4221
15/09/2023;25,56;25,56;24,90;25,30;25,30;320966;494;8104775;25,2512
14/09/2023;25,00;25,32;24,86;25,32;25,32;320667;552;8040223;25,0734
13/09/2023;25,04;25,34;24,84;25,08;25,08;120618;250;3018013;25,0213
12/09/2023;25,00;25,22;24,90;25,00;25,00;121559;256;3043654;25,0385
11/09/2023;25,26;25,60;25,14;25,22;25,22;142882;258;3624693;25,3684
08/09/2023;25,30;25,64;25,26;25,26;25,26;159881;320;4065540;25,4285
07/09/2023;25,60;25,72;25,36;25,44;25,44;123856;242;3164604;25,5507
06/09/2023;25,72;25,72;25,24;25,66;25,66;123715;264;3159539;25,5389
05/09/2023;25,48;25,72;25,14;25,52;25,52;202281;326;5159364;25,5059
04/09/2023;25,30;25,74;25,24;25,32;25,32;167114;314;4247741;25,4182
01/09/2023;24,50;25,12;24,44;25,12;25,12;279043;464;6946104;24,8926
31/08/2023;24,20;24,88;24,04;24,72;24,72;461891;687;11334064;24,5384
30/08/2023;24,40;25,18;24,04;24,28;24,28;666248;868;16267208;24,4161
29/08/2023;24,929236;25,48278;24,612926;25,12693;25,12693;1093733;1222;27388324;25,0411
28/08/2023;26,688714;27,677185;24,81062;24,949006;24,949006;2332099;3051;59485149;25,5071
25/08/2023;28,922659;28,922659;28,566809;28,586579;28,586579;240241;328;6899698;28,7198
24/08/2023;28,724964;28,922659;28,54704;28,606348;28,606348;128089;276;3679668;28,7273
23/08/2023;28,922659;28,922659;28,171421;28,507501;28,507501;212521;372;6052090;28,4776
22/08/2023;28,804042;28,922659;28,507501;28,764503;28,764503;248229;326;7144893;28,7834
21/08/2023;28,369115;28,86335;28,349346;28,566809;28,566809;255256;406;7327257;28,7054
18/08/2023;28,86335;28,86335;28,171421;28,369115;28,369115;295937;315;8376222;28,3040
17/08/2023;28,626117;28,86335;28,428423;28,843581;28,843581;79913;176;2298226;28,7590
16/08/2023;28,230729;28,823812;28,230729;28,606348;28,606348;166397;386;4750406;28,5486
15/08/2023;28,764503;29,199431;28,408654;28,507501;28,507501;259074;602;7437917;28,7095
14/08/2023;28,665656;29,100583;28,290037;28,764503;28,764503;220093;517;6347723;28,8410
11/08/2023;28,764503;28,764503;28,369115;28,705195;28,705195;256540;361;7321196;28,5381
10/08/2023;28,922659;29,041275;28,290037;28,744734;28,744734;266524;424;7661591;28,7463
09/08/2023;27,953957;28,823812;27,696955;28,764503;28,764503;505920;597;14356288;28,3766
08/08/2023;28,072574;28,19119;26,688714;27,420183;27,420183;406385;538;11122660;27,3697
07/08/2023;28,467962;28,685426;27,993496;28,131882;28,131882;110962;250;3136914;28,2701
04/08/2023;28,151651;28,467962;27,973727;28,250498;28,250498;315355;459;8902182;28,2290
