"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003087603
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;17,00;17,00;16,85;16,85;16,85;282;2;4759;16,8766
03/11/2023;17,50;17,50;16,90;16,95;16,95;17160;8;291277;16,9742
02/11/2023;16,90;18,00;16,20;18,00;18,00;19232;22;323944;16,8440
01/11/2023;16,05;17,00;16,05;17,00;17,00;4386;11;72759;16,5889
31/10/2023;16,80;16,95;16,00;16,80;16,80;13904;24;229467;16,5037
30/10/2023;16,65;17,20;16,50;17,00;17,00;5441;16;90531;16,6387
27/10/2023;17,50;17,50;17,05;17,50;17,50;4839;8;83333;17,2210
26/10/2023;16,50;17,50;16,50;17,50;17,50;2759;6;45792;16,5971
25/10/2023;16,50;17,05;16,40;17,00;17,00;14444;14;239202;16,5606
24/10/2023;17,00;17,90;16,70;16,70;16,70;8083;14;135427;16,7546
23/10/2023;16,60;17,00;16,60;16,65;16,65;1380;5;23276;16,8667
20/10/2023;17,85;18,00;16,80;17,00;17,00;11494;33;200164;17,4147
19/10/2023;18,20;18,20;16,50;16,80;16,80;48088;68;814097;16,9293
18/10/2023;18,20;18,50;18,20;18,50;18,50;175;3;3191;18,2343
17/10/2023;18,35;18,35;18,20;18,20;18,20;10311;5;187662;18,2001
16/10/2023;18,20;18,50;18,20;18,35;18,35;18964;12;347522;18,3254
13/10/2023;18,80;18,80;18,35;18,35;18,35;12821;15;238383;18,5932
12/10/2023;18,50;18,90;18,50;18,90;18,90;348;6;6460;18,5626
11/10/2023;18,20;18,50;18,20;18,50;18,50;2527;7;46497;18,3999
10/10/2023;18,35;18,90;18,35;18,90;18,90;10224;6;187611;18,3501
09/10/2023;18,65;19,00;17,60;18,45;18,45;4992;18;92007;18,4310
06/10/2023;19,35;20,00;18,85;19,00;19,00;9623;10;184586;19,1817
05/10/2023;19,50;19,50;18,80;19,00;19,00;3717;10;71187;19,1517
04/10/2023;20,10;20,20;19,50;19,50;19,50;2663;9;52553;19,7344
03/10/2023;20,10;20,20;20,10;20,20;20,20;3077;7;62082;20,1763
02/10/2023;20,20;20,20;20,10;20,10;20,10;3797;6;76691;20,1977
29/09/2023;20,20;20,50;20,20;20,50;20,50;1766;5;36144;20,4666
28/09/2023;19,95;21,70;19,95;20,80;20,80;2696;8;54923;20,3719
27/09/2023;21,00;21,70;21,00;21,40;21,40;5948;6;127694;21,4684
26/09/2023;20,00;21,50;19,70;21,50;21,50;10798;20;223950;20,7400
25/09/2023;20,40;21,70;20,10;20,60;20,60;15446;25;321046;20,7851
22/09/2023;21,50;21,70;21,50;21,70;21,70;345;2;7478;21,6739
21/09/2023;0,00;0,00;0,00;0,00;21,60;0;0;0;0,0000
20/09/2023;21,70;22,20;21,50;21,60;21,60;12992;9;281990;21,7049
19/09/2023;21,60;22,40;21,60;21,60;21,60;400;6;8681;21,7020
18/09/2023;22,00;22,10;21,60;21,60;21,60;5560;10;121179;21,7948
15/09/2023;21,60;23,10;21,60;22,10;22,10;7575;13;169589;22,3880
14/09/2023;22,00;22,00;21,60;21,60;21,60;1172;2;25316;21,6010
13/09/2023;21,60;22,40;21,60;22,40;22,40;3362;6;73642;21,9043
12/09/2023;21,60;22,60;21,50;21,50;21,50;1593;9;34422;21,6084
11/09/2023;21,40;22,90;21,40;21,60;21,60;10670;13;230459;21,5988
08/09/2023;0,00;0,00;0,00;0,00;22,20;0;0;0;0,0000
07/09/2023;21,60;22,70;21,60;22,20;22,20;1743;9;38248;21,9438
06/09/2023;22,00;23,10;21,30;23,10;23,10;7345;12;159785;21,7542
05/09/2023;23,00;23,00;22,00;22,50;22,50;221;4;4943;22,3665
04/09/2023;22,00;22,50;21,80;22,10;22,10;3652;9;80552;22,0570
01/09/2023;22,00;22,40;22,00;22,00;22,00;2380;3;52560;22,0840
31/08/2023;21,50;22,00;21,50;21,70;21,70;9626;6;208061;21,6145
30/08/2023;22,60;22,60;21,60;21,60;21,60;226;3;4942;21,8655
29/08/2023;21,90;22,90;21,90;22,70;22,70;483;4;10850;22,4631
28/08/2023;22,90;22,90;21,70;21,70;21,70;9031;16;197485;21,8674
25/08/2023;22,30;22,40;22,30;22,40;22,40;572;6;12777;22,3371
24/08/2023;23,00;23,00;21,00;22,80;22,80;19223;30;435403;22,6501
23/08/2023;22,80;23,50;22,80;23,10;23,10;3118;7;72398;23,2193
22/08/2023;23,10;23,10;22,80;22,80;22,80;8698;6;199836;22,9749
21/08/2023;23,00;23,40;23,00;23,40;23,40;695;3;16015;23,0432
18/08/2023;22,80;23,40;22,80;23,20;23,20;1715;4;40024;23,3376
17/08/2023;23,40;23,80;23,40;23,80;23,80;934;5;22149;23,7143
16/08/2023;22,80;23,50;22,80;23,40;23,40;2924;5;68603;23,4620
15/08/2023;23,30;24,10;23,30;24,10;24,10;8824;9;212209;24,0491
14/08/2023;24,20;24,20;23,10;23,50;23,50;1891;10;44138;23,3412
11/08/2023;23,90;24,00;22,90;23,00;23,00;6965;13;160514;23,0458
10/08/2023;23,90;23,90;22,30;23,20;23,20;1851;11;43044;23,2547
09/08/2023;22,30;23,40;22,30;23,40;23,40;1354;12;30991;22,8881
08/08/2023;23,90;23,90;23,90;23,90;23,90;50;1;1195;23,9000
07/08/2023;23,40;23,80;23,20;23,80;23,80;5102;9;118571;23,2400
04/08/2023;23,10;23,90;23,10;23,30;23,30;5359;25;126027;23,5168
03/08/2023;23,00;24,50;22,70;24,50;24,50;2078;20;47429;22,8242
02/08/2023;23,60;24,50;22,60;24,50;24,50;696;10;16183;23,2514
01/08/2023;23,50;23,60;23,50;23,60;23,60;300;6;7078;23,5917
31/07/2023;24,60;24,60;24,60;24,60;24,60;38;1;935;24,6000
28/07/2023;23,60;23,60;23,60;23,60;23,60;282;4;6655;23,6000
27/07/2023;24,50;24,50;24,00;24,00;24,00;317;4;7708;24,3155
26/07/2023;24,00;24,50;24,00;24,50;24,50;589;6;14399;24,4457
25/07/2023;24,00;24,50;24,00;24,50;24,50;449;4;10801;24,0546
24/07/2023;23,50;24,00;23,50;24,00;24,00;138;3;3295;23,8732
21/07/2023;24,20;24,20;23,00;23,80;23,80;46302;18;1101572;23,7910
20/07/2023;22,30;24,50;22,30;24,50;24,50;131;5;3181;24,2847
19/07/2023;22,30;24,00;22,30;24,00;24,00;5478;13;129510;23,6418
18/07/2023;23,60;23,90;23,60;23,80;23,80;2601;6;61954;23,8192
17/07/2023;24,00;24,00;22,30;23,40;23,40;5460;17;126405;23,1511
14/07/2023;24,30;24,40;24,00;24,00;24,00;4173;7;101326;24,2813
13/07/2023;24,30;24,70;24,30;24,30;24,30;1242;5;30185;24,3032
12/07/2023;24,30;24,80;24,00;24,80;24,80;7440;11;180702;24,2879
11/07/2023;24,20;24,30;24,20;24,30;24,30;961;10;23294;24,2394
10/07/2023;24,80;25,30;24,80;24,80;24,80;2998;10;74500;24,8500
07/07/2023;24,80;24,80;24,80;24,80;24,80;350;1;8680;24,8000
06/07/2023;24,30;24,90;24,30;24,90;24,90;1478;5;35934;24,3126
05/07/2023;25,20;25,20;25,10;25,10;25,10;1636;5;41114;25,1306
04/07/2023;24,80;24,80;24,80;24,80;24,80;1800;2;44640;24,8000
03/07/2023;24,30;24,60;24,30;24,30;24,30;381;6;9261;24,3079
30/06/2023;25,00;25,00;24,40;24,40;24,40;3389;11;84327;24,8826
29/06/2023;24,40;24,40;24,40;24,40;24,40;100;1;2440;24,4000
28/06/2023;0,00;0,00;0,00;0,00;25,10;0;0;0;0,0000
27/06/2023;24,70;25,10;24,70;25,10;25,10;1012;3;25321;25,0209
26/06/2023;24,10;24,10;24,10;24,10;24,10;10;1;241;24,1000
23/06/2023;24,10;24,90;24,10;24,90;24,90;536;5;12993;24,2399
22/06/2023;0,00;0,00;0,00;0,00;25,00;0;0;0;0,0000
21/06/2023;24,00;25,00;24,00;25,00;25,00;1129;7;28096;24,8857
20/06/2023;24,10;24,10;24,00;24,00;24,00;3000;3;72093;24,0310
19/06/2023;24,10;24,20;24,10;24,10;24,10;862;4;20778;24,1046
16/06/2023;24,10;25,10;24,10;25,10;25,10;41;3;993;24,2220
15/06/2023;24,40;25,40;24,10;24,10;24,10;2879;6;70325;24,4270
14/06/2023;25,50;25,50;24,40;24,40;24,40;1845;11;45537;24,6813
13/06/2023;24,60;25,30;24,60;25,20;25,20;3370;6;84669;25,1243
12/06/2023;24,50;25,80;24,10;24,10;24,10;12905;11;317411;24,5960
09/06/2023;24,10;24,40;23,70;24,00;24,00;11471;9;276212;24,0791
08/06/2023;24,20;25,80;24,10;24,90;24,90;1178;8;29202;24,7895
07/06/2023;24,80;25,10;23,80;25,10;25,10;5349;18;130646;24,4243
06/06/2023;24,20;25,00;24,20;25,00;25,00;17;4;424;24,9529
05/06/2023;26,30;26,30;25,00;25,00;25,00;2075;9;53428;25,7483
02/06/2023;26,00;26,00;25,40;25,50;25,50;5033;7;128216;25,4750
01/06/2023;24,80;24,90;24,80;24,90;24,90;617;5;15345;24,8703
31/05/2023;24,80;26,30;24,80;25,30;25,30;2554;3;64619;25,3012
30/05/2023;24,80;26,30;24,80;26,30;26,30;2330;9;58176;24,9682
29/05/2023;0,00;0,00;0,00;0,00;25,30;0;0;0;0,0000
26/05/2023;24,90;26,40;24,90;25,30;25,30;3026;8;78772;26,0317
25/05/2023;25,10;26,40;25,10;26,40;26,40;78;2;2058;26,3833
24/05/2023;25,00;26,50;25,00;26,50;26,50;3967;9;103922;26,1967
23/05/2023;26,80;26,90;26,10;26,10;26,10;9300;14;247618;26,6256
22/05/2023;24,70;26,00;24,50;25,60;25,60;8013;33;199586;24,9078
19/05/2023;26,90;27,00;26,70;27,00;27,00;15010;15;403615;26,8897
18/05/2023;0,00;0,00;0,00;0,00;25,70;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;25,70;0;0;0;0,0000
16/05/2023;23,70;27,40;23,70;25,70;25,70;13674;30;352300;25,7642
15/05/2023;25,90;25,90;24,60;24,60;24,60;1389;7;34382;24,7528
12/05/2023;23,90;25,90;23,90;25,00;25,00;1477;12;36308;24,5820
11/05/2023;23,80;25,00;23,80;25,00;25,00;36;5;893;24,8056
10/05/2023;23,80;25,00;23,80;25,00;25,00;935;7;22458;24,0191
09/05/2023;24,10;25,00;23,90;24,60;24,60;1076;9;25819;23,9951
08/05/2023;25,90;25,90;24,10;25,40;25,40;1385;9;35696;25,7729
05/05/2023;25,60;25,80;23,60;25,30;25,30;448;7;11371;25,3810
04/05/2023;24,50;25,50;23,50;25,50;25,50;3232;15;80189;24,8108
03/05/2023;23,50;24,50;23,50;24,30;24,30;1025;7;24338;23,7444
02/05/2023;24,50;24,50;23,60;24,40;24,40;355;4;8472;23,8648
28/04/2023;24,50;24,50;23,80;24,50;24,50;3004;16;72085;23,9963
27/04/2023;25,30;25,70;22,50;24,40;24,40;19266;71;459217;23,8356
26/04/2023;25,60;25,90;25,00;25,90;25,90;3628;15;92130;25,3940
25/04/2023;26,30;26,30;25,60;25,90;25,90;1336;10;34486;25,8128
24/04/2023;25,10;26,40;25,10;25,40;25,40;2918;18;74051;25,3771
21/04/2023;26,40;26,40;25,10;25,90;25,90;847;7;21312;25,1615
20/04/2023;25,30;25,90;25,10;25,90;25,90;4500;19;114328;25,4063
19/04/2023;25,40;26,40;25,40;26,40;26,40;2606;11;67798;26,0160
18/04/2023;25,40;26,40;25,40;25,60;25,60;4838;12;124393;25,7116
17/04/2023;26,40;26,40;25,60;25,80;25,80;3039;12;78229;25,7417
14/04/2023;25,60;26,60;25,40;26,20;26,20;3833;18;98561;25,7139
13/04/2023;28,00;28,00;26,50;26,50;26,50;1387;10;37046;26,7094
12/04/2023;26,60;26,90;25,60;25,80;25,80;4184;20;109641;26,2047
11/04/2023;27,50;28,50;26,60;27,00;27,00;4633;12;128816;27,8041
06/04/2023;0,00;0,00;0,00;0,00;26,00;0;0;0;0,0000
05/04/2023;0,00;0,00;0,00;0,00;26,00;0;0;0;0,0000
04/04/2023;25,40;26,00;25,40;26,00;26,00;60;2;1542;25,7000
03/04/2023;25,80;25,80;25,40;25,50;25,50;4191;15;106878;25,5017
31/03/2023;25,30;25,80;24,60;25,80;25,80;2607;19;65112;24,9758
30/03/2023;25,00;25,30;25,00;25,30;25,30;970;5;24535;25,2938
29/03/2023;25,10;27,45;24,90;25,20;25,20;22559;34;564641;25,0295
28/03/2023;27,45;27,45;25,15;25,15;25,15;1734;15;44801;25,8370
27/03/2023;25,50;26,10;25,50;26,10;26,10;7653;13;197316;25,7828
24/03/2023;25,50;26,00;25,50;26,00;26,00;10683;18;277486;25,9746
23/03/2023;26,00;26,90;26,00;26,90;26,90;3451;7;92253;26,7323
22/03/2023;26,50;27,25;26,00;26,00;26,00;5277;16;139461;26,4282
21/03/2023;27,25;27,25;26,00;26,90;26,90;2281;9;61408;26,9215
20/03/2023;28,00;28,00;26,60;27,10;27,10;1224;10;33305;27,2098
17/03/2023;28,90;28,90;27,35;27,40;27,40;326;5;8967;27,5064
16/03/2023;27,75;27,75;27,35;27,35;27,35;3262;9;89620;27,4739
15/03/2023;27,80;29,05;27,70;27,70;27,70;2257;17;62855;27,8488
14/03/2023;27,75;28,50;27,75;28,10;28,10;557;6;15499;27,8261
13/03/2023;28,05;28,85;27,80;28,10;28,10;373;8;10417;27,9280
10/03/2023;29,00;29,05;28,90;28,90;28,90;40161;17;1164669;29,0000
09/03/2023;28,05;28,20;27,65;28,20;28,20;11326;18;315280;27,8369
08/03/2023;28,05;28,95;28,05;28,15;28,15;2133;10;60318;28,2786
07/03/2023;28,40;28,50;28,40;28,50;28,50;6817;10;193858;28,4374
06/03/2023;29,00;29,00;27,70;28,50;28,50;11745;24;329380;28,0442
03/03/2023;28,20;28,95;28,20;28,50;28,50;2183;19;61871;28,3423
02/03/2023;29,05;29,05;28,25;28,25;28,25;600;6;17028;28,3805
01/03/2023;28,45;29,90;28,20;28,35;28,35;2583;14;73246;28,3568
28/02/2023;29,00;29,00;28,90;28,90;28,90;227;5;6580;28,9881
27/02/2023;28,10;29,00;28,10;29,00;29,00;457;6;13050;28,5553
24/02/2023;28,50;28,50;28,10;28,10;28,10;981;6;27919;28,4592
23/02/2023;28,95;29,00;28,10;28,50;28,50;28697;23;817418;28,4844
22/02/2023;29,00;29,30;28,95;29,25;29,25;9804;23;284197;28,9878
21/02/2023;29,40;29,40;29,00;29,00;29,00;11239;18;326769;29,0745
20/02/2023;29,10;29,35;28,40;29,10;29,10;10468;18;303442;28,9876
17/02/2023;29,50;29,95;29,30;29,40;29,40;7169;17;211922;29,5609
16/02/2023;30,00;30,00;29,50;29,50;29,50;2244;9;66603;29,6805
15/02/2023;29,30;30,00;29,30;30,00;30,00;5529;14;165798;29,9869
14/02/2023;30,00;30,00;29,50;29,55;29,55;10436;14;311381;29,8372
13/02/2023;28,60;30,00;28,60;30,00;30,00;15790;34;462007;29,2594
10/02/2023;30,00;30,00;29,00;29,00;29,00;367;9;10717;29,2008
09/02/2023;29,30;30,00;28,80;30,00;30,00;10577;22;309588;29,2699
08/02/2023;29,70;29,70;29,30;29,30;29,30;7245;21;214426;29,5964
07/02/2023;30,00;30,00;29,60;29,75;29,75;2010;21;59960;29,8311
06/02/2023;31,90;31,90;29,20;29,50;29,50;7575;31;230008;30,3640
03/02/2023;29,00;29,75;28,85;29,40;29,40;7798;16;229509;29,4318
