"Historical Data"
"From 2021-11-08 to 2023-11-07"
DK0061412772
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;35,00;36,98;34,64;35,34;35,34;292924;241;10496756;35,8344
03/11/2023;35,00;36,36;35,00;35,48;35,48;131140;324;4677048;35,6645
02/11/2023;34,22;35,66;34,22;35,40;35,40;145326;326;5108555;35,1524
01/11/2023;35,10;35,80;33,28;35,10;35,10;569494;1023;19613031;34,4394
31/10/2023;34,40;35,92;34,40;35,38;35,38;210274;1309;7465445;35,5034
30/10/2023;35,62;35,92;34,46;35,00;35,00;201178;531;7048649;35,0369
27/10/2023;35,00;36,88;35,00;35,62;35,62;145411;421;5230116;35,9678
26/10/2023;34,40;36,24;34,40;35,42;35,42;176063;559;6212918;35,2880
25/10/2023;38,36;38,36;34,66;35,46;35,46;270802;598;9601279;35,4550
24/10/2023;34,22;36,46;34,22;36,10;36,10;658534;414;23384864;35,5105
23/10/2023;35,00;35,46;33,84;35,00;35,00;136803;319;4769526;34,8642
20/10/2023;35,80;37,16;35,00;35,50;35,50;337407;633;12033449;35,6645
19/10/2023;36,72;37,40;36,60;37,00;37,00;220613;330;8168893;37,0282
18/10/2023;35,90;37,36;35,44;37,20;37,20;278805;637;10243784;36,7418
17/10/2023;37,00;37,54;35,80;36,20;36,20;195050;1048;7125076;36,5295
16/10/2023;35,98;36,40;34,28;36,36;36,36;201920;410;7180413;35,5607
13/10/2023;36,14;36,40;35,80;36,00;36,00;241469;304;8695333;36,0101
12/10/2023;36,00;36,40;35,58;36,10;36,10;175051;330;6270205;35,8193
11/10/2023;35,58;36,50;35,16;36,28;36,28;181057;408;6555051;36,2044
10/10/2023;36,00;36,02;35,00;36,00;36,00;110338;374;3953477;35,8306
09/10/2023;34,90;35,54;34,90;35,30;35,30;45440;194;1600908;35,2313
06/10/2023;34,64;36,32;34,52;35,10;35,10;199987;375;7052297;35,2638
05/10/2023;34,50;36,26;34,16;36,00;36,00;272755;396;9729374;35,6707
04/10/2023;34,00;35,30;34,00;34,92;34,92;163581;425;5685725;34,7579
03/10/2023;34,88;35,42;33,68;35,36;35,36;130645;433;4557758;34,8866
02/10/2023;36,50;36,96;35,22;35,34;35,34;101434;364;3627003;35,7573
29/09/2023;36,68;37,88;36,30;36,42;36,42;151544;405;5583299;36,8428
28/09/2023;37,22;37,50;36,70;36,70;36,70;163403;289;6020179;36,8425
27/09/2023;37,92;38,00;37,12;37,86;37,86;80174;217;3019503;37,6619
26/09/2023;36,62;37,48;36,08;37,22;37,22;124883;386;4603540;36,8628
25/09/2023;37,36;37,50;36,46;36,84;36,84;133718;412;4921898;36,8080
22/09/2023;37,70;37,90;37,30;37,58;37,58;95276;304;3579032;37,5649
21/09/2023;38,60;38,60;37,64;37,86;37,86;73156;239;2780565;38,0087
20/09/2023;38,00;38,40;37,62;38,26;38,26;109754;311;4169270;37,9874
19/09/2023;37,00;38,50;37,00;38,30;38,30;63146;229;2409835;38,1629
18/09/2023;37,96;38,26;36,66;37,68;37,68;193074;577;7254915;37,5758
15/09/2023;39,20;39,48;36,82;37,96;37,96;484907;978;18351571;37,8455
14/09/2023;39,58;39,58;38,52;39,08;39,08;68064;279;2658464;39,0583
13/09/2023;38,74;39,10;38,00;38,30;38,30;166872;385;6400590;38,3563
12/09/2023;37,52;39,24;37,52;38,72;38,72;299354;631;11599609;38,7488
11/09/2023;37,40;39,50;37,28;37,82;37,82;251598;678;9610082;38,1962
08/09/2023;37,52;38,98;37,46;37,66;37,66;113992;323;4316256;37,8646
07/09/2023;39,00;39,00;37,80;37,84;37,84;107943;321;4118372;38,1532
06/09/2023;39,50;39,80;39,00;39,00;39,00;227144;469;8953557;39,4180
05/09/2023;39,50;40,14;39,50;39,76;39,76;82979;205;3298467;39,7506
04/09/2023;41,00;41,00;39,54;39,54;39,54;69497;246;2771014;39,8724
01/09/2023;39,98;40,60;39,50;40,50;40,50;137821;458;5526282;40,0975
31/08/2023;40,40;40,46;39,50;39,98;39,98;123757;362;4934233;39,8703
30/08/2023;42,30;42,30;39,80;40,34;40,34;235647;575;9598179;40,7312
29/08/2023;40,90;42,90;39,52;40,04;40,04;323655;819;13297815;41,0864
28/08/2023;38,42;39,38;37,40;39,30;39,30;171873;415;6591629;38,3517
25/08/2023;38,42;38,42;37,48;37,58;37,58;107232;256;4047159;37,7421
24/08/2023;38,00;38,40;37,50;37,64;37,64;74167;269;2800576;37,7604
23/08/2023;38,00;38,64;37,00;38,00;38,00;160369;386;6088916;37,9682
22/08/2023;37,82;38,12;37,12;37,70;37,70;157443;409;5952100;37,8048
21/08/2023;38,22;38,58;37,50;37,60;37,60;480694;345;18278014;38,0242
18/08/2023;38,64;39,44;37,96;38,22;38,22;138221;372;5325994;38,5324
17/08/2023;40,00;40,00;38,74;38,98;38,98;121852;386;4770036;39,1461
16/08/2023;39,70;40,16;39,32;40,10;40,10;68912;214;2747591;39,8710
15/08/2023;39,82;39,82;39,18;39,76;39,76;61925;236;2452167;39,5990
14/08/2023;39,50;39,80;39,14;39,80;39,80;107762;354;4272355;39,6462
11/08/2023;39,60;40,30;39,40;39,82;39,82;81478;362;3246461;39,8446
10/08/2023;39,20;40,10;38,80;39,60;39,60;98950;294;3918714;39,6030
09/08/2023;38,64;39,62;38,54;38,98;38,98;128929;510;5039480;39,0873
08/08/2023;39,32;39,32;38,48;38,90;38,90;194608;591;7560371;38,8492
07/08/2023;40,20;40,22;38,44;39,38;39,38;157968;563;6185090;39,1541
04/08/2023;41,00;41,00;38,94;40,32;40,32;146789;567;5834657;39,7486
03/08/2023;41,50;41,50;39,16;39,94;39,94;241037;1237;9593793;39,8022
02/08/2023;43,00;43,00;40,46;40,52;40,52;155644;465;6354467;40,8269
01/08/2023;43,00;43,00;41,80;42,26;42,26;84095;310;3559636;42,3288
31/07/2023;41,22;42,34;41,16;42,10;42,10;101905;281;4264379;41,8466
28/07/2023;42,36;42,50;41,28;41,30;41,30;111508;451;4631279;41,5332
27/07/2023;43,50;43,50;42,42;42,62;42,62;86214;360;3688875;42,7874
26/07/2023;43,86;44,26;43,02;43,26;43,26;112595;434;4893399;43,4602
25/07/2023;44,86;44,86;43,60;43,86;43,86;70848;307;3119687;44,0335
24/07/2023;45,12;45,72;44,44;45,16;45,16;113499;501;5111471;45,0354
21/07/2023;45,80;46,24;45,46;45,58;45,58;47352;259;2168652;45,7985
20/07/2023;45,50;46,40;45,50;46,00;46,00;187959;829;8655486;46,0499
19/07/2023;45,36;46,40;45,36;46,06;46,06;151367;493;6964149;46,0084
18/07/2023;46,50;46,72;45,80;45,82;45,82;119198;488;5492027;46,0748
17/07/2023;44,04;45,62;44,04;45,18;45,18;81559;267;3677463;45,0896
14/07/2023;46,00;46,78;44,68;44,94;44,94;113119;486;5113747;45,2068
13/07/2023;46,32;46,56;45,76;45,76;45,76;134778;521;6194215;45,9587
12/07/2023;46,60;47,50;46,00;46,20;46,20;165453;879;7698366;46,5290
11/07/2023;46,58;47,30;46,42;46,60;46,60;271474;664;12679182;46,7050
10/07/2023;46,18;46,54;45,98;46,44;46,44;120495;479;5584178;46,3436
07/07/2023;45,00;46,36;44,80;46,36;46,36;185057;461;8524859;46,0661
06/07/2023;45,20;45,72;45,00;45,00;45,00;215291;366;9778351;45,4192
05/07/2023;46,16;46,24;45,22;45,90;45,90;122499;350;5619310;45,8723
04/07/2023;45,56;46,08;45,00;45,84;45,84;106273;303;4865796;45,7858
03/07/2023;45,04;46,02;45,02;45,80;45,80;156943;351;7168730;45,6773
30/06/2023;45,50;45,62;44,50;44,90;44,90;313010;405;14075211;44,9673
29/06/2023;44,70;45,30;43,90;44,74;44,74;79160;309;3542006;44,7449
28/06/2023;43,00;44,76;43,00;44,00;44,00;166682;459;7362672;44,1720
27/06/2023;44,00;44,00;43,00;43,36;43,36;94467;340;4078527;43,1741
26/06/2023;43,44;43,56;42,80;43,00;43,00;348653;1248;15007215;43,0434
23/06/2023;43,50;43,72;42,52;42,90;42,90;279930;875;12018175;42,9328
22/06/2023;44,50;44,50;42,12;43,08;43,08;416212;1086;17972523;43,1812
21/06/2023;42,84;44,00;42,60;43,30;43,30;246932;783;10699925;43,3315
20/06/2023;45,20;45,56;42,66;43,66;43,66;523328;1854;22883582;43,7270
19/06/2023;46,08;46,98;45,16;45,56;45,56;178593;565;8204575;45,9401
16/06/2023;47,60;50,75;44,62;47,14;47,14;2127787;2645;100945569;47,4416
15/06/2023;48,80;48,80;47,42;47,68;47,68;29112;149;1389554;47,7313
14/06/2023;48,22;48,68;47,82;48,32;48,32;194937;210;9423215;48,3398
13/06/2023;47,02;47,86;46,80;47,68;47,68;52494;174;2481429;47,2707
12/06/2023;47,00;47,60;47,00;47,24;47,24;88132;292;4156405;47,1611
09/06/2023;47,76;47,76;46,66;47,20;47,20;89798;326;4232296;47,1313
08/06/2023;49,70;49,70;48,04;48,26;48,26;97757;267;4698711;48,0652
07/06/2023;49,80;49,80;48,02;48,92;48,92;46740;193;2280902;48,7998
06/06/2023;48,80;49,36;48,02;48,78;48,78;161129;250;7821553;48,5422
05/06/2023;50,00;50,00;48,12;48,52;48,52;45857;183;2238858;48,8226
02/06/2023;50,00;51,00;48,70;49,22;49,22;329210;453;16546862;50,2623
01/06/2023;50,20;50,30;49,60;49,92;49,92;235341;299;11732499;49,8532
31/05/2023;49,20;50,15;48,98;49,94;49,94;220040;472;10962898;49,8223
30/05/2023;51,00;51,00;48,86;49,02;49,02;77994;323;3880915;49,7591
29/05/2023;0,00;0,00;0,00;0,00;49,00;0;0;0;0,0000
26/05/2023;49,86;50,20;48,72;49,00;49,00;99683;337;4949288;49,6503
25/05/2023;49,20;49,60;48,22;49,56;49,56;119461;353;5898487;49,3758
24/05/2023;48,32;49,70;47,50;48,90;48,90;146120;370;7105320;48,6266
23/05/2023;48,00;48,98;46,82;48,32;48,32;70219;211;3389040;48,2639
22/05/2023;47,64;48,48;46,44;47,38;47,38;68524;248;3225730;47,0745
19/05/2023;49,04;49,50;47,00;47,40;47,40;336108;355;15281145;45,4650
18/05/2023;0,00;0,00;0,00;0,00;48,74;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;48,74;0;0;0;0,0000
16/05/2023;47,52;49,00;46,82;48,74;48,74;133387;439;6481472;48,5915
15/05/2023;46,74;47,16;45,62;47,14;47,14;274243;210;12745738;46,4761
12/05/2023;45,10;46,48;44,74;46,06;46,06;46645;211;2139320;45,8639
11/05/2023;45,60;46,98;44,94;45,00;45,00;209461;327;9450224;45,1169
10/05/2023;45,78;46,08;45,10;45,54;45,54;51223;251;2336962;45,6233
09/05/2023;46,34;46,36;45,06;45,78;45,78;115863;385;5288593;45,6452
08/05/2023;48,00;48,00;46,00;46,24;46,24;62665;279;2936619;46,8622
05/05/2023;46,82;48,12;46,82;47,70;47,70;71954;347;3433522;47,7183
04/05/2023;47,30;47,90;46,80;46,82;46,82;91181;358;4302122;47,1822
03/05/2023;48,16;48,16;46,54;47,38;47,38;364135;514;17188360;47,2033
02/05/2023;48,48;48,78;47,00;47,50;47,50;375798;805;18010335;47,9256
28/04/2023;47,50;47,80;46,42;46,44;46,44;88519;309;4144358;46,8189
27/04/2023;45,92;47,58;45,86;47,48;47,48;178410;358;8383681;46,9911
26/04/2023;46,02;46,72;45,16;45,16;45,16;144563;456;6601170;45,6629
25/04/2023;44,46;45,94;44,24;45,64;45,64;349357;923;15847159;45,3609
24/04/2023;44,00;44,64;43,50;44,34;44,34;114121;471;5035603;44,1251
21/04/2023;42,54;43,86;42,54;43,82;43,82;47202;252;2056503;43,5681
20/04/2023;43,74;44,24;42,74;43,40;43,40;64845;275;2810495;43,3417
19/04/2023;44,78;44,92;43,26;43,66;43,66;89377;306;3911631;43,7655
18/04/2023;44,58;45,68;44,26;44,70;44,70;243595;683;10939665;44,9092
17/04/2023;42,54;44,84;42,40;44,32;44,32;275000;681;11978162;43,5570
14/04/2023;41,50;41,58;41,16;41,40;41,40;86757;306;3590300;41,3834
13/04/2023;41,96;42,40;41,40;41,68;41,68;83306;298;3478231;41,7525
12/04/2023;41,90;43,36;41,90;41,96;41,96;78622;313;3324197;42,2807
11/04/2023;43,44;43,84;41,60;42,24;42,24;98159;410;4177336;42,5568
06/04/2023;0,00;0,00;0,00;0,00;43,10;0;0;0;0,0000
05/04/2023;43,42;43,42;42,48;43,10;43,10;70875;266;3048274;43,0092
04/04/2023;42,42;43,20;42,42;42,72;42,72;130682;293;5591109;42,7841
03/04/2023;42,22;42,98;42,00;42,42;42,42;157117;424;6679021;42,5099
31/03/2023;41,76;42,48;40,80;42,48;42,48;194904;531;8196072;42,0518
30/03/2023;41,86;42,38;40,22;41,08;41,08;213555;634;8785181;41,1378
29/03/2023;40,12;40,96;39,24;40,96;40,96;423910;978;17098534;40,3353
28/03/2023;42,62;43,02;38,16;39,24;39,24;373650;996;14777688;39,5495
27/03/2023;42,64;45,04;42,08;42,56;42,56;98429;257;4196158;42,6313
24/03/2023;43,60;43,60;41,24;41,74;41,74;103871;359;4362495;41,9992
23/03/2023;43,00;44,12;43,00;43,64;43,64;51550;213;2248537;43,6186
22/03/2023;42,98;44,14;42,52;43,06;43,06;58484;242;2515474;43,0113
21/03/2023;44,00;44,60;42,92;42,98;42,98;106551;300;4635385;43,5039
20/03/2023;44,60;44,60;42,20;43,44;43,44;290320;437;12440656;42,8515
17/03/2023;44,00;45,70;44,00;44,60;44,60;620003;477;27687253;44,6566
16/03/2023;43,90;44,50;43,02;43,94;43,94;186881;430;8117364;43,4360
15/03/2023;46,00;46,04;43,82;43,90;43,90;126397;495;5607920;44,3675
14/03/2023;43,50;45,64;43,02;45,28;45,28;81235;387;3654408;44,9856
13/03/2023;45,64;45,80;43,58;43,88;43,88;161544;532;7162818;44,3397
10/03/2023;46,46;46,46;45,30;45,62;45,62;158887;512;7257089;45,6745
09/03/2023;48,00;48,00;46,34;46,52;46,52;248078;752;11599938;46,7592
08/03/2023;47,72;48,40;47,38;47,50;47,50;129675;464;6176028;47,6270
07/03/2023;48,36;48,36;46,98;47,80;47,80;103944;380;4946541;47,5885
06/03/2023;48,18;48,90;47,18;47,18;47,18;125331;442;5952650;47,4954
03/03/2023;47,80;48,98;47,30;48,18;48,18;128564;454;6233263;48,4837
02/03/2023;47,88;48,84;47,30;47,30;47,30;521966;444;24801094;47,5148
01/03/2023;46,94;48,34;46,90;48,16;48,16;196450;702;9425397;47,9786
28/02/2023;46,38;47,00;45,84;46,94;46,94;893556;775;41886147;46,8758
27/02/2023;46,60;46,94;45,80;46,34;46,34;111321;734;5159343;46,3465
24/02/2023;47,00;47,96;46,50;46,74;46,74;95003;473;4468168;47,0319
23/02/2023;47,30;48,14;47,30;47,50;47,50;84211;368;4012693;47,6505
22/02/2023;46,02;47,38;45,96;47,30;47,30;129487;552;6065538;46,8428
21/02/2023;46,20;47,26;45,88;46,50;46,50;207550;731;9618358;46,3424
