"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010078850
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;14,50;14,50;14,00;14,40;14,40;78321;48;1107690;14,1429
03/11/2023;14,20;14,40;13,95;14,20;14,20;65245;54;918120;14,0719
02/11/2023;14,75;14,75;14,10;14,30;14,30;113446;110;1641722;14,4714
01/11/2023;14,80;15,00;13,75;14,15;14,15;271366;235;3934003;14,4970
31/10/2023;13,70;13,70;13,00;13,70;13,70;28252;21;369359;13,0737
30/10/2023;14,00;14,00;13,00;13,20;13,20;5375;16;70924;13,1952
27/10/2023;13,05;14,10;13,05;13,05;13,05;26419;30;346483;13,1149
26/10/2023;14,20;14,20;13,05;13,30;13,30;13214;19;174927;13,2380
25/10/2023;14,20;14,20;13,25;13,65;13,65;1881;8;25874;13,7555
24/10/2023;13,10;14,35;13,10;13,70;13,70;15069;26;202236;13,4207
23/10/2023;13,05;13,55;13,05;13,10;13,10;6959;16;91883;13,2035
20/10/2023;14,35;14,35;13,10;13,55;13,55;30509;34;406382;13,3201
19/10/2023;13,10;13,95;13,10;13,60;13,60;6602;18;88400;13,3899
18/10/2023;14,00;14,00;13,20;13,20;13,20;15021;39;203622;13,5558
17/10/2023;13,05;13,75;13,05;13,70;13,70;40075;62;537311;13,4076
16/10/2023;14,20;14,85;13,00;13,00;13,00;16050;29;219494;13,6756
13/10/2023;13,40;13,40;13,20;13,40;13,40;6511;10;86384;13,2674
12/10/2023;13,45;13,45;12,95;13,45;13,45;4827;23;63820;13,2215
11/10/2023;13,10;13,45;12,95;13,45;13,45;8212;18;107200;13,0541
10/10/2023;13,25;13,30;12,90;13,15;13,15;5950;15;78672;13,2223
09/10/2023;13,45;13,45;12,65;13,25;13,25;3817;11;49864;13,0637
06/10/2023;13,30;13,50;12,65;13,45;13,45;15820;30;207481;13,1151
05/10/2023;13,20;13,45;13,00;13,05;13,05;19250;32;253339;13,1605
04/10/2023;14,00;14,00;13,20;13,20;13,20;8410;13;114507;13,6156
03/10/2023;13,90;14,15;13,30;13,95;13,95;31514;42;431271;13,6851
02/10/2023;15,00;15,00;13,45;13,45;13,45;30629;33;422321;13,7883
29/09/2023;13,30;14,90;13,30;14,15;14,15;113792;103;1616389;14,2048
28/09/2023;13,30;13,75;13,30;13,70;13,70;21287;15;286694;13,4680
27/09/2023;13,00;14,40;12,85;13,30;13,30;83272;122;1135377;13,6346
26/09/2023;13,00;13,40;12,85;13,15;13,15;45589;74;600413;13,1701
25/09/2023;14,15;14,15;12,55;13,45;13,45;107892;88;1401841;12,9930
22/09/2023;13,50;13,85;13,15;13,20;13,20;48640;42;646377;13,2890
21/09/2023;13,65;14,50;13,30;13,50;13,50;83567;71;1130070;13,5229
20/09/2023;13,95;14,50;13,55;14,20;14,20;38849;37;543773;13,9971
19/09/2023;14,15;14,15;13,60;13,95;13,95;20059;25;276545;13,7866
18/09/2023;13,50;14,05;13,50;13,70;13,70;35976;40;499660;13,8887
15/09/2023;14,50;14,50;13,75;14,20;14,20;41031;42;580263;14,1421
14/09/2023;14,40;14,70;14,00;14,50;14,50;42609;58;609802;14,3116
13/09/2023;13,85;14,10;13,15;13,80;13,80;19928;27;274724;13,7858
12/09/2023;13,50;14,15;13,00;13,85;13,85;15241;24;207552;13,6180
11/09/2023;14,15;14,50;13,60;14,05;14,05;9193;20;130616;14,2082
08/09/2023;13,70;14,30;13,70;13,90;13,90;12650;17;178320;14,0964
