"Historical Data"
"From 2021-11-08 to 2023-11-07"
AU000000CSS3
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,00;0,00;0,00;0,00;2,70;0;0;0;0,0000
03/11/2023;0,00;0,00;0,00;0,00;2,70;0;0;0;0,0000
02/11/2023;2,70;2,70;2,70;2,70;2,70;200;2;540;2,7000
01/11/2023;2,70;2,70;2,70;2,70;2,70;100;1;270;2,7000
31/10/2023;0,00;0,00;0,00;0,00;2,70;0;0;0;0,0000
30/10/2023;0,00;0,00;0,00;0,00;2,70;0;0;0;0,0000
27/10/2023;2,70;2,70;2,70;2,70;2,70;55;1;149;2,7000
26/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
25/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
24/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
23/10/2023;0,00;0,00;0,00;0,00;2,60;0;0;0;0,0000
20/10/2023;2,51;2,60;2,51;2,60;2,60;659;2;1659;2,5181
19/10/2023;0,00;0,00;0,00;0,00;2,62;0;0;0;0,0000
18/10/2023;0,00;0,00;0,00;0,00;2,62;0;0;0;0,0000
17/10/2023;2,62;2,62;2,62;2,62;2,62;1;1;3;2,6200
16/10/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
13/10/2023;3,01;3,01;3,00;3,00;3,00;6260;2;18823;3,0068
12/10/2023;0,00;0,00;0,00;0,00;2,69;0;0;0;0,0000
11/10/2023;0,00;0,00;0,00;0,00;2,69;0;0;0;0,0000
10/10/2023;0,00;0,00;0,00;0,00;2,69;0;0;0;0,0000
09/10/2023;2,69;2,69;2,69;2,69;2,69;532;1;1431;2,6900
06/10/2023;0,00;0,00;0,00;0,00;3,45;0;0;0;0,0000
05/10/2023;0,00;0,00;0,00;0,00;3,45;0;0;0;0,0000
04/10/2023;0,00;0,00;0,00;0,00;3,45;0;0;0;0,0000
03/10/2023;0,00;0,00;0,00;0,00;3,45;0;0;0;0,0000
02/10/2023;0,00;0,00;0,00;0,00;3,45;0;0;0;0,0000
29/09/2023;3,45;3,45;3,45;3,45;3,45;5;1;17;3,4500
28/09/2023;3,16;3,50;3,16;3,50;3,50;1111;3;3851;3,4660
27/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
26/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
25/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
22/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
21/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
20/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
19/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
18/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
15/09/2023;0,00;0,00;0,00;0,00;3,80;0;0;0;0,0000
14/09/2023;3,80;3,80;3,80;3,80;3,80;1000;1;3800;3,8000
13/09/2023;0,00;0,00;0,00;0,00;3,84;0;0;0;0,0000
12/09/2023;0,00;0,00;0,00;0,00;3,84;0;0;0;0,0000
11/09/2023;0,00;0,00;0,00;0,00;3,84;0;0;0;0,0000
08/09/2023;3,84;3,84;3,84;3,84;3,84;5490;1;21082;3,8400
07/09/2023;0,00;0,00;0,00;0,00;3,85;0;0;0;0,0000
06/09/2023;3,85;3,85;3,85;3,85;3,85;1350;2;5198;3,8500
05/09/2023;3,08;3,83;3,08;3,83;3,83;6925;2;21704;3,1342
04/09/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
01/09/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
31/08/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
30/08/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
29/08/2023;3,00;3,00;3,00;3,00;3,00;1;1;3;3,0000
28/08/2023;0,00;0,00;0,00;0,00;3,00;0;0;0;0,0000
