"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010895667
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,604;0,604;0,604;0,604;0,604;51068;7;30845;0,6040
03/11/2023;0,688;0,688;0,552;0,614;0,614;319046;33;187179;0,5867
02/11/2023;0,644;0,644;0,60;0,624;0,624;35681;8;22956;0,6434
01/11/2023;0,70;0,70;0,64;0,644;0,644;188102;15;121865;0,6479
31/10/2023;0,72;0,72;0,666;0,698;0,698;57504;10;39286;0,6832
30/10/2023;0,65;0,698;0,65;0,698;0,698;72540;8;50032;0,6897
27/10/2023;0,67;0,72;0,67;0,72;0,72;12600;3;8455;0,6710
26/10/2023;0,612;0,67;0,60;0,67;0,67;56700;7;35405;0,6244
25/10/2023;0,68;0,68;0,68;0,68;0,68;3000;2;2040;0,6800
24/10/2023;0,748;0,748;0,70;0,714;0,714;126773;9;88948;0,7016
23/10/2023;0,748;0,748;0,662;0,718;0,718;100592;11;71684;0,7126
20/10/2023;0,72;0,76;0,70;0,748;0,748;191333;15;140594;0,7348
19/10/2023;0,65;0,72;0,65;0,72;0,72;2037052;45;1338624;0,6571
18/10/2023;0,75;0,75;0,75;0,75;0,75;6305;5;4729;0,7500
17/10/2023;0,686;0,75;0,65;0,75;0,75;116758;15;79722;0,6828
16/10/2023;0,67;0,718;0,67;0,718;0,718;109955;14;74934;0,6815
13/10/2023;0,75;0,75;0,698;0,72;0,72;235803;19;167025;0,7083
12/10/2023;0,73;0,788;0,672;0,712;0,712;2171437;84;1553526;0,7154
11/10/2023;0,72;0,896;0,68;0,71;0,71;3993346;208;3082817;0,7720
10/10/2023;0,688;0,688;0,598;0,65;0,65;486916;16;306135;0,6287
09/10/2023;0,55;0,69;0,50;0,69;0,69;27051;9;14922;0,5516
06/10/2023;0,582;0,582;0,55;0,574;0,574;950;3;533;0,5609
05/10/2023;0,58;0,60;0,58;0,60;0,60;2079;3;1241;0,5971
04/10/2023;0,55;0,60;0,55;0,60;0,60;25904;7;15475;0,5974
03/10/2023;0,60;0,60;0,552;0,598;0,598;8256;6;4765;0,5772
02/10/2023;0,59;0,638;0,55;0,62;0,62;580347;33;353263;0,6087
29/09/2023;0,532;0,59;0,514;0,59;0,59;11154;6;6110;0,5478
28/09/2023;0,58;0,58;0,57;0,57;0,57;195227;11;113060;0,5791
27/09/2023;0,52;0,59;0,52;0,566;0,566;242644;18;134959;0,5562
26/09/2023;0,60;0,60;0,482;0,56;0,56;36605;12;20375;0,5566
25/09/2023;0,60;0,60;0,55;0,60;0,60;199408;18;117753;0,5905
22/09/2023;0,634;0,634;0,558;0,60;0,60;632551;24;379420;0,5998
21/09/2023;0,524;0,634;0,524;0,63;0,63;91212;25;54853;0,6014
20/09/2023;0,491;0,62;0,491;0,60;0,60;1471430;47;845705;0,5748
19/09/2023;0,50;0,53;0,49;0,52;0,52;186953;30;93546;0,5004
18/09/2023;0,58;0,58;0,50;0,53;0,53;371184;27;197200;0,5313
15/09/2023;0,50;0,624;0,498;0,584;0,584;1898234;93;990225;0,5217
14/09/2023;0,47;0,499;0,47;0,499;0,499;97981;9;48738;0,4974
13/09/2023;0,462;0,50;0,462;0,48;0,48;523777;8;251408;0,4800
12/09/2023;0,508;0,508;0,456;0,462;0,462;77345;16;35575;0,4600
11/09/2023;0,43;0,49;0,43;0,49;0,49;165608;13;79079;0,4775
08/09/2023;0,516;0,516;0,462;0,463;0,463;7131;3;3319;0,4654
07/09/2023;0,50;0,51;0,50;0,51;0,51;258204;12;129129;0,5001
06/09/2023;0,516;0,516;0,50;0,51;0,51;1120722;23;560597;0,5002
05/09/2023;0,52;0,52;0,45;0,495;0,495;611307;26;302425;0,4947
04/09/2023;0,471;0,48;0,43;0,48;0,48;1604264;33;721312;0,4496
01/09/2023;0,475;0,475;0,419;0,432;0,432;21773;10;9530;0,4377
31/08/2023;0,43;0,43;0,42;0,42;0,42;222777;10;94192;0,4228
30/08/2023;0,542;0,542;0,42;0,445;0,445;5702938;52;2541582;0,4457
29/08/2023;0,42;0,542;0,40;0,542;0,542;6041095;35;2537487;0,4200
28/08/2023;0,55;0,55;0,383;0,44;0,44;68075;12;29471;0,4329
25/08/2023;0,344;0,50;0,344;0,44;0,44;315899;29;138394;0,4381
24/08/2023;0,41;0,428;0,409;0,428;0,428;20191;4;8407;0,4164
23/08/2023;0,401;0,429;0,40;0,429;0,429;638836;11;256041;0,4008
22/08/2023;0,43;0,43;0,40;0,42;0,42;21209;9;8887;0,4190
21/08/2023;0,311;0,40;0,311;0,40;0,40;420916;19;168083;0,3993
18/08/2023;0,39;0,40;0,365;0,40;0,40;575579;19;219805;0,3819
17/08/2023;0,372;0,389;0,372;0,38;0,38;247966;16;94331;0,3804
16/08/2023;0,373;0,389;0,37;0,389;0,389;403271;16;150019;0,3720
15/08/2023;0,381;0,399;0,374;0,399;0,399;149999;5;58360;0,3891
14/08/2023;0,391;0,399;0,39;0,399;0,399;101412;9;39711;0,3916
11/08/2023;0,40;0,40;0,399;0,40;0,40;6990;4;2793;0,3996
10/08/2023;0,393;0,396;0,382;0,382;0,382;16080;3;6333;0,3939
09/08/2023;0,386;0,40;0,386;0,40;0,40;34631;10;13505;0,3900
08/08/2023;0,388;0,40;0,388;0,388;0,388;34569;5;13416;0,3881
07/08/2023;0,40;0,40;0,40;0,40;0,40;100;1;40;0,4000
04/08/2023;0,405;0,405;0,388;0,40;0,40;9100;4;3640;0,4000
03/08/2023;0,393;0,403;0,393;0,398;0,398;48758;8;19218;0,3942
02/08/2023;0,40;0,40;0,39;0,39;0,39;304411;14;118764;0,3901
01/08/2023;0,40;0,40;0,391;0,40;0,40;38204;8;15142;0,3963
31/07/2023;0,41;0,41;0,388;0,40;0,40;552932;14;217154;0,3927
28/07/2023;0,413;0,413;0,396;0,405;0,405;58045;5;23486;0,4046
27/07/2023;0,42;0,42;0,392;0,403;0,403;249130;15;101954;0,4092
26/07/2023;0,399;0,399;0,395;0,395;0,395;12397;2;4937;0,3983
25/07/2023;0,395;0,40;0,392;0,40;0,40;474464;6;186370;0,3928
24/07/2023;0,392;0,397;0,391;0,391;0,391;425300;12;166797;0,3922
21/07/2023;0,40;0,41;0,398;0,398;0,398;369323;19;147105;0,3983
20/07/2023;0,394;0,417;0,39;0,417;0,417;1453253;26;582329;0,4007
19/07/2023;0,384;0,392;0,384;0,392;0,392;2478;2;957;0,3863
18/07/2023;0,375;0,417;0,375;0,417;0,417;614087;21;237550;0,3868
17/07/2023;0,395;0,395;0,372;0,394;0,394;413484;15;156701;0,3790
14/07/2023;0,396;0,409;0,388;0,399;0,399;417313;15;162637;0,3897
13/07/2023;0,41;0,41;0,41;0,41;0,41;2700;1;1107;0,4100
12/07/2023;0,396;0,417;0,396;0,411;0,411;118625;6;47411;0,3997
11/07/2023;0,378;0,414;0,378;0,412;0,412;82126;10;32995;0,4018
10/07/2023;0,377;0,42;0,377;0,42;0,42;29778;7;11835;0,3974
07/07/2023;0,382;0,419;0,382;0,419;0,419;978;4;377;0,3854
06/07/2023;0,389;0,42;0,388;0,42;0,42;14467;8;5688;0,3932
05/07/2023;0,39;0,42;0,39;0,42;0,42;14606;6;5831;0,3992
04/07/2023;0,38;0,42;0,379;0,42;0,42;933603;29;373169;0,3997
03/07/2023;0,40;0,436;0,37;0,436;0,436;1293010;41;526367;0,4071
30/06/2023;0,381;0,40;0,38;0,40;0,40;224067;10;85510;0,3816
29/06/2023;0,37;0,399;0,354;0,399;0,399;141952;9;52808;0,3720
28/06/2023;0,355;0,386;0,35;0,386;0,386;75216;8;27929;0,3713
27/06/2023;0,39;0,399;0,375;0,399;0,399;27803;8;10613;0,3817
26/06/2023;0,42;0,42;0,384;0,39;0,39;330334;14;128790;0,3899
23/06/2023;0,41;0,41;0,38;0,408;0,408;344478;17;134292;0,3898
22/06/2023;0,426;0,426;0,382;0,419;0,419;135387;11;55565;0,4104
21/06/2023;0,427;0,427;0,391;0,419;0,419;257598;21;102295;0,3971
20/06/2023;0,427;0,427;0,38;0,421;0,421;283520;24;109172;0,3851
19/06/2023;0,411;0,424;0,394;0,419;0,419;479538;22;192836;0,4021
16/06/2023;0,425;0,449;0,411;0,449;0,449;286531;21;118397;0,4132
15/06/2023;0,422;0,45;0,40;0,45;0,45;978563;26;402383;0,4112
14/06/2023;0,402;0,436;0,402;0,433;0,433;34805;12;14682;0,4218
13/06/2023;0,446;0,446;0,425;0,443;0,443;892594;19;384462;0,4307
12/06/2023;0,446;0,446;0,415;0,415;0,415;143921;18;62125;0,4317
09/06/2023;0,40;0,446;0,40;0,446;0,446;102748;25;44538;0,4335
08/06/2023;0,455;0,455;0,42;0,449;0,449;188921;20;83473;0,4418
07/06/2023;0,40;0,448;0,40;0,444;0,444;985495;35;417765;0,4239
06/06/2023;0,414;0,445;0,414;0,42;0,42;873730;29;375996;0,4303
05/06/2023;0,47;0,478;0,44;0,45;0,45;412149;22;184424;0,4475
02/06/2023;0,46;0,48;0,46;0,475;0,475;56162;10;26195;0,4664
01/06/2023;0,42;0,46;0,42;0,45;0,45;959202;44;430683;0,4490
31/05/2023;0,464;0,489;0,402;0,439;0,439;1375532;81;610676;0,4440
30/05/2023;0,50;0,512;0,468;0,472;0,472;1366547;60;661081;0,4838
29/05/2023;0,00;0,00;0,00;0,00;0,50;0;0;0;0,0000
26/05/2023;0,55;0,55;0,483;0,50;0,50;2298897;105;1163372;0,5061
25/05/2023;0,612;0,64;0,526;0,544;0,544;3003825;197;1674941;0,5576
24/05/2023;0,66;0,728;0,64;0,64;0,64;360597;43;237820;0,6595
23/05/2023;0,702;0,748;0,664;0,682;0,682;349706;42;243386;0,6960
22/05/2023;0,73;0,73;0,658;0,684;0,684;346031;43;244888;0,7077
19/05/2023;0,648;0,758;0,642;0,712;0,712;4813317;220;3364702;0,6990
18/05/2023;0,00;0,00;0,00;0,00;0,63;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;0,63;0;0;0;0,0000
16/05/2023;0,576;0,664;0,57;0,63;0,63;4959151;231;3047469;0,6145
15/05/2023;0,546;0,582;0,53;0,576;0,576;4062111;115;2253488;0,5548
12/05/2023;0,514;0,564;0,514;0,54;0,54;730200;57;386421;0,5292
11/05/2023;0,528;0,528;0,514;0,52;0,52;644344;39;334289;0,5188
10/05/2023;0,54;0,54;0,52;0,528;0,528;1067878;37;560056;0,5245
09/05/2023;0,512;0,53;0,512;0,52;0,52;1287651;42;668978;0,5195
08/05/2023;0,526;0,546;0,51;0,52;0,52;1333092;55;699263;0,5245
05/05/2023;0,542;0,548;0,52;0,54;0,54;840917;42;451960;0,5375
04/05/2023;0,54;0,55;0,522;0,538;0,538;537845;34;285833;0,5314
03/05/2023;0,53;0,558;0,502;0,54;0,54;17599096;173;8887467;0,5050
02/05/2023;0,51;0,55;0,49;0,53;0,53;6846836;338;3577160;0,5225
28/04/2023;2,94;2,95;2,90;2,93;2,93;1136415;144;3323029;2,9241
27/04/2023;2,89;2,95;2,88;2,92;2,92;766565;110;2227758;2,9062
26/04/2023;2,88;2,88;2,84;2,87;2,87;486521;79;1393102;2,8634
25/04/2023;2,89;2,89;2,83;2,85;2,85;416340;93;1186849;2,8507
24/04/2023;2,86;2,89;2,84;2,86;2,86;1019177;172;2917721;2,8628
21/04/2023;2,85;2,92;2,80;2,81;2,81;2398682;189;6826799;2,8461
20/04/2023;2,62;2,88;2,62;2,85;2,85;2149000;164;6001613;2,7927
19/04/2023;2,61;2,66;2,61;2,62;2,62;451196;52;1183834;2,6238
18/04/2023;2,62;2,68;2,62;2,66;2,66;314969;59;835456;2,6525
17/04/2023;2,64;2,68;2,63;2,65;2,65;198779;40;527524;2,6538
14/04/2023;2,58;2,70;2,55;2,61;2,61;1046356;110;2776517;2,6535
13/04/2023;2,56;2,60;2,53;2,60;2,60;469449;74;1209383;2,5762
12/04/2023;2,58;2,64;2,54;2,55;2,55;2559467;240;6622105;2,5873
11/04/2023;2,45;2,49;2,45;2,47;2,47;611074;33;1504856;2,4626
06/04/2023;0,00;0,00;0,00;0,00;2,45;0;0;0;0,0000
05/04/2023;2,40;2,45;2,40;2,45;2,45;154532;22;377907;2,4455
04/04/2023;2,49;2,49;2,41;2,43;2,43;548519;51;1330036;2,4248
03/04/2023;2,43;2,47;2,42;2,46;2,46;375359;50;917132;2,4433
31/03/2023;2,46;2,475;2,45;2,45;2,45;224668;40;553450;2,4634
30/03/2023;2,495;2,50;2,46;2,465;2,465;79541;35;197817;2,4870
29/03/2023;2,46;2,52;2,455;2,52;2,52;358213;39;897900;2,5066
28/03/2023;2,46;2,52;2,455;2,475;2,475;217179;36;541312;2,4925
27/03/2023;2,495;2,495;2,42;2,46;2,46;335233;59;820567;2,4478
24/03/2023;2,485;2,485;2,41;2,465;2,465;787630;117;1921738;2,4399
23/03/2023;2,32;2,655;2,31;2,50;2,50;4910986;558;12417639;2,5285
22/03/2023;2,21;2,285;2,21;2,255;2,255;525722;78;1180558;2,2456
21/03/2023;2,245;2,315;2,225;2,25;2,25;1503095;113;3386068;2,2527
20/03/2023;2,30;2,30;2,24;2,25;2,25;1139427;100;2584283;2,2681
17/03/2023;2,34;2,37;2,32;2,325;2,325;1924434;130;4497532;2,3371
16/03/2023;2,335;2,40;2,28;2,315;2,315;1185611;235;2760361;2,3282
15/03/2023;2,40;2,435;2,33;2,355;2,355;1905913;195;4505622;2,3640
14/03/2023;2,38;2,415;2,35;2,415;2,415;907430;91;2161278;2,3818
13/03/2023;2,44;2,44;2,30;2,355;2,355;1424505;188;3358621;2,3577
10/03/2023;2,32;2,425;2,32;2,40;2,40;1165635;157;2762895;2,3703
09/03/2023;2,385;2,43;2,36;2,37;2,37;1050210;138;2508661;2,3887
08/03/2023;2,38;2,445;2,26;2,38;2,38;3184185;607;8918550;2,8009
07/03/2023;2,39;2,46;2,315;2,355;2,355;4478054;894;10699798;2,3894
06/03/2023;2,56;2,675;2,30;2,395;2,395;15601530;2059;37987337;2,4348
03/03/2023;1,168;1,168;1,11;1,138;1,138;85114;8;97981;1,1512
02/03/2023;1,142;1,142;1,10;1,122;1,122;207178;22;228896;1,1048
01/03/2023;1,20;1,226;1,05;1,142;1,142;512871;78;580950;1,1327
28/02/2023;1,298;1,30;1,162;1,298;1,298;310809;68;400163;1,2875
27/02/2023;1,30;1,398;1,29;1,29;1,29;445998;56;601885;1,3495
24/02/2023;1,28;1,398;1,216;1,30;1,30;150978;38;195457;1,2946
23/02/2023;1,156;1,292;1,156;1,278;1,278;115860;13;147093;1,2696
22/02/2023;1,20;1,20;1,176;1,176;1,176;10388;2;12456;1,1991
21/02/2023;1,272;1,272;1,12;1,218;1,218;118496;28;140946;1,1895
20/02/2023;1,22;1,22;1,102;1,17;1,17;81002;23;95701;1,1815
17/02/2023;1,182;1,22;1,13;1,17;1,17;161934;29;187591;1,1584
16/02/2023;1,26;1,26;1,18;1,182;1,182;155312;38;185469;1,1942
15/02/2023;1,02;1,23;1,02;1,20;1,20;713282;60;854656;1,1982
14/02/2023;1,222;1,23;1,22;1,22;1,22;130000;29;158778;1,2214
13/02/2023;1,22;1,274;1,22;1,22;1,22;228291;43;281958;1,2351
10/02/2023;1,22;1,41;1,20;1,23;1,23;253157;53;318660;1,2587
09/02/2023;1,20;1,25;1,20;1,22;1,22;128533;28;157140;1,2226
08/02/2023;1,20;1,304;1,20;1,24;1,24;212665;81;262644;1,2350
07/02/2023;1,28;1,30;1,20;1,20;1,20;110319;16;134504;1,2192
06/02/2023;1,31;1,32;1,202;1,28;1,28;238073;52;305061;1,2814
03/02/2023;1,31;1,37;1,31;1,32;1,32;120772;33;160942;1,3326
02/02/2023;1,40;1,40;1,312;1,32;1,32;294469;41;401785;1,3644
01/02/2023;1,31;1,478;1,31;1,34;1,34;66397;15;89196;1,3434
31/01/2023;1,35;1,394;1,35;1,372;1,372;5330;5;7348;1,3786
30/01/2023;1,388;1,388;1,358;1,358;1,358;24935;6;34084;1,3669
27/01/2023;1,364;1,418;1,364;1,40;1,40;28369;8;39652;1,3977
26/01/2023;1,486;1,486;1,31;1,45;1,45;127000;14;169629;1,3357
25/01/2023;1,352;1,42;1,35;1,42;1,42;192711;16;269714;1,3996
24/01/2023;1,40;1,45;1,40;1,40;1,40;248038;10;708244;2,8554
23/01/2023;1,392;1,52;1,39;1,516;1,516;123340;14;181005;1,4675
