"Historical Data"
"From 2021-11-08 to 2023-11-07"
SE0014731154
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;7,30;7,48;7,28;7,30;7,30;13939;19;102494;7,3530
03/11/2023;7,58;7,58;7,22;7,22;7,22;2938;7;22170;7,5461
02/11/2023;7,22;7,26;7,06;7,18;7,18;8146;13;58198;7,1444
01/11/2023;7,06;7,38;7,06;7,10;7,10;37066;20;267013;7,2037
31/10/2023;7,02;7,08;7,00;7,08;7,08;12970;9;91448;7,0508
30/10/2023;7,16;7,26;7,00;7,00;7,00;62240;42;438291;7,0419
27/10/2023;7,42;7,78;7,30;7,30;7,30;16159;22;119716;7,4086
26/10/2023;7,80;7,94;7,48;7,54;7,54;17487;18;133215;7,6180
25/10/2023;7,72;7,72;7,64;7,66;7,66;20024;11;153297;7,6557
24/10/2023;8,00;8,00;7,76;7,76;7,76;12806;9;100500;7,8479
23/10/2023;7,98;8,00;7,50;7,60;7,60;48304;30;373121;7,7244
20/10/2023;7,30;7,90;7,12;7,90;7,90;49221;35;370075;7,5186
19/10/2023;7,16;7,28;7,08;7,28;7,28;19460;10;138870;7,1362
18/10/2023;7,00;7,30;7,00;7,30;7,30;21029;10;151628;7,2104
17/10/2023;7,16;7,16;6,92;7,08;7,08;21503;19;151989;7,0683
16/10/2023;6,94;7,38;6,94;7,20;7,20;45224;34;327809;7,2486
13/10/2023;6,68;7,02;6,68;7,02;7,02;48524;41;333752;6,8781
12/10/2023;6,60;6,66;6,40;6,60;6,60;26059;30;169587;6,5078
11/10/2023;6,58;6,58;6,46;6,50;6,50;14474;18;94307;6,5156
10/10/2023;6,76;6,76;6,48;6,48;6,48;70080;43;465559;6,6432
09/10/2023;7,02;7,02;6,72;6,72;6,72;155217;37;1058475;6,8193
06/10/2023;7,18;7,18;7,16;7,16;7,16;756;2;5428;7,1798
05/10/2023;7,20;7,20;7,08;7,20;7,20;16915;13;119994;7,0940
04/10/2023;7,04;7,20;6,82;7,20;7,20;58799;33;409954;6,9721
03/10/2023;7,02;7,18;6,82;7,18;7,18;47330;26;327257;6,9144
02/10/2023;7,04;7,26;7,04;7,22;7,22;11406;14;80680;7,0735
29/09/2023;7,18;7,18;7,12;7,14;7,14;7701;14;55176;7,1648
28/09/2023;7,26;7,54;7,08;7,08;7,08;96862;37;706599;7,2949
27/09/2023;7,02;7,64;7,02;7,48;7,48;48213;27;358236;7,4303
26/09/2023;7,00;7,22;6,96;7,20;7,20;17087;18;120847;7,0724
25/09/2023;7,32;7,32;7,06;7,08;7,08;13268;18;94339;7,1103
22/09/2023;7,14;7,24;7,14;7,24;7,24;10254;15;74002;7,2169
21/09/2023;7,18;7,24;7,12;7,24;7,24;3702;9;26559;7,1744
20/09/2023;7,26;7,54;7,26;7,30;7,30;12237;14;89585;7,3208
19/09/2023;7,10;7,26;7,02;7,26;7,26;4885;13;34984;7,1615
18/09/2023;7,14;7,14;7,00;7,10;7,10;120907;39;846757;7,0034
15/09/2023;7,22;7,36;6,96;7,14;7,14;112731;69;804135;7,1332
14/09/2023;7,28;7,28;7,20;7,26;7,26;14251;22;103073;7,2327
13/09/2023;7,38;7,38;7,20;7,28;7,28;43571;15;316295;7,2593
12/09/2023;7,38;7,68;7,30;7,38;7,38;34821;18;256665;7,3710
11/09/2023;8,00;8,00;7,42;7,42;7,42;22972;15;174278;7,5865
08/09/2023;7,76;7,76;7,50;7,76;7,76;26090;16;200378;7,6803
07/09/2023;7,40;7,64;7,40;7,64;7,64;5019;9;37505;7,4725
06/09/2023;7,56;7,60;7,16;7,44;7,44;42382;35;310557;7,3276
05/09/2023;7,42;7,70;7,32;7,50;7,50;53557;45;402206;7,5099
04/09/2023;8,00;8,00;7,56;7,58;7,58;14059;23;108967;7,7507
01/09/2023;7,88;8,00;7,74;7,90;7,90;61509;43;488039;7,9344
