"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010015175
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;31,90;32,00;31,80;32,00;32,00;18212;26;582124;31,9638
03/11/2023;32,00;33,60;32,00;33,60;33,60;6471;14;207312;32,0371
02/11/2023;31,70;32,00;30,80;32,00;32,00;17599;30;559879;31,8131
01/11/2023;32,00;32,00;31,50;32,00;32,00;6957;17;222384;31,9655
31/10/2023;32,10;32,80;32,00;32,80;32,80;6895;9;220761;32,0175
30/10/2023;31,50;32,90;31,20;32,90;32,90;1004;4;32425;32,2956
27/10/2023;32,90;32,90;32,90;32,90;32,90;150;3;4935;32,9000
26/10/2023;31,40;32,90;31,40;32,90;32,90;1650;4;52079;31,5633
25/10/2023;33,10;33,10;33,00;33,00;33,00;6848;9;226057;33,0106
24/10/2023;35,00;35,00;35,00;35,00;35,00;50;1;1750;35,0000
23/10/2023;33,80;33,80;32,00;33,80;33,80;8204;15;269165;32,8090
20/10/2023;32,10;34,60;32,10;34,40;34,40;1964;10;67016;34,1224
19/10/2023;34,90;34,90;34,90;34,90;34,90;10;1;349;34,9000
18/10/2023;34,00;34,00;34,00;34,00;34,00;590;1;20060;34,0000
17/10/2023;34,00;34,00;32,60;33,90;33,90;2687;8;89410;33,2751
16/10/2023;34,90;34,90;32,50;33,80;33,80;6024;12;199258;33,0773
13/10/2023;34,40;36,00;33,50;34,50;34,50;7245;15;252578;34,8623
12/10/2023;35,60;35,60;35,00;35,00;35,00;378;2;13247;35,0444
11/10/2023;32,10;33,90;31,90;33,70;33,70;3012;7;98831;32,8124
10/10/2023;34,00;34,00;34,00;34,00;34,00;150;1;5100;34,0000
09/10/2023;34,00;34,80;34,00;34,80;34,80;400;3;13640;34,1000
06/10/2023;34,00;34,80;32,70;34,30;34,30;5421;9;179549;33,1210
05/10/2023;34,80;35,00;34,30;35,00;35,00;4150;10;143210;34,5085
04/10/2023;32,70;35,00;32,70;34,00;34,00;3550;8;120450;33,9296
03/10/2023;33,30;34,70;33,30;34,70;34,70;3651;7;122499;33,5522
02/10/2023;35,40;35,40;34,00;35,30;35,30;2495;6;87582;35,1028
29/09/2023;33,40;35,40;33,30;35,40;35,40;4851;8;164998;34,0133
28/09/2023;0,00;0,00;0,00;0,00;35,60;0;0;0;0,0000
27/09/2023;32,70;35,60;32,30;35,60;35,60;57152;68;1880145;32,8973
26/09/2023;32,90;33,00;32,60;32,60;32,60;5416;12;177435;32,7613
25/09/2023;35,30;35,30;32,40;32,50;32,50;24180;30;793196;32,8038
22/09/2023;35,60;35,60;33,50;35,20;35,20;1018;10;35339;34,7139
21/09/2023;34,10;34,70;34,00;34,70;34,70;5000;5;170661;34,1322
20/09/2023;34,10;34,90;34,10;34,90;34,90;3666;10;125614;34,2645
19/09/2023;35,50;35,70;35,50;35,60;35,60;2728;6;96940;35,5350
18/09/2023;34,80;35,00;34,70;34,90;34,90;8214;9;285900;34,8064
15/09/2023;34,80;34,80;34,80;34,80;34,80;750;1;26100;34,8000
14/09/2023;34,80;34,80;33,50;34,60;34,60;435;4;14852;34,1414
13/09/2023;34,80;34,80;33,50;34,40;34,40;1394;6;46823;33,5891
12/09/2023;33,30;34,40;33,30;34,40;34,40;310;2;10433;33,6548
11/09/2023;33,20;34,40;33,10;34,40;34,40;5115;12;170527;33,3385
08/09/2023;35,00;35,00;33,50;34,00;34,00;350;3;11900;34,0000
07/09/2023;34,40;34,40;34,40;34,40;34,40;150;2;5160;34,4000
06/09/2023;33,50;34,50;33,50;34,50;34,50;2200;4;73900;33,5909
05/09/2023;34,20;34,90;34,20;34,90;34,90;562;5;19462;34,6297
04/09/2023;36,00;36,00;33,00;34,90;34,90;11759;21;409711;34,8423
01/09/2023;35,40;35,40;33,60;35,00;35,00;4921;7;171017;34,7524
31/08/2023;34,00;35,00;31,80;35,00;35,00;45317;68;1517677;33,4902
30/08/2023;34,00;34,10;34,00;34,10;34,10;3200;3;108920;34,0375
29/08/2023;34,00;34,00;34,00;34,00;34,00;2707;5;92038;34,0000
28/08/2023;34,00;34,00;34,00;34,00;34,00;2533;4;86122;34,0000
25/08/2023;34,00;34,00;33,90;34,00;34,00;579;4;19682;33,9922
24/08/2023;0,00;0,00;0,00;0,00;33,50;0;0;0;0,0000
23/08/2023;33,90;33,90;32,50;33,50;33,50;1983;9;66488;33,5287
22/08/2023;0,00;0,00;0,00;0,00;34,50;0;0;0;0,0000
21/08/2023;33,20;34,50;33,00;34,50;34,50;700;8;23425;33,4643
18/08/2023;34,00;34,00;33,00;34,00;34,00;4620;15;156399;33,8526
17/08/2023;35,00;35,00;35,00;35,00;35,00;5000;2;175000;35,0000
16/08/2023;34,50;35,00;34,50;35,00;35,00;5937;6;207461;34,9437
15/08/2023;34,50;34,50;34,50;34,50;34,50;100;1;3450;34,5000
14/08/2023;34,90;35,00;34,10;34,90;34,90;2209;4;77027;34,8696
11/08/2023;34,90;35,00;33,80;35,00;35,00;1417;9;48262;34,0593
