"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010161896
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;198,50;199,95;198,40;199,00;199,00;1440862;2705;286980151;199,1725
03/11/2023;200,20;200,90;198,70;198,95;198,95;2067181;2899;411934655;199,2736
02/11/2023;199,90;200,40;196,70;199,40;199,40;1907620;3554;378910710;198,6301
01/11/2023;201,70;202,00;198,50;199,25;199,25;1716886;2815;342886979;199,7145
31/10/2023;201,00;202,00;200,30;201,30;201,30;2111721;2177;424942557;201,2304
30/10/2023;200,60;201,80;200,20;200,90;200,90;1187325;1973;238637871;200,9878
27/10/2023;201,10;202,70;200,10;200,50;200,50;1232147;2504;248166515;201,4098
26/10/2023;199,85;201,00;196,90;200,40;200,40;1944508;3205;387505235;199,2819
25/10/2023;203,80;204,40;199,90;200,00;200,00;2072148;3322;416535357;201,0162
24/10/2023;205,30;205,70;203,40;203,90;203,90;1689693;2896;344947280;204,1479
23/10/2023;207,00;207,50;205,50;206,00;206,00;1674965;2566;345528162;206,2898
20/10/2023;206,10;208,70;204,20;206,00;206,00;2141629;4383;442693647;206,7088
19/10/2023;214,30;217,00;207,30;207,60;207,60;6052877;12006;1271503579;210,0660
18/10/2023;219,00;224,40;218,90;223,30;223,30;2533719;3322;565279737;223,1028
17/10/2023;220,40;220,90;219,40;219,60;219,60;1409796;2518;310221669;220,0472
16/10/2023;220,00;220,90;219,50;220,10;220,10;1293466;2046;284750218;220,1451
13/10/2023;219,00;221,20;218,00;219,40;219,40;1857614;2894;407658967;219,4530
12/10/2023;218,20;220,30;217,80;220,10;220,10;1274490;1963;280070524;219,7511
11/10/2023;216,30;218,30;215,60;218,30;218,30;1447874;1881;315066799;217,6065
10/10/2023;214,90;217,10;214,80;217,00;217,00;1448621;2523;313517696;216,4249
09/10/2023;212,90;214,80;212,40;214,10;214,10;1201612;1788;256829732;213,7377
06/10/2023;210,40;213,30;209,90;212,40;212,40;1103857;2062;234225249;212,1880
05/10/2023;212,50;212,50;209,30;210,40;210,40;1758256;2996;369994334;210,4326
04/10/2023;212,00;213,50;210,70;212,10;212,10;1388891;2188;294997947;212,3982
03/10/2023;214,80;216,10;212,10;212,80;212,80;1275096;2432;272458860;213,6771
02/10/2023;216,50;216,80;214,90;214,90;214,90;1964901;2571;423056935;215,3070
29/09/2023;217,70;217,80;215,60;215,60;215,60;2630387;3545;567926224;215,9098
