"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0003921009
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;11,44;11,69;11,42;11,55;11,55;2379415;735;27497369;11,5564
03/11/2023;11,46;11,78;11,28;11,35;11,35;4578746;1406;52666946;11,5025
02/11/2023;11,25;11,39;11,25;11,37;11,37;1295614;576;14694486;11,3417
01/11/2023;11,34;11,35;11,16;11,31;11,31;1127483;622;12701555;11,2654
31/10/2023;11,17;11,39;11,15;11,37;11,37;1298018;584;14661171;11,2950
30/10/2023;10,88;11,29;10,85;11,19;11,19;3034294;1249;33924822;11,1805
27/10/2023;10,95;11,00;10,81;10,88;10,88;1440343;597;15760807;10,9424
26/10/2023;10,66;10,94;10,66;10,79;10,79;1358188;614;14662557;10,7957
25/10/2023;11,03;11,03;10,75;10,78;10,78;1523493;595;16508331;10,8358
24/10/2023;10,80;11,04;10,78;11,03;11,03;1487504;586;16289816;10,9511
23/10/2023;11,30;11,30;10,76;10,79;10,79;1580054;736;17237823;10,9096
20/10/2023;11,18;11,38;11,18;11,18;11,18;2235953;657;25200366;11,2705
19/10/2023;11,20;11,45;11,10;11,14;11,14;3054636;976;34465630;11,2831
18/10/2023;10,94;11,27;10,90;11,25;11,25;3841285;1247;42694252;11,1146
17/10/2023;10,70;10,89;10,70;10,86;10,86;2135731;702;23134270;10,8320
16/10/2023;10,71;10,88;10,64;10,71;10,71;1706704;694;18347774;10,7504
13/10/2023;10,80;10,87;10,71;10,77;10,77;1870561;667;20172359;10,7841
12/10/2023;10,69;10,87;10,60;10,80;10,80;2146625;766;23069801;10,7470
11/10/2023;10,65;10,86;10,60;10,61;10,61;1675560;662;17940945;10,7074
10/10/2023;10,63;10,74;10,45;10,74;10,74;2345843;891;24990175;10,6530
09/10/2023;10,50;10,67;10,38;10,61;10,61;2999095;1055;31573015;10,5275
06/10/2023;10,50;10,50;10,30;10,37;10,37;1625814;759;16887902;10,3874
05/10/2023;10,30;10,64;10,21;10,40;10,40;3750805;1300;39013623;10,4014
04/10/2023;10,27;10,42;10,25;10,25;10,25;1587963;823;16371666;10,3099
03/10/2023;10,74;10,74;10,31;10,31;10,31;4217511;1611;44074248;10,4503
02/10/2023;10,74;11,66;10,59;10,96;10,96;10072171;2713;113023313;11,2213
29/09/2023;10,76;10,76;10,51;10,57;10,57;1242569;460;13171254;10,6000
28/09/2023;10,60;10,81;10,46;10,48;10,48;1340601;490;14239084;10,6214
27/09/2023;10,39;10,59;10,30;10,59;10,59;1606897;532;16846938;10,4841
26/09/2023;10,27;10,35;10,13;10,30;10,30;1213459;510;12429034;10,2426
25/09/2023;10,38;10,48;10,26;10,30;10,30;1401109;541;14501133;10,3498
22/09/2023;10,43;10,48;10,32;10,39;10,39;1768785;628;18363702;10,3821
21/09/2023;10,70;10,70;10,40;10,49;10,49;2601106;952;27368816;10,5220
20/09/2023;10,78;10,83;10,61;10,83;10,83;1816325;705;19512693;10,7430
19/09/2023;10,63;10,97;10,52;10,80;10,80;3589834;1072;38981219;10,8588
18/09/2023;10,75;10,75;10,48;10,50;10,50;1653800;684;17481343;10,5704
15/09/2023;10,50;10,82;10,49;10,70;10,70;3483706;1015;37142306;10,6617
14/09/2023;10,17;10,45;10,17;10,45;10,45;1880253;663;19491899;10,3666
13/09/2023;10,20;10,33;10,18;10,20;10,20;1523998;648;15621236;10,2502
12/09/2023;10,08;10,24;9,99;10,16;10,16;1845603;738;18704362;10,1346
11/09/2023;10,00;10,11;9,965;9,99;9,99;1191356;559;11936423;10,0192
08/09/2023;10,04;10,10;9,915;10,06;10,06;1237863;620;12398245;10,0158
07/09/2023;10,17;10,17;9,95;9,97;9,97;1355475;549;13559924;10,0038
06/09/2023;10,33;10,33;10,11;10,13;10,13;1305923;591;13283532;10,1718
05/09/2023;10,19;10,32;10,05;10,22;10,22;2272441;862;23178670;10,1999
04/09/2023;10,25;10,32;10,15;10,20;10,20;996284;523;10201356;10,2394
01/09/2023;9,875;10,19;9,85;10,19;10,19;1958425;644;19844155;10,1327
31/08/2023;9,99;10,07;9,90;9,925;9,925;2649557;836;26356145;9,9474
30/08/2023;10,10;10,19;9,995;10,00;10,00;1538976;576;15494163;10,0678
29/08/2023;10,01;10,19;10,00;10,10;10,10;1827127;684;18464586;10,1058
28/08/2023;10,11;10,11;9,985;10,01;10,01;1160165;521;11639675;10,0328
25/08/2023;10,07;10,18;10,00;10,06;10,06;1029922;440;10389729;10,0879
24/08/2023;10,20;10,20;9,98;10,00;10,00;1563501;647;15711834;10,0491
23/08/2023;10,45;10,82;10,37;10,41;10,41;4692551;1472;49501681;10,5490
22/08/2023;10,30;10,44;10,24;10,41;10,41;2905545;898;30092323;10,3569
21/08/2023;10,14;10,32;10,14;10,24;10,24;1760169;756;18040273;10,2492
18/08/2023;10,01;10,16;9,855;10,06;10,06;2714621;998;27138652;9,9972
17/08/2023;10,09;10,25;9,92;10,13;10,13;4029331;1337;40589231;10,0734
16/08/2023;10,00;10,00;9,77;9,865;9,865;2058771;855;20272894;9,8471
15/08/2023;10,04;10,25;9,935;9,935;9,935;1413983;642;14200438;10,0429
14/08/2023;10,11;10,17;9,98;10,05;10,05;1722317;718;17367463;10,0838
11/08/2023;10,12;10,21;10,05;10,21;10,21;2390774;741;24184576;10,1158
10/08/2023;10,27;10,36;10,16;10,18;10,18;1459006;641;14953803;10,2493
09/08/2023;10,01;10,29;9,905;10,26;10,26;5882763;1433;59592749;10,1301
08/08/2023;10,24;10,25;9,765;9,90;9,90;5691076;2023;56542511;9,9353
07/08/2023;10,77;10,82;10,45;10,49;10,49;3364456;960;35560103;10,5693
04/08/2023;10,71;10,83;10,65;10,77;10,77;1461954;680;15732728;10,7614
03/08/2023;10,60;10,68;10,40;10,60;10,60;2272835;893;23975220;10,5486
02/08/2023;10,95;11,05;10,67;10,70;10,70;2506756;847;27223469;10,8600
01/08/2023;11,08;11,21;10,94;11,11;11,11;2555556;787;28371573;11,1019
31/07/2023;10,68;11,12;10,66;11,01;11,01;3266461;936;35801157;10,9602
28/07/2023;10,70;10,76;10,59;10,68;10,68;828863;476;8836657;10,6612
27/07/2023;10,70;10,84;10,63;10,73;10,73;1192520;607;12838679;10,7660
26/07/2023;10,70;10,87;10,58;10,72;10,72;1821388;704;19550131;10,7336
25/07/2023;10,70;10,80;10,59;10,69;10,69;2921844;1124;31230418;10,6886
24/07/2023;10,54;10,65;10,33;10,65;10,65;1446261;550;15207548;10,5151
21/07/2023;10,59;10,60;10,39;10,44;10,44;999774;476;10493382;10,4958
20/07/2023;10,42;10,50;10,35;10,43;10,43;1152870;582;12024906;10,4304
19/07/2023;10,63;10,63;10,22;10,46;10,46;1871694;870;19406102;10,3682
18/07/2023;10,41;10,56;10,29;10,55;10,55;1094356;547;11424096;10,4391
17/07/2023;10,36;10,49;10,08;10,45;10,45;2988361;1047;30828232;10,3161
14/07/2023;10,80;10,80;10,41;10,45;10,45;1923749;837;20298641;10,5516
13/07/2023;10,72;10,83;10,61;10,76;10,76;2704408;918;29010262;10,7270
12/07/2023;10,52;10,78;10,45;10,68;10,68;3836148;1365;40735582;10,6189
11/07/2023;10,95;10,95;10,38;10,42;10,42;7057773;2564;75160948;10,6494
10/07/2023;9,67;11,05;9,535;10,92;10,92;9759749;3171;103863021;10,6420
07/07/2023;9,60;9,63;9,45;9,60;9,60;1185124;688;11330298;9,5604
06/07/2023;9,80;9,80;9,405;9,41;9,41;1736159;880;16615337;9,5702
05/07/2023;9,765;9,93;9,71;9,77;9,77;931848;538;9126876;9,7944
04/07/2023;9,67;9,83;9,63;9,795;9,795;580064;378;5661203;9,7596
03/07/2023;9,495;9,71;9,495;9,685;9,685;1393183;625;13456264;9,6586
30/06/2023;9,50;9,55;9,42;9,455;9,455;1585439;761;15041355;9,4872
29/06/2023;9,38;9,48;9,37;9,47;9,47;828364;509;7821109;9,4416
28/06/2023;9,46;9,525;9,30;9,375;9,375;1482871;904;13908211;9,3792
27/06/2023;9,72;9,72;9,425;9,485;9,485;1239216;671;11785902;9,5108
26/06/2023;9,60;9,775;9,465;9,71;9,71;1814577;735;17530184;9,6608
23/06/2023;9,735;9,77;9,51;9,56;9,56;1850744;963;17752338;9,5920
22/06/2023;10,02;10,02;9,76;9,79;9,79;1518486;754;14970168;9,8586
21/06/2023;10,04;10,18;9,915;10,05;10,05;1233558;662;12370606;10,0284
20/06/2023;10,14;10,27;10,04;10,14;10,14;1107742;445;11256497;10,1617
19/06/2023;10,30;10,30;10,10;10,20;10,20;858935;430;8746841;10,1834
16/06/2023;10,40;10,48;10,22;10,27;10,27;2573524;694;26559422;10,3203
15/06/2023;10,40;10,40;10,27;10,33;10,33;697007;405;7208777;10,3425
14/06/2023;10,42;10,50;10,37;10,42;10,42;1838225;612;19242325;10,4679
13/06/2023;10,23;10,50;10,17;10,44;10,44;1710105;710;17773813;10,3934
12/06/2023;10,27;10,32;10,20;10,23;10,23;1367676;557;14020839;10,2516
09/06/2023;10,39;10,48;10,30;10,47;10,47;1064794;447;11090884;10,4160
08/06/2023;10,43;10,50;10,37;10,46;10,46;1380293;551;14410125;10,4399
07/06/2023;10,28;10,50;10,23;10,50;10,50;1457397;545;15224629;10,4465
