"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010607781
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;9,40;9,40;8,64;9,06;9,06;9820;20;87671;8,9278
03/11/2023;9,02;9,60;9,02;9,58;9,58;8914;20;83077;9,3199
02/11/2023;8,86;9,78;8,80;9,64;9,64;15653;28;143167;9,1463
01/11/2023;9,90;9,90;9,12;9,16;9,16;6681;24;61580;9,2171
31/10/2023;9,26;9,90;9,06;9,46;9,46;9056;27;85019;9,3882
30/10/2023;9,00;9,30;9,00;9,06;9,06;3360;22;30846;9,1804
27/10/2023;8,80;9,60;8,80;8,84;8,84;11094;24;102639;9,2518
26/10/2023;9,80;9,80;9,04;9,16;9,16;9081;19;87824;9,6712
25/10/2023;10,20;10,20;9,20;9,34;9,34;10693;42;103587;9,6874
24/10/2023;8,82;10,20;8,50;10,20;10,20;42522;55;404550;9,5139
23/10/2023;9,48;9,48;8,80;8,80;8,80;7456;31;67363;9,0348
20/10/2023;9,16;9,48;8,26;9,48;9,48;37991;37;323231;8,5081
19/10/2023;8,20;9,90;8,20;8,68;8,68;15128;36;134772;8,9088
18/10/2023;9,10;9,50;8,78;9,00;9,00;24262;30;221292;9,1209
17/10/2023;10,65;10,65;9,30;9,40;9,40;23807;42;230490;9,6816
16/10/2023;8,90;10,45;8,12;9,70;9,70;46741;79;452819;9,6878
13/10/2023;8,72;8,88;8,02;8,88;8,88;5906;22;49749;8,4234
12/10/2023;8,70;8,76;8,42;8,72;8,72;10271;20;88994;8,6646
11/10/2023;8,12;8,70;8,10;8,70;8,70;34036;39;286040;8,4040
10/10/2023;7,50;8,00;7,50;7,90;7,90;13896;21;110271;7,9354
09/10/2023;8,50;8,50;7,54;8,20;8,20;4422;25;35361;7,9967
06/10/2023;7,80;8,60;7,80;8,48;8,48;43198;30;351288;8,1320
05/10/2023;8,40;8,40;7,72;7,94;7,94;7963;10;63890;8,0233
04/10/2023;8,50;8,50;7,60;8,00;8,00;14665;31;114993;7,8413
03/10/2023;7,80;8,50;7,60;8,00;8,00;16622;25;132996;8,0012
02/10/2023;7,80;8,04;7,50;7,80;7,80;34733;26;269553;7,7607
29/09/2023;8,20;8,68;7,54;8,00;8,00;26797;32;209216;7,8075
28/09/2023;8,00;8,26;7,28;7,84;7,84;13373;19;104408;7,8074
27/09/2023;8,80;8,80;7,50;7,98;7,98;22944;40;181012;7,8893
26/09/2023;8,80;8,80;7,50;8,10;8,10;18488;43;143292;7,7505
25/09/2023;7,30;7,50;6,80;7,38;7,38;43558;36;310728;7,1337
22/09/2023;7,14;7,32;7,00;7,30;7,30;17324;19;125343;7,2352
21/09/2023;7,20;7,86;7,20;7,20;7,20;26857;42;196023;7,2988
20/09/2023;7,70;8,38;7,60;7,60;7,60;21853;29;171906;7,8665
19/09/2023;8,30;8,50;8,00;8,04;8,04;27106;22;221843;8,1843
18/09/2023;9,00;9,00;7,60;8,24;8,24;17805;19;145148;8,1521
15/09/2023;8,96;8,96;8,32;8,44;8,44;20114;38;173021;8,6020
14/09/2023;9,00;9,00;8,40;8,98;8,98;22316;28;193079;8,6520
13/09/2023;9,08;9,08;8,70;9,00;9,00;3869;15;34127;8,8205
12/09/2023;8,72;9,08;8,72;9,08;9,08;11907;23;106138;8,9139
11/09/2023;9,10;9,10;8,20;8,74;8,74;14263;28;121996;8,5533
08/09/2023;8,80;9,28;8,76;9,04;9,04;19178;27;171026;8,9178
07/09/2023;9,44;9,44;8,80;8,94;8,94;6949;21;62938;9,0572
06/09/2023;9,28;9,44;8,66;9,44;9,44;7970;21;72255;9,0658
05/09/2023;9,30;9,70;9,00;9,28;9,28;11008;26;100300;9,1115
04/09/2023;10,00;10,00;9,00;9,04;9,04;29488;60;275813;9,3534
01/09/2023;10,75;10,75;9,80;10,25;10,25;33850;40;338120;9,9888
31/08/2023;10,50;11,00;9,90;10,35;10,35;34346;54;355338;10,3458
30/08/2023;9,90;10,85;9,90;10,10;10,10;27562;44;280594;10,1805
29/08/2023;8,80;9,98;8,16;9,82;9,82;97402;111;870381;8,9360
28/08/2023;9,50;9,78;9,00;9,02;9,02;39725;56;373331;9,3979
25/08/2023;9,60;9,74;8,84;9,50;9,50;39096;58;361749;9,2528
24/08/2023;10,35;10,50;9,32;9,60;9,60;69319;109;683024;9,8533
23/08/2023;11,15;11,60;10,70;10,75;10,75;62166;125;687831;11,0644
22/08/2023;11,20;11,75;10,60;11,15;11,15;239284;294;2660537;11,1187
21/08/2023;9,90;12,50;9,90;11,60;11,60;701314;762;7970992;11,3658
18/08/2023;8,80;8,80;8,02;8,36;8,36;22720;35;185103;8,1472
17/08/2023;8,02;8,60;8,00;8,28;8,28;31562;23;257197;8,1489
16/08/2023;8,78;8,78;7,20;8,40;8,40;80264;80;654708;8,1569
15/08/2023;7,98;8,80;7,50;8,78;8,78;42506;84;347303;8,1707
14/08/2023;7,04;7,98;7,04;7,60;7,60;47574;41;357150;7,5073
11/08/2023;8,80;9,20;7,70;7,90;7,90;91641;120;770305;8,4057
10/08/2023;7,50;9,40;7,50;8,80;8,80;133530;175;1185907;8,8812
09/08/2023;5,42;9,28;5,40;7,48;7,48;153857;239;1165295;7,5739
08/08/2023;4,98;5,50;4,89;5,42;5,42;87010;58;444062;5,1036
07/08/2023;4,96;4,96;4,90;4,96;4,96;2580;7;12653;4,9042
04/08/2023;4,62;4,62;4,62;4,62;4,62;10;1;46;4,6200
03/08/2023;4,63;4,70;4,63;4,70;4,70;2132;4;9873;4,6310
02/08/2023;4,63;4,63;4,63;4,63;4,63;4574;4;21178;4,6300
01/08/2023;4,63;4,90;4,63;4,70;4,70;2045;4;9573;4,6814
31/07/2023;4,66;4,90;4,66;4,90;4,90;6417;8;31119;4,8494
28/07/2023;4,62;4,96;4,62;4,70;4,70;660;7;3086;4,6752
27/07/2023;4,89;4,90;4,89;4,90;4,90;9919;5;48536;4,8932
26/07/2023;4,99;4,99;4,89;4,89;4,89;2632;4;12931;4,9131
25/07/2023;4,93;4,93;4,67;4,86;4,86;7177;10;34964;4,8717
24/07/2023;4,63;4,71;4,63;4,71;4,71;10094;5;46951;4,6514
21/07/2023;4,62;4,98;4,62;4,98;4,98;2302;4;10939;4,7519
20/07/2023;4,52;4,90;4,52;4,65;4,65;14827;8;69849;4,7110
19/07/2023;4,99;4,99;4,90;4,90;4,90;1123;6;5513;4,9094
18/07/2023;5,00;5,00;4,62;4,82;4,82;1048;6;4997;4,7679
17/07/2023;5,00;5,00;5,00;5,00;5,00;270;4;1350;5,0000
14/07/2023;5,00;5,00;4,61;5,00;5,00;741;7;3626;4,8938
13/07/2023;5,28;5,28;4,99;5,00;5,00;1674;4;8355;4,9909
12/07/2023;0,00;0,00;0,00;0,00;5,28;0;0;0;0,0000
11/07/2023;4,60;5,30;4,60;5,28;5,28;3301;8;15511;4,6989
10/07/2023;5,00;5,30;5,00;5,10;5,10;3519;6;18218;5,1771
07/07/2023;4,99;4,99;4,90;4,90;4,90;1869;2;9281;4,9659
06/07/2023;4,98;5,30;4,98;5,10;5,10;805;9;4062;5,0455
05/07/2023;4,60;5,00;4,60;4,70;4,70;1540;8;7400;4,8054
04/07/2023;0,00;0,00;0,00;0,00;4,90;0;0;0;0,0000
03/07/2023;4,90;4,90;4,90;4,90;4,90;5004;5;24520;4,9000
30/06/2023;5,06;5,06;4,95;4,95;4,95;1576;3;7849;4,9801
29/06/2023;4,81;5,28;4,57;4,61;4,61;2086;6;9864;4,7285
28/06/2023;4,91;5,16;4,70;4,81;4,81;19226;26;94771;4,9293
27/06/2023;4,56;4,56;4,52;4,52;4,52;7004;5;31838;4,5457
26/06/2023;4,76;5,08;4,53;5,08;5,08;7247;8;34654;4,7818
23/06/2023;5,46;5,46;5,00;5,12;5,12;7167;9;38272;5,3400
22/06/2023;5,30;5,30;5,00;5,00;5,00;449;4;2296;5,1129
21/06/2023;5,48;5,48;5,00;5,00;5,00;982;5;4968;5,0595
20/06/2023;5,12;5,48;5,12;5,46;5,46;7432;12;38887;5,2324
19/06/2023;5,20;5,20;5,10;5,10;5,10;4845;4;24738;5,1059
16/06/2023;5,20;5,20;5,02;5,02;5,02;3760;7;18965;5,0439
15/06/2023;5,10;5,18;5,02;5,18;5,18;10612;8;54180;5,1056
14/06/2023;5,32;5,34;5,12;5,12;5,12;14700;13;76337;5,1930
13/06/2023;5,36;5,36;5,30;5,36;5,36;1064;4;5697;5,3544
12/06/2023;5,38;5,38;5,38;5,38;5,38;15;1;81;5,3800
09/06/2023;5,50;5,50;5,08;5,10;5,10;14073;16;76351;5,4254
08/06/2023;5,60;5,60;5,08;5,08;5,08;2626;8;14148;5,3878
07/06/2023;5,06;5,42;5,04;5,42;5,42;10263;15;52175;5,0838
06/06/2023;5,34;5,38;5,22;5,38;5,38;9244;4;49484;5,3531
05/06/2023;5,16;5,56;5,16;5,50;5,50;4264;3;22008;5,1612
02/06/2023;5,10;5,64;5,10;5,14;5,14;9880;13;50946;5,1565
01/06/2023;5,02;5,50;5,02;5,30;5,30;10637;10;58240;5,4753
31/05/2023;5,02;5,68;5,02;5,68;5,68;1017;3;5117;5,0310
30/05/2023;5,20;5,28;5,20;5,28;5,28;1847;9;9670;5,2353
