"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010263023
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;14,54;14,88;14,52;14,60;14,60;78278;45;1154102;14,7436
03/11/2023;14,90;14,90;14,54;14,54;14,54;44976;45;666466;14,8183
02/11/2023;14,80;15,00;14,74;14,90;14,90;278344;104;4156415;14,9327
01/11/2023;14,50;14,96;14,50;14,78;14,78;134132;104;1977598;14,7437
31/10/2023;14,46;14,50;14,16;14,50;14,50;92028;61;1329104;14,4424
30/10/2023;14,26;14,40;14,10;14,20;14,20;115681;94;1651712;14,2782
27/10/2023;13,80;14,20;13,80;14,12;14,12;192138;165;2695509;14,0290
26/10/2023;14,28;14,28;13,30;13,40;13,40;105228;78;1424899;13,5411
25/10/2023;14,06;14,18;13,72;13,80;13,80;140893;80;1965964;13,9536
24/10/2023;13,90;14,18;13,70;14,06;14,06;123284;91;1725703;13,9978
23/10/2023;14,30;14,40;13,84;14,10;14,10;240535;167;3391685;14,1006
20/10/2023;14,00;14,28;13,76;14,28;14,28;405605;220;5693534;14,0371
19/10/2023;13,72;14,28;13,46;13,76;13,76;232329;111;3202042;13,7824
18/10/2023;13,26;13,76;13,26;13,76;13,76;165046;99;2238650;13,5638
17/10/2023;13,16;13,40;13,02;13,24;13,24;91134;66;1205168;13,2241
16/10/2023;12,72;13,10;12,72;12,92;12,92;48892;55;635885;13,0059
13/10/2023;13,18;13,18;12,92;13,10;13,10;57130;51;743561;13,0152
12/10/2023;13,00;13,30;12,82;13,20;13,20;118054;65;1548543;13,1172
11/10/2023;12,86;12,92;12,80;12,84;12,84;43291;42;556287;12,8500
10/10/2023;12,84;12,98;12,80;12,82;12,82;59965;51;770431;12,8480
09/10/2023;13,00;13,16;12,84;12,84;12,84;76011;46;987973;12,9978
06/10/2023;12,86;13,10;12,86;13,04;13,04;55694;52;719855;12,9252
05/10/2023;12,92;13,04;12,86;12,88;12,88;75579;66;977625;12,9351
04/10/2023;13,02;13,20;12,92;12,92;12,92;110881;85;1441839;13,0035
03/10/2023;13,40;13,40;13,10;13,14;13,14;101649;73;1346846;13,2500
02/10/2023;13,74;13,84;13,36;13,44;13,44;147728;94;2014414;13,6360
29/09/2023;13,20;13,50;13,20;13,42;13,42;148859;92;2002806;13,4544
28/09/2023;13,24;13,38;13,10;13,20;13,20;177109;90;2353725;13,2897
27/09/2023;12,82;13,26;12,82;13,22;13,22;142248;110;1862033;13,0900
26/09/2023;13,14;13,14;12,90;12,90;12,90;105301;81;1366139;12,9737
25/09/2023;13,30;13,38;12,86;13,02;13,02;400568;163;5225234;13,0446
22/09/2023;13,00;13,38;13,00;13,20;13,20;153094;106;2023537;13,2176
21/09/2023;13,16;13,26;13,00;13,00;13,00;74883;69;981313;13,1046
20/09/2023;12,90;13,18;12,90;13,10;13,10;97015;77;1265762;13,0471
19/09/2023;13,20;13,20;12,84;12,96;12,96;141646;89;1838734;12,9812
18/09/2023;13,28;13,30;12,84;12,92;12,92;188397;105;2450423;13,0067
15/09/2023;13,50;13,50;13,22;13,22;13,22;33483;29;444658;13,2801
14/09/2023;13,36;13,50;13,20;13,28;13,28;102101;67;1370567;13,4236
13/09/2023;13,28;13,50;13,24;13,24;13,24;59156;46;792657;13,3994
12/09/2023;13,00;13,28;13,00;13,28;13,28;61358;54;808828;13,1821
11/09/2023;13,00;13,10;12,82;13,02;13,02;133792;86;1741046;13,0131
08/09/2023;13,00;13,00;12,64;12,80;12,80;66066;40;842994;12,7599
07/09/2023;12,88;12,88;12,62;12,62;12,62;47207;49;601051;12,7322
06/09/2023;12,64;12,90;12,64;12,86;12,86;107968;50;1387611;12,8521
05/09/2023;12,70;12,82;12,70;12,70;12,70;52217;36;666707;12,7680
04/09/2023;12,70;13,00;12,62;12,80;12,80;143897;91;1844565;12,8187
01/09/2023;12,80;13,22;12,60;12,70;12,70;116668;77;1492072;12,7890
31/08/2023;13,20;13,22;12,80;12,80;12,80;146556;99;1906664;13,0098
30/08/2023;12,80;13,50;12,72;13,00;13,00;595597;261;7812953;13,1179
29/08/2023;11,50;12,36;11,50;12,32;12,32;155271;90;1878033;12,0952
28/08/2023;11,78;12,00;11,66;11,66;11,66;133209;67;1585153;11,8997
25/08/2023;11,98;11,98;11,76;11,78;11,78;70523;44;836237;11,8576
24/08/2023;11,68;11,80;11,52;11,62;11,62;87495;36;1022730;11,6890
23/08/2023;11,82;12,00;11,68;11,68;11,68;57118;32;681958;11,9395
22/08/2023;11,50;11,80;11,38;11,70;11,70;72467;51;833726;11,5049
21/08/2023;11,50;11,80;11,50;11,60;11,60;58856;105;688230;11,6935
18/08/2023;11,86;11,86;11,38;11,68;11,68;68062;69;786283;11,5525
17/08/2023;11,70;11,98;11,70;11,86;11,86;15663;14;185831;11,8644
16/08/2023;11,90;11,90;11,62;11,70;11,70;31530;16;369940;11,7330
15/08/2023;12,00;12,00;11,66;11,90;11,90;90893;60;1079258;11,8739
14/08/2023;11,62;12,00;11,50;12,00;12,00;81262;51;953748;11,7367
11/08/2023;11,40;11,62;11,40;11,62;11,62;25843;19;296476;11,4722
10/08/2023;11,50;11,60;11,40;11,58;11,58;30061;18;347762;11,5685
09/08/2023;11,40;11,60;11,30;11,46;11,46;88102;47;1010889;11,4741
08/08/2023;11,20;11,58;11,20;11,34;11,34;10594;8;119208;11,2524
07/08/2023;11,44;11,54;11,22;11,22;11,22;76457;91;868766;11,3628
04/08/2023;11,58;11,70;11,42;11,60;11,60;79920;27;925279;11,5776
03/08/2023;11,48;11,66;11,36;11,50;11,50;33148;27;378249;11,4109
02/08/2023;11,70;11,70;11,48;11,66;11,66;32765;23;379488;11,5821
01/08/2023;11,50;11,82;11,40;11,66;11,66;204591;51;2362080;11,5454
31/07/2023;11,34;11,48;11,26;11,44;11,44;54622;30;624748;11,4377
28/07/2023;11,30;11,34;11,12;11,34;11,34;44417;23;501424;11,2890
27/07/2023;11,30;11,38;11,24;11,38;11,38;63005;33;714091;11,3339
