"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010358484
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,32;2,39;2,20;2,23;2,23;1250999;231;2863483;2,2890
03/11/2023;2,18;2,24;2,13;2,20;2,20;476312;90;1037452;2,1781
02/11/2023;2,20;2,25;2,15;2,15;2,15;337266;45;737295;2,1861
01/11/2023;2,23;2,28;2,10;2,16;2,16;904951;145;1977179;2,1848
31/10/2023;2,20;2,21;2,05;2,18;2,18;266183;52;562681;2,1139
30/10/2023;2,09;2,25;2,07;2,22;2,22;397162;73;863409;2,1739
27/10/2023;2,04;2,11;1,95;2,10;2,10;406450;60;832578;2,0484
26/10/2023;2,10;2,17;2,00;2,13;2,13;164443;43;335988;2,0432
25/10/2023;2,00;2,17;2,00;2,17;2,17;89722;17;186098;2,0742
24/10/2023;2,15;2,18;2,10;2,10;2,10;53310;20;113371;2,1266
23/10/2023;2,12;2,20;2,02;2,17;2,17;124708;25;264364;2,1199
20/10/2023;2,24;2,24;2,13;2,22;2,22;244289;35;529937;2,1693
19/10/2023;2,16;2,22;2,14;2,22;2,22;132412;27;288577;2,1794
18/10/2023;2,25;2,25;2,15;2,25;2,25;292626;42;644249;2,2016
17/10/2023;2,20;2,25;2,11;2,25;2,25;244808;40;538560;2,1999
16/10/2023;2,07;2,23;2,07;2,20;2,20;264036;34;580032;2,1968
13/10/2023;2,22;2,22;2,17;2,20;2,20;140822;35;309746;2,1996
12/10/2023;2,20;2,25;2,14;2,21;2,21;438876;79;967284;2,2040
11/10/2023;2,05;2,30;2,05;2,10;2,10;756490;122;1668191;2,2052
10/10/2023;2,05;2,12;2,01;2,04;2,04;283551;50;583440;2,0576
09/10/2023;2,25;2,25;1,96;2,12;2,12;253485;49;537471;2,1203
06/10/2023;2,30;2,30;2,15;2,20;2,20;143265;29;316335;2,2080
05/10/2023;2,11;2,18;2,03;2,18;2,18;193089;45;408778;2,1170
04/10/2023;2,21;2,24;2,10;2,11;2,11;602312;87;1300502;2,1592
03/10/2023;2,25;2,28;2,16;2,25;2,25;699349;150;1548214;2,2138
02/10/2023;2,35;2,37;2,26;2,30;2,30;518932;94;1206252;2,3245
29/09/2023;2,30;2,44;2,28;2,28;2,28;1243866;163;2938542;2,3624
28/09/2023;2,26;2,34;2,21;2,26;2,26;523439;78;1177354;2,2493
27/09/2023;2,25;2,37;2,25;2,31;2,31;694540;113;1601215;2,3054
26/09/2023;2,33;2,37;2,25;2,30;2,30;440009;89;1012684;2,3015
25/09/2023;2,42;2,42;2,35;2,35;2,35;298408;58;710934;2,3824
22/09/2023;2,40;2,43;2,38;2,42;2,42;410018;64;983500;2,3987
21/09/2023;2,36;2,43;2,36;2,42;2,42;172266;37;413218;2,3987
20/09/2023;2,40;2,45;2,37;2,45;2,45;579297;100;1399785;2,4164
19/09/2023;2,42;2,44;2,41;2,43;2,43;408970;75;990314;2,4215
18/09/2023;2,42;2,49;2,37;2,44;2,44;1436132;181;3486791;2,4279
15/09/2023;2,57;2,59;2,39;2,41;2,41;1290946;202;3182055;2,4649
14/09/2023;2,68;2,68;2,51;2,51;2,51;1199145;149;3076100;2,5652
13/09/2023;2,69;2,69;2,50;2,52;2,52;686193;82;1781255;2,5959
12/09/2023;2,74;2,74;2,59;2,60;2,60;1166654;141;3059202;2,6222
11/09/2023;2,70;2,74;2,61;2,67;2,67;675228;121;1811934;2,6834
08/09/2023;2,73;2,80;2,62;2,70;2,70;791031;132;2118853;2,6786
07/09/2023;2,56;2,76;2,50;2,65;2,65;1423832;221;3733640;2,6222
06/09/2023;2,37;2,47;2,37;2,45;2,45;90770;34;218525;2,4075
05/09/2023;2,32;2,47;2,32;2,47;2,47;266335;47;647148;2,4298
04/09/2023;2,46;2,47;2,32;2,46;2,46;49175;24;119211;2,4242
01/09/2023;2,50;2,50;2,39;2,49;2,49;230184;67;558533;2,4265
31/08/2023;2,35;2,54;2,22;2,52;2,52;435837;100;1049986;2,4091
30/08/2023;2,25;2,44;2,20;2,41;2,41;535347;130;1244931;2,3255
29/08/2023;2,40;2,48;2,23;2,30;2,30;481496;109;1106545;2,2981
