"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010911902
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;13,00;13,00;11,65;12,25;12,25;40230;22;493742;12,2730
03/11/2023;12,20;12,75;12,20;12,75;12,75;3743;10;46259;12,3588
02/11/2023;13,35;13,35;12,10;12,40;12,40;47631;35;595775;12,5081
01/11/2023;12,65;12,65;12,10;12,40;12,40;67574;28;829171;12,2706
31/10/2023;11,85;12,60;11,80;12,10;12,10;68185;45;830802;12,1845
30/10/2023;11,05;11,65;11,05;11,65;11,65;23655;18;272196;11,5069
27/10/2023;11,30;11,30;11,25;11,25;11,25;36553;5;412221;11,2774
26/10/2023;11,45;11,90;11,25;11,25;11,25;63088;31;725287;11,4964
25/10/2023;12,95;12,95;11,85;12,00;12,00;83638;29;1012188;12,1020
24/10/2023;12,40;14,15;12,40;12,60;12,60;12540;12;162166;12,9319
23/10/2023;13,40;13,40;12,25;12,65;12,65;15345;9;200686;13,0783
20/10/2023;12,80;13,35;12,80;13,20;13,20;8206;13;106515;12,9801
19/10/2023;13,25;13,25;13,15;13,15;13,15;11807;4;155591;13,1778
18/10/2023;14,50;14,50;13,00;13,25;13,25;19724;13;259962;13,1800
17/10/2023;12,80;13,20;12,80;13,20;13,20;4585;6;59422;12,9601
16/10/2023;13,40;13,40;12,80;12,80;12,80;3638;5;48366;13,2948
13/10/2023;14,00;14,40;13,15;13,40;13,40;10829;17;144684;13,3608
12/10/2023;12,60;14,00;12,60;13,60;13,60;24422;36;334738;13,7064
11/10/2023;11,15;13,15;11,15;13,00;13,00;197130;75;2403246;12,1912
10/10/2023;11,20;11,50;10,75;11,45;11,45;58883;51;658816;11,1886
09/10/2023;12,00;12,00;11,30;11,40;11,40;29636;30;341164;11,5118
06/10/2023;12,25;12,30;12,10;12,15;12,15;12099;12;147231;12,1689
05/10/2023;12,20;13,05;11,80;12,45;12,45;40819;38;500359;12,2580
04/10/2023;12,30;12,40;12,30;12,30;12,30;2622;5;32386;12,3518
03/10/2023;12,80;12,85;12,30;12,85;12,85;5664;9;70910;12,5195
02/10/2023;12,60;12,80;12,60;12,80;12,80;20712;23;263211;12,7081
29/09/2023;13,60;13,60;12,80;12,80;12,80;13188;18;171202;12,9817
28/09/2023;13,50;13,50;13,15;13,15;13,15;13788;19;183215;13,2880
27/09/2023;13,30;13,45;13,00;13,10;13,10;19500;21;256835;13,1710
26/09/2023;13,15;13,20;13,00;13,20;13,20;14647;13;191667;13,0857
25/09/2023;13,10;13,15;12,90;13,15;13,15;26433;11;343714;13,0032
22/09/2023;13,20;13,50;12,60;13,00;13,00;39034;29;508309;13,0222
21/09/2023;13,50;14,00;12,95;13,25;13,25;26876;44;357030;13,2843
20/09/2023;12,70;13,10;12,25;12,80;12,80;21841;29;279255;12,7858
19/09/2023;14,00;14,30;12,50;13,20;13,20;167480;62;2171811;12,9676
18/09/2023;13,95;13,95;13,60;13,90;13,90;8534;11;117371;13,7533
15/09/2023;13,75;14,00;13,75;13,85;13,85;29679;33;408594;13,7671
14/09/2023;13,80;14,00;13,75;13,95;13,95;15601;25;215860;13,8363
13/09/2023;13,90;14,20;13,75;14,00;14,00;14837;13;206521;13,9193
12/09/2023;14,20;14,20;13,80;14,20;14,20;6336;11;89696;14,1566
11/09/2023;14,00;14,05;13,50;14,00;14,00;140565;66;1952527;13,8906
08/09/2023;13,95;14,00;13,80;14,00;14,00;66144;27;925541;13,9928
07/09/2023;14,00;14,35;13,85;14,00;14,00;107954;43;1513683;14,0216
06/09/2023;14,65;14,65;13,50;14,00;14,00;589477;159;8294882;14,0716
05/09/2023;14,25;15,30;14,25;14,65;14,65;9002;12;132463;14,7148
04/09/2023;15,00;15,00;14,85;15,00;15,00;8241;14;122781;14,8988
01/09/2023;14,70;15,05;14,50;15,05;15,05;32375;25;479268;14,8036
31/08/2023;14,75;14,75;14,30;14,65;14,65;45973;34;664216;14,4480
30/08/2023;14,25;15,50;14,25;15,00;15,00;7722;17;113952;14,7568
29/08/2023;14,60;15,05;14,60;14,80;14,80;51915;54;775284;14,9337
28/08/2023;16,60;16,60;14,90;15,45;15,45;125067;46;1869579;14,9486
25/08/2023;16,45;16,85;15,00;15,10;15,10;51324;49;792815;15,4473
24/08/2023;18,40;18,40;16,10;16,20;16,20;4569;16;75504;16,5252
23/08/2023;16,15;17,35;16,10;16,80;16,80;11545;15;190048;16,4615
22/08/2023;16,30;17,55;16,00;17,00;17,00;2965;8;48298;16,2895
21/08/2023;16,00;16,80;16,00;16,30;16,30;1946;8;32037;16,4632
18/08/2023;16,65;16,70;16,00;16,00;16,00;42412;32;694516;16,3754
17/08/2023;16,80;17,75;16,10;17,00;17,00;39822;35;682807;17,1465
16/08/2023;17,50;17,60;15,00;17,00;17,00;387773;143;6402655;16,5113
15/08/2023;18,20;18,55;16,90;17,50;17,50;29459;35;522134;17,7241
