"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012555459
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;39,70;42,20;39,60;42,00;42,00;134093;41;5447071;40,6216
03/11/2023;39,70;39,70;39,70;39,70;39,70;52749;7;2089135;39,6052
02/11/2023;39,80;39,90;38,90;39,90;39,90;2273;15;90149;39,6607
01/11/2023;39,50;39,50;38,50;39,50;39,50;3772;29;147433;39,0862
31/10/2023;39,80;40,00;39,40;40,00;40,00;12899;29;509711;39,5155
30/10/2023;40,50;40,50;38,40;39,50;39,50;8122;39;317309;39,0678
27/10/2023;40,50;40,50;38,60;39,50;39,50;9385;34;368872;39,3044
26/10/2023;38,90;39,70;38,00;39,50;39,50;19007;30;730207;38,4178
25/10/2023;38,50;39,80;38,50;39,70;39,70;6514;20;255307;39,1935
24/10/2023;40,70;40,70;38,60;38,80;38,80;16946;54;666019;39,3024
23/10/2023;39,80;40,80;38,70;39,80;39,80;6255;30;248384;39,7097
20/10/2023;42,00;42,00;39,40;39,40;39,40;11842;42;471041;39,7772
19/10/2023;40,40;40,90;40,30;40,30;40,30;4262;25;172979;40,5864
18/10/2023;39,10;41,90;39,10;40,30;40,30;15716;65;634642;40,3819
17/10/2023;41,50;41,60;40,10;41,60;41,60;6417;35;264190;41,1704
16/10/2023;39,10;42,30;39,10;41,70;41,70;6968;27;291476;41,8306
13/10/2023;42,30;42,30;41,00;42,00;42,00;31429;96;1309177;41,6551
12/10/2023;39,70;42,30;39,60;41,70;41,70;133255;142;5448244;40,8859
11/10/2023;39,00;39,70;38,80;39,50;39,50;12405;43;486853;39,2465
10/10/2023;38,90;39,00;38,50;38,70;38,70;6704;33;260199;38,8125
09/10/2023;41,70;41,70;38,20;38,70;38,70;5795;18;227452;39,2498
06/10/2023;37,60;39,00;37,60;39,00;39,00;98960;79;3819384;38,5952
05/10/2023;37,90;38,20;37,20;37,70;37,70;10763;37;404383;37,5716
04/10/2023;37,50;38,00;37,30;37,80;37,80;13555;66;511489;37,7343
03/10/2023;38,90;39,00;37,00;37,90;37,90;358237;115;13253296;36,9959
02/10/2023;38,40;40,00;38,30;38,30;38,30;32822;81;1276757;38,8994
29/09/2023;38,50;39,30;38,40;39,00;39,00;20210;86;785999;38,8916
28/09/2023;38,50;39,90;38,50;39,30;39,30;16616;58;644125;38,7653
27/09/2023;39,60;40,70;39,00;39,60;39,60;41268;71;1614134;39,1135
26/09/2023;40,00;40,00;39,10;39,80;39,80;9942;39;391146;39,3428
25/09/2023;40,10;40,20;39,20;39,70;39,70;24039;64;957661;39,8378
22/09/2023;41,00;41,00;40,10;40,20;40,20;19151;60;769767;40,1946
21/09/2023;41,50;41,50;40,80;41,00;41,00;10774;63;443595;41,1727
20/09/2023;42,50;42,50;41,40;41,50;41,50;16091;72;670428;41,6648
19/09/2023;41,90;42,90;41,00;41,50;41,50;31739;91;1319238;41,5652
18/09/2023;41,50;43,40;41,20;41,80;41,80;31764;92;1334972;42,0278
15/09/2023;43,50;45,30;41,80;43,40;43,40;34730;133;1488749;42,8664
14/09/2023;43,50;44,40;43,00;43,40;43,40;18710;89;814118;43,5124
13/09/2023;43,00;45,00;43,00;44,10;44,10;11773;46;520114;44,1786
12/09/2023;43,90;45,80;43,90;44,20;44,20;34357;109;1531648;44,5804
11/09/2023;45,90;45,90;43,80;43,80;43,80;23334;84;1028386;44,0724
08/09/2023;45,60;46,00;43,60;45,90;45,90;66091;200;2938549;44,4622
07/09/2023;46,80;46,80;45,00;45,60;45,60;44412;121;2032060;45,7548
06/09/2023;47,00;47,10;46,10;46,80;46,80;45895;129;2143472;46,7038
05/09/2023;45,00;47,50;45,00;46,00;46,00;202375;391;9403164;46,4641
04/09/2023;41,10;45,00;41,10;44,80;44,80;527467;246;22685577;43,0085
01/09/2023;40,10;40,10;38,50;40,00;40,00;33899;75;1350959;39,8525
31/08/2023;40,10;40,10;39,40;39,60;39,60;6155;46;243146;39,5039
30/08/2023;39,00;40,40;39,00;40,00;40,00;29832;85;1184409;39,7026
29/08/2023;39,60;39,60;38,30;39,60;39,60;12638;63;492646;38,9813
28/08/2023;39,80;39,80;38,30;39,40;39,40;24617;64;959106;38,9611
25/08/2023;39,40;39,40;38,10;38,10;38,10;11869;35;460525;38,8006
24/08/2023;40,00;40,00;38,00;39,80;39,80;49537;124;1940475;39,1722
23/08/2023;38,80;39,60;38,80;39,50;39,50;5660;38;222765;39,3577
22/08/2023;39,00;39,80;38,80;39,20;39,20;4469;37;174752;39,1032
21/08/2023;40,00;40,00;39,00;39,50;39,50;3807;37;149562;39,2860
18/08/2023;39,90;40,00;38,80;40,00;40,00;9440;47;372721;39,4832
17/08/2023;39,50;40,00;39,20;39,70;39,70;14958;41;592447;39,6074
16/08/2023;40,00;41,90;39,50;40,00;40,00;36061;71;1441585;39,9763
15/08/2023;41,50;42,00;39,00;39,80;39,80;4343;39;178198;41,0312
14/08/2023;40,30;41,50;39,70;41,50;41,50;14188;53;575868;40,5884
11/08/2023;40,00;40,30;38,30;40,30;40,30;11914;61;474315;39,8116
10/08/2023;37,60;40,00;37,60;39,90;39,90;14491;50;574552;39,6489
09/08/2023;39,50;39,90;37,80;39,90;39,90;19188;57;746715;38,9157
08/08/2023;37,60;39,60;37,60;39,60;39,60;8852;28;339016;38,2982
07/08/2023;39,60;39,70;37,60;39,70;39,70;12138;34;472963;38,9655
04/08/2023;39,20;39,20;37,60;39,00;39,00;19300;78;744549;38,5777
03/08/2023;39,10;39,20;38,10;39,00;39,00;21639;119;833866;38,5353
02/08/2023;39,20;39,20;38,80;39,20;39,20;4916;35;191227;38,8989
01/08/2023;39,10;40,30;38,80;39,20;39,20;8705;61;340321;39,0949
31/07/2023;40,30;40,30;38,70;40,00;40,00;4123;45;161272;39,1152
28/07/2023;38,70;40,30;38,70;40,30;40,30;18747;82;746469;39,8180
27/07/2023;38,60;40,30;38,60;40,20;40,20;8127;61;318645;39,2081
26/07/2023;39,60;40,00;38,70;40,00;40,00;17621;64;695899;39,4926
25/07/2023;40,20;40,20;39,20;40,20;40,20;14468;59;573776;39,6583
24/07/2023;40,40;40,80;38,70;40,00;40,00;32076;101;1274084;39,7208
21/07/2023;37,20;40,40;37,20;40,30;40,30;4284;26;171389;40,0067
20/07/2023;40,90;40,90;38,80;40,50;40,50;10236;36;405127;39,5787
19/07/2023;41,00;41,00;38,50;38,50;38,50;11446;47;457158;39,9404
18/07/2023;40,50;40,80;39,60;40,80;40,80;11708;45;467437;39,9246
17/07/2023;39,90;41,20;38,70;40,90;40,90;13619;49;535806;39,3426
14/07/2023;40,70;40,70;39,30;39,50;39,50;10680;31;425440;39,8352
13/07/2023;40,80;40,80;39,60;40,10;40,10;13982;59;557809;39,8948
12/07/2023;39,30;40,70;37,30;40,70;40,70;8089;43;322464;39,8645
11/07/2023;36,50;39,20;36,50;39,20;39,20;13957;35;543002;38,9053
10/07/2023;38,70;39,40;38,40;39,20;39,20;14435;47;559579;38,7654
07/07/2023;39,50;39,50;36,90;38,70;38,70;17469;60;658455;37,6927
06/07/2023;39,90;39,90;37,60;38,20;38,20;22046;66;843030;38,2396
05/07/2023;38,60;39,00;37,50;38,80;38,80;72447;152;2773304;38,2805
04/07/2023;38,60;38,90;37,90;38,70;38,70;25979;67;998778;38,4456
03/07/2023;40,20;40,20;38,50;38,60;38,60;9975;42;387706;38,8677
30/06/2023;38,60;39,20;38,40;39,00;39,00;30686;69;1189937;38,7778
29/06/2023;38,90;40,50;37,70;40,20;40,20;59676;108;2312053;38,7434
28/06/2023;40,00;40,00;37,70;38,90;38,90;21093;49;806328;38,2273
27/06/2023;39,70;39,70;38,20;38,20;38,20;4896;41;190153;38,8384
26/06/2023;39,70;39,80;38,40;39,20;39,20;16003;77;623551;38,9646
23/06/2023;40,70;41,00;39,50;39,90;39,90;37376;105;1495681;40,0172
22/06/2023;41,10;41,10;39,60;40,70;40,70;10212;63;411439;40,2898
21/06/2023;43,50;43,50;41,10;41,70;41,70;11180;52;462585;41,3761
20/06/2023;41,40;41,40;40,70;41,20;41,20;13113;63;537345;40,9780
19/06/2023;41,50;43,00;41,30;41,60;41,60;51639;141;2173050;42,0816
16/06/2023;40,50;41,30;40,30;41,00;41,00;4791;32;195249;40,7532
15/06/2023;40,20;40,80;38,90;40,50;40,50;24146;88;964543;39,9463
14/06/2023;40,10;40,50;38,30;38,70;38,70;78929;184;3031620;38,4095
13/06/2023;40,10;40,30;38,80;40,00;40,00;23163;65;916249;39,5566
12/06/2023;40,00;41,40;39,40;39,60;39,60;52942;173;2130268;40,2378
09/06/2023;41,80;41,80;39,60;39,90;39,90;30223;106;1211063;40,0709
08/06/2023;39,00;42,00;39,00;41,50;41,50;19009;73;760563;40,0107
07/06/2023;42,00;42,00;39,90;40,00;40,00;6479;48;261421;40,3489
06/06/2023;39,90;41,50;39,10;41,40;41,40;34754;99;1387682;39,9287
05/06/2023;42,00;42,90;39,70;39,70;39,70;53689;134;2234221;41,6141
02/06/2023;39,80;41,90;39,80;41,90;41,90;43846;98;1808932;41,2565
01/06/2023;40,00;40,90;39,40;40,00;40,00;18586;80;741540;39,8978
31/05/2023;40,00;40,60;39,30;40,00;40,00;59733;136;2377152;39,7963
30/05/2023;40,10;43,20;40,00;40,00;40,00;34550;115;1425102;41,2475
