"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012697715
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;1,275;1,28;1,20;1,20;1,20;24071;9;30111;1,2509
03/11/2023;1,355;1,355;1,355;1,355;1,355;30;1;41;1,3550
02/11/2023;1,10;1,20;1,10;1,20;1,20;20000;2;23704;1,1852
01/11/2023;1,10;1,10;1,05;1,05;1,05;4060;4;4394;1,0821
31/10/2023;1,05;1,10;1,05;1,10;1,10;86;2;92;1,0750
30/10/2023;1,06;1,10;1,06;1,10;1,10;8624;3;9481;1,0994
27/10/2023;1,28;1,28;1,00;1,075;1,075;274821;36;302220;1,0997
26/10/2023;1,31;1,31;1,31;1,31;1,31;1000;1;1310;1,3100
25/10/2023;1,35;1,35;1,35;1,35;1,35;499;1;674;1,3500
24/10/2023;1,355;1,355;1,355;1,355;1,355;1581;1;2142;1,3550
23/10/2023;1,29;1,35;1,28;1,35;1,35;13048;7;17135;1,3133
20/10/2023;1,40;1,40;1,27;1,28;1,28;31207;12;40794;1,3072
19/10/2023;1,45;1,45;1,45;1,45;1,45;2500;2;3625;1,4500
18/10/2023;1,41;1,515;1,41;1,48;1,48;11000;5;16012;1,4557
17/10/2023;1,445;1,445;1,36;1,36;1,36;760;3;1097;1,4439
16/10/2023;1,32;1,445;1,32;1,445;1,445;8702;4;12121;1,3929
13/10/2023;1,35;1,35;1,30;1,30;1,30;4315;2;5825;1,3498
12/10/2023;1,375;1,41;1,375;1,38;1,38;5472;5;7537;1,3774
11/10/2023;1,44;1,44;1,375;1,375;1,375;3670;3;5275;1,4373
10/10/2023;1,29;1,37;1,28;1,37;1,37;5199;5;7078;1,3614
09/10/2023;1,36;1,36;1,29;1,29;1,29;37277;10;49226;1,3205
06/10/2023;1,38;1,38;1,38;1,38;1,38;6500;3;8970;1,3800
05/10/2023;1,36;1,36;1,34;1,34;1,34;13625;5;18311;1,3439
04/10/2023;1,35;1,38;1,35;1,36;1,36;8782;5;12062;1,3735
03/10/2023;1,40;1,41;1,38;1,41;1,41;8160;6;11378;1,3943
02/10/2023;1,30;1,50;1,295;1,50;1,50;19591;13;27430;1,4001
29/09/2023;1,32;1,32;1,32;1,32;1,32;28;1;37;1,3200
28/09/2023;1,32;1,32;1,30;1,30;1,30;4024;5;5311;1,3199
27/09/2023;1,34;1,34;1,32;1,34;1,34;1674;3;2243;1,3398
26/09/2023;1,35;1,37;1,34;1,34;1,34;6852;5;9294;1,3564
25/09/2023;0,00;0,00;0,00;0,00;1,31;0;0;0;0,0000
22/09/2023;1,31;1,37;1,31;1,31;1,31;26343;9;35443;1,3454
21/09/2023;1,28;1,34;1,28;1,34;1,34;4200;2;5616;1,3371
20/09/2023;1,39;1,39;1,28;1,28;1,28;24066;17;32138;1,3354
19/09/2023;1,36;1,39;1,32;1,32;1,32;30570;10;40991;1,3409
18/09/2023;1,36;1,40;1,295;1,40;1,40;50444;12;66894;1,3261
