"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0012450008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;0,102;0,102;0,099;0,0997;0,0997;18057001;149;1807923;0,1001
03/11/2023;0,103;0,103;0,0999;0,102;0,102;13690333;160;1378814;0,1007
02/11/2023;0,1024;0,104;0,10;0,1022;0,1022;19694362;192;1996105;0,1014
01/11/2023;0,1028;0,106;0,10;0,1024;0,1024;9724926;155;998529;0,1027
31/10/2023;0,099;0,104;0,0978;0,101;0,101;16320053;220;1635716;0,1002
30/10/2023;0,108;0,108;0,0978;0,098;0,098;16227933;219;1624093;0,1001
27/10/2023;0,1086;0,1086;0,1014;0,1046;0,1046;3076042;110;320773;0,1043
26/10/2023;0,108;0,108;0,10;0,104;0,104;7583098;187;777565;0,1025
25/10/2023;0,105;0,1176;0,1032;0,106;0,106;36818571;428;4013680;0,1090
24/10/2023;0,1028;0,1032;0,099;0,1032;0,1032;5766574;121;585619;0,1016
23/10/2023;0,103;0,103;0,0985;0,1026;0,1026;9879926;185;990691;0,1003
20/10/2023;0,106;0,107;0,0955;0,103;0,103;21453001;320;2172452;0,1013
19/10/2023;0,108;0,11;0,10;0,1046;0,1046;29576247;352;3094399;0,1046
18/10/2023;0,116;0,116;0,1076;0,1092;0,1092;10597637;245;1166264;0,1100
17/10/2023;0,113;0,1188;0,1104;0,1126;0,1126;6971990;194;778240;0,1116
16/10/2023;0,1158;0,124;0,112;0,113;0,113;14481334;324;1688584;0,1166
13/10/2023;0,12;0,12;0,1122;0,115;0,115;10309946;205;1207227;0,1171
12/10/2023;0,113;0,1154;0,1096;0,1154;0,1154;15008771;225;1712458;0,1141
11/10/2023;0,115;0,115;0,109;0,11;0,11;13333099;293;1481104;0,1111
10/10/2023;0,117;0,117;0,111;0,1154;0,1154;7749401;153;882144;0,1138
09/10/2023;0,113;0,1146;0,1064;0,1106;0,1106;11560755;228;1272973;0,1101
06/10/2023;0,12;0,12;0,11;0,113;0,113;10507060;262;1217504;0,1159
05/10/2023;0,1148;0,1188;0,106;0,114;0,114;13277515;354;1502660;0,1132
04/10/2023;0,1124;0,1178;0,1054;0,111;0,111;16152004;337;1776183;0,1100
03/10/2023;0,121;0,1246;0,1122;0,1124;0,1124;18666188;393;2191755;0,1174
02/10/2023;0,125;0,1288;0,1208;0,121;0,121;20253339;386;2523305;0,1246
29/09/2023;0,126;0,13;0,1208;0,125;0,125;24064959;486;2980921;0,1239
28/09/2023;0,15;0,1588;0,1232;0,129;0,129;71807946;1248;10126024;0,1410
27/09/2023;0,1214;0,147;0,1212;0,147;0,147;50333286;747;6919085;0,1375
