"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010096985
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;365,30;373,30;365,30;373,00;373,00;1803749;5413;669719541;371,2931
03/11/2023;376,15;377,65;364,85;366,75;366,75;2920411;8524;1080196346;369,8782
02/11/2023;373,95;374,70;368,10;374,70;374,70;2455726;6920;915234378;372,6940
01/11/2023;371,45;375,15;366,80;374,55;374,55;2379123;8504;886378862;372,5654
31/10/2023;372,30;376,00;371,80;374,45;374,45;3006027;7472;1124655116;374,1334
30/10/2023;373,00;382,85;372,05;373,55;373,55;3311378;9381;1246394449;376,3975
27/10/2023;370,00;379,60;369,40;373,80;373,80;2380671;8123;891967288;374,6705
26/10/2023;371,50;373,65;364,20;367,25;367,25;2509873;8292;923697288;368,0255
25/10/2023;367,75;372,60;367,75;370,05;370,05;1340248;4352;496225975;370,2494
24/10/2023;370,95;373,85;368,30;370,85;370,85;1866167;6530;692131284;370,8839
23/10/2023;372,25;376,65;371,05;372,25;372,25;1622780;6191;605028761;372,8347
20/10/2023;379,70;382,20;375,50;375,50;375,50;2286673;7322;862583945;377,2223
19/10/2023;381,00;382,25;375,40;377,80;377,80;2719342;8603;1027413391;377,8169
18/10/2023;380,50;381,95;377,05;380,50;380,50;2044548;6677;777014134;380,0420
17/10/2023;374,40;380,35;372,80;376,70;376,70;2539114;9051;955904006;376,4715
16/10/2023;377,10;381,25;375,35;375,95;375,95;2923228;9124;1103768305;377,5854
13/10/2023;366,65;375,00;366,65;374,05;374,05;2959197;9265;1103399656;372,8713
12/10/2023;360,60;369,45;359,65;368,65;368,65;2545623;7820;933741963;366,8029
11/10/2023;366,45;370,90;359,85;360,80;360,80;2966841;9431;1078595280;363,5501
10/10/2023;359,40;366,35;355,60;366,20;366,20;3750152;9544;1364174421;363,7651
09/10/2023;348,75;359,65;348,50;359,65;359,65;3888547;10670;1383946059;355,9031
06/10/2023;338,00;341,80;335,55;340,45;340,45;2788955;8543;946753161;339,4652
05/10/2023;339,00;342,00;335,20;341,00;341,00;2199624;7093;745702302;339,0135
04/10/2023;345,20;346,65;338,35;338,85;338,85;2451197;7128;837354750;341,6105
03/10/2023;348,00;351,00;345,05;345,15;345,15;3205824;6330;1112352815;346,9788
02/10/2023;353,70;356,75;348,00;348,00;348,00;2465579;5681;866320830;351,3661
29/09/2023;355,00;357,00;351,15;351,15;351,15;2986022;6085;1053797232;352,9101
28/09/2023;355,85;359,55;352,10;353,35;353,35;2191464;6322;778258264;355,1317
27/09/2023;347,50;354,40;347,30;354,15;354,15;2294381;5930;808588189;352,4211
26/09/2023;346,85;348,35;343,15;346,65;346,65;3618153;4768;1253232127;346,3734
25/09/2023;346,25;348,00;344,90;346,50;346,50;1912833;5591;662770057;346,4861
22/09/2023;348,85;349,20;342,50;347,90;347,90;3553417;8725;1231495076;346,5664
21/09/2023;350,90;354,60;345,20;350,35;350,35;4311395;12104;1505673673;349,2312
20/09/2023;356,40;357,60;350,15;355,95;355,95;3000210;8261;1065382549;355,1027
19/09/2023;354,10;359,25;352,80;356,75;356,75;2552311;6835;909968104;356,5271
18/09/2023;354,95;357,60;353,60;354,45;354,45;2100263;6162;741855673;353,2204
15/09/2023;356,90;358,75;354,00;354,00;354,00;6923352;8051;2450390282;353,9312
14/09/2023;350,40;357,20;350,00;356,00;356,00;3619916;9409;1285416804;355,0958
13/09/2023;347,80;350,65;347,05;347,10;347,10;2458526;6297;856245351;348,2759
12/09/2023;346,15;349,35;343,85;347,30;347,30;3098694;6526;1073962071;346,5854
11/09/2023;346,50;350,30;344,65;347,95;347,95;2128106;5998;740611407;348,0143
08/09/2023;345,00;348,35;343,10;346,50;346,50;2740328;8060;948538746;346,1406
07/09/2023;341,05;342,70;338,20;341,95;341,95;3297643;8422;1123765497;340,7784
06/09/2023;341,15;346,35;341,00;343,30;343,30;3856274;9180;1325177798;343,6420
05/09/2023;335,00;344,25;333,45;341,45;341,45;2373081;6693;806327742;339,7810
04/09/2023;336,05;337,85;334,30;335,80;335,80;1760954;5434;591564129;335,9339
01/09/2023;331,00;337,95;331,00;335,45;335,45;3255341;9007;1091382239;335,2590
31/08/2023;328,40;330,15;327,15;328,20;328,20;7141116;5910;2344368043;328,2916
30/08/2023;327,90;328,80;325,55;327,20;327,20;2238414;6741;732668448;327,3159
29/08/2023;325,55;329,00;325,05;326,00;326,00;2462362;5871;804087998;326,5515
28/08/2023;323,80;326,55;321,30;326,20;326,20;2137085;6110;693753757;324,6262
25/08/2023;319,80;323,10;319,40;320,70;320,70;2229232;6134;715833142;321,1120
24/08/2023;314,60;319,90;313,40;318,70;318,70;2121711;6541;674011029;317,6733
23/08/2023;326,60;327,20;315,75;318,30;318,30;3533083;10311;1130665046;320,0222
22/08/2023;326,75;328,30;323,45;327,65;327,65;2002761;5362;654501518;326,7996
21/08/2023;325,60;329,50;325,10;326,85;326,85;2965795;8038;971208010;327,4697
18/08/2023;323,15;323,40;319,30;321,80;321,80;2647057;4979;850905548;321,4534
17/08/2023;317,75;324,40;317,20;323,70;323,70;2231240;7330;718533920;322,0335
16/08/2023;322,35;323,20;317,40;320,00;320,00;2823440;7947;903269610;319,9181
15/08/2023;322,35;323,85;320,20;321,05;321,05;2676298;9128;860349679;321,4701
14/08/2023;321,00;323,20;319,20;319,70;319,70;2399729;8546;769157752;320,5186
11/08/2023;326,10;332,90;325,20;332,90;332,90;3449407;9521;1139176665;330,2529
10/08/2023;331,45;333,10;326,90;327,55;327,55;3629429;11740;1195939941;329,5119
09/08/2023;316,00;336,65;315,90;334,50;334,50;7284078;20276;2398686266;329,3054
08/08/2023;312,40;313,00;307,80;312,75;312,75;3024498;8072;941623725;311,3322
07/08/2023;316,00;317,60;312,20;312,40;312,40;3009888;7798;946325621;314,4056
04/08/2023;313,80;317,10;312,35;316,95;316,95;2928956;7270;924837687;315,7568
