"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010708605
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;2,50;2,58;2,30;2,51;2,51;16317;11;38152;2,3382
03/11/2023;2,68;2,68;2,30;2,58;2,58;69200;12;161267;2,3304
02/11/2023;2,69;2,69;2,26;2,50;2,50;17833;9;42862;2,4035
01/11/2023;2,28;2,70;2,28;2,50;2,50;17243;10;43041;2,4961
31/10/2023;2,54;2,54;2,40;2,47;2,47;9180;3;22036;2,4005
30/10/2023;2,56;2,56;2,56;2,56;2,56;1060;3;2714;2,5600
27/10/2023;2,44;2,72;2,40;2,56;2,56;44658;19;111976;2,5074
26/10/2023;2,40;2,54;2,34;2,54;2,54;50707;10;119460;2,3559
25/10/2023;2,40;2,69;2,40;2,67;2,67;11300;5;28648;2,5352
24/10/2023;2,34;2,75;2,31;2,75;2,75;134215;20;335718;2,5013
23/10/2023;2,40;2,76;2,29;2,56;2,56;44782;13;105939;2,3657
20/10/2023;2,40;2,60;2,40;2,50;2,50;74897;15;187096;2,4980
19/10/2023;2,55;2,76;2,50;2,70;2,70;32570;18;82223;2,5245
18/10/2023;2,55;2,69;2,55;2,69;2,69;4252;9;10897;2,5629
17/10/2023;2,51;2,79;2,51;2,67;2,67;8060;9;20432;2,5350
16/10/2023;2,69;2,84;2,30;2,74;2,74;25351;12;64070;2,5273
13/10/2023;2,69;2,69;2,69;2,69;2,69;500;1;1345;2,6900
12/10/2023;2,44;2,72;2,44;2,72;2,72;40985;24;105697;2,5789
11/10/2023;2,52;2,70;2,50;2,70;2,70;498;3;1249;2,5076
10/10/2023;2,84;2,84;2,45;2,75;2,75;5737;17;14763;2,5733
09/10/2023;2,88;2,88;2,57;2,70;2,70;37307;25;98865;2,6501
06/10/2023;2,79;2,79;2,50;2,64;2,64;32798;32;85420;2,6044
05/10/2023;2,89;2,89;2,40;2,40;2,40;73708;12;177302;2,4055
04/10/2023;2,80;2,80;2,70;2,70;2,70;8370;6;22620;2,7025
03/10/2023;2,60;2,80;2,60;2,80;2,80;43842;9;117327;2,6761
02/10/2023;2,71;2,87;2,65;2,86;2,86;29216;9;79085;2,7069
29/09/2023;2,85;2,89;2,71;2,89;2,89;13398;8;36715;2,7403
28/09/2023;2,72;2,85;2,72;2,85;2,85;4663;7;13210;2,8329
27/09/2023;2,80;2,88;2,76;2,88;2,88;5336;5;15054;2,8211
26/09/2023;2,76;2,76;2,74;2,75;2,75;9125;4;25142;2,7552
25/09/2023;2,78;2,84;2,74;2,84;2,84;3050;3;8365;2,7425
22/09/2023;2,80;2,80;2,74;2,79;2,79;6705;10;18522;2,7625
21/09/2023;2,73;2,84;2,73;2,84;2,84;2360;5;6647;2,8166
20/09/2023;2,79;2,84;2,73;2,84;2,84;9326;8;25629;2,7482
19/09/2023;2,80;2,94;2,80;2,85;2,85;5600;10;15720;2,8071
18/09/2023;2,76;2,97;2,76;2,96;2,96;15596;16;45368;2,9090
15/09/2023;2,76;2,95;2,76;2,95;2,95;6860;6;19200;2,7988
14/09/2023;2,74;2,92;2,74;2,92;2,92;2515;7;6913;2,7485
13/09/2023;2,90;2,90;2,90;2,90;2,90;4;1;12;2,9000
12/09/2023;2,72;2,97;2,72;2,95;2,95;4900;5;14409;2,9405
11/09/2023;2,99;2,99;2,99;2,99;2,99;365;2;1091;2,9900
08/09/2023;2,75;2,99;2,74;2,99;2,99;20864;13;57661;2,7636
07/09/2023;2,72;2,85;2,72;2,84;2,84;752;6;2140;2,8454
06/09/2023;2,88;2,88;2,72;2,80;2,80;2325;5;6495;2,7933
05/09/2023;2,80;2,88;2,71;2,88;2,88;2078;4;5733;2,7589
04/09/2023;2,80;2,88;2,80;2,88;2,88;16170;11;45721;2,8275
01/09/2023;2,80;2,99;2,80;2,97;2,97;6626;9;19495;2,9423
31/08/2023;2,99;2,99;2,99;2,99;2,99;1612;5;4820;2,9900
30/08/2023;2,71;3,00;2,71;2,99;2,99;25204;18;74934;2,9731
29/08/2023;2,90;2,90;2,90;2,90;2,90;50;1;145;2,9000
28/08/2023;3,00;3,00;2,76;2,76;2,76;10200;9;29380;2,8804
25/08/2023;2,72;3,00;2,72;2,99;2,99;62425;27;181406;2,9060
24/08/2023;3,00;3,00;2,78;2,85;2,85;10825;8;30779;2,8433
23/08/2023;2,72;2,81;2,72;2,81;2,81;2999;3;8292;2,7650
22/08/2023;2,94;2,94;2,72;2,94;2,94;1262;4;3510;2,7810
21/08/2023;2,72;2,94;2,72;2,94;2,94;4490;5;13174;2,9341
18/08/2023;2,72;2,99;2,72;2,99;2,99;1530;4;4440;2,9018
17/08/2023;2,74;2,99;2,74;2,95;2,95;203;4;576;2,8360
16/08/2023;2,83;2,99;2,80;2,99;2,99;11488;8;32411;2,8213
15/08/2023;2,82;3,00;2,82;3,00;3,00;210;2;601;2,8629
14/08/2023;3,00;3,00;3,00;3,00;3,00;2240;5;6720;3,0000
11/08/2023;3,07;3,07;2,83;3,00;3,00;1987;8;5738;2,8880
10/08/2023;3,10;3,10;2,75;2,82;2,82;2391;13;7181;3,0035
09/08/2023;2,90;3,10;2,90;3,08;3,08;8112;8;24792;3,0563
08/08/2023;2,71;3,07;2,71;3,07;3,07;12671;9;38079;3,0052
07/08/2023;3,10;3,10;2,84;3,10;3,10;6095;9;17424;2,8588
04/08/2023;2,93;3,10;2,90;3,10;3,10;108148;20;323657;2,9927
03/08/2023;2,73;2,95;2,73;2,88;2,88;42874;18;120865;2,8191
02/08/2023;2,89;2,89;2,85;2,85;2,85;6590;6;18893;2,8669
01/08/2023;2,89;2,89;2,71;2,76;2,76;6935;6;19099;2,7540
31/07/2023;2,72;2,90;2,72;2,87;2,87;4827;10;13760;2,8507
28/07/2023;2,67;2,82;2,67;2,71;2,71;374;4;1009;2,6968
27/07/2023;2,68;2,89;2,68;2,82;2,82;11555;8;32916;2,8486
26/07/2023;2,71;2,90;2,71;2,72;2,72;1764;6;4810;2,7267
25/07/2023;2,71;2,90;2,71;2,83;2,83;3342;5;9299;2,7824
24/07/2023;2,97;2,97;2,72;2,84;2,84;27726;13;78042;2,8148
21/07/2023;2,80;2,80;2,70;2,80;2,80;6810;8;18968;2,7853
20/07/2023;2,97;2,97;2,70;2,92;2,92;71828;26;200432;2,7904
19/07/2023;2,69;2,97;2,68;2,97;2,97;27875;17;78193;2,8051
18/07/2023;2,85;2,85;2,69;2,69;2,69;25422;16;69434;2,7313
17/07/2023;2,70;2,75;2,70;2,75;2,75;1436;3;3894;2,7117
14/07/2023;2,73;2,73;2,69;2,69;2,69;4430;3;11934;2,6939
13/07/2023;2,98;2,98;2,67;2,84;2,84;40036;11;110180;2,7520
12/07/2023;2,91;2,91;2,65;2,70;2,70;16036;11;43298;2,7000
11/07/2023;2,77;2,84;2,56;2,76;2,76;57013;15;155674;2,7305
10/07/2023;2,99;2,99;2,91;2,91;2,91;11034;5;32865;2,9785
07/07/2023;2,99;2,99;2,76;2,88;2,88;23600;10;68145;2,8875
06/07/2023;2,80;2,80;2,80;2,80;2,80;1388;2;3886;2,8000
05/07/2023;2,77;2,98;2,77;2,90;2,90;8326;7;23698;2,8463
04/07/2023;2,90;2,99;2,85;2,99;2,99;11944;7;34717;2,9066
03/07/2023;2,99;3,00;2,81;3,00;3,00;15375;9;43739;2,8448
30/06/2023;2,90;2,99;2,80;2,90;2,90;11667;13;33050;2,8328
29/06/2023;2,83;2,99;2,83;2,90;2,90;4281;7;12691;2,9644
28/06/2023;2,88;2,99;2,76;2,82;2,82;15087;21;42633;2,8258
27/06/2023;2,93;2,93;2,93;2,93;2,93;6167;5;18069;2,9300
26/06/2023;3,00;3,09;2,93;2,93;2,93;7054;7;20853;2,9562
23/06/2023;3,00;3,00;2,93;2,93;2,93;1104;4;3236;2,9315
22/06/2023;2,94;2,94;2,94;2,94;2,94;1500;1;4410;2,9400
21/06/2023;2,93;3,00;2,93;3,00;3,00;7477;7;22333;2,9869
20/06/2023;2,93;3,00;2,93;3,00;3,00;5643;6;16760;2,9700
19/06/2023;2,98;3,09;2,92;3,00;3,00;11480;12;34176;2,9770
16/06/2023;2,99;3,09;2,99;3,09;3,09;12912;4;39796;3,0821
15/06/2023;2,95;3,24;2,95;3,08;3,08;28475;17;86647;3,0429
14/06/2023;3,20;3,20;2,91;3,18;3,18;6612;15;20489;3,0988
13/06/2023;3,19;3,19;2,91;3,08;3,08;28013;12;83605;2,9845
12/06/2023;2,96;3,19;2,96;3,19;3,19;541;2;1716;3,1726
09/06/2023;2,90;2,91;2,90;2,91;2,91;485;2;1407;2,9006
08/06/2023;3,08;3,10;3,08;3,10;3,10;930;5;2878;3,0942
07/06/2023;3,20;3,20;3,19;3,20;3,20;14713;8;46981;3,1932
06/06/2023;0,00;0,00;0,00;0,00;3,20;0;0;0;0,0000
05/06/2023;3,08;3,20;3,08;3,20;3,20;12430;7;39621;3,1875
02/06/2023;3,12;3,12;3,12;3,12;3,12;1500;2;4680;3,1200
01/06/2023;3,05;3,12;3,04;3,12;3,12;56581;12;174198;3,0787
31/05/2023;2,88;3,01;2,88;3,01;3,01;1195;3;3465;2,8992
30/05/2023;3,15;3,15;3,10;3,10;3,10;2521;7;7832;3,1065
29/05/2023;0,00;0,00;0,00;0,00;3,15;0;0;0;0,0000
26/05/2023;2,94;3,20;2,94;3,15;3,15;11350;5;33931;2,9895
25/05/2023;3,00;3,00;3,00;3,00;3,00;22591;6;67773;3,0000
24/05/2023;2,90;3,15;2,90;3,00;3,00;12591;14;37295;2,9621
23/05/2023;3,22;3,22;2,90;3,08;3,08;119495;34;354617;2,9676
22/05/2023;3,15;3,15;2,90;3,15;3,15;11575;17;36265;3,1330
19/05/2023;2,99;3,15;2,99;3,15;3,15;12378;9;37139;3,0004
18/05/2023;0,00;0,00;0,00;0,00;3,10;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;3,10;0;0;0;0,0000
16/05/2023;3,06;3,22;3,00;3,10;3,10;62987;22;192112;3,0500
15/05/2023;3,17;3,17;2,90;3,06;3,06;23664;19;72354;3,0576
12/05/2023;3,03;3,17;3,03;3,17;3,17;2699;4;8428;3,1226
11/05/2023;3,12;3,12;3,12;3,12;3,12;6473;5;20196;3,1200
10/05/2023;3,04;3,25;3,04;3,25;3,25;14062;14;43556;3,0975
09/05/2023;3,20;3,20;3,20;3,20;3,20;3744;5;11981;3,2000
08/05/2023;3,06;3,20;3,06;3,20;3,20;14874;10;46095;3,0990
05/05/2023;3,06;3,18;3,06;3,18;3,18;15367;9;47605;3,0979
04/05/2023;3,05;3,25;3,05;3,20;3,20;7114;14;22361;3,1432
03/05/2023;3,25;3,25;3,20;3,20;3,20;1506;3;4824;3,2033
02/05/2023;3,03;3,39;3,03;3,25;3,25;8359;11;25692;3,0736
28/04/2023;3,20;3,20;3,15;3,15;3,15;3425;5;10906;3,1841
27/04/2023;3,03;3,20;3,03;3,20;3,20;42527;12;131469;3,0914
26/04/2023;3,44;3,44;3,28;3,28;3,28;8838;4;30389;3,4384
25/04/2023;3,10;3,44;3,10;3,28;3,28;2290;7;7579;3,3098
24/04/2023;3,10;3,45;3,10;3,10;3,10;8537;8;26979;3,1602
21/04/2023;3,42;3,45;3,10;3,10;3,10;10450;9;32961;3,1541
20/04/2023;3,46;3,46;3,20;3,42;3,42;1318;6;4298;3,2610
19/04/2023;3,08;3,40;3,08;3,40;3,40;31745;22;104703;3,2982
18/04/2023;3,25;3,25;3,11;3,11;3,11;4597;6;14381;3,1283
17/04/2023;3,00;3,47;3,00;3,16;3,16;6068;13;19346;3,1881
14/04/2023;3,10;3,20;3,06;3,20;3,20;11696;13;36476;3,1186
13/04/2023;3,47;3,47;3,20;3,20;3,20;6322;10;21399;3,3848
12/04/2023;3,25;3,47;3,25;3,35;3,35;16482;19;55571;3,3716
11/04/2023;3,10;3,15;3,10;3,15;3,15;450;2;1413;3,1389
06/04/2023;0,00;0,00;0,00;0,00;3,10;0;0;0;0,0000
05/04/2023;3,02;3,10;3,02;3,10;3,10;1040;2;3221;3,0969
04/04/2023;3,21;3,22;3,10;3,22;3,22;12712;8;40419;3,1796
03/04/2023;3,00;3,22;3,00;3,22;3,22;1408;5;4391;3,1183
31/03/2023;3,15;3,25;3,15;3,25;3,25;65068;17;209813;3,2245
30/03/2023;3,00;3,18;3,00;3,18;3,18;161;3;501;3,1113
29/03/2023;3,08;3,18;3,08;3,18;3,18;5316;2;16405;3,0859
28/03/2023;2,90;3,195;2,90;3,18;3,18;20525;16;62784;3,0589
27/03/2023;2,95;3,095;2,905;3,095;3,095;13862;12;42665;3,0778
24/03/2023;2,90;3,20;2,90;3,025;3,025;8546;12;26180;3,0634
23/03/2023;2,95;3,17;2,95;3,14;3,14;21500;14;65090;3,0274
22/03/2023;2,90;3,16;2,90;3,14;3,14;4504;7;13904;3,0870
21/03/2023;2,90;3,18;2,90;3,18;3,18;1269;7;3920;3,0891
20/03/2023;3,01;3,14;3,005;3,14;3,14;62139;18;189043;3,0423
17/03/2023;3,29;3,29;3,10;3,13;3,13;11299;10;35102;3,1066
16/03/2023;3,105;3,20;3,10;3,20;3,20;10305;11;32518;3,1556
15/03/2023;3,75;3,75;3,10;3,10;3,10;168760;56;557704;3,3047
14/03/2023;3,36;3,805;3,36;3,75;3,75;5018;7;18255;3,6380
13/03/2023;3,50;3,55;3,34;3,46;3,46;67958;27;233590;3,4373
10/03/2023;3,83;3,835;3,505;3,825;3,825;128668;27;478694;3,7204
09/03/2023;3,60;3,82;3,285;3,82;3,82;125562;26;470171;3,7445
08/03/2023;3,30;3,505;3,30;3,505;3,505;39440;16;134104;3,4002
07/03/2023;3,34;3,40;3,325;3,325;3,325;52305;16;176071;3,3662
06/03/2023;3,40;3,695;3,40;3,495;3,495;13833;21;48506;3,5066
03/03/2023;3,40;3,595;3,40;3,50;3,50;32220;23;115060;3,5711
02/03/2023;3,33;3,70;3,33;3,48;3,48;84003;39;300087;3,5723
01/03/2023;3,69;3,795;3,375;3,50;3,50;137971;75;489792;3,5500
28/02/2023;2,90;3,89;2,90;3,80;3,80;310954;151;1135057;3,6502
27/02/2023;2,85;2,90;2,825;2,90;2,90;12704;8;36455;2,8696
24/02/2023;2,70;2,925;2,70;2,85;2,85;28607;14;79108;2,7653
23/02/2023;2,805;2,85;2,805;2,85;2,85;26818;5;76194;2,8411
