"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010735343
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;64,00;66,10;63,70;66,05;66,05;405406;785;26472596;65,2990
03/11/2023;63,10;64,00;62,35;63,75;63,75;387817;714;24584272;63,3914
02/11/2023;62,10;64,30;61,95;63,10;63,10;297675;1026;18785187;63,1064
01/11/2023;63,25;63,65;62,70;63,10;63,10;136376;577;8615029;63,1712
31/10/2023;63,80;63,80;62,80;63,25;63,25;164421;417;10392397;63,2060
30/10/2023;63,00;63,60;62,50;62,80;62,80;138374;466;8728635;63,0800
27/10/2023;63,00;63,10;62,30;62,80;62,80;114416;427;7185796;62,8041
26/10/2023;62,00;62,50;61,60;62,00;62,00;73856;294;4585041;62,0808
25/10/2023;63,70;63,90;61,80;62,10;62,10;289233;687;18081223;62,5144
24/10/2023;62,70;63,80;62,40;63,65;63,65;208172;622;13177932;63,3031
23/10/2023;62,00;62,70;61,10;62,00;62,00;172462;430;10709381;62,0970
20/10/2023;63,00;63,00;62,25;62,40;62,40;219638;570;13739992;62,5574
19/10/2023;62,30;63,75;62,00;63,00;63,00;211284;593;13335173;63,1149
18/10/2023;61,50;62,30;61,05;62,20;62,20;119366;482;7401896;62,0101
17/10/2023;61,60;61,70;60,80;61,20;61,20;115326;366;7052556;61,1532
16/10/2023;61,65;61,90;60,60;61,55;61,55;159973;448;9830174;61,4490
13/10/2023;61,50;62,20;61,20;62,10;62,10;112698;375;6971308;61,8583
12/10/2023;61,00;61,75;60,50;61,75;61,75;188240;494;11554786;61,3833
11/10/2023;61,55;61,55;60,25;60,65;60,65;220545;454;13386153;60,6958
10/10/2023;60,10;61,55;60,05;61,20;61,20;275836;545;16798693;60,9010
09/10/2023;59,30;60,75;59,20;60,15;60,15;405588;675;24361007;60,0634
06/10/2023;59,00;59,90;58,60;59,00;59,00;151609;448;8973674;59,1896
05/10/2023;59,40;59,50;58,40;59,10;59,10;182640;455;10801943;59,1434
04/10/2023;59,25;59,30;58,20;58,40;58,40;183952;556;10819501;58,8170
03/10/2023;60,00;60,00;58,75;59,30;59,30;219070;621;12978226;59,2424
02/10/2023;60,00;61,40;59,55;59,65;59,65;349097;697;21030672;60,2431
29/09/2023;59,00;60,15;59,00;59,75;59,75;255871;495;15273469;59,6921
28/09/2023;57,50;58,75;57,50;58,60;58,60;233160;546;13622322;58,4248
27/09/2023;58,05;58,45;57,55;58,40;58,40;97197;361;5645347;58,0815
26/09/2023;58,00;58,75;57,70;58,05;58,05;132343;523;7694006;58,1369
25/09/2023;59,00;59,05;57,80;58,40;58,40;236452;642;13822186;58,4566
22/09/2023;59,35;59,35;58,90;59,15;59,15;87373;410;5165847;59,1241
21/09/2023;59,90;59,90;58,60;59,35;59,35;149684;531;8855565;59,1617
20/09/2023;59,65;59,80;58,85;59,70;59,70;206429;721;12237403;59,2814
19/09/2023;59,00;59,70;58,90;59,55;59,55;129777;437;7716436;59,4592
18/09/2023;60,30;60,30;59,10;59,15;59,15;247376;633;14699953;59,4235
15/09/2023;60,75;61,15;60,05;60,40;60,40;402713;510;24368178;60,5100
14/09/2023;60,95;61,55;60,60;60,75;60,75;129124;564;7860812;60,8780
13/09/2023;61,20;61,60;60,60;60,60;60,60;192493;523;11711267;60,8400
12/09/2023;61,70;62,70;60,90;60,95;60,95;128448;510;7902622;61,5239
11/09/2023;60,60;61,85;60,60;61,70;61,70;116414;340;7165781;61,5543
08/09/2023;60,05;61,35;59,85;61,05;61,05;190318;567;11589194;60,8938
07/09/2023;60,45;60,60;59,80;60,05;60,05;95362;356;5734620;60,1353
06/09/2023;60,00;60,55;59,80;60,00;60,00;172781;520;10381978;60,0875
05/09/2023;59,80;60,40;59,55;60,40;60,40;54158;276;3258841;60,1728
04/09/2023;60,70;60,90;59,85;59,95;59,95;73017;310;4405722;60,3383
01/09/2023;60,60;60,70;60,15;60,35;60,35;75208;311;4538398;60,3446
31/08/2023;59,65;60,60;59,60;60,60;60,60;516808;395;31069308;60,1177
30/08/2023;59,85;60,40;59,65;59,65;59,65;126950;382;7609198;59,9385
29/08/2023;60,50;60,55;59,60;59,85;59,85;73218;388;4393140;60,0008
28/08/2023;61,30;61,30;60,15;60,50;60,50;117977;524;7152137;60,6231
25/08/2023;60,60;61,20;60,25;61,00;61,00;123168;464;7495004;60,8519
24/08/2023;61,50;61,75;60,45;60,75;60,75;90135;395;5493349;60,9458
23/08/2023;61,40;61,60;60,45;60,85;60,85;120196;564;7323174;60,9269
22/08/2023;62,75;62,80;61,40;61,40;61,40;160354;719;9922331;61,8777
21/08/2023;63,00;63,65;62,70;62,75;62,75;185073;569;11673753;63,0765
18/08/2023;63,30;63,65;61,80;61,95;61,95;169227;553;10582161;62,5323
17/08/2023;63,65;63,80;62,75;63,70;63,70;165724;529;10525816;63,5141
16/08/2023;62,60;63,70;62,10;63,70;63,70;125934;480;7954149;63,1613
15/08/2023;62,80;63,40;62,20;62,40;62,40;215095;546;13498374;62,7554
14/08/2023;62,35;63,35;61,95;62,25;62,25;180805;550;11317755;62,5965
11/08/2023;61,05;61,75;61,05;61,50;61,50;136103;426;8372141;61,5133
10/08/2023;61,35;61,95;61,30;61,50;61,50;160297;468;9861040;61,5173
09/08/2023;61,70;61,75;60,70;61,30;61,30;217658;697;13348331;61,3271
08/08/2023;61,80;62,15;61,25;61,70;61,70;170193;565;10502980;61,7122
07/08/2023;60,80;61,35;60,55;61,30;61,30;81255;395;4958502;61,0240
04/08/2023;61,30;61,30;60,60;60,60;60,60;163308;289;9913395;60,7037
03/08/2023;60,95;61,05;60,50;61,00;61,00;115530;468;7037368;60,9138
02/08/2023;61,30;61,30;60,45;61,00;61,00;121256;377;7378812;60,8532
