"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010852213
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;12,40;12,40;12,40;12,40;12,40;28;1;347;12,4000
03/11/2023;0,00;0,00;0,00;0,00;12,40;0;0;0;0,0000
02/11/2023;0,00;0,00;0,00;0,00;12,40;0;0;0;0,0000
01/11/2023;12,40;12,40;12,40;12,40;12,40;1145;1;14198;12,4000
31/10/2023;13,00;13,00;12,70;12,70;12,70;1285;2;16620;12,9335
30/10/2023;0,00;0,00;0,00;0,00;13,00;0;0;0;0,0000
27/10/2023;0,00;0,00;0,00;0,00;13,00;0;0;0;0,0000
26/10/2023;12,90;13,00;12,90;13,00;13,00;30;2;388;12,9333
25/10/2023;13,10;13,10;13,10;13,10;13,10;70;2;917;13,1000
24/10/2023;14,10;14,10;13,50;13,50;13,50;500;2;6990;13,9800
23/10/2023;14,50;14,50;14,50;14,50;14,50;30;1;435;14,5000
20/10/2023;15,00;15,00;15,00;15,00;15,00;50;1;750;15,0000
19/10/2023;15,00;15,00;15,00;15,00;15,00;150;1;2250;15,0000
18/10/2023;15,00;15,00;15,00;15,00;15,00;500;2;7500;15,0000
17/10/2023;15,20;15,20;15,20;15,20;15,20;250;1;3800;15,2000
16/10/2023;15,20;15,50;15,20;15,20;15,20;1301;6;19880;15,2807
13/10/2023;14,00;16,00;14,00;16,00;16,00;1003;3;15026;14,9807
12/10/2023;0,00;0,00;0,00;0,00;14,00;0;0;0;0,0000
11/10/2023;14,00;14,00;14,00;14,00;14,00;150;1;2100;14,0000
10/10/2023;0,00;0,00;0,00;0,00;15,00;0;0;0;0,0000
09/10/2023;14,90;15,00;14,90;15,00;15,00;653;2;9748;14,9285
06/10/2023;15,90;15,90;15,90;15,90;15,90;133;1;2115;15,9000
05/10/2023;0,00;0,00;0,00;0,00;16,00;0;0;0;0,0000
04/10/2023;15,00;16,00;15,00;16,00;16,00;263;2;4145;15,7605
