"Historical Data"
"From 2021-11-08 to 2023-11-07"
BMG359472021
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;344,00;350,00;344,00;348,00;348,00;43791;518;15231625;347,8255
03/11/2023;347,60;352,80;342,60;344,00;344,00;52161;718;18197796;348,8774
02/11/2023;343,00;349,60;340,20;349,40;349,40;35044;689;12138658;346,3833
01/11/2023;342,00;345,40;335,20;344,40;344,40;32671;500;11226555;343,6245
31/10/2023;334,80;342,80;334,80;342,00;342,00;28110;512;9574723;340,6163
30/10/2023;336,40;341,60;334,80;334,80;334,80;19626;430;6648370;338,7532
27/10/2023;343,00;343,20;335,60;336,40;336,40;24674;412;8359110;338,7821
26/10/2023;340,00;341,20;338,20;341,00;341,00;11692;274;3978011;340,2336
25/10/2023;343,00;343,00;339,80;340,80;340,80;9380;217;3201598;341,3217
24/10/2023;338,00;342,00;334,60;341,40;341,40;12474;304;4236901;339,6586
23/10/2023;331,80;337,20;331,00;336,80;336,80;17381;393;5812557;334,4202
20/10/2023;347,80;347,80;330,40;335,80;335,80;20132;366;6768097;336,1860
19/10/2023;344,00;348,00;337,40;340,00;340,00;26404;576;9051259;342,7988
18/10/2023;341,00;342,00;338,60;340,60;340,60;15617;324;5317066;340,4665
17/10/2023;335,00;343,40;332,80;341,40;341,40;39889;489;13583170;340,5242
16/10/2023;336,80;340,20;333,20;338,80;338,80;23553;443;7956237;337,8014
13/10/2023;323,40;335,20;323,40;335,00;335,00;23211;393;7682843;331,0001
12/10/2023;327,00;330,40;327,00;329,00;329,00;16444;313;5409234;328,9488
11/10/2023;327,20;329,60;320,20;327,40;327,40;28103;392;9176798;326,5416
10/10/2023;319,60;327,80;319,60;327,40;327,40;26857;463;8728571;325,0017
09/10/2023;319,40;324,20;316,40;319,40;319,40;68272;534;21822363;319,6385
06/10/2023;314,00;319,20;314,00;317,80;317,80;17409;358;5527473;317,5067
05/10/2023;306,00;315,60;306,00;314,80;314,80;19190;387;5960923;310,6265
04/10/2023;313,80;313,80;306,20;307,00;307,00;60185;528;18659992;310,0439
03/10/2023;319,00;319,00;312,80;313,80;313,80;16361;416;5172271;316,1341
02/10/2023;328,00;328,00;320,60;322,80;322,80;10033;251;3244866;323,4194
29/09/2023;328,00;328,00;320,00;320,00;320,00;63266;365;20286515;320,6543
28/09/2023;331,60;331,60;323,40;325,20;325,20;10833;191;3529515;325,8114
27/09/2023;321,00;330,00;321,00;328,80;328,80;18617;429;6112745;328,3421
26/09/2023;319,60;325,20;319,60;325,20;325,20;10333;185;3341961;323,4260
25/09/2023;320,00;324,20;319,00;322,20;322,20;14853;345;4774022;321,4180
22/09/2023;330,00;330,00;320,20;322,60;322,60;7327;206;2362823;322,4817
21/09/2023;321,00;326,00;320,80;324,40;324,40;17947;407;5798593;323,0954
20/09/2023;325,00;325,00;321,60;323,80;323,80;9997;168;3232538;323,3508
19/09/2023;330,00;330,00;324,40;325,80;325,80;19197;262;6265384;326,3731
18/09/2023;318,60;327,60;318,60;326,60;326,60;19664;340;6400894;325,5133
15/09/2023;331,60;331,60;320,80;322,80;322,80;63248;561;20422335;322,8930
14/09/2023;315,40;328,40;315,40;325,80;325,80;16640;383;5381290;323,3948
13/09/2023;325,00;325,00;317,60;321,20;321,20;24364;527;7802639;320,2528
12/09/2023;330,00;330,00;317,80;322,60;322,60;25743;537;8259878;320,8592
11/09/2023;326,40;330,80;323,60;324,60;324,60;13075;294;4266000;326,2715
08/09/2023;323,80;325,80;321,40;323,80;323,80;15926;371;5149641;323,3481
07/09/2023;322,00;325,20;321,40;324,20;324,20;11352;297;3677645;323,9645
