"Historical Data"
"From 2021-11-08 to 2023-11-07"
US36467X2062
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;28,40;28,60;27,90;28,50;28,50;23294;36;661497;28,3977
03/11/2023;27,55;28,30;27,50;27,50;27,50;12774;28;356533;27,9109
02/11/2023;27,00;28,15;26,95;27,40;27,40;39224;40;1077641;27,4740
01/11/2023;26,90;27,10;26,80;27,10;27,10;13554;46;366786;27,0611
31/10/2023;27,05;27,15;26,90;27,15;27,15;28612;31;773911;27,0485
30/10/2023;26,55;27,00;26,50;26,75;26,75;26453;75;706776;26,7182
27/10/2023;26,70;26,85;26,50;26,60;26,60;38907;62;1034047;26,5774
26/10/2023;27,40;29,80;26,80;27,00;27,00;52729;97;1505412;28,5500
25/10/2023;26,30;28,65;25,90;28,65;28,65;54537;80;1484308;27,2165
24/10/2023;27,20;27,60;26,90;27,00;27,00;5635;24;152747;27,1068
23/10/2023;27,95;27,95;26,70;27,25;27,25;9088;27;246023;27,0712
20/10/2023;27,05;28,00;27,05;28,00;28,00;3214;21;89293;27,7827
19/10/2023;26,55;27,05;26,25;27,05;27,05;8241;23;220527;26,7598
18/10/2023;27,70;27,70;26,55;26,85;26,85;40627;72;1103463;27,1608
17/10/2023;27,60;27,95;27,60;27,70;27,70;749;8;20824;27,8025
16/10/2023;27,55;27,95;27,55;27,95;27,95;6477;22;179132;27,6566
13/10/2023;27,90;28,15;27,65;27,95;27,95;6125;19;170956;27,9112
12/10/2023;27,65;28,00;27,50;27,75;27,75;23662;30;655964;27,7223
11/10/2023;27,80;28,15;27,75;28,00;28,00;7577;16;212511;28,0468
10/10/2023;27,50;28,00;27,50;27,95;27,95;16305;31;453516;27,8145
09/10/2023;27,55;27,80;27,50;27,50;27,50;23464;32;646586;27,5565
06/10/2023;28,30;28,30;27,75;27,75;27,75;12749;25;356941;27,9976
05/10/2023;27,75;28,55;27,75;28,25;28,25;4484;27;127260;28,3809
04/10/2023;27,50;27,70;27,50;27,50;27,50;49818;34;1370068;27,5015
03/10/2023;27,55;27,65;27,50;27,60;27,60;15309;28;421339;27,5223
02/10/2023;27,80;28,30;27,50;27,70;27,70;29081;55;805128;27,6857
29/09/2023;28,00;28,45;27,65;27,80;27,80;13408;91;375534;28,0082
28/09/2023;28,20;28,25;27,95;28,20;28,20;21179;52;595620;28,1231
27/09/2023;28,85;28,85;28,30;28,35;28,35;4777;29;135968;28,4631
26/09/2023;28,50;28,60;28,30;28,30;28,30;1735;11;49331;28,4329
25/09/2023;29,50;29,50;28,35;28,60;28,60;12225;31;355042;29,0423
22/09/2023;29,00;29,50;28,90;29,50;29,50;10532;43;307780;29,2233
21/09/2023;29,00;29,00;28,70;28,70;28,70;9079;32;262095;28,8683
20/09/2023;28,35;29,40;28,35;29,30;29,30;314845;44;9190281;29,1899
19/09/2023;28,15;28,40;27,90;28,35;28,35;123194;51;3451869;28,0198
18/09/2023;28,30;28,55;27,75;27,95;27,95;39393;54;1104790;28,0453
15/09/2023;28,40;28,50;28,30;28,30;28,30;3734;14;106037;28,3978
14/09/2023;27,90;28,10;27,80;28,10;28,10;15288;29;426822;27,9188
13/09/2023;28,50;28,50;27,80;27,95;27,95;6196;21;173213;27,9557
12/09/2023;27,50;28,10;27,50;28,05;28,05;40766;61;1137007;27,8911
11/09/2023;27,90;27,90;27,55;27,60;27,60;6608;25;182920;27,6815
08/09/2023;27,85;27,90;27,70;27,80;27,80;22382;51;622244;27,8011
07/09/2023;27,70;28,00;27,70;27,80;27,80;2389;19;66581;27,8697
06/09/2023;28,15;28,15;27,70;28,00;28,00;19692;40;550146;27,9376
05/09/2023;28,45;28,60;28,30;28,35;28,35;6850;23;194549;28,4013
04/09/2023;29,45;29,45;28,55;28,55;28,55;216624;34;6259655;28,8964
01/09/2023;29,50;29,60;29,10;29,10;29,10;6420;28;188267;29,3251
31/08/2023;29,95;29,95;29,40;29,90;29,90;9568;29;285731;29,8631
30/08/2023;28,85;29,95;28,55;29,95;29,95;41596;100;1233057;29,6436
29/08/2023;29,60;29,90;28,85;29,00;29,00;25315;57;742631;29,3356
28/08/2023;29,95;29,95;29,50;29,70;29,70;29000;39;859053;29,6225
25/08/2023;29,80;29,95;29,50;29,85;29,85;35143;90;1043229;29,6853
24/08/2023;29,65;29,90;29,35;29,85;29,85;18345;53;544577;29,6853
23/08/2023;29,60;29,80;29,30;29,75;29,75;45019;111;1333145;29,6129
22/08/2023;29,20;29,60;29,15;29,50;29,50;67193;143;1977889;29,4359
21/08/2023;28,80;29,35;28,80;29,15;29,15;10616;22;306983;28,9171
18/08/2023;29,30;29,30;28,55;28,90;28,90;91754;80;2659505;28,9852
17/08/2023;29,00;29,25;28,20;28,75;28,75;14808;63;426296;28,7882
16/08/2023;28,50;29,50;28,50;29,30;29,30;141106;153;4095410;29,0236
15/08/2023;28,50;28,75;27,65;28,00;28,00;121364;99;3409630;28,0942
14/08/2023;27,70;28,45;27,70;28,45;28,45;9306;32;262215;28,1770
11/08/2023;28,80;28,80;27,65;27,70;27,70;38467;48;1088360;28,2933
10/08/2023;28,50;28,60;27,95;28,30;28,30;38807;89;1099464;28,3316
09/08/2023;28,00;28,30;27,80;28,15;28,15;19458;54;547108;28,1174
08/08/2023;28,00;28,00;27,55;27,80;27,80;17972;48;501875;27,9254
07/08/2023;26,10;27,80;26,10;27,80;27,80;4525;30;125255;27,6806
04/08/2023;27,65;27,65;27,25;27,50;27,50;2834;15;78072;27,5484
03/08/2023;26,85;27,55;26,85;27,40;27,40;5461;46;149663;27,4058
02/08/2023;27,70;27,70;27,20;27,35;27,35;1480;20;40401;27,2980
01/08/2023;27,45;27,80;27,05;27,75;27,75;8784;33;241638;27,5088
31/07/2023;27,05;28,00;27,05;27,30;27,30;23168;60;640826;27,6600
28/07/2023;27,50;27,50;26,80;27,10;27,10;10751;37;293229;27,2746
27/07/2023;27,80;27,95;27,60;27,80;27,80;19258;75;535755;27,8199
26/07/2023;27,55;27,90;27,55;27,80;27,80;4548;44;126089;27,7240
25/07/2023;27,70;28,00;27,65;27,80;27,80;19298;54;536927;27,8229
24/07/2023;28,00;28,00;27,30;27,95;27,95;23669;60;656753;27,7474
21/07/2023;28,00;28,35;27,50;27,50;27,50;55843;116;1553093;27,8118
20/07/2023;26,50;28,00;26,50;28,00;28,00;28875;51;797383;27,6150
19/07/2023;27,00;27,50;26,80;26,95;26,95;10550;32;285599;27,0710
18/07/2023;26,15;26,95;26,15;26,95;26,95;1989;15;52442;26,3661
17/07/2023;26,20;26,45;25,20;26,05;26,05;28752;44;751799;26,1477
14/07/2023;27,25;27,30;26,30;26,45;26,45;15346;32;408973;26,6501
13/07/2023;28,00;28,00;27,50;27,50;27,50;43506;67;1205996;27,7202
12/07/2023;27,20;28,00;27,15;27,75;27,75;39104;63;1087823;27,8187
11/07/2023;26,45;27,15;26,45;26,90;26,90;48843;49;1315785;26,9391
10/07/2023;26,10;26,30;26,10;26,30;26,30;12574;33;330089;26,2517
07/07/2023;26,05;26,35;25,95;25,95;25,95;13494;17;354131;26,2436
06/07/2023;25,75;26,35;25,60;26,05;26,05;34079;28;875083;25,6781
05/07/2023;24,90;25,75;24,90;25,75;25,75;3663;18;92348;25,2109
04/07/2023;24,60;25,00;24,50;25,00;25,00;16555;17;409324;24,7251
03/07/2023;24,65;24,65;24,30;24,65;24,65;3589;23;88076;24,5405
30/06/2023;24,50;24,75;24,30;24,70;24,70;13646;23;333721;24,4556
29/06/2023;24,65;24,65;24,50;24,65;24,65;982;12;24125;24,5671
28/06/2023;24,95;25,00;24,70;24,95;24,95;18159;18;452921;24,9419
27/06/2023;24,60;24,95;24,35;24,90;24,90;13201;28;324116;24,5524
26/06/2023;25,10;25,10;24,80;24,95;24,95;8564;23;213681;24,9511
23/06/2023;26,95;26,95;25,00;25,00;25,00;1722;20;45767;26,5779
22/06/2023;25,45;25,45;25,00;25,00;25,00;2577;18;64727;25,1172
21/06/2023;25,20;25,45;25,05;25,20;25,20;9761;25;247582;25,3644
20/06/2023;25,30;25,30;24,90;25,25;25,25;11496;29;288978;25,1373
19/06/2023;25,55;25,70;25,25;25,30;25,30;56751;45;1446192;25,4831
16/06/2023;25,75;25,80;24,65;25,60;25,60;208158;123;5228913;25,1199
15/06/2023;25,50;25,70;25,35;25,70;25,70;7672;16;195608;25,4964
14/06/2023;25,50;25,70;25,30;25,50;25,50;17263;17;442693;25,6441
13/06/2023;25,05;25,30;24,95;25,30;25,30;3261;10;81810;25,0874
12/06/2023;25,00;25,15;25,00;25,00;25,00;27443;28;686477;25,0147
09/06/2023;27,00;27,00;25,00;25,20;25,20;23172;59;588226;25,3852
08/06/2023;26,00;26,15;25,35;25,50;25,50;20357;28;525760;25,8270
07/06/2023;26,00;26,35;25,55;26,05;26,05;21511;22;555652;25,8311
06/06/2023;25,70;26,25;25,70;26,00;26,00;3434;11;89942;26,1916
05/06/2023;25,40;26,25;25,40;26,25;26,25;14615;32;379295;25,9524
02/06/2023;27,15;27,15;25,80;26,10;26,10;59051;74;1548748;26,2273
01/06/2023;26,40;27,00;26,25;26,90;26,90;31881;48;849012;26,6307
31/05/2023;25,45;27,00;25,45;26,25;26,25;21084;29;555415;26,3430
30/05/2023;26,15;26,80;25,70;26,80;26,80;14149;21;368796;26,0652
29/05/2023;0,00;0,00;0,00;0,00;26,40;0;0;0;0,0000
26/05/2023;26,30;26,50;26,15;26,40;26,40;5562;17;146601;26,3576
25/05/2023;26,95;27,00;26,45;26,45;26,45;4041;11;108581;26,8699
24/05/2023;27,25;27,25;26,95;26,95;26,95;6415;19;173869;27,1035
23/05/2023;27,45;27,50;27,00;27,45;27,45;25166;42;687667;27,3252
22/05/2023;27,30;27,90;27,30;27,90;27,90;11483;23;316170;27,5338
19/05/2023;27,90;27,95;27,55;27,90;27,90;14781;23;409196;27,6839
18/05/2023;0,00;0,00;0,00;0,00;27,95;0;0;0;0,0000
17/05/2023;0,00;0,00;0,00;0,00;27,95;0;0;0;0,0000
16/05/2023;28,15;28,20;27,95;27,95;27,95;17430;25;488861;28,0471
15/05/2023;27,20;28,20;27,05;28,00;28,00;19413;19;540739;27,8545
12/05/2023;27,50;28,10;27,50;28,00;28,00;24006;23;671922;27,9898
11/05/2023;28,00;28,00;27,55;27,85;27,85;3556;16;98445;27,6843
10/05/2023;25,15;27,80;25,15;27,55;27,55;5751;21;154977;26,9478
09/05/2023;27,50;27,55;27,20;27,45;27,45;5008;19;137152;27,3866
08/05/2023;28,20;28,20;27,50;27,50;27,50;5017;15;140328;27,9706
05/05/2023;28,75;28,75;27,85;28,20;28,20;18113;46;514082;28,3820
04/05/2023;28,30;28,75;26,60;28,75;28,75;142427;156;3947712;27,7174
03/05/2023;27,60;28,00;27,45;28,00;28,00;20049;35;556908;27,7774
02/05/2023;27,00;28,50;27,00;27,50;27,50;115542;184;3196405;27,6644
28/04/2023;27,40;27,50;26,90;27,35;27,35;61292;78;1665751;27,1773
27/04/2023;27,05;27,50;27,05;27,40;27,40;11517;30;313366;27,2090
26/04/2023;26,95;27,50;26,95;27,50;27,50;32243;45;884564;27,4343
25/04/2023;27,50;27,50;26,75;27,10;27,10;14058;39;380659;27,0778
24/04/2023;27,50;27,90;27,10;27,45;27,45;36353;65;1001002;27,5356
21/04/2023;26,95;27,50;26,85;27,50;27,50;14203;35;386360;27,2027
20/04/2023;27,50;27,50;26,50;27,00;27,00;44955;56;1210250;26,9214
19/04/2023;26,25;27,30;26,25;27,00;27,00;21778;47;579605;26,6142
18/04/2023;26,45;26,45;26,05;26,45;26,45;17492;43;461541;26,3858
17/04/2023;26,00;26,40;25,55;26,40;26,40;23370;40;607813;26,0083
14/04/2023;26,00;26,15;25,95;26,15;26,15;1624;18;42279;26,0338
13/04/2023;26,00;26,00;25,40;26,00;26,00;26405;60;678633;25,7009
