"Historical Data"
"From 2021-11-12 to 2023-11-12"
NO0010262686
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
10/11/2023;5,20;5,20;4,85;4,91;4,91;25510;24;125536;4,9211
09/11/2023;5,12;5,12;4,80;4,96;4,96;25934;25;125753;4,8490
08/11/2023;4,80;5,18;4,80;4,90;4,90;22672;24;110190;4,8602
07/11/2023;5,10;5,34;4,91;4,96;4,96;36080;34;183361;5,0821
06/11/2023;5,50;5,50;5,00;5,18;5,18;43422;42;224055;5,1599
03/11/2023;5,24;5,50;5,02;5,50;5,50;32965;23;172584;5,2354
02/11/2023;5,50;5,50;5,04;5,24;5,24;45266;38;238357;5,2657
01/11/2023;4,97;5,24;4,90;5,14;5,14;22055;29;108977;4,9411
31/10/2023;5,00;5,36;4,88;4,97;4,97;69268;56;350375;5,0582
30/10/2023;5,08;5,08;4,85;4,86;4,86;28012;47;138279;4,9364
27/10/2023;5,00;5,50;4,71;5,08;5,08;52551;41;255615;4,8641
26/10/2023;5,40;5,40;4,80;4,80;4,80;138077;46;687176;4,9768
25/10/2023;5,08;5,30;5,04;5,30;5,30;53157;29;269316;5,0664
24/10/2023;5,10;5,28;5,00;5,04;5,04;47927;25;242359;5,0568
23/10/2023;5,22;5,30;5,00;5,10;5,10;75565;46;387297;5,1253
20/10/2023;5,58;5,58;5,20;5,50;5,50;62127;29;336723;5,4199
19/10/2023;5,94;5,94;5,50;5,56;5,56;22153;23;127326;5,7476
18/10/2023;5,76;5,96;5,50;5,96;5,96;141951;36;822119;5,7916
17/10/2023;5,80;6,00;5,70;5,78;5,78;98898;45;576009;5,8243
16/10/2023;5,70;6,06;5,58;5,90;5,90;135889;72;789680;5,8112
13/10/2023;5,40;5,64;5,32;5,64;5,64;28254;24;153321;5,4265
12/10/2023;5,20;5,50;5,20;5,34;5,34;51129;25;272098;5,3218
11/10/2023;5,04;5,34;5,02;5,24;5,24;98562;54;511079;5,1854
10/10/2023;5,28;5,28;5,06;5,10;5,10;25228;22;129038;5,1149
09/10/2023;5,12;5,32;5,10;5,32;5,32;52852;48;274941;5,2021
06/10/2023;5,30;5,40;5,08;5,20;5,20;96711;68;502804;5,1990
05/10/2023;5,52;5,58;5,22;5,40;5,40;75246;49;405535;5,3895
04/10/2023;5,96;5,96;5,52;5,52;5,52;7919;27;45927;5,7997
03/10/2023;6,02;6,02;5,60;5,70;5,70;112521;50;649040;5,7682
02/10/2023;5,82;6,02;5,82;6,02;6,02;14229;30;85022;5,9753
29/09/2023;5,98;6,08;5,80;6,02;6,02;84781;59;510410;6,0203
28/09/2023;6,46;6,66;5,96;6,10;6,10;99286;79;611579;6,1598
27/09/2023;6,26;6,74;6,24;6,42;6,42;32154;33;206109;6,4101
26/09/2023;6,30;6,40;6,18;6,30;6,30;15691;26;98356;6,2683
25/09/2023;6,42;6,58;6,10;6,30;6,30;37725;48;236254;6,2625
22/09/2023;6,76;6,76;6,44;6,44;6,44;35902;38;235821;6,5685
21/09/2023;6,64;6,78;6,50;6,50;6,50;37927;77;250873;6,6146
20/09/2023;6,88;6,88;6,48;6,64;6,64;53555;67;358415;6,6925
19/09/2023;6,44;6,92;6,44;6,88;6,88;91841;60;614215;6,6878
18/09/2023;7,00;7,00;6,30;6,42;6,42;153764;110;1003676;6,5274
15/09/2023;6,96;6,96;6,50;6,50;6,50;109460;80;733233;6,6986
14/09/2023;7,08;7,08;6,78;6,78;6,78;76502;92;523526;6,8433
13/09/2023;6,92;7,00;6,80;6,80;6,80;42346;43;291660;6,8875
12/09/2023;6,90;7,26;6,86;6,90;6,90;34812;63;240957;6,9217
11/09/2023;6,96;7,24;6,92;7,02;7,02;33411;35;234879;7,0300
08/09/2023;6,88;7,28;6,88;7,02;7,02;35157;38;245729;6,9895
07/09/2023;6,96;7,28;6,92;7,04;7,04;41458;62;290673;7,0113
06/09/2023;7,00;7,06;6,88;7,06;7,06;136268;65;946233;6,9439
05/09/2023;7,34;7,40;6,72;7,02;7,02;181979;149;1279511;7,0311
04/09/2023;7,50;7,98;7,24;7,40;7,40;75434;91;559545;7,4177
01/09/2023;8,38;8,38;7,32;7,50;7,50;211566;166;1630121;7,7050
31/08/2023;9,02;9,04;7,98;8,26;8,26;185216;194;1591337;8,5918
30/08/2023;8,76;9,96;7,60;8,80;8,80;499110;352;4470245;8,9564
29/08/2023;14,855556;15,492222;14,36037;15,28;15,28;511671;334;7691005;15,0311
28/08/2023;15,067778;15,067778;14,218889;14,218889;14,218889;92550;77;1337899;14,4559
25/08/2023;14,926296;15,209259;14,112778;14,784815;14,784815;77887;71;1142065;14,6631
24/08/2023;15,28;15,28;14,36037;14,501852;14,501852;43069;42;628504;14,5926
23/08/2023;14,714074;14,997037;14,148148;14,643333;14,643333;91404;97;1332244;14,5753
22/08/2023;15,28;15,28;14,714074;14,714074;14,714074;118036;103;1768099;14,9792
21/08/2023;15,138519;15,209259;14,714074;14,784815;14,784815;127690;145;1915028;14,9974
18/08/2023;15,067778;15,067778;14,714074;14,784815;14,784815;40153;46;596814;14,8633
17/08/2023;15,067778;15,067778;14,572593;14,855556;14,855556;54418;58;805640;14,8045
16/08/2023;14,643333;15,138519;14,28963;14,28963;14,28963;115708;140;1720263;14,8672
15/08/2023;13,546852;14,714074;13,299259;14,28963;14,28963;53149;65;744787;14,0132
14/08/2023;13,087037;13,546852;12,945556;13,546852;13,546852;103318;108;1371212;13,2717
11/08/2023;13,723704;14,112778;12,945556;13,582222;13,582222;152132;152;2031686;13,3547
10/08/2023;14,218889;14,218889;13,440741;14,042037;14,042037;154223;113;2129276;13,8064
09/08/2023;14,431111;14,855556;14,148148;14,28963;14,28963;60522;52;878157;14,5096
08/08/2023;16,19963;16,19963;14,431111;14,643333;14,643333;73553;78;1100561;14,9628
07/08/2023;16,27037;16,27037;15,28;15,916667;15,916667;31023;58;491246;15,8348
04/08/2023;16,128889;16,27037;15,562963;16,27037;16,27037;23422;28;372216;15,8916
03/08/2023;14,714074;16,19963;14,714074;16,128889;16,128889;41137;65;648595;15,7665
02/08/2023;15,775185;16,27037;15,562963;16,19963;16,19963;57652;97;915465;15,8789
01/08/2023;17,331481;17,331481;15,633704;16,341111;16,341111;56712;101;928532;16,3726
31/07/2023;16,907037;17,543704;16,907037;16,977778;16,977778;58578;106;1018739;17,3910
28/07/2023;16,553333;17,331481;16,411852;16,907037;16,907037;63006;89;1069443;16,9736
27/07/2023;16,836296;17,331481;16,553333;16,553333;16,553333;35135;58;593364;16,8879
26/07/2023;16,765556;17,402222;16,553333;16,694815;16,694815;88280;85;1482442;16,7925
25/07/2023;16,058148;16,694815;16,058148;16,27037;16,27037;28113;51;462770;16,4605
24/07/2023;16,624074;16,765556;15,633704;16,058148;16,058148;47804;111;770495;16,1177
21/07/2023;15,209259;17,543704;15,209259;16,482593;16,482593;169183;233;2789161;16,4860
20/07/2023;14,042037;16,411852;14,042037;14,855556;14,855556;111804;104;1675086;14,9823
19/07/2023;13,617593;13,794444;12,910185;13,723704;13,723704;22521;28;305855;13,5805
18/07/2023;13,228519;13,794444;13,228519;13,617593;13,617593;31328;38;427199;13,6361
17/07/2023;13,37;13,617593;13,157778;13,228519;13,228519;12200;17;161201;13,2122
14/07/2023;13,40537;13,40537;12,768704;13,087037;13,087037;3840;15;50569;13,1664
13/07/2023;12,945556;13,228519;12,733333;13,228519;13,228519;14481;17;186577;12,8842
12/07/2023;12,910185;13,546852;12,910185;12,945556;12,945556;1709;12;22563;13,2020
11/07/2023;12,556481;13,228519;12,556481;12,627222;12,627222;11690;20;149405;12,7799
10/07/2023;12,980926;13,440741;12,521111;12,874815;12,874815;17073;31;219902;12,8797
07/07/2023;13,087037;13,157778;12,980926;12,980926;12,980926;2917;17;37958;13,0095
06/07/2023;13,688333;13,688333;12,910185;13,546852;13,546852;3710;12;49440;13,3235
05/07/2023;13,087037;13,440741;13,087037;13,440741;13,440741;12617;25;167761;13,2954
04/07/2023;12,45037;13,440741;12,45037;13,193148;13,193148;13788;31;180662;13,1024
03/07/2023;13,228519;13,228519;12,45037;12,839444;12,839444;3343;26;43175;12,9144
30/06/2023;13,299259;13,299259;13,016296;13,087037;13,087037;2322;8;30696;13,2162
29/06/2023;13,157778;13,37;13,157778;13,37;13,37;6615;10;88371;13,3578
28/06/2023;13,087037;13,37;13,087037;13,157778;13,157778;24168;40;319604;13,2240
27/06/2023;13,087037;13,652963;12,804074;12,804074;12,804074;33988;41;444366;13,0739
26/06/2023;13,157778;13,157778;12,591852;12,768704;12,768704;9765;33;125343;12,8356
23/06/2023;12,308889;12,910185;12,308889;12,485741;12,485741;4999;20;62289;12,4580
22/06/2023;12,910185;12,910185;12,308889;12,697963;12,697963;9252;21;117457;12,6952
21/06/2023;12,733333;12,910185;12,415;12,733333;12,733333;23222;33;295767;12,7360
20/06/2023;12,662593;12,733333;12,308889;12,308889;12,308889;9428;24;119180;12,6399
19/06/2023;12,591852;12,662593;12,308889;12,308889;12,308889;7188;17;89716;12,4809
16/06/2023;12,308889;12,556481;12,167407;12,308889;12,308889;18687;25;230264;12,3215
15/06/2023;12,521111;12,697963;12,521111;12,662593;12,662593;1538;7;19459;12,6524
14/06/2023;12,910185;12,910185;12,521111;12,521111;12,521111;14500;22;182699;12,5992
13/06/2023;12,37963;12,945556;12,167407;12,521111;12,521111;82383;82;1035372;12,5676
12/06/2023;11,353889;13,157778;11,353889;12,096667;12,096667;285819;242;3506363;12,2677
09/06/2023;10,328148;10,54037;10,292778;10,505;10,505;11108;6;115653;10,4115
08/06/2023;10,292778;10,505;10,292778;10,46963;10,46963;5715;14;59959;10,4910
07/06/2023;10,46963;10,611111;10,292778;10,611111;10,611111;11675;15;122518;10,4941
06/06/2023;10,823333;10,823333;10,292778;10,717222;10,717222;11075;19;116045;10,4774
05/06/2023;10,964815;10,964815;10,575741;10,752593;10,752593;5883;24;63448;10,7842
02/06/2023;10,823333;10,929444;10,611111;10,894074;10,894074;9199;21;99768;10,8446
01/06/2023;10,257407;10,823333;10,257407;10,823333;10,823333;8795;24;93188;10,5949
31/05/2023;10,257407;10,611111;10,257407;10,611111;10,611111;4810;26;50781;10,5562
30/05/2023;10,292778;10,894074;10,292778;10,46963;10,46963;11980;18;125966;10,5144
