"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010748866
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;40,00;41,30;38,90;39,80;39,80;8198;11;328641;40,0879
03/11/2023;38,00;40,00;37,20;40,00;40,00;4392;11;168123;38,2794
02/11/2023;37,90;38,90;37,90;38,60;38,60;2666;10;101713;38,1518
01/11/2023;38,50;39,00;38,50;38,80;38,80;1350;7;52055;38,5593
31/10/2023;0,00;0,00;0,00;0,00;40,00;0;0;0;0,0000
30/10/2023;40,00;40,00;40,00;40,00;40,00;21;1;840;40,0000
27/10/2023;38,40;39,90;38,30;39,90;39,90;3548;7;137691;38,8080
26/10/2023;41,00;41,00;37,00;40,00;40,00;3934;15;152598;38,7896
25/10/2023;40,80;40,80;40,80;40,80;40,80;325;2;13260;40,8000
24/10/2023;41,70;41,70;39,00;41,60;41,60;1579;10;62554;39,6159
23/10/2023;41,40;41,80;41,40;41,80;41,80;101;2;4182;41,4040
20/10/2023;41,40;41,40;41,40;41,40;41,40;5;1;207;41,4000
19/10/2023;41,90;41,90;40,00;41,80;41,80;2381;7;96051;40,3407
18/10/2023;40,00;41,50;39,50;41,50;41,50;5809;8;232720;40,0619
17/10/2023;39,10;41,00;39,10;41,00;41,00;9251;15;367756;39,7531
16/10/2023;42,50;42,50;41,90;41,90;41,90;737;3;31011;42,0767
13/10/2023;41,00;42,00;41,00;42,00;42,00;30749;10;1289882;41,9487
12/10/2023;42,00;42,00;41,40;41,50;41,50;2090;5;86663;41,4655
11/10/2023;40,00;42,40;40,00;41,50;41,50;1187;9;48014;40,4495
10/10/2023;42,50;42,50;42,00;42,00;42,00;5426;11;228055;42,0300
09/10/2023;43,10;43,10;43,00;43,00;43,00;27;3;1162;43,0185
06/10/2023;42,00;42,00;42,00;42,00;42,00;500;1;21000;42,0000
05/10/2023;41,00;42,00;38,40;41,80;41,80;1917;16;77702;40,5331
04/10/2023;40,00;42,30;40,00;41,90;41,90;2842;15;116706;41,0647
03/10/2023;42,00;42,00;42,00;42,00;42,00;155;1;6510;42,0000
02/10/2023;42,60;42,60;42,60;42,60;42,60;285;1;12141;42,6000
29/09/2023;43,90;43,90;39,90;42,50;42,50;5573;31;229502;41,1810
