"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0011013765
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;7,26;7,26;7,10;7,10;7,10;13189;9;94950;7,1992
03/11/2023;7,24;7,24;7,20;7,20;7,20;2700;2;19448;7,2030
02/11/2023;7,14;7,26;7,14;7,26;7,26;6506;10;46920;7,2119
01/11/2023;7,18;7,18;7,12;7,14;7,14;10122;11;72386;7,1513
31/10/2023;7,00;7,14;6,98;7,14;7,14;22829;8;159945;7,0062
30/10/2023;7,00;7,00;6,98;6,98;6,98;888;9;6208;6,9913
27/10/2023;6,58;7,00;6,58;6,92;6,92;31960;9;220353;6,8947
26/10/2023;7,00;7,00;6,60;6,76;6,76;23518;16;159450;6,7799
25/10/2023;7,16;7,16;6,96;6,96;6,96;103012;21;723507;7,0235
24/10/2023;7,18;7,18;7,04;7,10;7,10;33348;17;237196;7,1128
23/10/2023;7,00;7,14;7,00;7,04;7,04;74017;20;521129;7,0407
20/10/2023;7,30;7,30;6,90;7,00;7,00;121115;15;870033;7,1835
19/10/2023;7,22;7,22;7,18;7,20;7,20;6785;6;48752;7,1852
18/10/2023;7,10;7,24;7,10;7,24;7,24;3591;3;25999;7,2399
17/10/2023;7,30;7,30;7,24;7,24;7,24;6645;4;48371;7,2793
16/10/2023;7,48;7,48;7,20;7,28;7,28;118123;29;864835;7,3215
13/10/2023;7,52;7,52;7,10;7,24;7,24;66949;36;487196;7,2771
12/10/2023;7,30;7,52;7,10;7,34;7,34;270619;73;1982640;7,3263
11/10/2023;8,00;8,00;7,76;7,76;7,76;28521;7;226713;7,9490
10/10/2023;7,98;7,98;7,96;7,96;7,96;4048;4;32298;7,9788
09/10/2023;7,98;7,98;7,76;7,92;7,92;27456;16;216896;7,8998
06/10/2023;7,98;7,98;7,98;7,98;7,98;1050;2;8379;7,9800
05/10/2023;7,82;8,04;7,82;7,82;7,82;21018;11;166491;7,9213
04/10/2023;7,74;7,98;7,72;7,96;7,96;14004;8;111217;7,9418
03/10/2023;7,98;7,98;7,74;7,74;7,74;23774;11;185345;7,7961
02/10/2023;7,98;7,98;7,90;7,90;7,90;2259;7;17948;7,9451
29/09/2023;7,98;7,98;7,90;7,98;7,98;8608;9;68383;7,9441
28/09/2023;7,98;7,98;7,84;7,96;7,96;3694;7;29300;7,9317
27/09/2023;7,98;7,98;7,90;7,98;7,98;5994;11;47624;7,9453
26/09/2023;8,00;8,00;7,84;7,90;7,90;4995;8;39446;7,8970
25/09/2023;8,18;8,18;7,90;7,90;7,90;24516;16;196154;8,0011
22/09/2023;8,38;8,38;8,14;8,18;8,18;12266;10;100546;8,1971
21/09/2023;8,20;8,30;8,20;8,28;8,28;10853;7;89208;8,2197
20/09/2023;8,12;8,12;7,96;7,96;7,96;8688;13;69502;7,9997
19/09/2023;8,00;8,42;8,00;8,12;8,12;26559;19;215615;8,1183
18/09/2023;8,20;8,20;7,96;8,00;8,00;20309;14;162565;8,0046
15/09/2023;8,14;8,30;8,12;8,14;8,14;21668;10;177363;8,1855
14/09/2023;8,36;8,36;8,06;8,12;8,12;40876;30;332732;8,1400
13/09/2023;8,30;8,34;8,28;8,34;8,34;3601;7;30009;8,3335
