"Historical Data"
"From 2021-11-08 to 2023-11-07"
NO0010582521
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover;vwap
06/11/2023;166,00;167,40;165,80;166,40;166,40;156156;541;25989207;166,4310
03/11/2023;167,00;167,80;165,90;166,90;166,90;267068;614;44547121;166,8007
02/11/2023;169,20;169,80;166,90;166,90;166,90;297768;778;49830415;167,3464
01/11/2023;167,60;169,20;166,80;169,20;169,20;318661;820;53750802;168,6771
31/10/2023;165,70;168,20;165,70;167,30;167,30;541915;833;90641968;167,2623
30/10/2023;166,40;166,80;164,90;165,10;165,10;312841;633;51684986;165,2117
27/10/2023;165,50;166,70;164,40;166,30;166,30;205024;637;34042403;166,0411
26/10/2023;165,10;166,40;163,00;165,80;165,80;292001;1044;48274467;165,3230
25/10/2023;163,70;164,30;162,50;163,70;163,70;156227;603;25543273;163,5010
24/10/2023;161,10;164,10;160,30;164,10;164,10;368859;904;60407211;163,7678
23/10/2023;165,00;165,10;159,70;160,90;160,90;472192;1238;76039182;161,0345
20/10/2023;155,00;167,40;155,00;165,50;165,50;898251;2626;147839161;164,5856
19/10/2023;160,00;160,60;157,80;158,10;158,10;269113;797;42739303;158,8155
18/10/2023;157,20;161,00;157,20;161,00;161,00;340325;745;54614819;160,4784
17/10/2023;157,60;158,20;157,00;157,50;157,50;245879;654;38728478;157,5103
16/10/2023;157,80;158,20;157,10;157,50;157,50;233482;613;36798405;157,6070
13/10/2023;158,00;159,80;156,90;157,90;157,90;305619;781;48338950;158,1674
12/10/2023;157,80;158,80;157,80;158,10;158,10;202850;580;32085896;158,1755
11/10/2023;158,50;159,00;157,10;157,80;157,80;340782;562;53775279;157,7996
10/10/2023;158,40;159,70;158,00;158,10;158,10;231371;720;36658272;158,4394
09/10/2023;155,50;158,50;155,50;157,40;157,40;239150;586;37608574;157,2594
06/10/2023;155,00;157,90;154,30;156,40;156,40;166828;561;26107798;156,4953
05/10/2023;152,00;155,50;151,30;155,20;155,20;204901;643;31588786;154,1661
04/10/2023;154,40;155,80;152,70;152,80;152,80;255054;854;39150755;153,4999
03/10/2023;155,40;156,60;154,70;155,10;155,10;331336;725;51412946;155,1686
02/10/2023;157,80;158,30;155,60;155,80;155,80;525930;1055;82115580;156,1340
29/09/2023;155,70;157,90;155,70;157,50;157,50;545390;786;85854801;157,4191
28/09/2023;156,00;156,20;154,20;155,20;155,20;332917;946;51658713;155,1699
27/09/2023;158,30;158,50;155,50;155,50;155,50;441318;1117;68898970;156,1209
26/09/2023;158,00;159,30;157,60;158,30;158,30;358731;801;56799020;158,3332
25/09/2023;160,20;161,00;158,10;158,70;158,70;199378;741;31672914;158,8586
22/09/2023;161,00;161,20;159,80;160,80;160,80;217467;645;34946934;160,6999
21/09/2023;163,60;163,70;161,30;161,50;161,50;260484;606;42123457;161,7123
20/09/2023;164,00;164,80;163,50;163,80;163,80;390063;1063;63926670;163,8881
19/09/2023;165,30;166,70;164,60;164,60;164,60;235400;582;38813693;164,8840
18/09/2023;166,00;167,10;164,50;165,50;165,50;245913;695;40695641;165,4880
15/09/2023;165,20;168,10;163,30;167,20;167,20;2169020;1760;362268704;167,0195
14/09/2023;162,60;165,50;162,30;164,20;164,20;216359;680;35494168;164,0522
13/09/2023;161,70;163,30;161,50;162,30;162,30;216418;571;35112161;162,2423
12/09/2023;165,70;165,70;161,90;162,00;162,00;234895;881;38270702;162,9268
11/09/2023;161,20;162,30;160,70;160,70;160,70;355732;668;57218934;160,8484
08/09/2023;160,50;161,90;160,10;161,20;161,20;180784;523;29149032;161,2368
07/09/2023;160,60;161,60;160,20;160,60;160,60;223494;498;35914685;160,6964
06/09/2023;163,10;163,50;160,90;161,10;161,10;250239;656;40383937;161,3815
05/09/2023;162,00;165,00;161,80;164,00;164,00;194826;595;31962459;164,0564
04/09/2023;164,00;164,30;162,80;162,80;162,80;164475;585;26844929;163,2159
01/09/2023;164,00;164,30;162,50;164,30;164,30;170746;535;27996623;163,9665
31/08/2023;165,30;166,60;164,50;165,50;165,50;2089636;1422;345921579;165,5415
30/08/2023;162,60;165,70;162,60;165,00;165,00;696715;1036;114547441;164,4108
29/08/2023;159,10;162,50;158,60;161,80;161,80;367974;824;59452586;161,5674
28/08/2023;160,70;161,40;158,30;159,60;159,60;465004;797;74197990;159,5642
25/08/2023;157,60;161,30;157,60;160,30;160,30;378395;722;55430230;146,4877
24/08/2023;159,90;159,90;157,20;157,20;157,20;177123;557;27922374;157,6440
23/08/2023;158,30;159,80;157,70;159,50;159,50;487872;721;77741051;159,3472
22/08/2023;158,00;159,30;157,50;157,70;157,70;210502;703;33248396;157,9481
21/08/2023;156,60;157,60;156,40;156,90;156,90;218376;543;34278099;156,9683
18/08/2023;159,20;159,30;156,30;156,60;156,60;223516;592;35082114;156,9557
17/08/2023;158,00;159,80;158,00;159,80;159,80;224790;627;35869732;159,5700
